Datetime,Open,High,Low,Close,Volume,Ticker
2021-04-19 13:00:00,3.917,3.917,3.917,3.917,2000,SMCI
2021-04-19 13:05:00,3.917,3.917,3.917,3.917,2060,SMCI
2021-04-19 13:25:00,3.921,3.921,3.917,3.917,7940,SMCI
2021-04-19 13:30:00,3.9,3.9,3.9,3.9,31790,SMCI
2021-04-19 13:40:00,3.902,3.913,3.89,3.913,26600,SMCI
2021-04-19 13:45:00,3.916,3.92,3.916,3.92,3330,SMCI
2021-04-19 13:50:00,3.926,3.926,3.895,3.895,29930,SMCI
2021-04-19 13:55:00,3.888,3.89,3.88066,3.889,34360,SMCI
2021-04-19 14:00:00,3.885,3.8855,3.8775,3.88,42830,SMCI
2021-04-19 14:05:00,3.872,3.876,3.864,3.873,23340,SMCI
2021-04-19 14:10:00,3.881,3.881,3.881,3.881,4960,SMCI
2021-04-19 14:15:00,3.878,3.88199,3.872,3.872,31510,SMCI
2021-04-19 14:20:00,3.873,3.8755,3.86574,3.8755,22900,SMCI
2021-04-19 14:25:00,3.87,3.87,3.87,3.87,5490,SMCI
2021-04-19 14:30:00,3.873,3.873,3.871,3.871,5600,SMCI
2021-04-19 14:35:00,3.8635,3.869,3.861,3.8665,25730,SMCI
2021-04-19 14:40:00,3.862,3.863,3.857,3.863,42050,SMCI
2021-04-19 14:45:00,3.859,3.859,3.8575,3.858,9120,SMCI
2021-04-19 14:50:00,3.8536,3.854,3.852,3.852,26230,SMCI
2021-04-19 14:55:00,3.8565,3.8565,3.852,3.855,15830,SMCI
2021-04-19 15:00:00,3.853,3.858,3.853,3.854,11300,SMCI
2021-04-19 15:05:00,3.851,3.854,3.843,3.853,29850,SMCI
2021-04-19 15:10:00,3.855,3.86,3.855,3.86,28900,SMCI
2021-04-19 15:20:00,3.857,3.857,3.854,3.854,10160,SMCI
2021-04-19 15:25:00,3.851,3.857,3.851,3.8565,17270,SMCI
2021-04-19 15:30:00,3.853,3.853,3.84607,3.849,25760,SMCI
2021-04-19 15:40:00,3.851,3.852,3.846,3.847,13590,SMCI
2021-04-19 15:45:00,3.845,3.845,3.845,3.845,8740,SMCI
2021-04-19 15:50:00,3.849,3.853,3.847,3.852,26320,SMCI
2021-04-19 15:55:00,3.853,3.853,3.847,3.847,15880,SMCI
2021-04-19 16:05:00,3.8485,3.8485,3.8485,3.8485,4000,SMCI
