Datetime,Open,High,Low,Close,Volume,Ticker
2025-02-10 11:00:00,184.56,186.62,184.56,185.47,106852,GOOGL
2025-02-10 11:05:00,185.51,185.77,185.36,185.66,15165,GOOGL
2025-02-10 11:10:00,185.66,186.04,185.64,186.03,11299,GOOGL
2025-02-10 11:15:00,186.03,186.14,185.92,186.08,9861,GOOGL
2025-02-10 11:20:00,186.08,186.16,185.97,186.04,4137,GOOGL
2025-02-10 11:25:00,185.99,186.17,185.99,186.07,5320,GOOGL
2025-02-10 11:30:00,186.09,186.23,186.04,186.19,7287,GOOGL
2025-02-10 11:35:00,186.22,186.27,186.18,186.24,3879,GOOGL
2025-02-10 11:40:00,186.22,186.25,186.06,186.14,4843,GOOGL
2025-02-10 11:45:00,186.16,186.26,186.1,186.2,4380,GOOGL
2025-02-10 11:50:00,186.23,186.28,186.18,186.25,2324,GOOGL
2025-02-10 11:55:00,186.26,186.33,186.2,186.29,9637,GOOGL
2025-02-10 12:00:00,186.3,186.38,186.29,186.32,3002,GOOGL
2025-02-10 12:05:00,186.33,186.37,186.23,186.24,3459,GOOGL
2025-02-10 12:10:00,186.24,186.25,186.1,186.11,2230,GOOGL
2025-02-10 12:15:00,186.13,186.13,186.03,186.12,3738,GOOGL
2025-02-10 12:20:00,186.11,186.23,186.11,186.19,1397,GOOGL
2025-02-10 12:25:00,186.14,186.28,186.14,186.28,1832,GOOGL
2025-02-10 12:30:00,186.27,186.28,186.15,186.18,777,GOOGL
2025-02-10 12:35:00,186.2,186.33,186.18,186.28,1976,GOOGL
2025-02-10 12:40:00,186.27,186.33,186.24,186.3,1494,GOOGL
2025-02-10 12:45:00,186.3,186.43,186.26,186.43,3354,GOOGL
2025-02-10 12:50:00,186.43,186.45,186.37,186.45,1390,GOOGL
2025-02-10 12:55:00,186.46,186.6,186.45,186.48,3987,GOOGL
2025-02-10 13:00:00,186.47,186.53,186.41,186.49,5703,GOOGL
2025-02-10 13:05:00,186.49,186.52,186.44,186.51,1107,GOOGL
2025-02-10 13:10:00,186.49,186.64,186.49,186.64,5238,GOOGL
2025-02-10 13:15:00,186.65,186.85,186.65,186.82,8006,GOOGL
2025-02-10 13:20:00,186.83,186.83,186.69,186.78,5933,GOOGL
2025-02-10 13:25:00,186.78,186.81,186.72,186.73,2330,GOOGL
2025-02-10 13:30:00,186.7,186.75,186.69,186.69,2289,GOOGL
2025-02-10 13:35:00,186.74,186.83,186.7,186.8,4623,GOOGL
2025-02-10 13:40:00,186.78,186.79,186.7,186.71,1146,GOOGL
2025-02-10 13:45:00,186.71,186.72,186.66,186.7,4293,GOOGL
2025-02-10 13:50:00,186.7,186.79,186.67,186.71,3338,GOOGL
2025-02-10 13:55:00,186.72,186.77,186.71,186.77,3064,GOOGL
2025-02-10 14:00:00,186.73,186.82,186.35,186.46,21740,GOOGL
2025-02-10 14:05:00,186.46,186.47,186.38,186.42,3052,GOOGL
2025-02-10 14:10:00,186.43,186.48,186.39,186.43,5425,GOOGL
2025-02-10 14:15:00,186.46,186.49,186.38,186.42,2186,GOOGL
2025-02-10 14:20:00,186.42,186.5,186.38,186.5,2745,GOOGL
2025-02-10 14:25:00,186.5,186.5,186.41,186.43,831,GOOGL
2025-02-10 14:30:00,186.44,186.45,186.33,186.33,4566,GOOGL
2025-02-10 14:35:00,186.33,186.36,186.28,186.34,3962,GOOGL
2025-02-10 14:40:00,186.34,186.43,186.34,186.42,3738,GOOGL
2025-02-10 14:45:00,186.39,186.51,186.34,186.51,2451,GOOGL
2025-02-10 14:50:00,186.51,186.52,186.39,186.39,929,GOOGL
2025-02-10 14:55:00,186.42,186.5,186.39,186.48,2320,GOOGL
2025-02-10 15:00:00,186.66,186.85,184.76,186.52,74617,GOOGL
2025-02-10 15:05:00,185.1,186.53,185.1,186.52,11883,GOOGL
2025-02-10 15:10:00,186.52,186.6,186.46,186.6,7625,GOOGL
2025-02-10 15:15:00,186.62,186.82,186.6,186.74,11386,GOOGL
2025-02-10 15:20:00,186.74,186.77,186.65,186.74,2977,GOOGL
2025-02-10 15:25:00,186.75,186.84,186.65,186.8,7619,GOOGL
2025-02-10 15:30:00,186.83,187.01,186.82,186.95,13970,GOOGL
2025-02-10 15:35:00,186.96,186.96,186.57,186.89,10478,GOOGL
2025-02-10 15:40:00,186.94,186.94,186.78,186.78,13201,GOOGL
2025-02-10 15:45:00,186.8,186.89,186.79,186.89,6722,GOOGL
2025-02-10 15:50:00,186.88,186.9,186.78,186.89,13687,GOOGL
2025-02-10 15:55:00,186.9,186.9,186.77,186.87,10136,GOOGL
2025-02-10 16:00:00,186.85,186.98,186.8,186.89,13622,GOOGL
2025-02-10 16:05:00,186.89,186.95,186.82,186.82,12407,GOOGL
2025-02-10 16:10:00,186.89,186.89,186.77,186.82,10296,GOOGL
2025-02-10 16:15:00,186.82,186.87,186.77,186.81,32543,GOOGL
2025-02-10 16:20:00,186.84,189.59,186.62,186.72,14418,GOOGL
2025-02-10 16:25:00,186.72,187.21,186.51,187.12,69501,GOOGL
2025-02-10 16:30:00,187.12,187.24,185.64,186.15,1527967,GOOGL
2025-02-10 16:35:00,186.15,186.45,185.7,186.04,510094,GOOGL
2025-02-10 16:40:00,186.02,186.73,185.81,186.59,428382,GOOGL
2025-02-10 16:45:00,186.58,186.69,186.06,186.2,439589,GOOGL
2025-02-10 16:50:00,186.2,186.3,185.9,186.06,428246,GOOGL
2025-02-10 16:55:00,186.06,186.51,185.8,186.5,298435,GOOGL
2025-02-10 17:00:00,186.5,187.15,186.39,187.1,487509,GOOGL
2025-02-10 17:05:00,187.1,187.97,187.0,187.73,673483,GOOGL
2025-02-10 17:10:00,187.74,187.85,187.37,187.48,358614,GOOGL
2025-02-10 17:15:00,187.49,187.68,187.41,187.6,364361,GOOGL
2025-02-10 17:20:00,187.6,187.86,187.52,187.58,418886,GOOGL
2025-02-10 17:25:00,187.57,187.63,187.42,187.57,221216,GOOGL
2025-02-10 17:30:00,187.6,187.85,187.54,187.65,240566,GOOGL
2025-02-10 17:35:00,187.67,187.82,187.53,187.71,295106,GOOGL
2025-02-10 17:40:00,187.64,187.66,187.44,187.64,160479,GOOGL
2025-02-10 17:45:00,187.64,187.74,187.24,187.25,242302,GOOGL
2025-02-10 17:50:00,187.25,187.32,186.83,187.06,276295,GOOGL
2025-02-10 17:55:00,187.08,187.36,187.02,187.07,163513,GOOGL
2025-02-10 18:00:00,187.07,187.48,187.07,187.31,195720,GOOGL
2025-02-10 18:05:00,187.31,187.31,186.8,186.99,178476,GOOGL
2025-02-10 18:10:00,186.99,187.09,186.91,187.05,118742,GOOGL
2025-02-10 18:15:00,187.07,187.16,186.91,187.06,118068,GOOGL
2025-02-10 18:20:00,187.07,187.36,187.02,187.35,134338,GOOGL
2025-02-10 18:25:00,187.36,187.46,186.97,187.0,189791,GOOGL
2025-02-10 18:30:00,186.99,187.18,186.68,186.75,227092,GOOGL
2025-02-10 18:35:00,186.77,186.99,186.76,186.82,159779,GOOGL
2025-02-10 18:40:00,186.84,187.2,186.83,187.04,119178,GOOGL
2025-02-10 18:45:00,187.05,187.11,186.93,187.03,123842,GOOGL
2025-02-10 18:50:00,187.04,187.12,186.89,186.92,131050,GOOGL
2025-02-10 18:55:00,186.93,187.07,186.82,186.93,129170,GOOGL
2025-02-10 19:00:00,186.9,186.9,186.47,186.52,238977,GOOGL
2025-02-10 19:05:00,186.53,186.61,186.29,186.36,218043,GOOGL
2025-02-10 19:10:00,186.36,186.37,186.08,186.15,277308,GOOGL
2025-02-10 19:15:00,186.15,186.17,185.91,185.98,203752,GOOGL
2025-02-10 19:20:00,185.98,185.98,185.82,185.93,258331,GOOGL
2025-02-10 19:25:00,185.92,186.13,185.88,185.9,195387,GOOGL
2025-02-10 19:30:00,185.89,186.12,185.83,186.02,119491,GOOGL
2025-02-10 19:35:00,186.02,186.17,185.96,186.11,144874,GOOGL
2025-02-10 19:40:00,186.1,186.24,186.0,186.03,152111,GOOGL
2025-02-10 19:45:00,186.03,186.09,185.88,185.92,121839,GOOGL
2025-02-10 19:50:00,185.92,186.35,185.92,186.35,106369,GOOGL
2025-02-10 19:55:00,186.35,186.46,186.3,186.44,132106,GOOGL
2025-02-10 20:00:00,186.46,186.46,186.26,186.34,119372,GOOGL
2025-02-10 20:05:00,186.34,186.5,186.2,186.48,125480,GOOGL
2025-02-10 20:10:00,186.47,186.48,186.26,186.37,130563,GOOGL
2025-02-10 20:15:00,186.38,186.44,186.31,186.36,132248,GOOGL
2025-02-10 20:20:00,186.36,186.58,186.36,186.42,115806,GOOGL
2025-02-10 20:25:00,186.44,186.58,186.44,186.52,85989,GOOGL
2025-02-10 20:30:00,186.51,186.57,186.42,186.51,83019,GOOGL
2025-02-10 20:35:00,186.52,186.53,186.42,186.44,80337,GOOGL
2025-02-10 20:40:00,186.44,186.45,186.3,186.33,87500,GOOGL
2025-02-10 20:45:00,186.34,186.53,186.34,186.52,112070,GOOGL
2025-02-10 20:50:00,186.52,186.59,186.48,186.51,79927,GOOGL
2025-02-10 20:55:00,186.51,186.56,186.46,186.47,94029,GOOGL
2025-02-10 21:00:00,186.46,186.46,186.26,186.3,99277,GOOGL
2025-02-10 21:05:00,186.3,186.37,186.23,186.32,98668,GOOGL
2025-02-10 21:10:00,186.33,186.5,186.33,186.47,131616,GOOGL
2025-02-10 21:15:00,186.48,186.55,186.39,186.48,114797,GOOGL
2025-02-10 21:20:00,186.49,186.55,186.48,186.51,140038,GOOGL
2025-02-10 21:25:00,186.51,186.51,186.26,186.34,161392,GOOGL
2025-02-10 21:30:00,186.32,186.49,186.29,186.44,93258,GOOGL
2025-02-10 21:35:00,186.42,186.45,186.27,186.29,101610,GOOGL
2025-02-10 21:40:00,186.3,186.4,186.28,186.35,82994,GOOGL
2025-02-10 21:45:00,186.35,186.38,186.24,186.32,125014,GOOGL
2025-02-10 21:50:00,186.33,186.44,186.29,186.39,102244,GOOGL
2025-02-10 21:55:00,186.38,186.48,186.34,186.38,110643,GOOGL
2025-02-10 22:00:00,186.38,186.44,186.3,186.38,163007,GOOGL
2025-02-10 22:05:00,186.39,186.48,186.33,186.39,145300,GOOGL
2025-02-10 22:10:00,186.39,186.39,186.29,186.32,115606,GOOGL
2025-02-10 22:15:00,186.31,186.43,186.27,186.36,154441,GOOGL
2025-02-10 22:20:00,186.36,186.4,186.33,186.36,131467,GOOGL
2025-02-10 22:25:00,186.35,186.39,186.29,186.31,273922,GOOGL
2025-02-10 22:30:00,186.31,187.47,186.05,186.07,176504,GOOGL
2025-02-10 22:35:00,186.07,186.31,186.04,186.23,174602,GOOGL
2025-02-10 22:40:00,186.25,186.31,186.2,186.26,144648,GOOGL
2025-02-10 22:45:00,186.26,186.42,186.23,186.36,197670,GOOGL
2025-02-10 22:50:00,186.36,186.43,185.94,186.26,501970,GOOGL
2025-02-10 22:55:00,186.26,186.29,185.98,186.16,995890,GOOGL
