Datetime,Open,High,Low,Close,Volume
2024-11-04 16:30,196.45,197.0,195.68,195.78,3567448
2024-11-04 16:35,195.78,196.47,195.4,196.19,1033878
2024-11-04 16:40,196.17,196.93,195.78,196.75,670996
2024-11-04 16:45,196.76,197.33,196.29,196.65,994641
2024-11-04 16:50,196.67,196.85,196.3,196.43,471831
2024-11-04 16:55,196.44,196.57,195.99,196.12,473818
2024-11-04 17:00,196.1,196.69,195.95,196.65,484412
2024-11-04 17:05,196.69,196.77,196.42,196.53,754143
2024-11-04 17:10,196.51,196.52,196.22,196.3,366824
2024-11-04 17:15,196.29,196.5,196.14,196.49,520436
2024-11-04 17:20,196.48,196.91,196.48,196.85,434069
2024-11-04 17:25,196.85,196.91,196.33,196.45,563866
2024-11-04 17:30,196.45,197.0,196.29,196.98,407177
2024-11-04 17:35,197.0,197.17,196.9,196.97,569230
2024-11-04 17:40,197.0,197.13,196.9,197.07,313525
2024-11-04 17:45,197.08,197.27,196.88,197.27,498526
2024-11-04 17:50,197.27,197.28,196.94,196.94,298263
2024-11-04 17:55,196.91,197.16,196.91,197.04,340879
2024-11-04 18:00,197.03,197.13,196.74,196.82,443964
2024-11-04 18:05,196.77,196.82,196.41,196.41,1464669
2024-11-04 18:10,196.41,196.9,196.41,196.81,283327
2024-11-04 18:15,196.82,196.96,196.43,196.54,307120
2024-11-04 18:20,196.54,196.63,196.26,196.29,265680
2024-11-04 18:25,196.29,196.39,196.05,196.13,1160261
2024-11-04 18:30,196.13,196.31,196.02,196.08,284834
2024-11-04 18:35,196.08,196.16,195.72,195.76,442879
2024-11-04 18:40,195.74,195.78,195.27,195.42,550716
2024-11-04 18:45,195.41,195.47,194.78,195.05,644649
2024-11-04 18:50,195.06,195.14,194.85,194.86,314331
2024-11-04 18:55,194.86,194.92,194.4,194.83,517329
2024-11-04 19:00,194.83,195.12,194.82,194.92,298413
2024-11-04 19:05,194.92,194.94,194.39,194.39,451311
2024-11-04 19:10,194.38,194.85,194.31,194.66,310832
2024-11-04 19:15,194.66,194.85,194.62,194.65,220784
2024-11-04 19:20,194.62,195.01,194.61,194.95,387913
2024-11-04 19:25,194.95,195.22,194.94,195.22,326339
2024-11-04 19:30,195.23,195.38,195.04,195.2,333520
2024-11-04 19:35,195.21,195.5,195.16,195.31,244112
2024-11-04 19:40,195.31,195.35,195.24,195.27,206322
2024-11-04 19:45,195.27,195.56,195.26,195.46,245691
2024-11-04 19:50,195.47,195.59,195.31,195.59,190658
2024-11-04 19:55,195.6,195.67,195.42,195.42,203592
2024-11-04 20:00,195.41,195.57,195.08,195.24,289911
2024-11-04 20:05,195.27,195.36,194.96,195.28,309611
2024-11-04 20:10,195.27,195.77,195.23,195.68,417709
2024-11-04 20:15,195.66,195.86,195.6,195.7,192626
2024-11-04 20:20,195.7,196.02,195.7,195.91,293078
2024-11-04 20:25,195.91,195.94,195.69,195.82,169627
2024-11-04 20:30,195.81,195.9,195.76,195.79,158986
2024-11-04 20:35,195.78,196.01,195.68,195.94,221488
2024-11-04 20:40,195.94,195.99,195.87,195.95,154074
2024-11-04 20:45,195.96,196.01,195.86,195.97,190202
2024-11-04 20:50,195.96,196.01,195.82,195.92,223566
2024-11-04 20:55,195.91,195.94,195.77,195.8,232961
2024-11-04 21:00,195.81,195.89,195.64,195.78,228856
2024-11-04 21:05,195.78,196.01,195.77,195.9,193124
2024-11-04 21:10,195.87,196.08,195.8,196.04,195396
2024-11-04 21:15,196.08,196.09,195.93,195.96,168277
2024-11-04 21:20,195.95,196.05,195.85,195.85,161237
2024-11-04 21:25,195.89,196.02,195.79,195.84,189069
2024-11-04 21:30,195.82,196.14,195.76,196.04,194840
2024-11-04 21:35,196.03,196.14,195.98,196.09,189056
2024-11-04 21:40,196.08,196.2,195.9,195.94,170312
2024-11-04 21:45,195.93,195.96,195.72,195.84,221648
2024-11-04 21:50,195.83,196.07,195.82,195.92,166446
2024-11-04 21:55,195.93,195.97,195.77,195.82,186593
2024-11-04 22:00,195.82,195.88,195.74,195.75,220567
2024-11-04 22:05,195.74,195.81,195.56,195.58,324212
2024-11-04 22:10,195.58,195.67,195.53,195.57,229477
2024-11-04 22:15,195.57,195.72,195.53,195.66,314944
2024-11-04 22:20,195.66,195.85,195.62,195.8,205170
2024-11-04 22:25,195.79,195.85,195.64,195.65,223662
2024-11-04 22:30,195.65,195.76,195.53,195.55,261034
2024-11-04 22:35,195.55,195.6,195.25,195.39,369566
2024-11-04 22:40,195.4,195.71,195.4,195.58,364161
2024-11-04 22:45,195.59,195.8,195.59,195.73,315822
2024-11-04 22:50,195.74,195.99,195.53,195.92,729336
2024-11-04 22:55,195.8,195.9,195.59,195.79,2054191
2024-11-05 16:30,196.04,197.43,196.0,196.66,1986239
2024-11-05 16:35,196.66,197.0,196.27,196.54,490738
2024-11-05 16:40,196.57,196.84,196.06,196.14,447656
2024-11-05 16:45,196.12,196.8,196.03,196.77,416916
2024-11-05 16:50,196.78,197.04,196.63,196.99,475931
2024-11-05 16:55,196.99,197.25,196.83,197.03,522436
2024-11-05 17:00,197.05,197.3,196.81,197.01,405436
2024-11-05 17:05,197.02,197.07,196.67,196.68,254982
2024-11-05 17:10,196.68,196.96,196.57,196.66,385643
2024-11-05 17:15,196.66,196.97,196.6,196.86,222929
2024-11-05 17:20,196.88,197.11,196.75,197.09,287440
2024-11-05 17:25,197.11,197.16,196.64,196.72,310252
2024-11-05 17:30,196.71,196.9,196.45,196.84,306434
2024-11-05 17:35,196.85,197.05,196.83,197.02,222708
2024-11-05 17:40,197.03,197.18,196.97,197.13,375785
2024-11-05 17:45,197.11,197.41,197.07,197.38,265661
2024-11-05 17:50,197.39,197.42,197.05,197.18,227870
2024-11-05 17:55,197.19,197.24,196.92,197.18,252854
2024-11-05 18:00,197.18,197.34,196.95,197.3,177443
2024-11-05 18:05,197.3,197.92,197.23,197.91,441077
2024-11-05 18:10,197.91,197.91,197.64,197.75,266202
2024-11-05 18:15,197.76,197.79,197.64,197.79,260024
2024-11-05 18:20,197.79,198.11,197.71,198.07,515294
2024-11-05 18:25,198.09,198.16,197.99,198.07,325612
2024-11-05 18:30,198.07,198.66,198.07,198.59,496276
2024-11-05 18:35,198.59,198.71,198.45,198.61,307012
2024-11-05 18:40,198.64,198.64,198.34,198.47,236252
2024-11-05 18:45,198.48,198.65,198.38,198.48,231109
2024-11-05 18:50,198.49,198.58,198.3,198.54,217782
2024-11-05 18:55,198.52,198.65,198.45,198.57,368618
2024-11-05 19:00,198.59,198.86,198.51,198.85,321885
2024-11-05 19:05,198.84,198.95,198.79,198.93,221678
2024-11-05 19:10,198.95,199.1,198.82,199.04,492987
2024-11-05 19:15,199.04,199.13,198.91,199.03,236914
2024-11-05 19:20,199.04,199.21,198.92,199.18,363162
2024-11-05 19:25,199.18,199.29,199.11,199.17,311613
2024-11-05 19:30,199.17,199.5,199.17,199.22,349321
2024-11-05 19:35,199.22,199.35,199.1,199.34,328557
2024-11-05 19:40,199.35,199.49,199.32,199.46,231888
2024-11-05 19:45,199.46,199.71,199.45,199.56,432366
2024-11-05 19:50,199.56,199.73,199.48,199.66,324088
2024-11-05 19:55,199.66,199.79,199.63,199.75,360326
2024-11-05 20:00,199.76,199.82,199.69,199.72,451287
2024-11-05 20:05,199.72,199.74,199.36,199.45,332654
2024-11-05 20:10,199.45,199.63,199.05,199.12,328844
2024-11-05 20:15,199.09,199.35,199.01,199.01,306359
2024-11-05 20:20,199.01,199.18,198.96,199.12,300376
2024-11-05 20:25,199.11,199.17,198.88,198.88,267617
2024-11-05 20:30,198.85,199.13,198.84,198.92,286516
2024-11-05 20:35,198.93,198.98,198.62,198.8,289022
2024-11-05 20:40,198.82,198.94,198.74,198.8,268580
2024-11-05 20:45,198.82,198.93,198.74,198.91,222143
2024-11-05 20:50,198.9,199.16,198.84,199.16,245061
2024-11-05 20:55,199.17,199.2,199.06,199.15,219918
2024-11-05 21:00,199.14,199.24,199.04,199.08,156958
2024-11-05 21:05,199.08,199.18,198.99,199.13,174964
2024-11-05 21:10,199.14,199.34,199.09,199.28,258149
2024-11-05 21:15,199.26,199.45,199.26,199.32,233538
2024-11-05 21:20,199.31,199.32,198.78,198.86,243952
2024-11-05 21:25,198.89,199.23,198.78,199.0,291160
2024-11-05 21:30,199.02,199.11,198.87,199.05,187107
2024-11-05 21:35,199.06,199.1,198.93,199.07,237908
2024-11-05 21:40,199.08,199.35,199.04,199.35,245888
2024-11-05 21:45,199.36,199.39,199.22,199.26,226780
2024-11-05 21:50,199.26,199.28,199.06,199.07,225482
2024-11-05 21:55,199.08,199.15,198.88,198.94,207205
2024-11-05 22:00,198.93,199.15,198.87,198.98,163895
2024-11-05 22:05,198.98,199.24,198.98,199.2,204804
2024-11-05 22:10,199.19,199.22,199.06,199.15,210644
2024-11-05 22:15,199.15,199.18,199.06,199.12,205829
2024-11-05 22:20,199.12,199.13,199.02,199.04,190808
2024-11-05 22:25,199.04,199.14,198.95,199.12,226478
2024-11-05 22:30,199.12,199.33,199.08,199.23,302175
2024-11-05 22:35,199.23,199.31,199.09,199.11,276359
2024-11-05 22:40,199.1,199.12,198.96,199.03,359917
2024-11-05 22:45,199.01,199.15,198.98,199.08,308165
2024-11-05 22:50,199.05,199.16,198.95,199.05,533372
2024-11-05 22:55,199.03,199.51,199.03,199.51,1423101
2024-11-06 16:30,200.15,201.0,199.14,199.96,6439700
2024-11-06 16:35,199.99,201.45,199.82,200.58,2258070
2024-11-06 16:40,200.6,201.15,200.15,201.03,1599360
2024-11-06 16:45,201.03,201.36,199.82,200.01,1509018
2024-11-06 16:50,200.05,200.48,199.8,200.33,1035435
2024-11-06 16:55,200.37,200.95,200.27,200.94,940878
2024-11-06 17:00,200.96,201.62,200.52,201.52,1241542
2024-11-06 17:05,201.52,202.36,201.11,202.35,1585518
2024-11-06 17:10,202.34,202.65,202.01,202.52,1341615
2024-11-06 17:15,202.48,203.9,202.46,203.76,1723278
2024-11-06 17:20,203.77,204.97,203.67,204.89,1631239
2024-11-06 17:25,204.91,205.26,204.65,204.92,2396893
2024-11-06 17:30,204.96,206.08,204.96,205.68,1922920
2024-11-06 17:35,205.68,205.87,204.9,205.0,1447886
2024-11-06 17:40,205.0,205.07,204.37,204.56,1028599
2024-11-06 17:45,204.55,204.83,204.31,204.71,791198
2024-11-06 17:50,204.71,204.82,203.94,204.18,662065
2024-11-06 17:55,204.18,204.39,203.76,203.86,751915
2024-11-06 18:00,203.87,203.88,203.5,203.73,635771
2024-11-06 18:05,203.74,204.04,203.63,203.88,638455
2024-11-06 18:10,203.88,204.21,203.48,204.21,768723
2024-11-06 18:15,204.21,204.42,203.68,203.74,569035
2024-11-06 18:20,203.72,203.92,203.33,203.89,503604
2024-11-06 18:25,203.86,204.52,203.71,204.4,605821
2024-11-06 18:30,204.41,205.24,204.38,205.12,949219
2024-11-06 18:35,205.1,205.59,205.06,205.45,729137
2024-11-06 18:40,205.47,205.49,204.98,205.15,482944
2024-11-06 18:45,205.13,205.52,204.99,205.52,376311
2024-11-06 18:50,205.52,205.75,205.33,205.45,590075
2024-11-06 18:55,205.47,205.57,205.33,205.57,334461
2024-11-06 19:00,205.57,206.1,205.48,205.88,715542
2024-11-06 19:05,205.9,206.02,205.6,205.88,424858
2024-11-06 19:10,205.9,206.26,205.84,206.13,597344
2024-11-06 19:15,206.12,206.12,205.85,206.04,411973
2024-11-06 19:20,206.06,206.17,205.9,205.93,421262
2024-11-06 19:25,205.93,206.12,205.59,205.99,441178
2024-11-06 19:30,206.0,206.22,205.53,205.54,511845
2024-11-06 19:35,205.54,205.74,205.12,205.24,484594
2024-11-06 19:40,205.24,205.54,205.05,205.15,456690
2024-11-06 19:45,205.18,205.78,205.18,205.69,530058
2024-11-06 19:50,205.7,206.08,205.41,206.0,393459
2024-11-06 19:55,206.0,206.1,205.85,205.95,317093
2024-11-06 20:00,205.93,206.07,205.66,205.77,286359
2024-11-06 20:05,205.78,205.87,205.51,205.86,308921
2024-11-06 20:10,205.86,205.99,205.55,205.69,329865
2024-11-06 20:15,205.69,206.0,205.63,205.98,325233
2024-11-06 20:20,205.97,206.04,205.27,205.27,324310
2024-11-06 20:25,205.28,205.7,205.22,205.67,330583
2024-11-06 20:30,205.68,205.74,205.24,205.4,268023
2024-11-06 20:35,205.4,205.49,205.17,205.39,245343
2024-11-06 20:40,205.38,205.66,205.3,205.49,255058
2024-11-06 20:45,205.49,205.65,205.45,205.53,247433
2024-11-06 20:50,205.56,205.68,205.3,205.46,258496
2024-11-06 20:55,205.41,205.56,205.22,205.38,315924
2024-11-06 21:00,205.37,205.47,205.08,205.18,328148
2024-11-06 21:05,205.18,205.55,205.1,205.51,300868
2024-11-06 21:10,205.51,205.85,205.44,205.69,1257368
2024-11-06 21:15,205.7,205.71,205.46,205.52,239372
2024-11-06 21:20,205.52,205.68,205.3,205.32,274188
2024-11-06 21:25,205.33,205.43,205.2,205.34,307385
2024-11-06 21:30,205.33,205.38,205.18,205.18,473662
2024-11-06 21:35,205.18,205.18,204.71,204.77,410029
2024-11-06 21:40,204.79,204.83,204.45,204.72,441195
2024-11-06 21:45,204.74,205.01,204.74,204.89,317625
2024-11-06 21:50,204.9,204.97,204.71,204.81,245786
2024-11-06 21:55,204.8,205.18,204.72,205.1,353376
2024-11-06 22:00,205.11,205.57,205.05,205.31,405097
2024-11-06 22:05,205.31,205.61,205.3,205.45,337970
2024-11-06 22:10,205.45,205.64,205.33,205.54,333469
2024-11-06 22:15,205.54,205.59,205.21,205.5,311847
2024-11-06 22:20,205.49,205.59,204.9,204.96,340906
2024-11-06 22:25,204.96,205.15,204.93,205.05,354779
2024-11-06 22:30,205.06,205.57,205.01,205.44,407509
2024-11-06 22:35,205.44,205.45,205.13,205.13,502932
2024-11-06 22:40,205.15,205.49,205.06,205.49,392377
2024-11-06 22:45,205.48,205.83,205.41,205.83,519008
2024-11-06 22:50,205.83,205.98,205.15,205.95,1178391
2024-11-06 22:55,205.92,207.45,205.91,207.1,4791019
2024-11-07 16:30,207.41,208.48,207.19,208.46,3052789
2024-11-07 16:35,208.47,209.29,208.02,209.24,1225103
2024-11-07 16:40,209.24,209.79,209.18,209.65,1300091
2024-11-07 16:45,209.65,210.18,209.38,210.05,1744015
2024-11-07 16:50,210.03,210.7,209.81,209.91,1637118
2024-11-07 16:55,209.89,210.73,209.81,210.72,1075808
2024-11-07 17:00,210.73,211.4,210.68,211.05,1584019
2024-11-07 17:05,211.06,211.88,211.01,211.86,873042
2024-11-07 17:10,211.85,212.25,211.64,211.77,1150731
2024-11-07 17:15,211.78,211.96,211.29,211.8,1028877
2024-11-07 17:20,211.79,211.8,210.59,210.91,1070457
2024-11-07 17:25,210.95,210.95,210.52,210.69,966915
2024-11-07 17:30,210.7,210.92,210.25,210.3,620982
2024-11-07 17:35,210.3,210.98,210.27,210.6,739760
2024-11-07 17:40,210.59,211.39,210.35,211.25,1757810
2024-11-07 17:45,211.25,211.82,211.18,211.35,731707
2024-11-07 17:50,211.35,211.42,210.93,211.23,712105
2024-11-07 17:55,211.23,211.65,211.09,211.21,440188
2024-11-07 18:00,211.26,211.37,210.76,210.94,418427
2024-11-07 18:05,210.95,210.99,210.72,210.82,311175
2024-11-07 18:10,210.81,210.87,210.52,210.73,380433
2024-11-07 18:15,210.72,210.9,210.63,210.83,328778
2024-11-07 18:20,210.82,210.98,210.62,210.83,371754
2024-11-07 18:25,210.82,211.03,210.67,210.97,407690
2024-11-07 18:30,210.97,211.07,210.82,211.0,302972
2024-11-07 18:35,210.99,211.07,210.85,210.98,250024
2024-11-07 18:40,210.98,211.06,210.85,211.01,244828
2024-11-07 18:45,211.03,211.2,210.64,210.98,398838
2024-11-07 18:50,210.98,211.0,210.84,210.94,285025
2024-11-07 18:55,210.96,211.09,210.87,211.04,246023
2024-11-07 19:00,211.02,211.02,210.45,210.51,319357
2024-11-07 19:05,210.52,210.59,210.12,210.23,418668
2024-11-07 19:10,210.22,210.69,210.2,210.55,351445
2024-11-07 19:15,210.54,210.66,210.25,210.25,242464
2024-11-07 19:20,210.23,210.28,209.7,209.71,437073
2024-11-07 19:25,209.71,209.85,209.57,209.69,364855
2024-11-07 19:30,209.69,209.78,209.43,209.54,314448
2024-11-07 19:35,209.54,209.9,209.54,209.81,333991
2024-11-07 19:40,209.81,210.2,209.75,210.15,287667
2024-11-07 19:45,210.13,210.3,210.09,210.18,289415
2024-11-07 19:50,210.18,210.2,210.04,210.15,203145
2024-11-07 19:55,210.14,210.2,210.03,210.15,200025
2024-11-07 20:00,210.17,210.26,210.07,210.11,229173
2024-11-07 20:05,210.1,210.18,209.85,209.9,280838
2024-11-07 20:10,209.91,209.99,209.78,209.8,267458
2024-11-07 20:15,209.81,209.96,209.74,209.93,240423
2024-11-07 20:20,209.96,210.07,209.85,209.87,205243
2024-11-07 20:25,209.87,209.95,209.8,209.81,148549
2024-11-07 20:30,209.8,209.82,209.59,209.7,191055
2024-11-07 20:35,209.7,209.88,209.7,209.86,187480
2024-11-07 20:40,209.86,209.88,209.41,209.43,276542
2024-11-07 20:45,209.45,209.47,209.31,209.38,243553
2024-11-07 20:50,209.38,209.74,209.35,209.69,295244
2024-11-07 20:55,209.72,209.81,209.67,209.76,393630
2024-11-07 21:00,209.78,210.03,209.5,209.76,347200
2024-11-07 21:05,209.76,209.85,209.74,209.84,272059
2024-11-07 21:10,209.84,209.88,209.68,209.73,332326
2024-11-07 21:15,209.73,209.8,209.59,209.63,268580
2024-11-07 21:20,209.63,209.68,209.5,209.57,206151
2024-11-07 21:25,209.56,209.7,209.51,209.55,213662
2024-11-07 21:30,209.54,209.65,209.25,209.61,456291
2024-11-07 21:35,209.63,210.06,209.62,209.87,434528
2024-11-07 21:40,209.88,209.92,209.21,209.49,493455
2024-11-07 21:45,209.47,209.67,209.21,209.64,434419
2024-11-07 21:50,209.64,209.81,209.37,209.43,378977
2024-11-07 21:55,209.43,209.99,209.43,209.98,302845
2024-11-07 22:00,209.97,210.12,209.82,210.07,371513
2024-11-07 22:05,210.06,210.2,209.87,210.12,341178
