Datetime,Open,High,Low,Close,Volume
2024-11-04 16:30,170.03,170.73,168.93,168.95,2126623
2024-11-04 16:35,168.97,169.12,168.09,168.16,764968
2024-11-04 16:40,168.11,169.54,168.1,169.47,666540
2024-11-04 16:45,169.44,169.72,169.38,169.4,286587
2024-11-04 16:50,169.4,169.59,168.74,168.8,327945
2024-11-04 16:55,168.79,169.24,168.71,169.22,324539
2024-11-04 17:00,169.22,169.48,169.01,169.35,237769
2024-11-04 17:05,169.37,169.41,169.03,169.08,203554
2024-11-04 17:10,169.07,169.36,169.07,169.19,134186
2024-11-04 17:15,169.21,169.3,169.01,169.28,180814
2024-11-04 17:20,169.29,169.79,169.29,169.77,254425
2024-11-04 17:25,169.79,169.8,169.35,169.47,167532
2024-11-04 17:30,169.48,169.68,169.35,169.67,185222
2024-11-04 17:35,169.69,169.69,169.43,169.49,135888
2024-11-04 17:40,169.52,169.63,169.4,169.58,133508
2024-11-04 17:45,169.59,169.76,169.46,169.75,155899
2024-11-04 17:50,169.76,169.77,169.58,169.59,135928
2024-11-04 17:55,169.6,169.67,169.51,169.51,123454
2024-11-04 18:00,169.52,169.75,169.5,169.59,133113
2024-11-04 18:05,169.55,169.6,169.2,169.24,200628
2024-11-04 18:10,169.24,169.58,169.24,169.49,195349
2024-11-04 18:15,169.5,169.57,169.04,169.11,263092
2024-11-04 18:20,169.1,169.21,169.04,169.15,196222
2024-11-04 18:25,169.16,169.3,168.91,168.98,232995
2024-11-04 18:30,168.97,169.08,168.73,168.73,176795
2024-11-04 18:35,168.74,168.83,168.61,168.64,163354
2024-11-04 18:40,168.63,168.65,168.46,168.55,207755
2024-11-04 18:45,168.55,168.55,168.16,168.16,258712
2024-11-04 18:50,168.14,168.26,168.06,168.24,158298
2024-11-04 18:55,168.25,168.38,168.01,168.33,191143
2024-11-04 19:00,168.33,168.5,168.33,168.37,140196
2024-11-04 19:05,168.38,168.42,168.07,168.1,138142
2024-11-04 19:10,168.1,168.4,168.1,168.29,191818
2024-11-04 19:15,168.29,168.33,168.17,168.29,127395
2024-11-04 19:20,168.27,168.57,168.26,168.44,227833
2024-11-04 19:25,168.46,168.81,168.43,168.77,121961
2024-11-04 19:30,168.76,168.85,168.64,168.71,122946
2024-11-04 19:35,168.71,168.92,168.7,168.73,96088
2024-11-04 19:40,168.73,168.8,168.64,168.76,106557
2024-11-04 19:45,168.77,169.04,168.75,169.04,143001
2024-11-04 19:50,169.02,169.08,168.9,169.07,103664
2024-11-04 19:55,169.08,169.29,169.0,169.25,160962
