date,Open,Close,High,Low,Volume
2025-02-03,228.8371,228.76,234.73,225.4179,25552043
2025-02-04,225.7113,226.11,230.3053,224.84,14615021
2025-02-05,228.0061,226.72,231.55,223.81,11544240
2025-02-06,229.8935,230.07,232.5444,229.1875,9100395
2025-02-07,232.156,231.25,232.7433,227.8895,10100944
2025-02-10,228.8069,228.23,229.5985,226.48,8216798
2025-02-11,230.1113,225.12,236.52,225.03,19417018
2025-02-12,230.2507,230.07,233.8353,229.52,14344954
2025-02-13,237.3004,236.12,238.4853,231.76,12848394
2025-02-14,241.6418,239.79,244.0016,239.41,14261672
2025-02-18,242.7122,243.7,244.83,240.34,12384420
2025-02-19,243.5038,243.07,244.9575,232.22,9858605
2025-02-20,244.6688,242.74,245.7242,242.46,8581411
2025-02-21,245.1579,244.84,245.8835,243.79,10000604
2025-02-24,245.0123,243.32,247.7953,240.52,16977555
2025-02-25,246.9383,246.1,248.4525,243.42,15340542
2025-02-26,242.4135,244.4,246.19,240.3872,14476205
2025-02-27,240.5664,238.02,243.76,237.4498,13275969
2025-02-28,234.5672,235.74,243.42,229.2152,11444711
2025-03-03,242.1894,240.46,242.9832,238.799,12194653
2025-03-04,236.6632,236.68,238.83,235.3289,15697859
2025-03-05,234.1141,235.27,238.7,229.5338,13519090
2025-03-06,233.3076,232.84,236.8424,232.26,11118537
2025-03-07,235.0501,233.41,239.1326,233.15,12080445
2025-03-10,231.356,235.43,238.05,224.4058,21983396
2025-03-11,223.3653,224.52,227.25,219.0688,21437172
2025-03-12,219.4934,220.77,221.5,215.0759,18771407
2025-03-13,213.9607,214.99,216.05,212.736,14737474
2025-03-14,212.487,210.4,240.81,208.6834,18310746
2025-03-17,212.5269,212.9,214.0503,210.4035,12309717
2025-03-18,213.194,212.52,214.2295,212.039,12232732
2025-03-19,214.0901,212.43,217.8241,211.5,13793148
2025-03-20,213.2056,213.82,216.5594,211.9892,9947980
2025-03-21,211.7631,209.95,213.6222,209.84,22935847
2025-03-24,217.8739,219.56,220.0844,216.79,11036234
2025-03-25,219.3874,220.41,222.7928,219.1,10603861
2025-03-26,223.0467,223.54,237.05,211.58,9795555
2025-03-27,220.2852,220.66,221.6078,219.49,7196088
2025-03-28,220.8611,220.85,223.08,218.6804,11304556
2025-03-31,216.1986,216.18,218.7501,213.98,15755931
2025-04-01,218.9742,219.29,222.4343,217.9635,11493989
2025-04-02,220.881,220.5,223.4997,219.94,7891903
2025-04-03,206.0348,206.13,222.93,201.6536,38374742
2025-04-04,196.0029,193.89,205.37,189.52,42845100
2025-04-07,175.8146,182.19,193.3194,173.65,69300496
2025-04-08,185.503,184.67,191.99,174.39,30510667
2025-04-09,174.0621,171.27,187.62,167.28,40768922
2025-04-10,191.4325,189.9,198.0,188.1815,30233395
2025-04-11,187.4596,187.49,194.18,185.264,21809233
2025-04-14,207.7376,209.74,212.029,197.3,43798151
2025-04-15,201.6808,199.88,203.21,197.7,16719863
2025-04-16,198.4026,198.57,201.6,195.1615,17200792
2025-04-17,194.2355,196.4,212.05,193.44,15671764
2025-04-21,192.6622,191.13,212.28,190.4517,10877334
2025-04-22,196.0128,194.35,198.537,192.33,10864287
2025-04-23,204.7558,205.99,207.1101,179.23,17700306
2025-04-24,203.5753,203.35,205.7759,200.64,10709147
2025-04-25,206.672,204.64,208.3547,204.12,10586621
2025-04-28,208.7332,209.15,210.5952,205.55,11239471
2025-04-29,208.315,208.7,211.332,207.4786,10812588
2025-04-30,208.0461,206.7,210.44,204.11,9430910
2025-05-01,209.9977,208.22,212.1784,192.33,14068379
2025-05-02,202.3701,206.56,235.34,201.2951,35469757
2025-05-05,201.9822,202.38,204.47,190.4,21974569
2025-05-06,198.6068,196.94,204.47,196.1771,15030424
2025-05-07,197.7205,199.22,200.59,196.5057,12219141
2025-05-08,196.207,196.68,198.4,193.12,13385798
2025-05-09,199.2887,197.77,199.682,196.16,12143714
2025-05-12,208.2629,210.64,212.79,197.92,27094358
2025-05-13,210.5957,210.17,211.2338,208.29,17890125
2025-05-14,212.131,211.61,213.2875,210.88,14443902
2025-05-15,211.1042,209.22,211.8818,206.72,12370180
2025-05-16,211.2437,211.25,211.9217,209.1302,18048475
2025-05-19,205.1317,207.48,210.62,203.637,17996226
2025-05-20,206.0696,207.04,211.18,205.8403,10852280
2025-05-21,203.6869,205.35,206.23,203.4376,10998612
2025-05-22,199.3501,201.02,202.32,199.0909,16244231
2025-05-23,195.9007,194.31,201.86,192.54,31605032
2025-05-27,197.4699,197.93,199.16,193.1,16501890
2025-05-28,201.7727,200.52,220.17,197.83,13991764
2025-05-29,202.5404,203.22,207.27,199.81,15354169
2025-05-30,198.3631,198.04,199.84,192.57,10707089
2025-06-02,201.1097,199.09,201.5135,197.91,11197432
2025-06-03,200.4894,201.28,202.6201,200.14,12583046
2025-06-04,202.4108,201.8,205.611,200.35,14722828
2025-06-05,202.6774,203.13,203.58,200.6561,13215459
2025-06-06,204.3964,201.84,205.0726,199.52,13307949
2025-06-09,204.2152,204.17,205.3717,203.3,12906824
2025-06-10,201.5205,200.77,203.7267,199.89,16634416
2025-06-11,203.3628,202.79,204.26,201.28,13360770
2025-06-12,197.436,198.84,198.99,196.7582,12844577
2025-06-13,198.2934,199.39,199.7589,195.1,17962444
2025-06-16,196.3543,197.1,198.079,195.36,12924066
2025-06-17,196.459,196.9,197.81,195.6564,9631368
2025-06-18,194.6345,195.43,196.9674,194.475,10241949
2025-06-20,198.8026,196.77,200.3371,195.1,28983117
2025-06-23,199.6691,200.95,201.683,197.49,14258216
2025-06-24,201.6232,203.18,204.36,199.5894,14804508
2025-06-25,202.2528,200.78,203.0488,199.19,13892643
2025-06-26,200.9702,200.67,202.13,199.0411,14870941
2025-06-27,202.2212,201.11,202.6002,200.2374,15205577
2025-06-30,200.2823,201.25,202.13,198.9813,14396601
2025-07-01,206.4085,206.66,215.12,203.79,34180102
2025-07-02,209.0106,209.06,212.6893,207.19,29216236
2025-07-03,211.3534,211.13,213.756,209.17,17163441
2025-07-07,213.7512,211.71,215.5705,210.78,15870863
2025-07-08,208.7115,209.52,210.187,207.8142,12331575
2025-07-09,209.9377,208.7,210.2568,206.8173,13208817
2025-07-10,209.7134,209.42,212.8289,208.96,15143587
2025-07-11,210.0773,210.33,211.76,200.39,10527297
2025-07-14,209.0704,208.83,210.52,206.907,13488239
2025-07-15,209.7782,208.66,210.4861,207.46,11854070
2025-07-16,210.1471,209.4,211.7522,208.36,15048035
2025-07-17,209.8879,210.36,210.48,208.9508,10316828
2025-07-18,209.6785,209.95,210.3664,208.86,18122459
2025-07-21,212.2599,211.79,215.1219,210.54,24056529
2025-07-22,211.8319,212.45,213.3772,211.5828,15250089
2025-07-23,213.8559,214.89,215.13,211.7621,15642422
