date,Open,Close,High,Low,Volume
2025-02-03,236.06,234.4,238.3,228.83,16044483
2025-02-04,238.585,238.48,242.33,235.05,9216373
2025-02-05,236.94,238.68,242.07,235.5,14490160
2025-02-06,237.925,237.99,239.5,236.17,11901075
2025-02-07,233.14,232.78,238.83,228.5,33143526
2025-02-10,230.76,230.2,239.73,223.16,13862356
2025-02-11,232.5,231.31,237.41,231.07,3932014
2025-02-12,232.82,229.75,233.0,228.19,5084141
2025-02-13,229.3,229.05,230.3231,228.0,4528212
2025-02-14,230.16,229.5,231.24,227.23,4837633
2025-02-15,228.58,228.59,228.6,228.5,13695
2025-02-18,228.7,229.72,230.37,225.02,11522797
2025-02-19,226.49,225.75,242.06,223.71,4572030
2025-02-20,225.92,224.89,233.92,216.96,5314603
2025-02-21,223.33,223.74,224.0,218.07,8419505
2025-02-22,216.6,216.58,216.8,216.5,29626
2025-02-24,216.0199,217.94,218.55,212.72,12882601
2025-02-25,212.55,212.44,226.65,206.1598,12659655
2025-02-26,213.7,214.39,218.16,212.8,8058847
2025-02-27,214.2,217.38,218.64,204.84,6580236
2025-02-28,209.1,209.05,210.68,207.92,6032299
2025-03-01,212.65,212.62,212.75,212.55,21756
2025-03-03,213.635,213.99,214.42,201.99,10300464
2025-03-04,205.15,202.18,205.89,197.432,12027524
2025-03-05,205.69,204.94,206.84,198.02,5241420
2025-03-06,208.26,204.14,209.38,203.3,5663709
2025-03-07,201.0,199.81,201.85,196.515,8740188
2025-03-08,199.06,199.05,199.1,199.0,14030
2025-03-10,195.75,194.92,214.35,190.88,17255119
2025-03-11,191.34,194.38,200.18,190.79,9236753
2025-03-12,197.01,201.02,201.66,196.46,6936437
2025-03-13,199.6,197.89,199.89,193.85,7009869
2025-03-14,194.88,197.15,212.28,193.89,5574787
2025-03-15,197.89,198.0,198.06,197.85,20811
2025-03-17,198.2,199.32,199.88,195.25,13063708
2025-03-18,196.05,193.3,196.44,190.34,6539515
2025-03-19,192.82,193.7,194.29,192.31,4339547
2025-03-20,196.1,194.6,199.32,193.56,6702191
2025-03-21,194.85,193.2,195.74,192.95,4919800
2025-03-22,196.4,196.65,196.7,196.21,28378
2025-03-24,200.4,200.23,203.3,196.21,13810133
2025-03-25,203.2,203.75,206.21,202.3,5722748
2025-03-26,206.02,206.35,207.0,196.43,4941460
2025-03-27,199.7,200.37,203.6,199.55,4774338
2025-03-28,200.5,199.19,201.36,193.91,9235955
2025-03-29,192.32,192.65,192.69,192.25,39426
2025-03-31,185.805,189.3,192.72,184.4,21621066
2025-04-01,189.35,188.49,191.12,188.06,5614969
2025-04-02,193.05,189.0,193.1,188.55,4468056
2025-04-03,183.9,181.4,230.21,176.92,24345461
2025-04-04,178.3,168.55,178.79,163.23,27067530
2025-04-05,170.0,170.2,171.0,169.77,83093
2025-04-07,165.5,168.03,183.4099,158.88,47946676
2025-04-08,178.79,182.88,184.9099,162.19,12693320
2025-04-09,167.06,170.05,175.52,166.0,13529699
2025-04-10,192.5,186.42,192.75,180.94,9087727
2025-04-11,179.8,180.0,184.4,178.0,7983406
2025-04-12,184.78,184.98,185.09,184.7,17412
2025-04-14,186.5076,187.48,188.49,182.62,16341855
2025-04-15,181.67,181.63,191.1,179.45,7286240
2025-04-16,177.76,177.16,180.49,175.58,5795212
2025-04-17,174.38,176.22,177.04,172.6,5894287
2025-04-18,173.1,173.13,173.15,173.0,20884
2025-04-21,169.02,169.31,173.21,165.85,14954222
2025-04-22,166.84,170.5,173.03,166.84,7862251
2025-04-23,179.29,182.62,187.38,169.63,11993679
2025-04-24,180.88,181.54,184.52,178.27,8361301
2025-04-25,189.77,186.79,190.75,180.6,5850624
2025-04-26,188.95,189.1,189.24,188.9,13149
2025-04-28,188.182,190.0,190.5,181.88,9963241
2025-04-29,187.51,184.63,189.15,183.71,10330246
2025-04-30,186.29,182.93,187.4,178.85,8614139
2025-05-01,190.64,189.93,192.27,167.32,8690299
2025-05-02,185.2,192.51,193.2,184.1,16529968
2025-05-03,189.9,189.9,189.95,189.89,39148
2025-05-05,187.665,187.15,189.98,166.01,11452877
2025-05-06,186.08,184.37,187.13,184.1,4571412
2025-05-07,187.41,186.26,190.99,185.01,9438910
2025-05-08,189.44,191.54,192.85,186.8,5146834
2025-05-09,191.92,192.85,193.98,185.01,6956696
2025-05-10,193.14,193.2,193.24,193.05,23388
2025-05-12,208.8,210.04,211.66,193.06,36025876
2025-05-13,208.69,211.4,214.84,206.73,10473460
2025-05-14,210.58,211.46,212.18,210.09,5122964
2025-05-15,209.15,207.95,210.25,187.06,11852250
2025-05-16,204.9,206.0,206.6,204.62,5945202
2025-05-17,202.5,202.05,202.5,202.0,56982
2025-05-19,202.265,201.79,206.62,200.73,11513941
2025-05-20,206.47,204.9,212.62,203.72,4389296
2025-05-21,203.77,201.88,204.07,200.25,7795066
2025-05-22,200.94,202.08,203.52,200.4,5127636
2025-05-23,202.86,196.79,203.63,196.33,5761556
2025-05-24,200.42,200.34,200.46,200.23,14484
2025-05-27,203.29,203.8,205.36,198.27,10904060
2025-05-28,205.98,206.12,206.44,205.03,4775010
2025-05-29,210.7,207.91,211.95,204.72,5691236
2025-05-30,205.01,203.92,206.74,167.32,3917513
2025-05-31,204.51,204.65,204.7,204.5,13885
2025-06-02,205.675,204.17,206.22,202.68,9116157
2025-06-03,206.98,206.7,208.32,205.39,4873914
2025-06-04,205.9,205.88,207.2,204.86,4646062
2025-06-05,207.2,209.81,211.49,207.01,8451481
2025-06-06,207.8,212.15,213.31,207.7,6636155
2025-06-07,213.56,213.75,213.75,213.53,20663
2025-06-09,213.43,214.8,215.2574,212.88,11261293
2025-06-10,217.3,217.2,218.78,215.52,4419386
2025-06-11,217.66,218.0,219.16,216.3,5175090
