date,Open,Close,High,Low,Volume
2025-02-03,213.7876,212.75,219.27,208.31,9890475
2025-02-04,216.0272,214.85,221.0117,213.05,6044909
2025-02-05,227.8938,229.85,231.8229,220.41,8463300
2025-02-06,229.9798,232.62,234.84,227.3742,5710120
2025-02-07,231.4266,230.69,233.5175,224.6871,6613200
2025-02-10,226.1734,226.77,232.82,222.84,6427240
2025-02-11,229.0736,230.14,232.91,205.12,3844098
2025-02-12,231.1689,229.4,234.37,227.9186,4730963
2025-02-13,233.1112,233.14,235.65,218.83,5220560
2025-02-14,227.7898,233.02,234.33,226.8285,5645878
2025-02-18,227.1258,230.38,232.87,222.2703,9459938
2025-02-19,226.3083,224.29,229.27,220.42,4710671
2025-02-20,225.7088,225.72,226.9078,220.7342,4305997
2025-02-21,222.9093,224.48,226.54,220.9423,4324889
2025-02-24,216.6713,218.4,218.69,209.2293,7224098
2025-02-25,204.6709,206.28,207.89,199.2208,9006709
2025-02-26,205.0722,205.66,209.1995,200.71,5604475
2025-02-27,214.1444,214.54,217.2659,203.4917,6881094
2025-02-28,192.7894,195.06,226.46,191.4021,11389188
2025-03-03,197.2189,202.55,203.14,189.2715,10341182
2025-03-04,185.5208,184.61,188.2806,178.8467,11940701
2025-03-05,186.9947,187.74,191.7291,185.78,7148409
2025-03-06,178.0787,180.4,189.85,176.0027,14790722
2025-03-07,187.795,192.24,202.52,177.83,28515325
2025-03-10,188.2013,185.99,193.2,180.2638,13195567
2025-03-11,184.3812,183.2,190.758,181.15,12607427
2025-03-12,196.1784,196.41,198.1703,187.8,11056720
2025-03-13,193.1214,191.73,194.5434,188.78,6807352
2025-03-14,194.9497,194.37,197.63,189.63,6769672
2025-03-17,191.6795,195.07,195.71,185.8032,8626690
2025-03-18,188.89,188.38,192.74,186.7446,7648765
2025-03-19,186.3086,187.14,188.6503,185.2086,3946147
2025-03-20,191.3089,192.35,196.28,188.31,5919966
2025-03-21,187.3228,186.81,190.5534,186.2493,8445906
2025-03-24,193.9828,193.68,195.5136,190.51,6201970
2025-03-25,189.46,189.53,190.76,187.6807,4743822
2025-03-26,186.5376,185.86,192.69,181.5277,8219073
2025-03-27,175.4294,176.81,178.35,171.677,9214433
2025-03-28,171.1104,169.45,172.2635,167.5916,7811490
2025-03-31,160.3452,164.01,168.53,159.6593,9997295
2025-04-01,165.2308,166.65,168.49,162.4426,5773513
2025-04-02,165.3998,166.25,168.9832,164.5101,4165418
2025-04-03,161.5678,158.26,238.96,157.5719,10398800
2025-04-04,145.3057,147.19,154.06,138.3377,19722623
2025-04-07,140.5294,144.03,159.4704,131.71,21926479
2025-04-08,165.8107,161.68,168.7645,137.54,18645411
2025-04-09,157.7408,157.06,162.5519,148.61,11346158
2025-04-10,174.8678,176.14,184.04,171.5179,11543233
2025-04-11,173.1481,172.61,179.0228,168.53,9865867
2025-04-14,182.154,184.8,186.02,177.6113,8830327
2025-04-15,177.9095,177.28,184.4,175.61,4983522
2025-04-16,172.174,171.16,177.88,167.1,6843793
2025-04-17,173.009,175.24,177.81,169.679,5859563
2025-04-21,166.4037,165.9,169.97,162.5221,4335242
2025-04-22,164.7189,167.54,168.73,164.2347,4186922
2025-04-23,177.2783,177.24,179.2812,153.22,7591269
2025-04-24,178.7146,176.48,183.5336,171.99,6059379
2025-04-25,187.8745,184.42,189.8576,183.29,5591278
2025-04-28,189.7731,189.7,191.7178,185.89,4363158
2025-04-29,189.8874,190.33,192.59,188.963,2666413
2025-04-30,185.1907,185.19,190.36,182.9193,4803392
2025-05-01,195.8416,196.02,198.595,191.32,7497244
2025-05-02,201.2292,201.11,203.1675,175.2,4870193
2025-05-05,200.4638,199.76,202.42,198.21,3190909
2025-05-06,196.0205,195.73,199.52,188.95,3821972
2025-05-07,197.9887,200.59,201.93,197.2432,3637362
2025-05-08,204.6287,207.02,209.04,198.54,4003813
2025-05-09,208.3601,208.79,209.43,198.89,3568168
2025-05-12,215.6524,219.2,221.67,206.95,7974628
2025-05-13,223.0777,221.6,229.5288,217.39,8628337
2025-05-14,231.8549,231.58,233.2,226.9842,7417964
2025-05-15,228.3086,226.98,230.73,225.56,4931184
2025-05-16,228.8728,230.51,233.13,225.0359,6380508
2025-05-19,223.8213,219.96,228.4156,218.69,5301099
2025-05-20,227.5806,227.54,231.41,224.9862,3168416
2025-05-21,229.683,228.32,232.0835,226.24,3449347
2025-05-22,226.4872,228.1,230.841,225.37,3472964
2025-05-23,227.4812,222.91,229.75,221.67,3897026
2025-05-27,230.9006,232.33,233.9125,227.35,4643956
2025-05-28,236.0795,236.58,237.07,188.95,4301900
2025-05-29,241.0296,244.61,247.44,235.9801,7320817
2025-05-30,239.0615,239.22,240.85,235.8906,4572266
2025-06-02,245.3735,240.53,248.2164,237.57,6410050
2025-06-03,248.8924,248.46,255.9598,245.66,9935568
2025-06-04,259.4787,256.94,263.8424,255.07,12625575
2025-06-05,259.1506,260.53,263.37,257.5602,10060884
2025-06-06,249.3869,250.84,258.38,246.76,15762769
2025-06-09,241.6758,244.84,247.23,239.6679,8901331
2025-06-10,242.6798,243.24,244.63,240.0158,5813489
2025-06-11,244.0714,244.09,250.5921,241.55,7995704
2025-06-12,251.8396,249.5,256.3475,247.81,7524969
2025-06-13,251.4868,249.89,254.54,246.93,5769057
2025-06-16,250.786,250.15,251.5663,247.21,6553154
2025-06-17,250.4381,248.66,252.441,247.7592,5754698
2025-06-18,248.5594,248.16,254.111,246.52,6026691
2025-06-20,247.8159,250.76,252.5984,243.3621,11506068
2025-06-23,247.6913,247.84,250.0876,246.1,4134252
2025-06-24,264.3507,259.23,264.9035,252.85,9706933
2025-06-25,265.9397,265.77,268.889,262.8,7336532
2025-06-26,264.764,264.88,268.5203,263.1649,6172139
2025-06-27,269.7907,270.31,272.0,267.6834,4361122
2025-06-30,271.4994,273.23,275.6741,268.33,6050556
2025-07-01,271.6489,271.78,275.33,264.4651,7093885
2025-07-02,263.6382,262.37,268.6498,261.74,5406120
2025-07-03,270.812,269.36,274.7974,268.07,3927817
2025-07-07,274.0402,272.89,276.551,271.51,5239718
2025-07-08,272.8595,275.69,275.91,271.5651,4250353
2025-07-09,273.8708,270.66,278.4341,269.02,6286216
2025-07-10,278.2847,278.19,280.1579,271.7087,5306248
2025-07-11,272.5855,272.8,274.46,269.19,4353364
2025-07-14,272.5719,272.23,274.2494,268.6,3515380
2025-07-15,279.0818,279.4,282.3299,274.6,6205425
2025-07-16,276.9894,279.72,279.93,275.2672,3554314
2025-07-17,279.4006,282.58,285.7275,278.63,5152415
2025-07-18,285.7176,285.55,286.93,281.1343,5750201
2025-07-21,284.6217,281.56,289.4838,281.27,5767857
2025-07-22,282.7584,286.26,287.99,275.4251,6472561
2025-07-23,275.2956,273.7,280.93,271.13,5620947
2025-07-24,286.5844,288.14,290.44,249.32,6073059
2025-07-25,287.4064,288.15,290.2411,285.7,2739808
2025-07-28,291.4367,291.41,293.33,282.31,3102526
2025-07-29,299.6169,296.05,301.0915,293.16,6755242
2025-07-30,297.8035,296.48,300.9819,287.66,3961869
2025-07-31,303.6023,304.75,305.88,297.2948,5960849
2025-08-01,285.1863,285.91,293.48,280.5863,7457526
2025-08-04,292.4231,291.34,296.289,287.59,4447988
2025-08-05,296.2991,297.96,300.1051,290.3905,4792521
2025-08-06,293.1156,292.61,295.9303,290.8433,3987788
2025-08-07,304.2898,304.73,309.2119,299.0,6130938
2025-08-08,302.6259,304.0,306.7508,302.0182,3310701
2025-08-11,301.6395,304.13,307.1892,300.1948,3523498
2025-08-12,305.326,306.33,307.3785,302.3,3148216
2025-08-13,315.0356,314.3,316.1964,308.6041,4928719
2025-08-14,308.4845,304.6,313.0231,303.89,4771943
2025-08-15,306.9302,309.9,312.36,296.28,5622811
2025-08-18,304.7481,304.27,306.43,297.9131,5013342
2025-08-19,299.6567,301.53,304.65,294.6749,5689761
2025-08-20,290.8289,293.71,294.4158,280.8453,10550303
2025-08-21,288.622,289.3,293.42,286.5545,3432591
2025-08-22,288.6967,290.85,298.7101,285.96,5715729
2025-08-25,293.2003,291.73,295.6513,290.54,4179728
2025-08-26,295.2627,292.71,297.7138,291.43,4385761
2025-08-27,295.203,297.41,298.46,292.7121,3371859
2025-08-28,305.326,300.98,308.7535,296.71,6329333
2025-08-29,302.8376,306.12,307.67,293.2302,6409045
2025-09-02,288.1487,288.19,296.52,286.1261,7131224
