date,Open,Close,High,Low,Volume
2025-02-03,96.4361,94.63,100.1524,93.15,16610686
2025-02-04,98.8547,98.78,101.2929,95.62,11564883
2025-02-05,98.8936,98.58,100.62,97.59,6836540
2025-02-06,98.8301,99.17,100.05,97.61,5348614
2025-02-07,104.4782,102.59,106.0,98.69,24581335
2025-02-10,105.8841,106.29,108.4501,101.76,17023713
2025-02-11,110.7605,106.11,113.5919,96.9,27631186
2025-02-12,114.5652,113.75,116.6395,110.88,19288750
2025-02-13,114.8602,114.66,125.25,112.8251,17996251
2025-02-14,122.1747,124.23,125.43,117.52,26979802
2025-02-18,126.7955,126.31,129.49,122.63,21168186
2025-02-19,123.9346,123.91,126.21,122.8433,14987326
2025-02-20,137.4724,135.95,142.0735,121.19,67932054
2025-02-21,140.471,138.97,142.8502,133.68,36156644
2025-02-24,131.9029,135.38,141.33,126.2744,42406971
2025-02-25,131.0721,130.76,134.38,126.86,18833724
2025-02-26,136.8825,137.54,140.62,131.75,18244030
2025-02-27,137.0988,136.69,139.7,132.49,11560545
2025-02-28,129.3064,129.3,134.25,127.9458,11865146
2025-03-03,132.1192,132.16,133.7,129.7351,7778057
2025-03-04,127.7344,127.24,130.86,123.9739,11867370
2025-03-05,131.6129,131.33,136.6957,126.3,15411738
2025-03-06,141.0068,140.5,144.3,135.9878,19460426
2025-03-07,139.4092,140.93,147.2,137.59,13270087
2025-03-10,135.1129,133.51,138.25,130.6396,12720353
2025-03-11,134.6213,135.27,138.9496,130.31,13070159
2025-03-12,135.9387,136.6,137.69,133.39,7836794
2025-03-13,134.1199,132.07,136.841,130.84,8036075
2025-03-14,138.0475,139.36,140.1,136.02,8362677
2025-03-17,140.6774,137.25,144.6198,136.61,16165876
2025-03-18,142.5454,143.78,146.25,140.0974,11640798
2025-03-19,141.5721,143.21,144.4,139.478,6691121
2025-03-20,135.7519,135.38,141.68,134.4,11075596
2025-03-21,133.2449,132.11,134.6,131.0525,5015628
2025-03-24,131.8743,134.04,135.55,131.3769,6730647
2025-03-25,131.603,129.93,133.9478,128.37,9045030
2025-03-26,131.0049,131.0,131.5932,128.9191,5149677
2025-03-27,131.5441,131.64,135.339,130.01,8121176
2025-03-28,130.9493,130.96,133.34,129.1845,5569955
2025-03-31,128.1622,127.51,130.44,125.8418,5175352
2025-04-01,130.5707,130.52,132.13,129.7154,4284298
2025-04-02,130.3053,130.48,131.56,127.7393,5384160
2025-04-03,125.7927,123.51,128.4668,122.82,15322972
2025-04-04,115.863,116.6,127.15,109.4238,27910840
