date,Open,Close,High,Low,Volume
2025-02-03,177.25,173.01,177.91,171.0,2739324
2025-02-04,176.475,176.0,179.3,174.585,1429206
2025-02-05,177.22,175.19,180.54,175.02,2449173
2025-02-06,183.35,181.56,185.85,181.08,3227321
2025-02-07,185.18,185.5,186.1087,181.6,1961034
2025-02-10,183.14,182.89,183.55,180.04,1578421
2025-02-11,179.0,180.0,182.08,174.26,1212048
2025-02-12,178.875,179.0,183.9,178.05,1976278
2025-02-13,187.5,185.8,188.24,184.62,2389732
2025-02-14,184.9188,186.39,187.0,183.6,1464261
2025-02-18,184.7339,185.23,188.66,184.22,2497001
2025-02-19,186.09,184.84,187.2299,181.83,3412755
2025-02-20,185.035,185.28,186.15,180.25,3340395
2025-02-21,180.975,181.55,182.2,177.1,2457883
2025-02-24,178.21,177.01,181.66,176.55,1989475
2025-02-25,181.28,180.59,181.88,176.46,2408501
2025-02-26,177.22,178.66,179.79,172.21,2590441
2025-02-27,175.565,173.6,176.84,173.04,1652124
2025-02-28,173.83,174.42,176.3,173.31,1437399
2025-03-03,177.37,176.17,178.4,174.0,1638282
2025-03-04,164.3639,168.02,170.99,156.69,6917426
2025-03-05,159.91,160.2,162.75,158.81,2155727
2025-03-06,160.5,160.6,163.29,158.29,1796224
2025-03-07,157.35,157.9,159.77,149.76,4967980
2025-03-10,147.825,150.95,154.18,147.61,3156581
2025-03-11,147.335,148.5,150.44,145.76,2099353
2025-03-12,158.48,156.35,159.35,149.72,3031700
2025-03-13,160.65,159.56,161.74,157.2,2404585
2025-03-14,159.55,160.97,162.01,158.73,1657870
2025-03-17,161.5895,161.69,162.97,159.8001,1804257
2025-03-18,160.665,161.1,162.6,158.8901,1476169
2025-03-19,170.04,162.42,173.09,160.01,6904306
2025-03-20,171.4889,172.61,175.0,170.31,1425742
2025-03-21,172.37,171.83,182.98,170.77,9418090
2025-03-24,183.8425,182.45,184.4,178.11,4178771
2025-03-25,183.045,181.66,183.7,180.12,2511558
2025-03-26,181.61,182.61,183.2278,161.56,2274519
2025-03-27,178.9599,178.27,182.22,176.0,1953516
2025-03-28,176.465,178.28,179.8,172.61,3407354
2025-03-31,169.39,170.7,173.74,166.792,2272142
2025-04-01,168.385,169.76,170.975,164.2191,3544492
2025-04-02,167.01,166.85,170.38,165.55,2327632
2025-04-03,158.67,159.7,168.56,154.04,5399244
2025-04-04,143.415,143.04,152.41,132.79,9087454
2025-04-07,131.84,133.08,143.9722,127.0,7950456
2025-04-08,145.135,146.2,147.77,132.54,4737041
2025-04-09,139.56,138.0,144.09,134.02,3057407
2025-04-10,156.485,155.6,160.82,153.8,3007036
2025-04-11,153.4416,155.4,157.5,152.0,2834970
2025-04-14,159.76,159.57,162.55,156.84,2199946
2025-04-15,156.8,154.34,160.53,151.7,5274264
2025-04-16,154.5159,154.68,157.616,153.3,1939862
2025-04-17,159.48,156.94,162.2265,156.47,3216881
2025-04-21,157.56,159.21,161.9,156.47,2120154
2025-04-22,162.6,160.36,163.0,158.5,2805162
2025-04-23,175.835,171.25,176.58,162.52,7839807
2025-04-24,169.815,172.01,175.07,169.0,3655637
2025-04-25,179.07,175.61,180.325,175.24,3112250
2025-04-28,182.755,181.84,184.53,137.96,3926802
2025-04-29,183.76,182.45,184.25,181.31,2542812
2025-04-30,179.04,178.75,182.6,177.63,2548891
2025-05-01,182.54,183.35,184.75,182.03,2612342
2025-05-02,185.99,185.06,187.58,182.61,4165505
2025-05-05,185.955,183.87,187.36,157.64,1695757
2025-05-06,185.67,185.15,186.84,183.6325,1492207
2025-05-07,185.43,185.69,187.74,183.5,2010993
2025-05-08,188.265,186.9,194.31,185.39,2207007
2025-05-09,194.89,193.7,195.08,191.43,2602718
2025-05-12,196.83,199.85,203.75,193.06,3901120
2025-05-13,201.64,200.03,204.97,197.2,4976200
2025-05-14,205.725,205.19,209.66,203.42,8014016
2025-05-15,208.245,207.68,208.92,204.72,3524218
2025-05-16,204.97,206.7,207.42,203.02,3539554
2025-05-19,202.99,202.04,205.82,199.74,1914967
2025-05-20,205.72,205.18,208.43,204.6,2343086
2025-05-21,206.44,206.8,208.55,203.68,1910089
2025-05-22,202.19,202.58,204.41,201.2,1114446
2025-05-23,200.94,199.65,204.0,198.5,1642550
2025-05-27,203.84,204.8,206.25,201.74,1691214
2025-05-28,201.7,201.38,202.45,200.215,1688874
2025-05-29,201.75,201.6,212.28,201.25,9027817
2025-05-30,205.08,206.9,208.7,204.57,1996476
2025-06-02,210.9934,210.25,211.6499,204.57,2824303
2025-06-03,213.46,212.0,215.66,210.38,3381040
2025-06-04,212.76,213.89,214.99,211.03,2370361
2025-06-05,212.62,213.2,213.99,209.85,1346468
2025-06-06,209.99,211.39,211.55,208.31,1849882
2025-06-09,211.3,211.8,218.3365,210.49,2572706
2025-06-10,216.44,218.43,218.55,213.2514,2685926
2025-06-11,214.255,216.5,217.23,213.29,1541234
2025-06-12,203.94,203.6,214.0,195.41,18119560
2025-06-13,199.635,201.26,203.75,195.28,7631233
2025-06-16,199.455,200.5,204.0,197.38,3186137
2025-06-17,200.684,200.7,202.26,200.0,1544906
2025-06-18,198.69,199.7,201.06,198.12,2356293
2025-06-20,198.03,198.44,200.675,197.0,2847996
2025-06-23,198.8,198.0,202.2,197.47,1867933
2025-06-24,202.735,203.58,203.85,200.18,1676626
2025-06-25,200.29,201.4,201.53,198.43,1951538
2025-06-26,201.96,199.61,204.3873,198.9,2600722
2025-06-27,206.44,205.1,209.905,202.58,3556283
2025-06-30,213.9,215.25,216.32,210.48,2594578
2025-07-01,209.07,209.1,211.8646,207.7,2340487
2025-07-02,209.5099,210.08,213.76,208.25,1987844
2025-07-03,213.21,212.65,217.675,211.57,3468277
2025-07-07,215.96,215.64,217.0,214.29,1249944
2025-07-08,217.52,219.11,220.0,214.8147,2349737
2025-07-09,225.505,220.45,228.579,217.97,6988680
2025-07-10,227.595,227.5,228.4999,210.7,2150075
2025-07-11,226.7712,225.38,228.64,224.34,2668960
2025-07-14,230.3139,229.91,233.041,226.27,3456525
2025-07-15,228.845,229.8,231.4347,209.5,2257683
2025-07-16,231.765,231.0,233.565,228.61,2349301
2025-07-17,229.775,230.65,232.13,228.36,2287514
2025-07-18,230.9,231.6,232.38,227.92,2054963
2025-07-21,229.2,229.6,232.25,228.02,1433039
2025-07-22,227.46,229.45,230.14,225.55,1835613
2025-07-23,230.2744,231.01,234.39,227.91,1472240
2025-07-24,233.66,234.15,235.23,233.3,1475929
2025-07-25,231.335,232.33,233.59,228.84,1734596
2025-07-28,234.425,233.85,235.65,232.91,2312553
2025-07-29,234.54,240.61,243.0,228.55,9179780
2025-07-30,228.065,227.86,231.72,226.08,3644349
2025-07-31,222.105,225.3,226.79,221.36,2618347
2025-08-01,218.92,218.0,221.84,215.9,3354575
2025-08-04,220.24,219.95,221.9,218.03,2490864
2025-08-05,224.005,223.08,225.3503,221.065,1826281
2025-08-06,225.6224,225.97,226.57,224.0448,1101051
2025-08-07,226.51,226.17,230.39,224.0,2097636
2025-08-08,228.29,227.99,230.9,226.81,1666509
2025-08-11,227.795,229.47,229.94,226.02,1837432
2025-08-12,228.575,227.29,231.98,225.5,3019214
2025-08-13,234.39,233.28,235.5999,230.28,2700541
2025-08-14,232.08,231.25,233.7765,230.5,1767336
2025-08-15,232.225,233.6,236.365,231.4277,2363525
2025-08-18,234.075,234.42,236.28,229.11,2657161
2025-08-19,229.9,232.4,233.19,223.9519,3321853
2025-08-20,225.13,224.5,226.15,223.17,1541475
2025-08-21,225.7,229.9,234.0,223.9188,3213394
2025-08-22,227.6189,225.22,233.645,224.19,4018911
2025-08-25,228.99,229.7,231.1,227.05,1393893
2025-08-26,229.4075,228.25,232.775,226.3,2474400
2025-08-27,235.195,236.5,236.86,232.4,1879021
2025-08-28,235.8118,236.22,237.35,234.495,1258509
2025-08-29,236.145,236.0,237.95,233.17,1776961
2025-09-02,231.68,231.09,237.61,230.78,2633348
2025-09-03,233.73,237.25,238.0,230.7601,2977678
2025-09-04,231.8892,232.66,233.25,229.21,1890484
2025-09-05,229.9,231.71,232.2299,225.5,4180449
2025-09-08,230.725,230.89,233.13,228.09,2430115
2025-09-09,231.45,231.1,232.28,228.45,1926574
2025-09-10,229.74,229.72,230.1,226.83,1594521
2025-09-11,227.6799,228.2,229.42,226.3,2251359
2025-09-12,218.266,221.09,222.14,215.7,4234666
2025-09-15,214.67,216.98,217.29,214.05,2365188
2025-09-16,216.51,216.17,217.43,214.9,1781302
2025-09-17,216.1638,215.57,218.05,214.56,1840600
2025-09-18,214.08,215.9,216.78,213.7,1726816
2025-09-19,216.61,217.01,217.79,214.25,2727249
2025-09-22,214.11,214.85,216.24,211.427,2609986
2025-09-23,215.8,216.96,220.0,212.09,5527317
2025-09-24,216.1508,217.7,219.3,215.34,2752076
2025-09-25,213.6205,214.44,216.55,211.98,2061343
2025-09-26,220.17,223.02,224.1,213.53,9611909
2025-09-29,220.2,223.1,224.79,216.5,4208936
2025-09-30,217.3806,217.15,218.0,213.4001,3715917
2025-10-01,214.835,214.4,215.83,213.7,1699356
2025-10-02,215.77,215.6,217.98,214.61,2472049
2025-10-03,217.3578,216.69,218.97,216.12,2058994
2025-10-06,217.69,217.85,221.35,215.9,3171056
2025-10-07,221.86,221.36,223.95,215.66,3539665
2025-10-08,222.1332,222.48,224.77,217.49,1770913
2025-10-09,223.5401,227.01,227.12,217.51,4189683
2025-10-10,217.22,217.06,217.9,214.6,1987146
2025-10-13,213.44,213.48,215.25,212.06,2234052
2025-10-14,213.17,213.5,215.73,212.235,1220059
2025-10-15,214.54,215.71,216.05,212.6,1792792
2025-10-16,214.59,214.23,214.99,211.19,1758886
2025-10-17,212.7124,211.56,213.06,208.2,1433110
2025-10-20,215.56,216.03,217.38,212.94,1982478
2025-10-21,215.965,217.05,217.86,212.28,1425850
2025-10-22,216.6601,216.7,217.56,214.23,1540416
2025-10-23,217.3305,216.5,219.1,215.7,1757826
2025-10-24,218.94,218.65,221.53,217.77,1605738
2025-10-27,222.79,223.5,223.74,220.6,1875961
2025-10-28,223.43,224.1,225.1976,222.6,1877371
2025-10-29,215.9199,221.16,229.24,214.0601,7654455
2025-10-30,206.8299,210.91,214.68,202.15,7414456
2025-10-31,199.3341,201.22,203.25,198.3,3762168
2025-11-03,202.368,202.48,205.3,201.02,2628962
2025-11-04,199.0,202.18,204.55,198.58,2314768
2025-11-05,197.29,198.58,198.89,196.37,2437773
2025-11-06,198.515,198.24,201.27,196.2696,2478879
2025-11-07,194.555,195.5,197.95,191.49,2540916
2025-11-10,194.72,196.4,197.1,193.3221,2772207
2025-11-11,195.73,194.72,196.345,194.07,1897770
2025-11-12,194.3653,196.1,196.53,193.8,2007723
2025-11-13,195.695,195.33,197.08,193.11,1529254
2025-11-14,193.765,192.35,197.0251,192.01,2604265
2025-11-17,193.6671,195.0,195.79,191.39,1688039
2025-11-18,189.835,190.03,192.1,187.85,3521977
2025-11-19,186.59,189.87,191.34,183.3601,5049933
2025-11-20,186.8021,187.51,188.1,180.15,3183761
2025-11-21,180.1571,181.4,181.81,177.72,2641553
2025-11-24,178.7799,180.49,181.6,177.3001,2666554
2025-11-25,180.25,178.93,182.54,177.5201,2803103
2025-11-26,183.7625,184.38,187.0407,182.44,2512950
2025-11-28,187.05,187.6,189.7299,186.91,2014015
2025-12-01,188.8,189.75,192.55,187.295,2219944
2025-12-02,196.885,197.0,204.4299,183.58,10097405
2025-12-03,202.55,204.85,206.48,200.01,3312257
2025-12-04,202.64,202.8,203.5,198.7,3523473
2025-12-05,201.13,201.5,202.73,200.56,1650271
2025-12-08,204.11,202.7,206.86,201.89,3364069
2025-12-09,206.575,206.01,207.1,200.53,2399269
2025-12-10,199.6589,201.35,201.45,198.35,2524279
2025-12-11,198.5595,198.9,201.6,197.33,1938360
2025-12-12,203.24,200.71,206.1242,200.71,2565123
2025-12-15,205.68,205.24,206.63,203.17,1959290
2025-12-16,204.98,205.03,208.65,204.06,2424028
2025-12-17,208.55,207.97,210.66,206.06,2663740
2025-12-18,209.35,207.77,210.55,206.19,1954608
2025-12-19,211.63,208.83,215.89,207.6,4253237
2025-12-22,215.4,215.33,216.98,214.08,1732956
2025-12-23,216.9,216.59,217.56,214.92,1244347
2025-12-24,217.1,216.9,219.149,216.06,2647720
2025-12-26,217.94,218.37,219.0,216.2701,1066950
2025-12-29,216.075,215.32,217.53,214.71,1167163
2025-12-30,219.66,218.73,221.59,217.25,1969981
2025-12-31,217.62,219.11,219.5,216.54,1928717
2026-01-02,216.6007,218.5,222.795,215.24,2761164
2026-01-05,228.9317,228.25,230.9599,227.13,3033137
2026-01-06,230.19,228.07,231.64,227.22,2565814
2026-01-07,228.915,229.65,233.05,228.1,3244014
2026-01-08,230.575,230.86,233.11,227.55,2469887
2026-01-09,230.525,228.8,234.5599,226.5,3567471
2026-01-12,234.49,233.33,238.55,232.26,2559409
2026-01-13,243.71,240.65,246.865,238.69,4158246
2026-01-14,241.95,243.89,244.98,239.69,2463487
2026-01-15,245.02,242.96,248.7497,241.32,2630976
2026-01-16,246.31,248.5,248.99,244.96,1760040
2026-01-20,245.37,242.9,248.25,240.0,2109080
2026-01-21,247.215,247.9,250.41,244.68,2482855
2026-01-22,252.68,251.6,254.14,249.78,2627834
2026-01-23,249.32,251.67,253.77,249.02,1427724
2026-01-26,248.315,251.34,252.59,247.405,2383406
2026-01-27,244.08,243.86,259.45,238.75,6832966
2026-01-28,239.85,245.71,245.93,237.1,3935643
2026-01-29,242.136,242.2,243.7699,235.71,2276089
2026-01-30,233.735,233.0,234.5999,230.375,1955939
2026-02-02,231.63,234.04,235.41,230.33,1570607
2026-02-03,237.0,234.1,238.85,229.18,2036859
2026-02-04,232.7,233.64,234.12,229.91,1862405
2026-02-05,235.25,234.62,238.8,232.6,1178484
2026-02-06,235.25,239.05,244.99,234.55,948284
2026-02-07,243.35,243.08,243.67,243.08,2589
2026-02-09,241.565,242.7,245.0,240.5,1391125
2026-02-10,244.48,244.75,245.84,240.86,1227574
2026-02-11,242.74,243.9,244.61,235.5,1682947
2026-02-12,236.43,237.85,245.67,235.67,2254357
2026-02-13,239.34,239.26,246.51,238.02,1485205
2026-02-14,242.73,243.0,243.0,242.7,1877
2026-02-17,243.66,242.95,245.15,238.93,1589521
2026-02-18,244.18,244.88,245.58,239.58,1625514
2026-02-19,239.27,239.2,242.19,234.12,1293664
2026-02-20,233.93,233.85,235.91,232.8,1116410
2026-02-21,232.0,231.95,232.06,231.75,3976
2026-02-23,233.045,231.0,233.5,227.455,1643693
2026-02-24,230.48,229.7,235.4299,229.01,1035104
2026-02-25,233.64,234.38,235.0,229.185,1314860
2026-02-26,230.29,230.2,231.34,225.67,1270227
2026-02-27,228.26,227.35,229.41,224.91,837054
2026-02-28,227.25,226.8,227.4,226.76,1689
2026-03-02,227.585,227.7,229.89,223.62,1794352
2026-03-03,228.28,225.54,229.74,221.11,1290179
2026-03-04,224.0,225.95,227.0,221.9,1262172
2026-03-05,227.31,225.5,227.89,225.5,29932
2026-03-06,222.23,220.0,223.75,219.07,66359
2026-03-07,230.59,230.5,230.6,230.33,5256
2026-03-09,227.91,226.73,231.11,226.21,64125
2026-03-10,224.25,224.35,226.78,223.32,53591
2026-03-11,218.24,218.25,219.4,217.5,53049
2026-03-12,213.12,212.77,215.09,212.32,38503
2026-03-13,204.3,205.73,206.43,203.44,66951
2026-03-16,210.5,211.15,211.85,209.89,40441
