Datetime,Open,High,Low,Close,Volume,Ticker
2025-02-03 09:30:00,174.11,177.91,173.1277,177.25,411116,BA
2025-02-03 09:35:00,177.29,177.29,175.5321,175.895,189692,BA
2025-02-03 09:40:00,175.895,176.24,174.665,174.81,138942,BA
2025-02-03 09:45:00,174.845,175.32,174.31,174.925,122996,BA
2025-02-03 09:50:00,174.96,175.47,174.22,174.85,150283,BA
2025-02-03 09:55:00,174.85,174.96,174.05,174.225,110033,BA
2025-02-03 10:00:00,174.14,174.6,173.5001,173.855,133643,BA
2025-02-03 10:05:00,173.8,174.26,173.55,173.97,138266,BA
2025-02-03 10:10:00,174.03,174.12,173.46,173.88,110453,BA
2025-02-03 10:15:00,173.98,174.01,173.18,173.45,108035,BA
2025-02-03 10:20:00,173.46,175.5881,173.42,175.39,192953,BA
2025-02-03 10:25:00,175.39,175.6,174.88,175.395,139357,BA
2025-02-03 10:30:00,175.365,175.61,175.0,175.525,87300,BA
2025-02-03 10:35:00,175.48,176.5,175.285,176.44,132983,BA
2025-02-03 10:40:00,176.415,177.25,176.2,177.225,100453,BA
2025-02-03 10:45:00,177.2,177.25,176.71,176.87,129889,BA
2025-02-03 10:50:00,176.87,177.08,176.73,176.8698,77488,BA
2025-02-03 10:55:00,177.0,177.68,176.9341,177.4692,111263,BA
2025-02-03 11:00:00,172.77,174.18,172.06,173.73,1390,BA
2025-02-03 11:05:00,174.0,174.33,173.71,174.0,642,BA
2025-02-03 11:10:00,174.0,174.14,173.62,173.78,767,BA
2025-02-03 11:15:00,173.71,173.89,173.51,173.51,248,BA
2025-02-03 11:20:00,173.51,173.74,173.33,173.43,2021,BA
2025-02-03 11:25:00,173.44,173.9,173.36,173.37,255,BA
2025-02-03 11:30:00,173.35,174.0,173.35,173.63,107,BA
2025-02-03 11:35:00,173.8,173.93,173.78,173.79,679,BA
2025-02-03 11:40:00,173.59,173.65,173.37,173.37,268,BA
2025-02-03 11:45:00,173.57,173.62,173.02,173.2,1465,BA
2025-02-03 11:50:00,173.04,173.04,172.89,173.0,1180,BA
2025-02-03 11:55:00,177.91,177.91,177.0,177.32,50069,BA
2025-02-03 12:00:00,173.0,173.02,172.89,173.01,71,BA
2025-02-03 12:05:00,173.01,173.01,172.91,172.94,153,BA
2025-02-03 12:10:00,173.01,173.2,173.0,173.11,791,BA
2025-02-03 12:15:00,173.0,173.0,172.89,172.92,104,BA
2025-02-03 12:20:00,172.92,172.95,172.9,172.95,14,BA
2025-02-03 12:25:00,172.98,172.98,172.91,172.92,38,BA
2025-02-03 12:30:00,173.0,173.2,173.0,173.2,628,BA
2025-02-03 12:35:00,173.0,173.0,172.92,172.92,79,BA
2025-02-03 12:40:00,173.0,173.01,172.97,173.0,134,BA
2025-02-03 12:45:00,173.11,173.21,173.04,173.04,1695,BA
2025-02-03 12:50:00,173.2,173.2,173.04,173.04,51,BA
2025-02-03 12:55:00,172.99,173.09,172.97,173.09,239,BA
2025-02-03 13:00:00,173.11,173.3,173.0,173.25,1321,BA
2025-02-03 13:05:00,173.25,173.58,173.25,173.4,250,BA
2025-02-03 13:10:00,173.58,173.75,173.5,173.63,657,BA
2025-02-03 13:15:00,173.68,173.69,173.18,173.5,92,BA
2025-02-03 13:20:00,173.6,173.7,173.36,173.48,514,BA
2025-02-03 13:25:00,173.26,173.28,173.2,173.22,412,BA
2025-02-03 13:30:00,173.2,173.22,173.13,173.22,61,BA
2025-02-03 13:35:00,173.2,173.57,173.2,173.21,346,BA
2025-02-03 13:40:00,173.5,173.5,173.21,173.32,9,BA
2025-02-03 13:45:00,173.21,173.56,173.21,173.32,54,BA
2025-02-03 13:50:00,173.22,173.3,172.9,172.91,863,BA
2025-02-03 13:55:00,172.91,173.03,172.8,173.0,501,BA
2025-02-03 14:00:00,173.26,174.25,172.15,173.41,16013,BA
2025-02-03 14:05:00,173.58,173.58,172.85,172.95,2207,BA
2025-02-03 14:10:00,173.04,173.24,173.0,173.1,1222,BA
2025-02-03 14:15:00,173.17,173.28,173.0,173.0,1585,BA
2025-02-03 14:20:00,173.15,173.24,173.0,173.12,404,BA
2025-02-03 14:25:00,173.12,173.14,172.99,173.13,1189,BA
2025-02-03 14:30:00,173.12,173.12,172.8,172.91,1935,BA
2025-02-03 14:35:00,172.8,172.95,172.66,172.75,540,BA
2025-02-03 14:40:00,172.95,172.95,172.55,172.55,1844,BA
2025-02-03 14:45:00,172.54,172.7,172.5,172.7,890,BA
2025-02-03 14:50:00,172.63,172.68,172.62,172.67,489,BA
2025-02-03 14:55:00,172.64,172.67,172.5,172.59,387,BA
2025-02-03 15:00:00,174.95,176.52,171.0,172.99,26197,BA
2025-02-03 15:05:00,173.0,173.29,172.75,173.28,2354,BA
2025-02-03 15:10:00,173.04,173.5,173.02,173.3,9133,BA
2025-02-03 15:15:00,173.45,173.49,173.2,173.3,1237,BA
2025-02-03 15:20:00,173.3,173.4,173.2,173.2,2100,BA
2025-02-03 15:25:00,173.4,173.4,172.55,172.58,3841,BA
2025-02-03 15:30:00,172.69,173.25,172.69,173.0,4977,BA
2025-02-03 15:35:00,173.16,173.4,173.0,173.2,2465,BA
2025-02-03 15:40:00,173.39,173.39,173.1,173.16,1278,BA
2025-02-03 15:45:00,173.4,173.4,173.1,173.37,1489,BA
2025-02-03 15:50:00,173.26,173.3,173.1,173.19,1339,BA
2025-02-03 15:55:00,173.25,173.3,173.01,173.01,896,BA
2025-02-04 09:30:00,176.9,177.45,176.12,176.475,186936,BA
2025-02-04 09:35:00,176.475,176.892,176.0834,176.7937,71967,BA
2025-02-04 09:40:00,176.66,176.72,175.78,176.27,69827,BA
2025-02-04 09:45:00,176.27,176.58,175.71,175.973,105457,BA
2025-02-04 09:50:00,175.89,176.165,175.38,176.165,70669,BA
2025-02-04 09:55:00,176.195,176.3,175.94,176.285,45199,BA
2025-02-04 10:00:00,176.32,176.6,176.05,176.37,51483,BA
2025-02-04 10:05:00,176.37,176.37,175.89,176.175,40530,BA
2025-02-04 10:10:00,176.18,176.2001,175.7538,175.89,50924,BA
2025-02-04 10:15:00,175.93,176.3899,175.93,176.3706,58366,BA
2025-02-04 10:20:00,176.33,176.37,175.8,175.83,62676,BA
2025-02-04 10:25:00,175.85,175.9,175.3157,175.345,82820,BA
2025-02-04 10:30:00,175.3692,175.82,175.275,175.495,96306,BA
2025-02-04 10:35:00,175.5499,175.61,175.23,175.23,66380,BA
2025-02-04 10:40:00,175.2336,175.2699,174.83,175.064,75950,BA
2025-02-04 10:45:00,175.075,175.27,174.9,175.23,48302,BA
2025-02-04 10:50:00,175.18,175.18,174.75,175.0182,47649,BA
2025-02-04 10:55:00,175.04,175.08,174.585,174.67,40310,BA
2025-02-04 11:00:00,176.7,176.8,175.55,176.19,746,BA
2025-02-04 11:05:00,176.3,176.3,175.65,175.65,110,BA
2025-02-04 11:10:00,176.2,176.2,175.6,175.6,304,BA
2025-02-04 11:15:00,175.6,175.6,175.51,175.51,120,BA
2025-02-04 11:20:00,175.51,175.54,175.15,175.54,25,BA
2025-02-04 11:25:00,175.1,175.12,175.1,175.12,2,BA
2025-02-04 11:30:00,175.46,175.51,175.1,175.1,31,BA
