date,Open,Close,High,Low,Volume
2025-02-03,88.13,86.89,90.58,84.41,2118641
2025-02-04,90.125,89.94,94.25,86.83,3098431
2025-02-05,89.54,90.97,92.88,88.935,1877101
2025-02-06,88.76,89.15,89.8,87.87,1062453
2025-02-07,91.02,89.89,91.64,87.8,2803428
2025-02-10,92.37,92.1,93.77,91.25,2334158
2025-02-11,89.05,91.41,92.6,88.11,3090247
2025-02-12,91.105,90.89,93.46,88.6,2921700
2025-02-13,96.85,97.41,102.0,93.34,5560580
2025-02-14,99.85,99.65,100.64,96.16,5939388
2025-02-18,91.6986,92.96,99.81,89.53,7937365
2025-02-19,89.005,90.02,91.01,87.01,4063853
2025-02-20,90.63,89.9,92.7388,87.5,5209352
2025-02-21,93.15,92.22,95.75,90.5,7004588
2025-02-24,89.505,91.26,93.24,86.7806,4037840
2025-02-25,88.0,88.95,89.45,87.035,1544045
2025-02-26,90.3011,91.05,92.25,89.02,2491118
2025-02-27,89.94,89.58,91.05,87.21,1879227
2025-02-28,85.345,85.95,87.2895,84.98,1411186
2025-03-03,86.68,86.5,86.9921,84.96,1076851
2025-03-04,85.7804,86.29,88.065,85.285,2363557
2025-03-05,89.94,89.59,91.6,88.87,1727972
2025-03-06,92.81,93.25,94.3,91.1529,3985747
2025-03-07,93.24,92.52,95.81,92.02,1843944
2025-03-10,95.31,93.8,95.74,92.56,1765010
2025-03-11,95.58,94.69,97.19,93.04,1872666
2025-03-12,92.975,93.41,94.99,89.89,1812943
2025-03-13,94.28,93.7,96.98,91.41,3307716
2025-03-14,94.74,95.65,96.0,93.6346,1440422
2025-03-17,98.15,95.58,99.44,94.28,4965631
2025-03-18,103.375,104.19,107.25,102.17,6660863
2025-03-19,100.235,102.24,102.55,97.52,3931768
2025-03-20,95.2,94.88,98.0,94.35,2744319
2025-03-21,93.955,93.5,95.03,93.1,1328447
2025-03-24,94.53,95.5,96.84,94.28,1483024
2025-03-25,96.42,95.42,97.79,94.4,1576859
2025-03-26,96.3,95.92,99.23,95.7,2033112
2025-03-27,97.7549,98.26,99.4947,97.4603,1520426
2025-03-28,94.08,95.4,96.5,93.15,2193985
2025-03-31,90.9296,91.56,93.37,90.07,1532614
2025-04-01,91.11,91.35,92.49,90.75,736861
2025-04-02,92.315,91.9,92.71,91.22,830304
2025-04-03,89.1488,89.1,90.98,88.3,2236378
2025-04-04,83.27,83.11,89.37,78.71,5839564
2025-04-07,81.67,78.82,83.9,75.79,4690915
2025-04-08,80.5494,81.57,81.92,76.62,2078670
2025-04-09,76.02,74.43,81.09,73.63,4348292
2025-04-10,81.455,81.29,83.44,79.76,2261871
2025-04-11,80.81,80.52,83.3,78.47,3260811
2025-04-14,85.52,84.83,86.725,82.73,2209815
2025-04-15,84.22,84.63,85.6,83.82,1223003
2025-04-16,83.3824,83.16,84.51,81.95,985899
2025-04-17,84.13,85.1,85.43,82.44,1043295
2025-04-21,82.26,82.9,83.8,82.0,1153482
2025-04-22,84.345,84.2,85.91,82.98,1099725
2025-04-23,87.29,87.23,89.19,86.17,1329757
2025-04-24,87.95,87.36,89.46,86.53,571056
2025-04-25,90.575,90.24,92.0,89.53,968714
2025-04-28,90.16,89.9,90.67,89.26,860418
2025-04-29,89.72,89.71,89.955,88.07,632311
2025-04-30,88.11,88.69,89.66,86.84,946979
2025-05-01,87.98,88.42,88.67,87.69,451879
2025-05-02,90.7,90.64,91.0,87.91,860307
2025-05-05,88.99,89.53,90.91,88.42,811821
2025-05-06,91.6927,91.2,92.22,89.75,1562274
2025-05-07,89.1,90.28,91.49,85.92,2249528
2025-05-08,86.9,87.35,88.22,86.56,825292
2025-05-09,88.215,87.75,88.51,86.22,1175266
2025-05-12,91.16,90.43,92.15,86.86,1771367
2025-05-13,90.65,90.14,91.97,89.08,1152385
2025-05-14,93.3501,93.48,94.1,91.09,1269822
2025-05-15,89.6,90.36,92.17,88.485,2185315
2025-05-16,90.12,89.73,90.63,89.2058,943020
2025-05-19,88.32,88.21,89.34,87.61,911282
2025-05-20,89.28,89.61,89.95,89.01,1025062
2025-05-21,92.48,91.24,95.15,87.34,8420942
2025-05-22,83.84,84.73,85.47,83.48,1825947
2025-05-23,83.81,83.79,85.71,83.18,1425805
2025-05-27,84.335,83.75,84.67,83.2,1337522
2025-05-28,83.87,83.79,84.57,83.18,1114117
2025-05-29,84.5,85.26,86.62,83.19,1217818
2025-05-30,82.1001,82.85,83.87,81.33,1532317
2025-06-02,83.454,82.83,83.53,81.01,1372171
2025-06-03,83.865,83.54,84.29,83.22,903144
2025-06-04,84.385,84.44,85.4136,84.1026,916791
