Datetime,Open,High,Low,Close,Volume,Ticker
2025-02-03 09:30:00,86.83,88.16,86.52,88.13,280519,BIDU
2025-02-03 09:35:00,88.16,88.86,88.16,88.65,226198,BIDU
2025-02-03 09:40:00,88.7,89.35,88.39,88.9,164094,BIDU
2025-02-03 09:45:00,88.88,88.89,88.36,88.64,142869,BIDU
2025-02-03 09:50:00,88.68,88.94,88.44,88.71,93064,BIDU
2025-02-03 09:55:00,88.69,88.99,88.48,88.88,79278,BIDU
2025-02-03 10:00:00,88.93,89.08,88.39,88.49,68405,BIDU
2025-02-03 10:05:00,88.43,88.86,88.43,88.79,63561,BIDU
2025-02-03 10:10:00,88.72,88.94,88.5,88.54,78801,BIDU
2025-02-03 10:15:00,88.62,88.66,88.35,88.35,52148,BIDU
2025-02-03 10:20:00,88.39,89.86,88.39,89.78,114716,BIDU
2025-02-03 10:25:00,89.78,90.2,89.5,89.97,122786,BIDU
2025-02-03 10:30:00,89.96,89.96,89.36,89.55,79794,BIDU
2025-02-03 10:35:00,89.67,90.0,89.62,89.85,51454,BIDU
2025-02-03 10:40:00,89.82,90.58,89.79,89.94,135276,BIDU
2025-02-03 10:45:00,89.94,90.1,89.83,89.83,84967,BIDU
2025-02-03 10:50:00,89.9,90.09,89.66,89.85,47083,BIDU
2025-02-03 10:55:00,89.83,89.92,89.56,89.66,31421,BIDU
2025-02-03 11:00:00,89.61,89.8,89.21,89.32,50605,BIDU
2025-02-03 11:05:00,89.32,89.57,89.19,89.47,33986,BIDU
2025-02-03 11:10:00,89.52,89.69,89.31,89.4,22268,BIDU
2025-02-03 11:15:00,89.44,89.71,89.41,89.62,53875,BIDU
2025-02-03 11:20:00,89.61,89.63,89.47,89.63,40877,BIDU
2025-02-03 11:25:00,89.63,89.73,89.49,89.66,28035,BIDU
2025-02-03 11:30:00,89.66,89.86,89.59,89.85,27590,BIDU
2025-02-03 11:35:00,89.81,89.85,89.51,89.56,30205,BIDU
2025-02-03 11:40:00,89.56,89.56,89.28,89.34,35915,BIDU
2025-02-03 11:45:00,89.34,89.53,89.26,89.37,24116,BIDU
2025-02-03 11:50:00,89.36,89.6,89.36,89.39,17245,BIDU
2025-02-03 11:55:00,89.43,89.43,88.91,89.06,27715,BIDU
2025-02-03 12:00:00,89.04,89.06,88.77,89.04,44366,BIDU
2025-02-03 12:05:00,89.08,89.18,89.02,89.18,16095,BIDU
2025-02-03 12:10:00,89.16,89.2,89.06,89.06,10471,BIDU
2025-02-03 12:15:00,89.06,89.08,89.01,89.03,18498,BIDU
2025-02-03 12:20:00,89.05,89.25,89.05,89.25,16774,BIDU
2025-02-03 12:25:00,89.25,89.3,89.01,89.01,10563,BIDU
2025-02-03 12:30:00,89.03,89.03,88.85,88.9,10324,BIDU
2025-02-03 12:35:00,88.87,89.27,88.82,89.14,101281,BIDU
2025-02-03 12:40:00,89.1,89.1,88.92,88.96,11030,BIDU
2025-02-03 12:45:00,88.93,89.03,88.93,89.0,27184,BIDU
2025-02-03 12:50:00,89.02,89.18,89.02,89.15,18258,BIDU
2025-02-03 12:55:00,89.12,89.14,88.4,88.73,70145,BIDU
2025-02-03 13:00:00,88.5,88.8,88.43,88.8,34134,BIDU
2025-02-03 13:05:00,88.66,88.97,88.66,88.73,48901,BIDU
2025-02-03 13:10:00,88.75,88.75,88.58,88.68,15239,BIDU
2025-02-03 13:15:00,88.71,88.75,88.58,88.58,24310,BIDU
2025-02-03 13:20:00,88.58,88.68,88.54,88.56,17135,BIDU
2025-02-03 13:25:00,88.54,88.58,88.35,88.35,23237,BIDU
2025-02-03 13:30:00,88.34,88.45,88.27,88.38,22377,BIDU
2025-02-03 13:35:00,88.35,88.35,88.2,88.28,33602,BIDU
2025-02-03 13:40:00,88.24,88.29,88.07,88.07,35805,BIDU
2025-02-03 13:45:00,88.11,88.21,88.03,88.03,45831,BIDU
2025-02-03 13:50:00,88.08,88.08,87.9,87.93,68926,BIDU
2025-02-03 13:55:00,87.99,87.99,87.82,87.85,74028,BIDU
2025-02-03 14:00:00,87.84,87.89,87.75,87.8,78504,BIDU
2025-02-03 14:05:00,87.77,87.92,87.73,87.87,33422,BIDU
2025-02-03 14:10:00,87.88,87.98,87.85,87.95,34583,BIDU
2025-02-03 14:15:00,87.94,87.98,87.82,87.93,29150,BIDU
2025-02-03 14:20:00,87.91,87.98,87.88,87.95,68358,BIDU
2025-02-03 14:25:00,87.94,88.11,87.86,87.89,57654,BIDU
2025-02-03 14:30:00,87.89,87.89,87.81,87.87,29390,BIDU
2025-02-03 14:35:00,87.87,87.87,87.67,87.7,43106,BIDU
2025-02-03 14:40:00,87.7,87.86,87.7,87.75,32965,BIDU
2025-02-03 14:45:00,87.75,87.76,87.63,87.68,27825,BIDU
2025-02-03 14:50:00,87.69,87.76,87.66,87.74,53927,BIDU
2025-02-03 14:55:00,87.75,87.78,87.48,87.53,44575,BIDU
2025-02-03 15:00:00,87.53,87.74,87.5,87.68,45827,BIDU
2025-02-03 15:05:00,87.67,87.7,87.45,87.58,34654,BIDU
2025-02-03 15:10:00,87.55,87.55,87.4,87.45,60743,BIDU
2025-02-03 15:15:00,87.45,87.48,87.4,87.42,31439,BIDU
2025-02-03 15:20:00,87.42,87.48,87.4,87.48,38162,BIDU
2025-02-03 15:25:00,87.46,87.47,87.3,87.33,62444,BIDU
2025-02-03 15:30:00,87.34,87.53,87.33,87.4,71372,BIDU
2025-02-03 15:35:00,87.4,87.69,87.34,87.56,118225,BIDU
2025-02-03 15:40:00,87.56,87.56,87.35,87.54,63253,BIDU
2025-02-03 15:45:00,87.54,87.56,87.41,87.51,102578,BIDU
2025-02-03 15:50:00,87.5,87.62,87.41,87.44,145340,BIDU
2025-02-03 15:55:00,87.42,87.75,87.42,87.71,267550,BIDU
2025-02-04 09:30:00,90.11,90.33,89.58,90.12,257691,BIDU
2025-02-04 09:35:00,90.13,90.5,89.83,89.93,173469,BIDU
2025-02-04 09:40:00,89.93,90.53,89.93,90.37,125371,BIDU
2025-02-04 09:45:00,90.35,90.54,89.99,90.2,93653,BIDU
2025-02-04 09:50:00,90.19,90.7,90.14,90.64,111656,BIDU
2025-02-04 09:55:00,90.63,90.93,90.63,90.64,80572,BIDU
2025-02-04 10:00:00,90.66,91.04,90.65,90.88,92262,BIDU
2025-02-04 10:05:00,90.86,90.98,90.45,90.54,75511,BIDU
2025-02-04 10:10:00,90.56,90.86,90.34,90.86,52563,BIDU
