date,Open,Close,High,Low,Volume
2025-02-03,274.33,273.2,291.33,260.0,4772921
2025-02-04,283.16,283.17,287.42,277.25,1993971
2025-02-05,283.87,282.32,285.3299,277.99,1500626
2025-02-06,282.51,280.0,284.6,272.2767,2181051
2025-02-07,278.705,274.77,281.25,270.0,2893899
2025-02-10,284.9818,280.3,285.558,274.49,2640111
2025-02-11,273.13,278.24,286.13,272.3464,1792619
2025-02-12,265.84,264.89,271.91,263.0,1878745
2025-02-13,284.47,283.77,295.9,276.27,5481234
2025-02-14,285.68,292.71,298.5,276.5,8950615
2025-02-18,275.195,276.73,279.18,267.8585,3918991
2025-02-19,264.27,267.69,269.28,259.3,2215689
2025-02-20,259.61,260.71,264.1,250.3701,2602012
2025-02-21,264.42,268.77,271.28,254.88,5040231
2025-02-24,236.26,239.85,241.57,223.6,4270012
2025-02-25,220.2518,217.0,227.07,205.12,7507001
2025-02-26,212.11,214.0,218.57,210.5,2838346
2025-02-27,219.48,219.14,221.58,209.9501,3516894
2025-02-28,201.9801,205.25,216.44,198.0,3888485
2025-03-03,230.33,237.09,239.99,216.91,7312772
2025-03-04,200.11,199.85,205.5,193.09,4809754
2025-03-05,212.24,215.0,218.83,209.0,2768389
2025-03-06,217.15,215.81,228.43,213.59,3165564
2025-03-07,214.11,213.76,222.05,211.99,2551914
2025-03-10,202.665,206.3,207.91,191.861,4808524
2025-03-11,186.11,184.06,191.25,179.23,4346017
2025-03-12,196.9225,197.76,199.3,185.9,3343233
2025-03-13,187.475,189.88,192.32,178.0,3081209
2025-03-14,184.53,183.26,186.5548,177.49,3457221
2025-03-17,183.71,182.0,186.96,179.31,2116929
2025-03-18,184.5,184.8,188.96,178.78,2591389
2025-03-19,183.39,184.89,189.03,181.14,1921795
2025-03-20,188.36,188.3,193.93,185.2,2081280
2025-03-21,184.09,186.26,191.35,183.75,2341280
2025-03-24,196.6575,198.19,200.96,194.415,3434973
2025-03-25,203.43,202.3,206.93,198.61,2511316
2025-03-26,203.77,204.0,205.9999,187.22,2375449
2025-03-27,192.37,192.68,196.73,189.65,1544481
2025-03-28,185.56,184.78,188.68,178.27,2585435
2025-03-31,166.29,170.31,173.93,163.52,3249404
2025-04-01,171.3662,173.68,177.0,168.545,1790919
2025-04-02,175.265,171.83,182.83,170.1,2190389
2025-04-03,170.21,168.91,175.99,164.65,3547875
2025-04-04,161.795,165.94,173.51,147.17,5332315
2025-04-07,149.24,148.8,167.4,135.02,6078370
2025-04-08,163.79,162.82,167.8,158.05,3285927
2025-04-09,153.375,150.65,159.5,144.25,2711327
2025-04-10,169.65,170.77,175.93,166.05,2969587
2025-04-11,173.864,171.99,176.75,167.0,2663323
2025-04-14,179.155,181.43,182.39,175.0,2454400
2025-04-15,177.72,177.35,179.7678,172.8672,1986543
2025-04-16,172.43,171.9,175.57,169.61,1320887
2025-04-17,173.6,174.12,175.53,171.3,1176506
2025-04-21,177.525,175.94,178.47,172.17,1881084
2025-04-22,181.6038,178.44,189.86,174.45,4246410
2025-04-23,197.22,198.17,200.8,185.82,4214058
2025-04-24,195.99,193.9,201.92,189.67,2390684
2025-04-25,206.7181,206.0,209.74,203.2,2713822
2025-04-28,206.4,209.0,210.35,203.77,2085038
2025-04-29,205.38,206.21,208.0,203.135,1451886
2025-04-30,200.71,200.71,206.22,195.55,1735460
2025-05-01,205.49,209.05,210.26,202.3,2147990
2025-05-02,205.3176,205.3,207.9523,202.0,1750211
2025-05-05,202.62,201.31,204.93,199.6,1979272
2025-05-06,196.535,196.5,200.0,193.34,1663570
2025-05-07,198.787,200.1,201.7,196.8,1507415
2025-05-08,204.305,206.94,208.34,201.56,4105780
2025-05-09,204.3763,205.12,214.13,200.21,8581566
2025-05-12,210.1068,208.11,213.6,199.32,6114089
2025-05-13,236.55,230.25,242.9199,225.08,13425111
2025-05-14,261.29,258.5,263.36,252.2,6678491
2025-05-15,252.275,255.79,261.28,240.8001,8600018
2025-05-16,252.175,249.0,265.89,242.6,10093735
2025-05-19,262.225,259.11,267.6,254.51,5234865
2025-05-20,263.63,266.98,270.88,253.16,2942693
2025-05-21,261.77,261.7,264.96,258.39,2600599
2025-05-22,266.392,265.8,271.14,258.99,5266672
2025-05-23,267.165,262.5,274.79,260.41,3717764
2025-05-27,266.61,268.24,270.83,263.16,2868548
2025-05-28,258.45,266.31,266.9,254.71,3540834
2025-05-29,256.11,258.46,264.5,249.68,2792621
2025-05-30,245.815,246.55,249.03,244.35,1577065
2025-06-02,247.25,247.5,249.86,242.88,2141202
2025-06-03,247.225,249.09,260.25,246.2182,3968772
2025-06-04,259.7473,258.25,263.44,254.455,2581281
2025-06-05,262.23,259.0,265.65,253.12,3699148
2025-06-06,252.54,249.5,256.17,246.48,2605961
2025-06-09,256.21,257.8,258.32,251.27,2288094
2025-06-10,259.36,259.05,262.4,254.48,2083265
2025-06-11,256.03,256.93,259.9,254.09,2043560
2025-06-12,243.195,247.3,249.25,242.9808,2348283
2025-06-13,239.76,237.65,241.2,232.85,2067406
2025-06-16,247.42,248.5,254.38,245.32,3151584
2025-06-17,256.675,256.16,261.57,254.17,2289133
2025-06-18,252.785,254.35,257.57,251.88,1885259
2025-06-20,305.66,306.99,310.58,289.04,13353053
2025-06-23,300.51,303.7,314.25,298.0,7535852
2025-06-24,313.41,311.5,338.34,310.0,11523984
2025-06-25,367.6828,362.39,369.28,343.71,17207663
2025-06-26,363.03,356.12,374.97,314.77,11071219
2025-06-27,368.56,373.2,376.77,348.28,9647208
2025-06-30,356.2444,357.7,360.45,351.28,4299148
2025-07-01,339.1094,339.51,353.3956,335.8101,5105158
2025-07-02,343.4554,338.8,348.0999,335.33,3699218
2025-07-03,355.0,352.93,359.22,348.5,3703190
2025-07-07,352.53,351.6,363.9999,351.0,3771973
2025-07-08,360.925,360.99,368.79,351.23,4525463
2025-07-09,358.04,357.93,364.59,353.2901,3556777
2025-07-10,374.46,371.62,380.9,369.0,5071277
2025-07-11,386.81,392.79,400.4,382.472,6887167
2025-07-14,393.03,393.18,398.5,388.58,5862696
2025-07-15,392.8,389.53,400.8799,386.12,4935420
2025-07-16,399.022,392.56,401.6399,387.3,5314772
2025-07-17,398.05,400.4,415.9599,394.277,6518453
2025-07-18,428.8,420.2,444.645,410.75,12287615
2025-07-21,420.5,427.5,433.8,417.0,5537835
2025-07-22,415.027,421.35,422.37,394.37,7313132
2025-07-23,391.185,400.93,407.35,388.54,4499489
2025-07-24,396.575,400.83,404.6632,392.0,2453745
2025-07-25,393.52,391.7,393.9,386.385,3494900
2025-07-28,388.61,395.5,402.0,376.0801,4909407
2025-07-29,382.36,383.0,384.7799,373.68,2766591
2025-07-30,379.41,376.66,386.58,371.3,4297491
2025-07-31,380.17,387.39,389.52,377.48,3089677
2025-08-01,326.685,338.12,377.76,314.88,14189123
2025-08-04,314.36,320.0,330.6,311.0,6371972
2025-08-05,310.105,304.75,318.8,300.1,6311050
2025-08-06,297.804,297.7,303.72,293.3101,5776568
2025-08-07,313.28,312.92,316.7799,302.28,5700434
2025-08-08,311.1984,312.88,314.39,302.4101,3411283
2025-08-11,321.7112,319.92,333.66,310.49,6841106
2025-08-12,324.945,326.67,329.86,314.159,4174668
