date,Open,Close,High,Low,Volume
2025-02-03,969.1915,962.98,999.3129,946.32,770938
2025-02-04,995.4385,997.18,1007.3499,985.5,452872
2025-02-05,1017.3739,1016.42,1029.7523,1003.39,600362
2025-02-06,1043.4222,1039.52,1056.039,1034.38,813599
2025-02-07,1044.1242,1044.66,1055.93,1029.8723,529339
2025-02-10,1046.5012,1042.14,1054.214,1021.11,488519
2025-02-11,1048.8285,1054.48,1060.68,957.45,536291
2025-02-12,1050.0816,1042.98,1061.1908,1040.01,512727
2025-02-13,1060.5941,1061.65,1068.5406,1048.82,498624
2025-02-14,1066.3675,1069.0,1074.12,1060.2,409114
2025-02-18,1049.9971,1067.21,1074.12,1039.5776,685823
2025-02-19,1055.2235,1052.25,1062.66,1016.3,442601
2025-02-20,1041.3525,1043.0,1067.16,1028.2213,711660
2025-02-21,1023.2784,1032.35,1047.16,1019.1013,543715
2025-02-24,1026.3068,1030.46,1044.28,1019.42,565254
2025-02-25,1036.0385,1030.17,1048.0966,1015.14,587015
2025-02-26,1045.0293,1045.28,1058.11,1037.8088,426273
2025-02-27,1035.3324,1028.35,1048.26,1022.4131,403624
2025-02-28,1020.991,1019.42,1031.4136,1002.51,392056
2025-03-03,1054.5969,1043.86,1060.1963,1006.49,752915
2025-03-04,1029.4247,1032.61,1058.49,1023.1292,733074
2025-03-05,1032.3552,1029.36,1064.16,1015.35,392361
2025-03-06,1026.8844,1028.37,1054.23,1023.8951,580514
2025-03-07,976.0917,991.61,1021.03,950.457,2067240
2025-03-10,951.0612,951.78,961.83,926.4783,1295753
2025-03-11,922.2614,929.32,953.69,916.02,761781
2025-03-12,931.9732,933.14,947.94,914.99,715827
2025-03-13,910.1377,920.96,937.99,886.6563,1168193
2025-03-14,882.5985,887.17,919.96,876.7604,991320
2025-03-17,894.7818,896.97,909.1531,891.14,639674
2025-03-18,906.8157,910.52,919.96,891.9523,678248
2025-03-19,898.2578,895.14,902.56,890.41,469241
2025-03-20,893.4093,897.59,907.03,885.16,469697
2025-03-21,884.0853,886.92,900.1723,879.1474,1099968
2025-03-24,920.7894,913.0,923.0968,904.31,584053
2025-03-25,920.4612,924.2,937.99,917.6311,526374
2025-03-26,930.5361,928.91,942.84,908.65,485552
2025-03-27,923.793,924.15,937.5576,902.68,454064
2025-03-28,927.99,930.9,942.84,907.04,744135
2025-03-31,918.4721,917.72,934.8823,904.05,700624
2025-04-01,947.0009,937.87,952.5094,921.83,612628
2025-04-02,952.1179,942.89,965.6041,939.86,642117
2025-04-03,949.8005,921.95,974.0578,920.02,1164866
2025-04-04,945.8423,947.31,961.81,921.5951,1417524
2025-04-07,880.6651,894.11,932.7141,857.31,1775683
2025-04-08,930.2675,920.51,937.851,903.19,812663
2025-04-09,899.7744,896.6,921.1276,885.16,877594
2025-04-10,972.7445,951.98,988.002,942.84,1202253
2025-04-11,948.0998,966.71,981.37,938.0251,740891
2025-04-14,966.2704,959.0,981.7557,945.27,605842
2025-04-15,979.5143,978.53,988.5883,957.76,816605
2025-04-16,962.3668,966.88,979.06,952.79,562548
2025-04-17,971.6807,969.69,994.4743,959.75,842940
2025-04-21,985.3112,982.88,994.55,953.2617,658534
2025-04-22,961.7353,962.73,994.55,940.85,706757
2025-04-23,986.2411,990.09,992.57,903.19,685661
2025-04-24,962.7298,969.53,984.61,955.4795,560423
2025-04-25,966.8821,965.22,974.66,957.6377,387436
2025-04-28,976.0071,974.05,983.49,964.0426,507475
2025-04-29,971.7517,971.18,986.1019,962.5,705517
2025-04-30,977.8364,979.41,989.58,971.2333,562149
2025-05-01,991.0747,985.08,999.2201,975.66,642321
2025-05-02,1009.8109,1002.81,1013.763,993.85,635487
2025-05-05,999.9009,1001.46,1013.15,996.83,729790
2025-05-06,1003.5257,1007.04,1018.24,926.62,410313
2025-05-07,1004.9697,1009.28,1015.75,1000.7573,409660
2025-05-08,1011.3729,1009.27,1021.2,987.3932,659436
2025-05-09,996.0117,1004.57,1018.72,993.896,385135
2025-05-12,990.1118,1015.11,1038.43,988.1102,667649
2025-05-13,1008.7838,1011.6,1019.5687,983.4895,921493
2025-05-14,989.8628,993.0,1007.79,986.19,678001
2025-05-15,984.0719,987.01,1008.6145,978.9086,631928
2025-05-16,1011.0344,1004.64,1023.2433,999.03,817806
2025-05-19,1012.5978,1015.75,1029.1984,1006.9,452811
2025-05-20,1028.6657,1024.85,1036.26,987.08,432636
2025-05-21,1029.9752,1028.84,1040.65,1025.81,314853
2025-05-22,1022.3371,1020.66,1025.71,1009.8991,642238
2025-05-23,1005.1689,1009.53,1030.3,998.93,506876
2025-05-27,1009.6402,1009.79,1023.88,1004.3,511278
2025-05-28,1017.7364,1014.86,1025.24,926.62,461713
2025-05-29,1007.9031,1010.12,1025.71,1000.1399,605234
2025-05-30,1016.1417,993.1,1045.1666,991.74,1657153
2025-06-02,1043.7576,1036.42,1056.0861,1029.7,766325
2025-06-03,1060.5972,1051.24,1062.6387,1039.6877,913933
2025-06-04,1046.1675,1048.66,1053.6,1040.64,328750
2025-06-05,1033.1918,1047.26,1050.61,1005.0494,1135969
2025-06-06,1008.1016,1012.75,1019.42,1004.8004,519587
2025-06-09,1000.8171,1008.15,1016.75,992.8168,570055
2025-06-10,1001.9623,1005.28,1013.72,996.6047,400999
2025-06-11,995.9773,1003.56,1012.71,993.7765,652517
2025-06-12,992.6811,993.44,1001.81,991.15,392560
2025-06-13,996.1217,996.32,999.4158,984.9932,391467
2025-06-16,989.6936,988.82,997.6802,983.89,506846
2025-06-17,972.8041,979.41,985.88,972.1369,395326
2025-06-18,971.9378,975.43,986.38,969.95,445759
2025-06-20,980.8904,972.44,984.5451,965.96,1069448
2025-06-23,982.3044,979.16,994.613,965.96,628650
2025-06-24,997.7598,1001.63,1013.98,987.9359,539535
2025-06-25,997.7549,997.99,1005.8,984.087,432446
2025-06-26,979.3368,983.14,993.0,972.4357,814625
2025-06-27,979.9045,979.31,1000.82,975.92,465172
2025-06-30,984.4455,983.14,993.72,975.6723,451338
2025-07-01,988.155,984.89,992.69,970.444,643248
2025-07-02,977.7485,980.15,994.64,972.93,487248
2025-07-03,978.7692,978.04,995.84,971.04,1101264
2025-07-07,977.0464,982.39,995.84,972.1369,543249
2025-07-08,987.3932,986.13,1000.82,980.9,470187
2025-07-09,980.7509,982.11,991.21,970.9419,811454
2025-07-10,980.1684,981.41,992.02,966.0922,817441
2025-07-11,971.9378,967.11,974.99,961.6806,609200
2025-07-14,966.0474,962.99,974.4473,959.22,570097
2025-07-15,972.6548,973.28,980.9,962.6366,637430
2025-07-16,962.3902,964.47,970.96,949.4318,1056535
2025-07-17,944.7315,948.63,965.92,943.5663,616845
2025-07-18,950.7165,951.03,985.2,947.2211,714603
2025-07-21,948.5555,946.29,955.95,942.06,453583
2025-07-22,945.0103,943.95,958.87,941.2,525816
2025-07-23,937.0137,939.27,944.17,932.1043,546756
2025-07-24,935.9383,937.08,994.81,931.4072,502053
2025-07-25,936.2171,932.9,943.56,929.91,501186
2025-07-28,929.2462,934.1,943.56,927.0155,454226
2025-07-29,924.4563,929.36,943.56,923.5201,592958
2025-07-30,932.3731,932.3,943.56,924.4464,523030
2025-07-31,926.8762,921.19,942.0128,915.6,876020
2025-08-01,941.3739,939.88,957.79,928.7,815455
2025-08-04,953.4774,948.73,960.18,941.99,582073
2025-08-05,940.5662,952.82,964.05,933.0573,958090
2025-08-06,943.0243,942.54,965.516,933.38,980863
2025-08-07,977.0536,967.28,979.2475,958.91,675338
2025-08-08,979.068,974.76,985.4301,969.95,794034
2025-08-11,978.1356,979.31,988.54,966.29,455809
2025-08-12,984.2334,986.23,989.99,977.3029,394016
2025-08-13,973.2992,988.17,989.99,967.3808,1043488
2025-08-14,980.6086,975.13,985.2306,973.9,669447
2025-08-15,974.0728,974.54,989.22,964.7332,601960
2025-08-18,969.5161,970.4,979.15,967.28,436688
2025-08-19,977.3428,974.35,985.759,970.27,594097
2025-08-20,983.4257,974.16,996.499,966.33,837944
2025-08-21,973.7629,984.23,1001.95,966.1941,864266
2025-08-22,966.4983,966.27,982.24,952.1536,1133967
2025-08-25,953.9885,955.19,963.23,941.6162,719644
2025-08-26,935.5054,938.58,946.3,930.6291,819088
2025-08-27,937.7142,937.97,949.3315,934.588,635165
2025-08-28,946.8385,947.34,955.73,941.6034,677512
2025-08-29,943.9227,943.63,947.71,938.0632,510667
2025-09-02,939.3596,940.36,951.12,933.9548,534598
2025-09-03,936.5275,933.72,948.71,932.38,499806
2025-09-04,952.1035,947.27,956.8105,945.34,501182
2025-09-05,958.2963,955.76,966.8323,952.32,738762
2025-09-08,958.4043,961.01,967.28,949.38,461367
2025-09-09,965.9299,967.88,973.4637,957.31,466209
2025-09-10,971.0124,972.51,982.24,952.0838,570315
2025-09-11,957.6374,957.56,961.5821,946.3,554690
2025-09-12,960.3007,958.96,965.5759,952.32,330977
2025-09-15,963.3122,965.09,973.06,958.5656,472321
2025-09-16,956.1574,957.71,965.87,949.3315,463541
2025-09-17,954.7863,949.43,960.8242,949.33,460519
2025-09-18,955.3377,958.28,966.28,952.3231,384421
2025-09-19,949.3441,950.46,960.29,941.1446,1655523
2025-09-22,942.052,943.85,955.31,937.7142,647446
2025-09-23,936.2683,941.18,946.86,931.2777,734726
2025-09-24,945.8082,940.86,953.32,930.82,623154
2025-09-25,944.0465,945.73,954.91,935.3708,841520
2025-09-26,909.7528,925.2,940.67,902.5132,2191573
2025-09-29,909.1643,916.37,920.36,905.0061,977830
2025-09-30,913.3028,913.43,918.4184,905.46,589212
2025-10-01,915.3436,922.03,926.76,909.1046,725770
2025-10-02,912.4353,911.34,919.71,907.4592,578488
2025-10-03,912.9388,913.67,918.37,908.7556,754361
2025-10-06,907.5689,911.94,921.11,901.7164,788300
2025-10-07,905.4648,906.95,934.18,901.3464,885772
2025-10-08,910.7101,913.18,915.8,907.45,581391
2025-10-09,935.5902,924.35,941.1245,912.24,1412845
2025-10-10,936.8267,937.99,944.18,932.1199,650937
2025-10-13,926.9844,925.33,935.37,920.4128,528890
2025-10-14,937.96,930.46,941.3739,922.41,507640
2025-10-15,951.3259,944.1,961.2979,938.36,709314
2025-10-16,948.0053,952.56,955.79,920.0139,768728
2025-10-17,927.9117,925.9,935.1713,917.42,567273
2025-10-20,933.5529,933.34,938.22,926.4,368310
2025-10-21,933.8401,934.05,942.05,924.4,452708
2025-10-22,932.8479,934.87,952.32,924.4,559295
2025-10-23,939.1302,945.34,949.13,928.46,920743
2025-10-24,938.4521,939.11,945.55,926.95,521908
2025-10-27,926.8946,930.48,949.13,923.3147,468963
2025-10-28,924.4192,926.56,938.34,921.9086,697751
2025-10-29,914.0806,917.95,924.6,909.5235,557474
2025-10-30,913.597,909.64,916.7986,906.25,613985
2025-10-31,912.369,914.31,925.72,909.6534,457465
2025-11-03,908.9722,910.74,917.9907,907.1258,758011
2025-11-04,931.4322,928.4,936.3554,909.74,655869
2025-11-05,937.2541,933.71,942.7,928.9157,1012281
2025-11-06,913.6368,922.27,935.71,907.0459,1122583
2025-11-07,927.8956,924.26,935.7063,917.51,688728
2025-11-10,916.5927,919.03,923.72,908.1644,822365
2025-11-11,916.2332,915.21,917.6213,911.25,449552
2025-11-12,911.2601,912.36,916.8324,910.4113,410487
2025-11-13,910.7658,914.53,921.6657,910.4612,595411
2025-11-14,922.2699,926.83,929.71,913.8365,584778
2025-11-17,917.9758,921.95,923.95,909.6356,477766
2025-11-18,913.135,911.54,917.6413,900.3851,843425
2025-11-19,889.5351,894.11,902.75,872.7637,1133986
2025-11-20,894.4833,890.7,903.3211,880.84,751642
2025-11-21,897.566,895.27,902.7518,890.8982,745541
2025-11-24,897.1396,897.61,901.75,882.8094,563465
2025-11-25,885.6355,884.48,894.26,878.79,628380
2025-11-26,895.5518,893.31,909.7022,886.5,459701
2025-11-28,906.222,905.74,912.7281,897.36,876004
2025-12-01,909.852,912.01,917.3117,899.9,490151
2025-12-02,905.7177,910.99,918.73,903.7505,687736
2025-12-03,922.8341,918.73,925.041,910.74,557005
2025-12-04,898.177,907.35,920.99,888.0821,1461101
2025-12-05,896.6603,894.56,904.6392,886.85,712827
2025-12-08,889.2156,892.99,896.73,881.681,772053
2025-12-09,884.6968,887.07,887.97,880.2929,580489
2025-12-10,884.6169,886.4,890.47,873.8818,600825
2025-12-11,875.135,874.78,882.1703,871.3454,758145
2025-12-12,878.5253,883.26,887.393,866.5219,1523868
2025-12-15,884.9065,878.29,886.2646,854.3288,1130971
2025-12-16,853.0705,859.96,861.17,842.8946,1389702
2025-12-17,864.3549,859.31,867.3807,853.79,620446
2025-12-18,858.5979,859.31,864.29,851.3329,809939
2025-12-19,852.8209,855.22,858.81,848.1473,1390871
2025-12-22,850.534,852.51,856.77,847.0089,719265
2025-12-23,852.3765,848.83,853.0406,845.6308,570857
2025-12-24,862.7571,856.02,874.7905,852.5,1135964
2025-12-26,873.3924,869.06,876.3783,867.8002,437658
2025-12-29,870.8859,873.29,873.79,864.994,573231
2025-12-30,863.5411,864.7,868.76,860.2406,643705
2025-12-31,864.3949,863.99,868.8,860.94,385245
2026-01-02,854.3987,859.82,866.8,851.6225,683693
2026-01-05,870.4215,858.34,876.5581,849.06,920634
2026-01-06,878.5253,874.35,889.5401,869.8,805317
2026-01-07,890.7185,887.55,893.76,879.8934,774038
2026-01-08,897.7587,897.76,930.3836,881.36,2500361
2026-01-09,915.4243,917.98,924.352,910.0717,913642
2026-01-12,928.5961,921.73,937.2042,915.7339,852933
2026-01-13,937.0365,938.22,941.78,859.95,601957
2026-01-14,946.9807,935.15,954.2915,933.71,815059
2026-01-15,952.573,948.19,956.9569,942.78,573901
2026-01-16,956.2079,953.69,960.6718,949.6871,725351
2026-01-20,960.7641,957.49,967.1728,945.69,819488
2026-01-21,966.6126,956.08,975.2341,955.28,637000
2026-01-22,981.0536,980.58,986.95,970.2385,686322
2026-01-23,973.1645,971.03,983.3754,964.67,501657
2026-01-26,989.1074,980.26,991.629,975.002,653843
2026-01-27,968.6407,973.46,979.26,960.3822,543906
2026-01-28,966.3889,964.67,968.94,955.1594,470586
2026-01-29,953.996,957.68,959.45,948.6983,506031
2026-01-30,950.005,947.89,952.89,933.0,644076
2026-02-02,941.365,937.5,965.41,930.26,627315
2026-02-03,980.43,967.6,990.6548,964.28,1069125
2026-02-04,978.44,977.75,993.5,971.93,564689
2026-02-05,987.75,995.07,1000.18,978.35,733851
2026-02-06,988.52,987.48,997.84,981.0,288048
2026-02-07,999.0,999.0,999.88,998.53,439
2026-02-09,1002.94,998.15,1009.62,988.11,638292
2026-02-10,995.96,994.88,1000.8,941.93,307248
2026-02-11,973.5,970.32,986.98,965.2,341311
2026-02-12,978.17,978.61,1009.21,977.0,1112314
2026-02-13,999.21,996.0,1022.7,987.01,691638
2026-02-14,1016.18,1016.3,1016.3,1015.1,515
2026-02-17,1022.88,1016.42,1028.44,1011.0,618077
2026-02-18,1011.22,1011.0,1024.44,998.416,443120
2026-02-19,996.6,991.9,1012.05,982.22,261650
2026-02-20,987.45,987.89,1002.0,979.77,365206
2026-02-21,985.72,985.5,986.07,985.28,183
2026-02-23,981.9,984.5,992.08,978.26,482602
2026-02-24,984.86,998.02,998.88,910.0,536862
2026-02-25,997.17,997.58,1000.0,990.09,262681
2026-02-26,995.15,995.32,1002.03,984.785,396074
2026-02-27,985.0,987.0,1003.57,981.0,400372
2026-02-28,1006.12,1005.41,1008.0,1005.41,849
2026-03-02,1017.095,1006.75,1020.82,992.28,511758
2026-03-03,1002.01,1000.88,1014.38,991.0,392643
2026-03-04,1009.25,1005.62,1011.84,996.72,294888
2026-03-05,1007.16,1003.48,1012.85,999.92,124987
2026-03-06,980.25,975.22,985.42,974.0,78521
2026-03-07,996.83,996.0,996.86,995.25,341
2026-03-09,988.04,994.42,998.1,965.5,7940
2026-03-10,1003.49,1001.0,1007.89,996.0,3308
2026-03-11,998.17,997.4,1012.99,994.96,3777
2026-03-12,989.07,989.31,996.78,987.24,2541
2026-03-13,1001.76,1006.98,1018.55,996.18,3622
2026-03-16,1007.88,1008.91,1014.0,1001.2,3040
2026-03-17,1000.2,1003.62,1007.8,998.47,1341
2026-03-18,998.0,989.0,1006.38,988.0,12529
