Datetime,Open,High,Low,Close,Volume,Ticker
2025-02-03 09:30:00,966.0174,973.3739,962.595,969.1915,133717,COST
2025-02-03 09:35:00,970.1452,977.3477,969.9515,977.3477,46040,COST
2025-02-03 09:40:00,976.8609,979.0167,973.7266,978.212,40652,COST
2025-02-03 09:45:00,978.5448,982.5137,977.0596,981.7956,45001,COST
2025-02-03 09:50:00,981.3315,981.9332,974.9337,976.1903,55031,COST
2025-02-03 09:55:00,976.5033,978.0431,974.9336,977.6259,28386,COST
2025-02-03 10:00:00,976.7218,976.7218,971.089,974.7645,34061,COST
2025-02-03 10:05:00,974.1041,976.4933,973.9104,976.1605,25761,COST
2025-02-03 10:10:00,975.6986,977.3589,974.0842,975.0777,22530,COST
2025-02-03 10:15:00,975.0429,976.3217,974.725,975.2664,17723,COST
2025-02-03 10:20:00,975.8079,982.6192,975.3062,982.5037,42007,COST
2025-02-03 10:25:00,981.6977,985.5338,981.6977,984.0833,43422,COST
2025-02-03 10:30:00,984.0833,987.2322,983.3184,986.7259,26801,COST
2025-02-03 10:35:00,986.2093,988.0074,986.1894,987.8237,30493,COST
2025-02-03 10:40:00,987.3617,988.9711,985.8616,987.6697,28219,COST
2025-02-03 10:45:00,987.7889,989.2493,986.3832,986.3832,34588,COST
2025-02-03 10:50:00,986.4974,989.6764,986.4104,989.6764,33312,COST
2025-02-03 10:55:00,989.6814,991.2361,987.7889,988.7277,38402,COST
2025-02-03 11:00:00,951.0,963.65,946.32,953.44,877,COST
2025-02-03 11:05:00,953.71,953.71,951.04,953.32,571,COST
2025-02-03 11:10:00,953.29,954.61,952.87,953.63,171,COST
2025-02-03 11:15:00,954.66,954.66,953.63,954.61,47,COST
2025-02-03 11:20:00,953.59,954.71,953.56,953.65,78,COST
2025-02-03 11:25:00,954.67,955.44,954.26,954.97,45,COST
2025-02-03 11:30:00,954.96,955.22,954.69,954.97,40,COST
2025-02-03 11:35:00,954.69,954.88,952.6,952.72,337,COST
2025-02-03 11:40:00,952.72,953.18,951.83,951.83,107,COST
2025-02-03 11:45:00,952.07,952.27,952.06,952.07,83,COST
2025-02-03 11:50:00,952.52,952.72,952.07,952.18,48,COST
2025-02-03 11:55:00,952.18,952.18,951.82,951.82,42,COST
2025-02-03 12:00:00,952.12,952.12,951.82,951.85,16,COST
2025-02-03 12:05:00,951.85,955.69,951.84,955.5,645,COST
2025-02-03 12:10:00,955.5,955.5,955.5,955.5,2,COST
2025-02-03 12:15:00,954.9,955.6,953.92,954.67,92,COST
2025-02-03 12:20:00,954.83,955.93,954.83,955.69,76,COST
2025-02-03 12:25:00,954.44,954.44,954.44,954.44,1,COST
2025-02-03 12:30:00,955.7,956.96,954.9,954.9,43,COST
2025-02-03 12:35:00,955.21,955.21,955.17,955.17,3,COST
2025-02-03 12:40:00,955.17,956.21,954.72,955.31,31,COST
2025-02-03 12:45:00,956.87,957.35,955.59,956.9,35,COST
2025-02-03 12:50:00,956.69,956.69,956.69,956.69,1,COST
2025-02-03 12:55:00,956.89,956.89,955.79,956.02,51,COST
2025-02-03 13:00:00,956.02,956.89,955.75,955.75,48,COST
2025-02-03 13:05:00,955.81,957.69,955.81,957.69,58,COST
2025-02-03 13:10:00,957.67,957.69,956.21,957.68,44,COST
2025-02-03 13:15:00,957.69,957.69,955.98,955.99,14,COST
2025-02-03 13:20:00,956.1,956.69,956.1,956.69,14,COST
2025-02-03 13:25:00,956.69,956.69,956.09,956.09,16,COST
2025-02-03 13:30:00,956.22,956.66,956.11,956.66,65,COST
2025-02-03 13:35:00,998.4784,999.3129,997.9122,998.0214,17099,COST
2025-02-03 13:40:00,956.13,956.6,956.1,956.6,60,COST
2025-02-03 13:45:00,956.69,957.19,956.11,956.11,57,COST
2025-02-03 13:50:00,956.15,958.12,956.14,957.71,381,COST
2025-02-03 13:55:00,957.72,958.5,957.69,958.49,194,COST
