date,Open,Close,High,Low,Volume
2025-02-03,76.7645,76.81,79.38,74.9562,10080478
2025-02-04,77.9489,77.65,78.2219,76.7986,3569788
2025-02-05,77.0813,76.88,77.2958,76.22,3366195
2025-02-06,78.1342,77.88,80.2057,77.46,7722797
2025-02-07,80.0449,80.54,80.8248,79.5379,5014808
2025-02-10,79.2991,79.97,80.42,78.0562,3576950
2025-02-11,78.4071,78.52,79.3917,78.2024,4159297
2025-02-12,78.3486,78.28,79.34,77.74,3706312
2025-02-13,79.0554,79.31,80.0351,78.52,4344129
2025-02-14,80.6785,80.1,82.3309,79.64,7047008
2025-02-18,81.7801,81.94,82.5649,80.38,4367115
2025-02-19,81.9068,81.93,82.6,81.3512,4101013
2025-02-20,81.7899,81.69,81.97,78.9043,6498791
2025-02-21,79.6793,79.77,79.8499,77.676,3130341
2025-02-24,78.5826,78.34,78.6606,75.1316,5385135
2025-02-25,77.3543,76.82,82.5,74.6735,6395669
2025-02-26,77.0033,77.1057,78.0757,76.17,6269776
2025-02-27,77.5005,77.07,78.3486,76.82,4123044
2025-02-28,77.0765,77.53,77.68,75.658,6681653
2025-03-03,78.2122,77.93,78.49,74.4785,6621927
2025-03-04,71.164,74.09,75.55,68.8536,15344845
2025-03-05,70.7936,70.67,72.68,69.02,7355017
2025-03-06,69.6432,69.95,71.36,68.7854,5111387
2025-03-07,68.0932,68.24,69.7,66.4116,8297399
2025-03-10,66.6992,67.36,69.19,64.6812,7540268
2025-03-11,66.0363,65.89,66.4847,63.86,7344013
2025-03-12,66.7479,66.93,67.3717,65.6074,5420527
2025-03-13,66.6992,66.39,67.4011,65.0517,6675309
2025-03-14,66.0753,66.5,67.2646,65.54,5765442
2025-03-17,67.1184,66.86,68.5894,66.42,4537523
2025-03-18,68.6001,68.09,68.73,65.92,5146530
2025-03-19,68.0591,68.57,70.3207,67.9177,4293529
2025-03-20,69.1266,69.2,71.0909,68.761,5550106
2025-03-21,69.653,69.51,70.428,68.9852,9353758
2025-03-24,71.0178,71.37,72.1923,70.17,5817192
2025-03-25,72.8066,72.44,72.9187,70.72,3841900
2025-03-26,72.9967,72.68,73.1722,68.04,6367314
2025-03-27,70.3744,71.24,71.76,69.9564,5791400
2025-03-28,70.1794,69.68,70.3841,67.9275,6702946
2025-03-31,67.596,67.28,68.7872,66.6894,5328125
2025-04-01,68.4832,68.84,69.51,67.5376,5176609
2025-04-02,68.6684,67.85,70.28,67.73,4308405
2025-04-03,64.1061,66.0,79.35,62.0979,14834778
2025-04-04,57.7013,58.3,61.81,54.8889,19781110
2025-04-07,54.6208,55.18,59.7875,52.64,13238403
2025-04-08,59.5389,59.61,61.0841,57.37,8268689
2025-04-09,56.3024,56.09,61.4058,54.8645,12410999
2025-04-10,60.4894,60.49,79.0,58.9784,6916403
2025-04-11,59.2465,59.9,61.33,58.4422,7031512
2025-04-14,61.8054,61.29,62.8095,60.09,7576510
2025-04-15,62.7338,62.59,79.0,61.44,8569377
2025-04-16,62.1564,62.4,62.78,60.0653,6164321
2025-04-17,60.6064,60.72,62.1369,60.2847,5012346
2025-04-21,61.4496,60.93,61.68,60.4699,4694068
2025-04-22,62.4196,61.79,63.2385,61.11,3704628
2025-04-23,65.9193,65.02,67.0891,62.93,6858104
2025-04-24,64.5009,64.57,66.6212,64.02,6077063
2025-04-25,66.5855,66.0,66.9673,65.8,4166071
2025-04-28,67.2646,66.82,67.6545,66.124,3369777
2025-04-29,66.8747,66.39,67.3231,66.2605,3738374
2025-04-30,65.4221,65.78,67.31,65.0419,7244746
2025-05-01,66.3348,66.65,67.094,66.1825,3636988
2025-05-02,68.2882,67.65,69.0474,66.43,5010100
