Datetime,Open,High,Low,Close,Volume,Ticker
2025-02-03 09:30:00,76.5257,77.1106,76.5257,76.7645,131728,C
2025-02-03 09:35:00,76.7304,76.7499,75.3558,75.6483,2203977,C
2025-02-03 09:40:00,75.6308,75.7653,75.0585,75.1024,1205107,C
2025-02-03 09:45:00,75.1024,75.2876,74.9562,75.0439,818749,C
2025-02-03 09:50:00,75.0341,75.2486,74.9659,75.2389,609723,C
2025-02-03 09:55:00,75.2486,75.7507,75.2291,75.4338,552672,C
2025-02-03 10:00:00,75.4241,75.5606,75.2096,75.4338,336166,C
2025-02-03 10:05:00,75.4143,75.7945,75.3169,75.7653,250319,C
2025-02-03 10:10:00,75.7635,75.9992,75.6775,75.7653,254354,C
2025-02-03 10:15:00,75.775,75.8725,75.5118,75.5118,242975,C
2025-02-03 10:20:00,75.5313,76.8425,75.3997,76.7791,739901,C
2025-02-03 10:25:00,76.784,77.0812,76.6037,77.0033,661746,C
2025-02-03 10:30:00,77.0033,77.442,76.8864,77.364,529057,C
2025-02-03 10:35:00,77.364,77.3738,76.8571,76.8571,318468,C
2025-02-03 10:40:00,76.8571,77.3738,76.7986,77.2666,270751,C
2025-02-03 10:45:00,77.2471,77.2714,77.0227,77.1983,216034,C
2025-02-03 10:50:00,77.1886,77.3445,77.1301,77.2666,166124,C
2025-02-03 10:55:00,77.2666,77.4323,77.2178,77.3738,185893,C
2025-02-03 11:00:00,77.75,78.23,77.01,77.54,2792,C
2025-02-03 11:05:00,77.51,77.51,77.48,77.48,3515,C
2025-02-03 11:10:00,77.41,77.41,77.38,77.41,88,C
2025-02-03 11:15:00,77.4,77.66,77.39,77.4,116,C
2025-02-03 11:20:00,77.51,77.66,77.51,77.66,41,C
2025-02-03 11:25:00,77.66,77.66,77.43,77.66,109,C
2025-02-03 11:30:00,77.51,77.51,77.48,77.5,1186,C
2025-02-03 11:35:00,77.5,77.55,77.48,77.52,761,C
2025-02-03 11:40:00,77.48,77.48,77.38,77.38,241,C
2025-02-03 11:45:00,77.38,77.38,77.38,77.38,196,C
2025-02-03 11:50:00,77.46,77.46,77.46,77.46,5,C
