date,Open,Close,High,Low,Volume
2025-02-03,200.3396,199.71,203.21,196.72,9579133
2025-02-04,202.6155,202.25,205.494,199.37,8871364
2025-02-05,188.9223,190.59,205.57,187.2863,31491055
2025-02-06,189.3133,189.35,191.47,187.9736,10300884
2025-02-07,189.8462,190.67,190.84,184.3679,16283386
2025-02-10,185.6329,186.36,187.4557,184.05,8033979
2025-02-11,185.68,184.5,185.852,184.41,2944508
2025-02-12,185.03,182.6,185.45,182.14,3259432
2025-02-13,183.47,183.49,184.3181,181.76,3249096
2025-02-14,185.99,184.96,186.54,183.6435,3070470
2025-02-15,185.03,185.0,185.06,184.98,6594
2025-02-18,184.5173,186.12,186.17,182.8141,8449490
2025-02-19,183.65,183.48,205.56,183.02,2919202
2025-02-20,184.93,184.25,185.08,172.09,3203273
2025-02-21,184.53,184.63,184.72,181.2614,4263926
2025-02-22,179.27,179.22,179.28,179.01,21315
2025-02-24,181.7981,182.8,183.04,178.7801,10020744
2025-02-25,179.06,177.62,183.04,174.4573,6647476
2025-02-26,175.69,175.82,176.69,174.0588,4582539
2025-02-27,172.44,173.34,176.13,168.3515,8292147
2025-02-28,168.36,168.25,168.8197,167.27,4691042
2025-03-01,170.44,170.4,170.51,170.29,10146
2025-03-03,172.3456,171.11,172.6843,168.491,9237104
2025-03-04,167.05,165.3,167.97,165.01,7120123
2025-03-05,171.83,170.23,172.78,165.68,3902256
2025-03-06,172.98,170.26,174.1186,170.0,4612101
2025-03-07,172.39,171.17,173.42,169.9452,4060822
2025-03-08,173.49,173.51,173.62,173.29,6592
2025-03-10,165.7423,168.78,173.61,163.3389,13986833
2025-03-11,164.3,164.8,166.56,163.1893,5964339
2025-03-12,164.15,167.19,168.73,163.0796,5274933
2025-03-13,167.25,165.7,167.74,162.3417,3547952
2025-03-14,163.77,163.82,173.38,162.0026,5372260
2025-03-15,165.33,165.4,165.58,165.3,15956
2025-03-17,165.2137,165.43,165.842,163.55,6552882
2025-03-18,164.48,163.41,164.5,156.2884,9768315
2025-03-19,160.73,160.88,162.232,159.89,3183408
2025-03-20,164.92,161.72,165.29,161.67,3453035
2025-03-21,162.73,160.68,162.8,160.66,2805451
2025-03-22,164.3,164.31,164.36,163.99,17931
2025-03-24,164.7749,166.33,167.3877,163.54,7599564
2025-03-25,167.68,167.89,169.8509,166.68,3796532
2025-03-26,170.94,168.99,172.14,164.07,3406058
2025-03-27,164.75,164.77,165.46,163.1594,3755081
2025-03-28,161.9,160.59,162.19,156.4978,7755767
2025-03-29,154.3,154.29,154.31,154.22,14558
2025-03-31,151.5913,152.78,161.79,150.2471,13407893
2025-04-01,153.95,153.93,156.9615,153.21,5656730
2025-04-02,157.65,155.22,157.75,154.57,3658927
2025-04-03,151.29,149.74,198.34,149.6,7757417
2025-04-04,150.63,146.77,150.88,143.97,11027655
2025-04-05,144.81,144.79,145.6,144.7,36263
2025-04-07,141.4593,144.01,152.429,136.62,29100874
2025-04-08,148.7,150.21,151.8207,140.3,7105768
2025-04-09,142.2,143.76,145.9569,140.71,7064579
2025-04-10,158.95,155.54,159.24,153.59,6453177
2025-04-11,153.2,153.35,155.7299,151.59,5747586
2025-04-12,156.91,157.09,157.09,156.8,13044
2025-04-14,160.2076,159.27,161.2746,156.7,9002046
2025-04-15,159.37,159.25,164.9,156.3882,4242957
2025-04-16,155.1,152.73,155.88,152.34,3237219
2025-04-17,153.6,154.23,164.9,148.091,9541772
2025-04-18,150.87,150.95,151.0,150.87,11179
2025-04-21,148.1309,148.7,164.59,146.4655,6358258
2025-04-22,147.82,148.46,150.1753,147.26,3475652
2025-04-23,154.35,155.11,157.0912,146.12,5302059
2025-04-24,155.66,155.05,157.7643,153.16,4668872
2025-04-25,166.85,164.5,168.5,158.84,11828185
2025-04-26,161.81,161.7,161.9,161.69,26063
2025-04-28,161.3444,162.12,164.76,159.5196,10113122
2025-04-29,160.39,159.64,160.93,157.6446,5870799
2025-04-30,159.5,157.28,160.72,155.1914,3667356
2025-05-01,159.88,159.59,160.9555,147.26,4778630
2025-05-02,161.77,163.13,163.8674,160.86,4121303
2025-05-03,163.83,163.84,163.89,163.8,6385
2025-05-05,163.5433,162.22,164.8248,146.45,5982272
2025-05-06,164.18,161.65,164.3,161.06,2058561
2025-05-07,164.25,163.53,165.0,155.8895,13743196
2025-05-08,152.06,154.74,155.38,149.9,11581073
2025-05-09,154.35,153.53,154.95,151.7808,6999140
2025-05-10,152.7,152.66,152.75,152.64,25689
2025-05-12,157.1759,157.14,158.16,152.33,15414644
2025-05-13,158.43,158.49,159.4995,156.5327,10334093
2025-05-14,159.56,159.86,164.3611,159.09,9504777
