date,Open,Close,High,Low,Volume
2025-02-03,612.2151,610.88,624.43,604.74,949763
2025-02-04,617.2513,621.08,623.45,613.4047,726052
2025-02-05,621.5026,621.6,628.4012,612.34,654315
2025-02-06,635.7239,633.19,642.0034,627.78,1064098
2025-02-07,640.4579,643.53,650.82,636.8745,1060772
2025-02-10,640.0484,645.49,651.24,628.1867,1088709
2025-02-11,629.893,629.52,640.73,625.63,1383954
2025-02-12,626.8947,625.51,638.33,621.64,1045967
2025-02-13,632.4526,634.03,638.73,624.54,875835
2025-02-14,636.1335,632.34,646.7226,628.57,1182710
2025-02-18,649.3359,645.8,654.48,624.76,637912
2025-02-19,651.598,651.86,662.52,646.72,689108
2025-02-20,653.0996,650.92,657.24,615.9057,2101767
2025-02-21,627.0556,630.34,642.18,607.9784,835480
2025-02-24,620.391,614.72,621.41,599.471,1122161
2025-02-25,612.7026,613.32,622.57,590.8904,1238088
2025-02-26,604.6827,601.54,607.2612,585.04,798462
2025-02-27,602.2987,601.62,610.34,590.89,933371
2025-02-28,594.9637,597.24,603.6836,587.37,932559
2025-03-03,611.8275,611.5,617.08,600.8766,777226
2025-03-04,571.3611,586.78,603.51,556.0866,2086996
2025-03-05,567.1089,571.69,582.95,565.1102,900472
2025-03-06,565.0367,571.78,583.02,559.5647,1364893
2025-03-07,550.0512,554.65,563.11,533.885,1807032
2025-03-10,530.593,536.72,551.18,514.6816,1773627
2025-03-11,524.587,523.18,529.0646,514.8775,1269866
2025-03-12,530.5832,532.99,544.26,510.06,1332819
2025-03-13,526.3898,525.18,528.27,514.38,760966
2025-03-14,519.2767,521.29,609.7,514.19,1493377
2025-03-17,533.9732,528.31,545.216,524.23,827688
2025-03-18,540.567,538.87,553.57,535.5898,873290
2025-03-19,536.1973,537.92,553.57,533.48,899247
2025-03-20,543.6827,543.76,560.62,540.8316,941308
2025-03-21,544.0305,546.91,554.9549,540.0555,1316077
2025-03-24,563.3662,563.22,570.2889,553.7,573904
2025-03-25,574.8001,571.2,578.06,566.31,580289
2025-03-26,577.4798,575.12,580.93,539.55,868403
2025-03-27,548.6354,547.7487,563.16,541.3704,1089297
2025-03-28,545.6324,544.49,549.16,526.8307,1146477
2025-03-31,523.3035,523.16,532.13,517.8952,554314
2025-04-01,530.3824,531.87,538.6422,522.45,750796
2025-04-02,537.8923,530.44,555.8416,528.1695,960445
2025-04-03,515.725,520.67,551.71,500.4652,1924648
2025-04-04,477.4357,476.86,500.89,450.693,2205030
2025-04-07,440.621,447.75,480.0664,427.18,2193756
2025-04-08,475.7113,473.74,481.9708,456.09,1381913
2025-04-09,444.8291,444.62,490.7067,433.06,1570826
2025-04-10,487.444,492.26,508.5,471.1799,1097601
2025-04-11,476.696,478.13,488.9,469.0048,1120679
2025-04-14,495.7231,501.4,505.12,484.44,1717091
2025-04-15,500.1908,494.27,508.1563,491.1,1058384
2025-04-16,493.45,488.8353,499.68,485.994,864103
2025-04-17,490.7263,493.33,504.2765,488.95,1013781
2025-04-21,496.1738,492.92,501.64,485.9303,712877
2025-04-22,503.0811,496.74,508.5188,491.22,1150621
2025-04-23,528.3297,526.02,540.6258,509.47,1364515
2025-04-24,518.4341,518.12,535.776,512.8298,994407
2025-04-25,536.0699,532.0,537.66,523.11,606809
2025-04-28,539.1366,538.87,543.281,525.16,653870
2025-04-29,537.5885,536.3,541.81,530.3481,633014
2025-04-30,523.8326,528.25,541.03,495.28,862084
2025-05-01,535.002,534.95,547.0482,533.97,898513
2025-05-02,554.8226,553.57,557.8648,542.62,1082624
2025-05-05,550.5509,547.7,555.097,546.2203,719039
2025-05-06,539.7342,540.34,553.56,535.9915,1219112
2025-05-07,541.297,542.99,546.22,538.24,727729
