Datetime,Open,High,Low,Close,Volume,Ticker
2025-02-03 09:30:00,610.39,613.22,608.44,612.22,129812,GS
2025-02-03 09:35:00,612.21,612.58,608.44,609.17,57664,GS
2025-02-03 09:40:00,609.06,610.25,608.14,608.51,57256,GS
2025-02-03 09:45:00,608.71,611.16,606.96,610.14,68253,GS
2025-02-03 09:50:00,610.2,611.53,609.62,609.92,50601,GS
2025-02-03 09:55:00,610.71,611.88,610.2,610.5,38945,GS
2025-02-03 10:00:00,609.72,612.4,609.42,611.38,34238,GS
2025-02-03 10:05:00,611.43,614.31,611.0,613.98,51228,GS
2025-02-03 10:10:00,613.69,614.47,612.53,613.45,45289,GS
2025-02-03 10:15:00,613.35,613.79,611.01,611.06,31351,GS
2025-02-03 10:20:00,610.83,617.08,609.89,615.62,61838,GS
2025-02-03 10:25:00,616.42,619.03,614.62,618.26,28135,GS
2025-02-03 10:30:00,618.53,619.17,617.35,618.14,27853,GS
2025-02-03 10:35:00,618.43,618.5,616.76,617.54,24326,GS
2025-02-03 10:40:00,617.25,620.44,617.11,619.25,27110,GS
2025-02-03 10:45:00,618.8,618.81,617.22,618.56,22066,GS
2025-02-03 10:50:00,619.0,620.37,618.77,618.99,20358,GS
2025-02-03 10:55:00,618.98,620.61,618.98,620.29,19232,GS
2025-02-03 11:00:00,619.74,620.53,617.7,618.93,26913,GS
2025-02-03 11:05:00,619.43,619.7,616.72,618.51,26444,GS
2025-02-03 11:10:00,619.71,620.52,619.65,619.77,12890,GS
2025-02-03 11:15:00,619.96,621.78,619.57,621.41,20199,GS
2025-02-03 11:20:00,621.81,622.43,621.37,621.74,19455,GS
2025-02-03 11:25:00,621.87,622.02,620.82,621.06,16175,GS
2025-02-03 11:30:00,621.46,622.43,620.5,622.15,15532,GS
2025-02-03 11:35:00,622.0,622.48,621.65,622.4,11684,GS
2025-02-03 11:40:00,622.46,622.56,620.7,621.99,38521,GS
2025-02-03 11:45:00,621.93,622.0,620.94,621.4,12273,GS
2025-02-03 11:50:00,621.03,621.78,620.69,620.78,13548,GS
2025-02-03 11:55:00,620.55,620.71,618.99,619.49,13042,GS
2025-02-03 12:00:00,619.28,620.61,619.08,619.85,16105,GS
2025-02-03 12:05:00,619.67,620.13,618.92,619.88,11592,GS
2025-02-03 12:10:00,619.84,620.14,618.9,619.26,10502,GS
2025-02-03 12:15:00,619.2,619.67,618.8,619.45,8520,GS
2025-02-03 12:20:00,619.62,620.65,619.38,620.65,11674,GS
2025-02-03 12:25:00,620.48,621.18,619.81,619.81,12160,GS
2025-02-03 12:30:00,619.64,620.15,619.27,619.62,10415,GS
2025-02-03 12:35:00,619.36,619.56,618.48,618.82,9325,GS
2025-02-03 12:40:00,618.68,619.11,618.29,618.62,9054,GS
2025-02-03 12:45:00,618.66,619.2,618.32,618.48,12250,GS
2025-02-03 12:50:00,618.59,620.34,618.59,620.34,12804,GS
2025-02-03 12:55:00,620.14,620.14,616.92,618.95,48613,GS
2025-02-03 13:00:00,618.68,619.65,617.36,619.65,13817,GS
2025-02-03 13:05:00,619.55,620.14,618.45,618.45,10317,GS
2025-02-03 13:10:00,618.49,620.57,618.49,620.23,12852,GS
2025-02-03 13:15:00,620.31,620.46,619.48,620.2,10627,GS
2025-02-03 13:20:00,619.89,621.17,619.89,620.5,12332,GS
2025-02-03 13:25:00,620.25,621.16,620.24,620.53,14443,GS
2025-02-03 13:30:00,620.54,621.5,620.47,621.03,16083,GS
2025-02-03 13:35:00,621.28,621.54,620.46,620.86,9433,GS
2025-02-03 13:40:00,620.79,620.83,619.79,620.39,12616,GS
2025-02-03 13:45:00,620.39,620.64,620.11,620.19,16032,GS
2025-02-03 13:50:00,620.33,621.28,620.22,620.91,11705,GS
2025-02-03 13:55:00,620.83,620.83,620.02,620.09,15869,GS
2025-02-03 14:00:00,619.82,620.24,619.36,620.13,20136,GS
2025-02-03 14:05:00,620.04,620.38,619.56,620.14,6777,GS
2025-02-03 14:10:00,620.17,620.43,609.56,620.23,12943,GS
2025-02-03 14:15:00,619.96,620.4,619.7,619.99,7348,GS
2025-02-03 14:20:00,619.65,620.35,619.65,620.19,7371,GS
2025-02-03 14:25:00,620.18,620.25,619.62,619.62,9457,GS
2025-02-03 14:30:00,619.63,620.49,619.63,619.9,12904,GS
2025-02-03 14:35:00,619.71,619.9,619.42,619.56,6835,GS
2025-02-03 14:40:00,619.45,619.84,619.3,619.84,15001,GS
2025-02-03 14:45:00,620.06,620.45,619.65,619.65,16073,GS
2025-02-03 14:50:00,619.56,619.8,619.2,619.46,14993,GS
2025-02-03 14:55:00,619.67,619.7,618.99,619.6,13210,GS
2025-02-03 15:00:00,619.41,619.69,618.93,619.61,18952,GS
2025-02-03 15:05:00,619.61,619.61,618.5,618.7,9938,GS
2025-02-03 15:10:00,618.67,618.9,617.9,617.9,12434,GS
2025-02-03 15:15:00,617.9,619.13,617.9,618.81,11467,GS
2025-02-03 15:20:00,618.82,619.18,618.3,618.47,15508,GS
2025-02-03 15:25:00,618.52,618.56,617.22,617.25,16644,GS
2025-02-03 15:30:00,617.12,617.7,617.02,617.37,15435,GS
