date,Open,Close,High,Low,Volume
2025-02-03,54.6964,53.86,57.8,52.79,32274492
2025-02-04,56.975,56.34,57.21,55.69,15463465
2025-02-05,56.2,56.1,56.47,55.36,9331814
2025-02-06,56.17,56.11,56.41,55.15,9751254
2025-02-07,56.6052,56.27,57.05,54.93,15821088
2025-02-10,55.695,55.9,56.35,55.06,8778724
2025-02-11,55.0751,55.04,56.03,54.965,5395397
2025-02-12,53.99,53.97,54.94,53.45,15461129
2025-02-13,54.49,54.64,55.13,54.19,10233432
2025-02-14,55.0301,55.06,55.555,54.75,7753040
2025-02-18,54.78,54.74,54.99,54.04,11983748
2025-02-19,54.97,54.76,55.0,54.03,10557626
2025-02-20,55.776,55.51,55.815,55.01,8529645
2025-02-21,56.249,56.6,56.68,55.24,13794341
2025-02-24,54.29,54.35,54.7,53.27,14805399
2025-02-25,50.5,50.45,53.4,48.67,47590116
2025-02-26,48.77,49.44,50.72,48.55,19382736
2025-02-27,48.94,48.91,49.46,48.02,14789477
2025-02-28,46.0999,46.33,48.09,44.48,31016113
2025-03-03,52.79,53.18,53.26,50.5101,43430019
2025-03-04,47.1606,47.05,48.2759,46.28,27189850
2025-03-05,50.78,50.85,51.72,49.4,20385449
2025-03-06,50.9,50.9,52.78,50.63,19322665
2025-03-07,50.6397,50.68,51.82,49.77,21987430
2025-03-10,46.78,47.32,47.77,44.95,33456432
2025-03-11,46.06,46.15,46.66,44.885,18462199
2025-03-12,47.52,47.81,48.0,46.18,12142163
2025-03-13,47.0935,46.9,47.65,46.33,12770081
2025-03-14,47.59,47.43,47.72,46.45,12534997
2025-03-17,47.305,47.21,47.78,46.87,9092611
2025-03-18,46.665,46.83,47.48,46.09,11303899
2025-03-19,47.5999,47.63,48.025,46.81,8603805
2025-03-20,48.48,48.51,49.225,46.81,9318407
2025-03-21,47.395,47.43,48.21,47.25,6025247
2025-03-24,49.695,49.67,50.5,49.22,12842044
2025-03-25,49.9394,49.54,50.19,49.08,8630623
2025-03-26,49.71,49.95,50.22,49.13,8003477
2025-03-27,48.975,49.31,49.86,48.795,13498196
2025-03-28,48.4402,48.31,49.32,47.75,14255418
