date,Open,Close,High,Low,Volume
2025-02-03,258.8056,257.28,261.83,254.88,2754761
2025-02-04,262.4691,261.05,264.3205,259.35,1299293
2025-02-05,264.0561,263.88,265.1041,260.85,1594251
2025-02-06,266.4069,266.22,268.7872,264.65,1736599
2025-02-07,270.9079,272.31,272.94,269.4827,2214493
2025-02-10,269.6394,271.8,272.09,264.0756,2814128
2025-02-11,264.629,265.45,270.0214,262.24,1916763
2025-02-12,269.277,267.75,270.7953,266.57,1997951
2025-02-13,269.3357,270.06,270.66,268.3856,3804682
2025-02-14,272.3576,270.69,273.5217,270.16,1677381
2025-02-18,271.6573,271.58,273.49,270.3741,1985894
2025-02-19,271.9168,273.36,276.16,262.46,1756027
2025-02-20,272.3625,273.03,273.7,260.4807,3417843
2025-02-21,262.4593,262.36,263.5466,260.84,2812774
2025-02-24,260.8774,260.36,262.91,253.3202,3004009
2025-02-25,256.3176,256.66,257.6204,250.0485,3061084
2025-02-26,252.7471,252.62,255.5746,251.6745,2111804
2025-02-27,255.5904,254.03,258.2473,253.3,3316587
2025-02-28,254.9756,256.2,257.2677,251.75,2040328
2025-03-03,260.3631,259.53,260.92,257.63,2096109
2025-03-04,249.0396,253.22,256.25,240.9191,5186296
2025-03-05,245.2879,245.87,249.75,242.7607,2465523
2025-03-06,241.9477,243.45,246.86,238.8621,2802308
2025-03-07,240.1061,241.25,244.69,234.7774,4607930
2025-03-10,230.3596,232.38,237.36,226.5247,5189933
2025-03-11,227.7247,228.04,230.8,222.151,4261131
2025-03-12,228.0871,228.47,229.527,222.6114,4786818
2025-03-13,224.022,224.12,225.64,219.7316,3972756
2025-03-14,224.1885,222.77,259.24,220.58,3685172
2025-03-17,226.941,227.23,229.0862,225.05,2010769
2025-03-18,230.6829,228.66,232.09,228.23,2641264
2025-03-19,230.5555,230.58,235.4239,230.0854,1952826
2025-03-20,232.6616,232.78,238.16,231.3686,1988442
2025-03-21,233.4795,232.48,237.3438,231.6624,5172463
2025-03-24,240.7216,240.67,242.3297,236.66,2481852
2025-03-25,244.71,244.4,245.0822,239.1,2371135
2025-03-26,247.3703,246.29,249.4608,228.95,3205997
2025-03-27,243.8579,246.11,246.53,242.124,2503043
2025-03-28,242.9468,241.47,244.4014,236.1781,3484288
2025-03-31,235.3906,234.42,237.88,232.5091,2565112
2025-04-01,238.2058,239.34,240.83,235.9546,2193295
2025-04-02,239.2735,236.71,242.1876,235.34,2551138
2025-04-03,229.2185,229.75,240.79,222.6506,5980494
2025-04-04,214.5188,215.22,226.88,206.0189,7784529
2025-04-07,201.5915,202.0,218.9591,194.06,8118829
2025-04-08,222.2619,218.32,224.6633,202.7,5330311
2025-04-09,213.3651,211.02,216.3036,203.95,5032100
2025-04-10,225.5825,226.58,231.07,223.073,4054470
2025-04-11,226.5686,224.08,233.82,221.865,6663599
2025-04-14,235.54,236.16,236.4391,230.7692,4125647
2025-04-15,233.19,231.35,235.3248,230.25,2712567
2025-04-16,230.0001,229.01,230.72,227.1602,2028865
2025-04-17,228.6679,228.54,230.9368,226.41,2998099
2025-04-21,227.6138,225.93,228.77,221.87,1908391
2025-04-22,228.5111,228.27,232.3173,225.8,2488202
2025-04-23,239.0029,238.55,243.3514,211.45,3866358
2025-04-24,235.6798,236.75,240.9356,234.2697,3109518
2025-04-25,241.5962,240.51,242.97,238.3,2528074
2025-04-28,241.4089,240.57,243.4044,237.7506,1743378
2025-04-29,239.9298,238.93,241.4828,238.3225,2874328
2025-04-30,237.7752,237.89,241.69,235.1079,2766962
2025-05-01,239.3973,240.35,244.3375,237.86,1570357
2025-05-02,249.0262,248.02,250.085,243.45,2082472
2025-05-05,248.4198,247.27,251.3287,245.94,1664622
2025-05-06,247.0886,247.13,249.47,245.5306,1613179
2025-05-07,246.3786,247.35,248.9326,245.78,2899286
2025-05-08,248.7716,248.28,252.2211,245.92,2218055
2025-05-09,251.0822,250.79,252.43,245.78,1700871
2025-05-12,257.3634,258.2,260.32,249.55,3236774
2025-05-13,257.0528,256.87,259.8089,254.9,2863138
2025-05-14,259.446,259.23,261.9782,258.15,2080514
2025-05-15,263.7581,262.93,265.7647,260.58,2782430
2025-05-16,262.8114,264.09,264.77,261.0217,3408877
2025-05-19,261.6824,261.7,264.5814,256.81,2914050
2025-05-20,260.9527,260.63,263.93,258.6453,2736142
2025-05-21,261.1746,260.19,261.98,258.0159,1774089
2025-05-22,256.4612,256.47,259.89,255.2618,2097726
2025-05-23,254.6419,252.42,258.62,250.46,2749665
2025-05-27,258.8327,260.32,262.27,257.08,2070972
2025-05-28,262.422,261.36,263.0037,225.95,1716023
2025-05-29,260.2723,260.24,264.49,258.8721,1128803
2025-05-30,260.1639,259.16,261.6331,258.35,1890572
2025-06-02,260.5287,259.04,260.6421,256.53,2086755
2025-06-03,261.8796,259.83,262.5994,259.0,2247353
2025-06-04,262.8824,262.43,264.26,260.652,1853921
2025-06-05,259.73,260.9,262.29,256.683,2237320
2025-06-06,261.4014,260.44,262.7671,257.96,2744262
2025-06-09,260.1244,263.27,264.049,259.6807,2728473
2025-06-10,263.2601,263.17,264.6899,261.83,1483551
2025-06-11,263.0333,265.3,266.24,261.76,1907511
2025-06-12,262.6582,263.18,264.4828,261.4457,2680216
2025-06-13,260.4991,261.3,264.5,257.9,2320992
2025-06-16,264.897,263.1,267.8355,261.26,2115467
2025-06-17,265.814,265.42,267.92,263.59,2341417
2025-06-18,268.1416,266.46,273.8505,264.44,3042702
2025-06-20,272.7559,271.39,273.4363,268.41,4011058
2025-06-23,271.05,271.53,273.04,269.29,1531930
2025-06-24,276.0351,276.49,278.13,274.39,2364100
2025-06-25,278.0906,277.38,280.61,276.25,1876490
2025-06-26,282.3652,280.78,284.9536,279.91,3349021
2025-06-27,282.6363,282.12,285.83,281.1572,3124320
2025-06-30,286.4721,284.35,288.5724,282.97,2794895
2025-07-01,286.3242,285.47,287.0736,282.7053,2600281
2025-07-02,287.2018,287.34,289.56,285.6635,2108125
2025-07-03,289.4221,289.29,293.1126,287.91,2745246
2025-07-07,292.5083,292.71,294.25,288.2729,2159972
2025-07-08,283.3093,287.02,289.26,278.9303,4474098
2025-07-09,281.9768,283.62,289.26,280.16,4244712
2025-07-10,281.2139,280.38,284.9335,278.52,2202720
2025-07-11,282.7743,283.02,285.52,281.0257,1732854
2025-07-14,283.6908,284.45,285.43,282.57,2449995
2025-07-15,286.3814,284.4,292.58,282.21,4400823
2025-07-16,285.7465,284.95,288.0351,281.7341,2979864
2025-07-17,282.8189,282.9,287.2623,280.8127,2390383
2025-07-18,286.2369,287.46,289.4023,285.5583,2511621
2025-07-21,288.793,288.3,291.4531,287.81,1863003
2025-07-22,288.3472,289.06,291.87,286.4995,1930322
2025-07-23,291.0172,290.73,293.1572,288.73,1861779
2025-07-24,294.5145,292.28,296.3572,267.67,1636422
2025-07-25,294.2668,294.21,296.17,292.07,2254786
2025-07-28,295.2476,295.42,297.22,288.57,1431848
2025-07-29,297.4025,295.76,298.5003,294.5641,1994614
2025-07-30,295.7331,295.17,297.41,293.06,1908796
2025-07-31,297.343,295.26,298.1851,293.55,2087808
2025-08-01,285.2016,289.79,293.81,281.6029,3435610
2025-08-04,288.4512,287.7,290.5615,286.69,1434742
2025-08-05,292.0178,290.96,293.18,284.5775,2430489
2025-08-06,289.1943,289.64,291.15,287.5001,1603084
2025-08-07,290.3485,290.51,291.04,285.8406,1523759
2025-08-08,285.5385,285.48,288.5305,284.28,2340519
2025-08-11,286.3013,286.89,289.05,284.58,1171627
2025-08-12,290.0661,288.3,292.0178,286.18,2813611
2025-08-13,290.9181,291.26,292.17,284.9837,1881315
2025-08-14,288.897,285.93,290.8983,284.85,1849506
2025-08-15,290.7893,292.02,293.27,287.2822,2528300
