date,Open,Close,High,Low,Volume
2025-02-03,682.9046,673.29,696.4026,663.15,8355864
2025-02-04,697.8481,698.18,704.6369,689.35,5461209
2025-02-05,705.1553,701.27,715.9118,695.45,6455858
2025-02-06,705.8033,705.35,716.6695,700.33,5198560
2025-02-07,719.6004,712.78,722.7605,709.28,6059068
2025-02-10,716.4203,717.74,719.43,709.123,4543973
2025-02-11,715.79,711.22,716.5,674.93,1766412
2025-02-12,719.75,710.44,721.63,710.29,2469529
2025-02-13,725.1,723.38,726.14,719.06,1905400
2025-02-14,726.42,722.65,731.1345,722.23,2228931
2025-02-15,736.36,736.46,736.85,735.86,4102
2025-02-18,730.975,735.0,737.21,712.8813,7709178
2025-02-19,714.79,708.45,715.99,693.2324,3876598
2025-02-20,699.24,696.38,701.59,693.3321,2015099
2025-02-21,693.72,698.1,699.7422,689.6934,2801897
2025-02-22,682.91,682.31,682.91,682.31,7980
2025-02-24,682.9096,684.37,687.25,660.3946,6177840
2025-02-25,666.32,666.35,714.15,645.6206,4420994
2025-02-26,660.93,660.14,678.0896,655.46,3802102
2025-02-27,676.53,680.69,683.37,658.7797,2403925
2025-02-28,659.63,658.72,662.807,650.5554,2424962
2025-03-01,668.16,668.43,668.92,667.89,7761
2025-03-03,677.2124,670.71,679.1363,660.6239,3456397
2025-03-04,655.08,640.38,656.93,622.4926,4815229
2025-03-05,646.33,640.51,648.39,638.01,2407496
2025-03-06,654.82,646.74,655.43,640.347,1901166
2025-03-07,628.48,624.6,629.72,609.2139,4152888
2025-03-08,623.85,623.66,624.06,623.21,5045
2025-03-10,603.6612,608.45,623.72,585.0492,6491260
2025-03-11,587.08,595.65,611.9654,584.58,3192862
2025-03-12,604.87,621.75,626.9335,603.83,3075915
2025-03-13,621.73,615.78,621.96,594.1907,2769587
2025-03-14,594.69,601.98,666.7,589.32,2391294
2025-03-15,607.5,607.85,608.0,607.35,8334
2025-03-17,604.4921,611.04,611.7259,597.857,4184889
2025-03-18,605.25,599.06,605.69,574.4995,4957767
2025-03-19,580.03,582.9,587.0313,578.5204,2338967
2025-03-20,587.2,580.81,608.2437,576.7,5265999
2025-03-21,585.78,581.24,591.5212,580.7,2467557
2025-03-22,596.74,597.04,597.05,596.25,14588
2025-03-24,612.095,610.13,621.1447,594.91,6597992
2025-03-25,618.02,623.87,632.4593,614.12,3067836
2025-03-26,627.43,624.0,628.57,602.53,2271218
2025-03-27,605.07,605.31,612.8234,603.1,1951168
2025-03-28,601.49,596.66,602.4,582.8708,2763194
2025-03-29,575.39,575.5,576.0,575.06,12210
2025-03-31,554.3547,564.92,575.45,552.0599,7563463
2025-04-01,573.07,572.21,581.9727,569.98,2192750
2025-04-02,587.69,576.48,588.0091,574.5,1635651
2025-04-03,556.45,549.02,582.62,533.8009,6530024
2025-04-04,530.85,508.35,548.04,493.0923,8096643
2025-04-05,502.17,500.56,502.48,500.0,29839
2025-04-07,486.9561,493.29,538.1611,465.85,16150541
2025-04-08,524.5,535.46,544.457,482.44,4471621
2025-04-09,496.0,506.11,521.47,487.67,3762215
2025-04-10,587.61,572.21,588.0,552.1297,4310442
2025-04-11,543.5,543.78,558.15,527.4054,3747820
2025-04-12,542.86,543.0,543.0,542.5,8704
2025-04-14,552.918,551.27,556.5199,538.7997,4331040
2025-04-15,529.09,530.76,584.46,525.5794,2814820
2025-04-16,514.15,510.12,520.35,503.98,2565201
2025-04-17,502.9,507.03,509.13,496.8971,2599428
2025-04-18,501.8,502.49,502.5,501.61,5544
2025-04-21,491.451,491.68,502.11,481.8975,4584632
2025-04-22,483.64,489.9,493.4316,483.43,3148646
2025-04-23,520.5,525.73,531.1968,492.53,3296847
2025-04-24,520.55,519.83,530.3087,500.87,2387138
2025-04-25,554.9,545.26,555.55,531.96,3949016
2025-04-26,547.65,547.98,547.99,547.49,14292
2025-04-28,546.4126,555.44,557.25,542.94,6013348
2025-04-29,548.56,545.08,554.0554,544.28,2114231
2025-04-30,549.24,540.35,553.2,529.8099,3060869
2025-05-01,580.15,586.68,590.6731,483.57,7601603
2025-05-02,569.06,586.55,596.1309,503.59,6016273
2025-05-03,596.88,596.89,597.05,596.73,12678
