date,Open,Close,High,Low,Volume
2025-02-03,408.9699,406.43,411.07,400.29,8540415
2025-02-04,406.6474,407.94,439.32,405.07,6135185
2025-02-05,408.7322,406.42,409.7374,405.64,5037091
2025-02-06,411.3914,409.28,414.0655,408.91,4289349
2025-02-07,414.1595,412.64,414.63,406.7126,6291766
2025-02-10,408.3509,409.16,412.62,404.8,3916179
2025-02-11,410.68,406.49,435.22,406.37,2485579
2025-02-12,410.58,403.89,410.88,403.0819,3400179
2025-02-13,408.68,404.8,409.18,402.4581,4599390
2025-02-14,409.35,405.32,409.68,401.9826,4377217
2025-02-15,407.26,407.24,407.34,407.19,5942
2025-02-18,406.172,405.95,450.04,403.5,4999534
2025-02-19,408.79,404.91,411.83,403.8545,1930791
2025-02-20,413.9,411.31,439.76,388.55,3572148
2025-02-21,416.32,414.52,416.66,409.1256,3810075
2025-02-22,408.0,408.02,408.18,407.9,7958
2025-02-24,403.0424,406.74,408.21,396.2744,10721130
2025-02-25,404.13,399.59,406.52,394.6569,4765826
2025-02-26,399.25,396.13,400.1248,394.86,6103657
2025-02-27,399.05,398.14,400.92,394.6668,3396528
2025-02-28,392.8,390.18,393.5,386.4302,2980806
2025-03-01,396.85,396.3,396.9,396.3,5011
2025-03-03,393.7339,395.62,396.25,389.1492,5219986
2025-03-04,389.8,380.28,391.1,378.63,4661647
2025-03-05,388.4744,386.04,406.1,382.31,4662719
2025-03-06,400.74,392.15,400.97,391.25,3193638
2025-03-07,396.75,391.6,397.89,385.3682,3662370
2025-03-08,392.58,392.56,392.8,392.23,3523
2025-03-10,381.564,384.5,396.68,376.5857,7385077
2025-03-11,377.34,377.01,381.4881,374.15,4854078
2025-03-12,380.76,381.07,382.76,376.5163,2939997
2025-03-13,383.01,379.56,384.25,375.91,2601463
2025-03-14,381.0,379.62,393.96,375.58,2404873
2025-03-15,387.34,387.99,388.56,387.32,16661
2025-03-17,385.7652,383.62,387.3338,382.06,4306607
2025-03-18,388.57,383.93,389.48,379.8903,2120084
2025-03-19,383.56,381.1,384.9614,379.58,1274548
2025-03-20,388.67,383.94,389.35,381.1,2130634
2025-03-21,386.47,380.93,387.03,380.67,2226999
2025-03-22,391.2,391.5,391.51,391.11,84545
2025-03-24,389.5858,393.2,393.97,386.837,5981516
2025-03-25,392.95,391.11,393.4,389.11,2380317
2025-03-26,395.12,392.46,395.44,383.74,1905946
2025-03-27,388.88,387.33,390.4,386.09,1716497
2025-03-28,389.9,384.8,390.37,379.1758,2434022
2025-03-29,377.52,377.74,378.0,377.45,5364
2025-03-31,365.878,371.15,387.6,364.4391,7923586
2025-04-01,374.18,371.32,377.6476,370.2,3342304
2025-04-02,382.51,375.56,382.72,374.37,1772167
2025-04-03,370.8,366.69,379.23,366.59,4358498
2025-04-04,371.6,362.77,373.11,352.29,9092392
2025-04-05,359.03,359.75,359.84,358.17,40782
2025-04-07,347.1916,352.97,368.1703,335.42,19596249
2025-04-08,359.82,362.08,370.8002,343.1,5052723
2025-04-09,349.4,349.71,360.3505,343.36,3904187
2025-04-10,391.3,381.52,391.88,374.73,4047853
2025-04-11,381.29,380.12,383.75,375.58,2973159
2025-04-12,387.88,388.06,388.31,387.33,3937
2025-04-14,389.4469,388.89,391.64,385.49,4868921
2025-04-15,386.79,385.68,389.02,382.9568,3085625
2025-04-16,384.49,378.15,384.9,373.033,1967671
2025-04-17,371.77,370.52,386.97,365.8135,2216404
2025-04-18,367.33,367.49,367.61,367.23,4437
2025-04-21,361.4124,361.57,366.25,356.8177,4057273
2025-04-22,358.36,359.54,362.3055,356.38,2483569
2025-04-23,372.62,373.88,377.4888,355.13,2721631
2025-04-24,374.86,372.63,381.5278,369.18,2517055
2025-04-25,388.24,382.84,388.89,381.63,1737354
2025-04-26,390.98,391.48,391.48,390.88,3584
2025-04-28,385.1003,388.9,390.0,383.4,4397573
2025-04-29,389.77,387.6,391.8881,387.03,1789030
2025-04-30,393.3,387.19,393.69,381.5079,3831939
2025-05-01,422.78,427.71,430.8388,356.38,11638666
2025-05-02,426.34,426.82,436.0884,420.62,5704920
2025-05-03,434.06,433.86,434.15,433.71,6072
2025-05-05,431.4491,427.45,434.1037,354.7,4540757
2025-05-06,434.95,430.32,435.37,427.71,2296964
2025-05-07,435.55,430.29,435.95,427.8223,2358816
2025-05-08,434.19,432.88,435.65,430.04,4080647
2025-05-09,436.85,436.28,437.44,430.01,1855177
2025-05-10,437.64,437.55,437.8,437.2,1710
2025-05-12,438.9862,443.75,447.55,435.38,7440422
2025-05-13,447.79,444.85,448.18,442.04,4316446
2025-05-14,447.64,444.01,450.4381,441.94,3202490
2025-05-15,451.23,448.87,452.17,446.08,2397459
2025-05-16,452.0,448.87,452.75,443.41,2529747
2025-05-17,450.33,449.8,451.33,449.51,13745
2025-05-19,453.2218,448.14,455.9956,442.03,5984695
2025-05-20,459.2,454.75,459.5,447.24,2610854
2025-05-21,457.32,452.56,457.97,450.37,2813658
2025-05-22,452.33,450.82,457.5763,447.49,2933787
2025-05-23,453.28,447.14,453.92,445.57,2479420
2025-05-24,450.25,450.33,450.5,450.0,1940
2025-05-27,456.2839,452.98,457.5266,446.45,5443759
2025-05-28,460.15,458.87,460.5,454.34,1721645
2025-05-29,461.4,458.27,463.0,454.1066,1758853
2025-05-30,457.72,456.12,457.99,453.56,1629446
2025-05-31,459.44,459.55,459.69,459.0,1875
2025-06-02,457.5366,456.16,458.5109,451.36,4222230
2025-06-03,461.0,459.04,461.55,456.43,2419611
2025-06-04,462.53,460.08,462.9847,457.79,2096678
2025-06-05,464.7,462.08,464.7743,460.31,2170577
2025-06-06,468.0,467.97,470.5853,464.96,2527824
2025-06-07,470.7,470.79,470.79,470.2,1106
2025-06-09,467.5779,466.15,468.4876,464.96,3353312
2025-06-10,471.77,469.23,471.95,466.2357,1955785
2025-06-11,470.75,467.76,472.7079,465.28,2985475
2025-06-12,473.02,473.23,474.2489,466.56,2276452
2025-06-13,478.3,471.67,478.5,468.02,2675905
2025-06-14,474.42,474.21,474.95,474.08,2357
2025-06-16,474.229,473.74,477.9019,471.02,4864466
2025-06-17,475.82,472.24,476.88,470.51,1503789
2025-06-18,477.75,475.0,477.75,471.7038,1756050
2025-06-19,480.42,480.83,480.83,480.4,4357
2025-06-20,480.3532,478.21,480.6515,474.79,10255424
2025-06-21,477.65,477.75,477.8,477.0,861
2025-06-23,470.5555,474.23,475.57,469.7651,5261645
2025-06-24,489.29,485.04,489.99,483.18,2675704
2025-06-25,490.0,489.08,491.6826,485.97,2353236
2025-06-26,492.52,491.36,494.0731,488.19,2537169
2025-06-27,497.24,494.34,497.7,491.02,2888169
2025-06-28,495.76,495.73,495.95,495.5,1991
2025-06-30,493.7798,494.66,496.28,491.83,4662555
2025-07-01,497.26,494.75,497.75,492.3929,2616723
2025-07-02,491.65,486.18,492.0,485.32,2557473
2025-07-03,491.28,489.23,496.4989,487.46,3398808
2025-07-07,494.0432,495.87,497.1,492.12,3283704
2025-07-08,497.53,495.27,497.8,491.6671,1487492
2025-07-09,496.89,496.7,503.836,492.15,3769796
2025-07-10,503.1,499.58,503.38,494.8585,2400133
2025-07-11,501.98,496.8,501.99,487.19,2484468
2025-07-12,503.32,503.67,503.67,503.15,1747
2025-07-14,499.1981,498.41,500.4,496.64,3103685
2025-07-15,502.9,499.53,503.3489,497.27,1847003
2025-07-16,503.74,503.04,504.5,499.561,1998733
2025-07-17,504.52,503.88,508.5087,501.12,2365033
2025-07-18,512.25,509.69,513.0,507.3356,3404063
2025-07-19,510.1,510.15,510.29,509.9,1613
2025-07-21,504.4325,504.0,509.1152,502.6132,3998263
2025-07-22,509.84,507.93,510.0,504.4822,2125058
2025-07-23,507.21,503.0,507.8,497.7913,2804409
2025-07-24,506.46,502.75,507.4449,476.98,1694869
2025-07-25,511.26,510.19,512.2,506.64,1630038
2025-07-26,514.65,513.99,514.74,513.99,11159
2025-07-28,511.4018,512.5,514.16,507.09,4461026
2025-07-29,513.45,510.72,513.71,508.25,2497278
2025-07-30,513.18,510.52,513.46,507.91,2719573
2025-07-31,555.8,554.51,558.74,510.26,10989777
2025-08-01,537.66,529.92,538.11,522.1122,5329212
2025-08-02,523.03,522.8,523.04,522.64,7584
2025-08-04,527.4928,525.03,556.31,519.76,7388744
2025-08-05,536.27,534.69,536.76,528.7207,3334332
2025-08-06,527.98,527.28,530.09,521.5475,3653192
2025-08-07,524.49,525.0,527.27,520.4092,2272088
2025-08-08,521.35,517.71,521.5,517.02,2346179
2025-08-09,521.96,521.74,522.19,521.72,3375
2025-08-11,518.3487,520.22,522.1689,516.7008,4959170
2025-08-12,521.52,520.96,523.8092,518.74,2931563
2025-08-13,528.45,527.55,530.13,525.71,2056762
2025-08-14,521.06,518.49,522.8946,517.36,2662777
2025-08-15,522.93,519.99,523.04,518.1723,2651761
2025-08-16,519.55,519.59,519.65,519.35,8317
2025-08-18,519.2887,517.81,519.96,514.6528,4786172
2025-08-19,516.38,513.56,516.63,506.6595,3043080
2025-08-20,509.56,507.61,510.06,503.2196,3335981
2025-08-21,504.56,501.98,505.5118,500.8212,1928641
2025-08-22,504.1,502.74,508.5989,499.14,5279412
2025-08-23,507.37,507.36,507.59,507.31,6500
2025-08-25,504.4861,502.99,506.0594,502.39,4971300
2025-08-26,504.55,501.88,504.59,500.6223,1805233
2025-08-27,503.1,501.92,503.2,498.0829,3270532
2025-08-28,506.87,506.04,507.53,503.7215,2016924
2025-08-29,509.4,507.12,519.64,502.3864,2221262
2025-08-30,506.51,506.8,506.9,506.43,2613
2025-09-02,499.6563,499.32,505.19,494.737,4982724
2025-09-03,502.55,501.75,504.9342,499.77,1739245
2025-09-04,503.08,502.16,505.5317,501.0505,2081751
2025-09-05,508.4,509.66,509.84,492.9943,4682367
2025-09-06,494.98,494.94,495.42,494.9,7136
2025-09-08,495.5834,495.8,498.7701,492.3,5538184
2025-09-09,499.46,498.74,500.1543,496.12,1896835
2025-09-10,499.3,504.16,505.78,495.52,4388111
2025-09-11,500.35,500.4,501.28,497.7444,2434433
2025-09-12,510.0,505.13,510.0,498.92,3543361
2025-09-13,510.1,509.93,510.3,509.83,3581
2025-09-15,507.0205,504.7,510.3615,502.92,4616117
2025-09-16,515.7,513.25,516.0,508.4595,2270790
2025-09-17,510.09,508.61,510.5,503.8189,1930509
2025-09-18,510.07,509.5,512.6,507.0952,2442914
2025-09-19,508.91,507.17,512.4776,505.38,2988135
2025-09-20,517.3,517.3,517.75,517.06,23536
2025-09-22,513.0004,512.95,515.84,510.4063,5413973
2025-09-23,515.23,513.4,515.9,508.7184,2032083
2025-09-24,509.76,508.37,510.46,505.9101,1483404
2025-09-25,510.04,505.31,510.19,502.9326,2615343
2025-09-26,506.64,508.77,510.7842,503.94,2313128
2025-09-27,510.47,510.49,510.51,510.4,4852
2025-09-29,509.6395,511.34,514.6884,506.7566,5029844
2025-09-30,514.7,512.21,514.98,510.1922,2349038
2025-10-01,514.87,512.06,515.79,509.5549,2725459
2025-10-02,518.89,516.49,519.7,506.08,4079548
2025-10-03,516.07,513.33,517.631,512.97,1898951
2025-10-04,517.0,516.95,517.0,516.6,3128
2025-10-06,519.3538,516.25,522.3811,513.5,4794159
2025-10-07,527.11,526.1,527.8,506.08,1938555
2025-10-08,523.75,521.44,524.7512,521.07,1582971
2025-10-09,525.78,521.61,526.13,518.83,2158257
2025-10-10,522.6,520.44,522.9,516.2767,1895164
2025-10-11,510.5,511.51,512.88,509.65,21711
2025-10-13,511.6859,515.07,517.23,510.471,4398421
2025-10-14,513.7,508.37,513.99,506.14,1704089
2025-10-15,513.78,514.28,515.0319,510.15,2209306
2025-10-16,512.81,512.8,514.6933,510.42,1585640
2025-10-17,509.86,508.03,511.0,503.93,2878668
2025-10-18,514.0,514.26,514.7,513.75,1898
2025-10-20,512.0892,512.34,516.5356,510.16,3685382
2025-10-21,517.06,515.36,542.32,485.19,2280018
2025-10-22,517.36,517.5,522.7197,514.05,3333240
2025-10-23,521.43,519.75,521.85,518.33,1775928
2025-10-24,520.98,520.96,522.47,517.59,1692181
2025-10-25,524.18,524.29,524.3,523.81,3649
2025-10-27,528.5154,528.82,532.3494,521.43,6180977
2025-10-28,534.0,531.52,548.0435,529.3,4204794
2025-10-29,544.52,542.57,544.72,534.9286,3607257
2025-10-30,521.0,526.17,539.29,517.97,9225329
2025-10-31,525.18,527.54,528.34,512.9506,6454211
