Datetime,Open,High,Low,Close,Volume,Ticker
2025-02-03 09:30:00,407.6477,409.9751,405.1915,408.9699,1902480,MSFT
2025-02-03 09:35:00,409.0639,410.7377,408.6876,410.4901,750174,MSFT
2025-02-03 09:40:00,410.4604,410.4604,408.6232,408.7866,407811,MSFT
2025-02-03 09:45:00,408.8956,408.8956,407.816,408.1231,350460,MSFT
2025-02-03 09:50:00,408.1033,408.8263,407.4298,408.1231,399702,MSFT
2025-02-03 09:55:00,408.1429,408.451,407.301,407.4744,296040,MSFT
2025-02-03 10:00:00,407.301,407.4694,405.5183,406.3156,511783,MSFT
2025-02-03 10:05:00,406.2512,406.9247,406.0531,406.6375,353849,MSFT
2025-02-03 10:10:00,406.6672,406.6672,405.2014,405.3202,348573,MSFT
2025-02-03 10:15:00,405.2905,405.3202,404.7359,405.0825,427004,MSFT
2025-02-03 10:20:00,405.033,407.4891,405.033,407.1228,510673,MSFT
2025-02-03 10:25:00,407.1426,408.0438,406.5582,407.722,342458,MSFT
2025-02-03 10:30:00,407.6972,408.232,407.1624,408.0438,296968,MSFT
2025-02-03 10:35:00,408.0438,408.7371,407.9052,408.0438,238048,MSFT
2025-02-03 10:40:00,408.0141,409.3314,407.7071,409.2323,288125,MSFT
2025-02-03 10:45:00,409.2373,409.3215,408.5093,408.8571,203111,MSFT
2025-02-03 10:50:00,408.9649,409.2917,408.4697,408.8726,180427,MSFT
2025-02-03 10:55:00,408.8015,409.6087,408.5687,409.0739,191388,MSFT
2025-02-03 11:00:00,404.08,410.08,400.29,404.91,24500,MSFT
2025-02-03 11:05:00,404.93,404.93,403.51,403.56,10783,MSFT
2025-02-03 11:10:00,403.55,404.07,403.41,404.06,4580,MSFT
2025-02-03 11:15:00,404.06,404.39,403.84,403.95,5942,MSFT
2025-02-03 11:20:00,403.94,404.37,403.84,404.04,4099,MSFT
2025-02-03 11:25:00,404.04,404.54,404.03,404.46,6466,MSFT
2025-02-03 11:30:00,404.47,404.71,404.43,404.7,5424,MSFT
2025-02-03 11:35:00,404.69,404.94,404.59,404.85,5655,MSFT
2025-02-03 11:40:00,404.88,404.9,404.77,404.84,5398,MSFT
2025-02-03 11:45:00,404.83,405.03,404.76,404.9,5977,MSFT
2025-02-03 11:50:00,404.87,404.97,404.64,404.83,2262,MSFT
2025-02-03 11:55:00,404.79,404.86,404.7,404.85,2802,MSFT
2025-02-03 12:00:00,404.87,404.95,404.51,404.58,3398,MSFT
2025-02-03 12:05:00,404.69,405.09,404.5,405.01,6103,MSFT
2025-02-03 12:10:00,404.99,405.07,404.68,404.88,2080,MSFT
2025-02-03 12:15:00,404.93,404.97,404.66,404.97,2471,MSFT
2025-02-03 12:20:00,404.97,405.05,404.8,404.95,2043,MSFT
2025-02-03 12:25:00,404.98,405.01,404.83,404.97,1133,MSFT
2025-02-03 12:30:00,404.98,405.51,404.98,405.39,4697,MSFT
2025-02-03 12:35:00,405.45,405.45,404.78,404.92,4590,MSFT
2025-02-03 12:40:00,404.92,405.07,404.78,404.96,2492,MSFT
2025-02-03 12:45:00,404.95,405.21,404.78,405.04,5487,MSFT
2025-02-03 12:50:00,405.07,405.17,404.82,404.99,1484,MSFT
2025-02-03 12:55:00,404.99,405.17,404.91,405.06,1052,MSFT
2025-02-03 13:00:00,405.07,405.91,405.03,405.84,3175,MSFT
2025-02-03 13:05:00,405.83,405.88,405.57,405.57,1288,MSFT
2025-02-03 13:10:00,405.59,405.87,405.57,405.81,3224,MSFT
2025-02-03 13:15:00,405.8,405.85,405.39,405.39,3548,MSFT
2025-02-03 13:20:00,405.38,405.72,405.32,405.67,3041,MSFT
2025-02-03 13:25:00,405.73,405.86,405.39,405.52,3013,MSFT
2025-02-03 13:30:00,405.55,405.77,405.47,405.61,2023,MSFT
2025-02-03 13:35:00,405.59,405.79,405.47,405.57,1476,MSFT
2025-02-03 13:40:00,405.58,405.72,405.44,405.57,1068,MSFT
2025-02-03 13:45:00,405.66,405.86,405.47,405.66,817,MSFT
2025-02-03 13:50:00,405.54,405.58,405.29,405.3,1415,MSFT
2025-02-03 13:55:00,405.38,405.67,405.26,405.57,3591,MSFT
2025-02-03 14:00:00,405.59,408.54,405.4,406.1,31949,MSFT
2025-02-03 14:05:00,406.14,406.26,405.53,405.55,11039,MSFT
2025-02-03 14:10:00,405.49,405.82,405.32,405.77,5452,MSFT
2025-02-03 14:15:00,405.77,406.06,405.6,405.81,4395,MSFT
2025-02-03 14:20:00,405.84,406.06,405.77,405.88,2567,MSFT
2025-02-03 14:25:00,405.87,406.24,405.72,406.2,9601,MSFT
2025-02-03 14:30:00,406.06,406.23,405.27,405.3,4789,MSFT
2025-02-03 14:35:00,405.31,405.33,404.97,405.07,6327,MSFT
2025-02-03 14:40:00,405.05,405.07,404.69,404.69,7686,MSFT
2025-02-03 14:45:00,404.76,404.91,404.31,404.78,7129,MSFT
2025-02-03 14:50:00,404.82,405.75,404.78,405.67,8545,MSFT
2025-02-03 14:55:00,405.66,405.86,405.54,405.79,8767,MSFT
2025-02-03 15:00:00,405.79,411.07,401.11,406.06,130372,MSFT
2025-02-03 15:05:00,405.97,411.07,405.97,406.46,16980,MSFT
2025-02-03 15:10:00,406.49,407.51,406.46,407.21,25107,MSFT
2025-02-03 15:15:00,407.15,407.32,406.83,407.25,17431,MSFT
2025-02-03 15:20:00,407.06,407.44,407.05,407.08,19638,MSFT
2025-02-03 15:25:00,407.1,407.6,407.08,407.35,7826,MSFT
2025-02-03 15:30:00,407.44,407.53,407.16,407.2,9610,MSFT
2025-02-03 15:35:00,407.17,407.34,406.47,406.47,19481,MSFT
2025-02-03 15:40:00,406.56,406.75,406.45,406.62,15025,MSFT
2025-02-03 15:45:00,406.5,407.04,406.48,406.71,7078,MSFT
2025-02-03 15:50:00,406.8,407.04,406.2,406.36,9786,MSFT
2025-02-03 15:55:00,406.37,406.56,406.13,406.43,6164,MSFT
2025-02-04 09:30:00,408.7223,408.9154,405.8055,406.6474,1059079,MSFT
2025-02-04 09:35:00,406.6276,408.0042,406.1324,407.5486,526162,MSFT
2025-02-04 09:40:00,407.4744,407.4793,406.2116,406.5681,644418,MSFT
2025-02-04 09:45:00,406.5483,407.8854,406.3106,407.669,513943,MSFT
2025-02-04 09:50:00,407.7368,408.2617,407.0534,407.103,310509,MSFT
2025-02-04 09:55:00,407.1079,408.0042,407.0633,407.3208,255587,MSFT
2025-02-04 10:00:00,407.3803,408.3707,407.3258,408.2815,239111,MSFT
2025-02-04 10:05:00,408.2914,408.6876,408.1033,408.45,260852,MSFT
2025-02-04 10:10:00,408.4499,408.8758,407.9943,408.2518,273387,MSFT
2025-02-04 10:15:00,408.2914,408.3734,407.717,408.2617,112553,MSFT
2025-02-04 10:20:00,408.2642,408.5886,407.9745,408.5836,150838,MSFT
2025-02-04 10:25:00,408.5836,409.47,408.4202,409.2026,227719,MSFT
2025-02-04 10:30:00,409.2625,409.3007,408.7867,408.9699,210797,MSFT
2025-02-04 10:35:00,408.9699,409.9256,408.6976,409.7654,293460,MSFT
2025-02-04 10:40:00,409.7671,409.9453,409.5195,409.5195,191663,MSFT
2025-02-04 10:45:00,409.5146,409.678,409.163,409.3215,230744,MSFT
2025-02-04 10:50:00,409.3115,409.5294,408.9946,409.3908,151496,MSFT
2025-02-04 10:55:00,409.4007,409.4056,408.7767,409.2034,224283,MSFT
2025-02-04 11:00:00,406.87,408.17,405.67,406.2,7451,MSFT
2025-02-04 11:05:00,406.19,406.19,405.9,406.06,5407,MSFT
2025-02-04 11:10:00,406.06,408.84,405.82,406.35,10920,MSFT
2025-02-04 11:15:00,406.39,406.52,406.12,406.25,2103,MSFT
2025-02-04 11:20:00,406.34,406.5,405.57,405.68,2743,MSFT
2025-02-04 11:25:00,405.8,405.92,405.68,405.88,1281,MSFT
2025-02-04 11:30:00,405.79,405.92,405.68,405.75,2711,MSFT
2025-02-04 11:35:00,405.77,405.89,405.6,405.61,1802,MSFT
2025-02-04 11:40:00,405.59,405.62,405.2,405.59,2956,MSFT
2025-02-04 11:45:00,405.62,405.8,405.49,405.69,755,MSFT
2025-02-04 11:50:00,405.69,405.8,405.57,405.77,748,MSFT
2025-02-04 11:55:00,405.68,405.95,405.57,405.78,2662,MSFT
2025-02-04 12:00:00,405.79,406.19,405.58,406.1,3079,MSFT
2025-02-04 12:05:00,406.16,406.5,405.96,405.96,3372,MSFT
2025-02-04 12:10:00,405.95,406.12,405.68,406.06,4565,MSFT
2025-02-04 12:15:00,406.24,406.45,406.06,406.06,1353,MSFT
2025-02-04 12:20:00,406.08,406.44,406.08,406.34,997,MSFT
2025-02-04 12:25:00,406.32,406.4,406.26,406.4,107,MSFT
2025-02-04 12:30:00,406.27,406.42,406.11,406.12,1027,MSFT
2025-02-04 12:35:00,406.22,406.42,406.16,406.23,645,MSFT
2025-02-04 12:40:00,406.24,406.24,405.97,406.06,2224,MSFT
2025-02-04 12:45:00,406.05,406.33,406.04,406.33,668,MSFT
2025-02-04 12:50:00,406.31,406.37,406.12,406.24,444,MSFT
2025-02-04 12:55:00,406.24,406.24,405.86,406.12,1780,MSFT
2025-02-04 13:00:00,406.12,406.41,405.96,406.41,1620,MSFT
2025-02-04 13:05:00,406.38,406.54,406.28,406.51,1275,MSFT
2025-02-04 13:10:00,406.51,406.51,406.38,406.44,4988,MSFT
2025-02-04 13:15:00,406.44,406.54,406.38,406.4,6279,MSFT
2025-02-04 13:20:00,406.43,406.6,406.4,406.56,6669,MSFT
2025-02-04 13:25:00,406.5,406.61,406.43,406.56,1593,MSFT
2025-02-04 13:30:00,406.56,406.65,406.32,406.36,2034,MSFT
2025-02-04 13:35:00,406.36,406.43,406.15,406.15,1076,MSFT
2025-02-04 13:40:00,406.23,406.33,406.06,406.26,1853,MSFT
2025-02-04 13:45:00,406.29,406.46,406.21,406.37,1164,MSFT
2025-02-04 13:50:00,406.36,406.46,406.31,406.46,1994,MSFT
2025-02-04 13:55:00,406.45,406.45,406.07,406.11,2091,MSFT
2025-02-04 14:00:00,406.26,406.84,406.16,406.57,5808,MSFT
2025-02-04 14:05:00,406.56,406.58,406.26,406.49,5133,MSFT
2025-02-04 14:10:00,406.49,406.56,406.19,406.5,5152,MSFT
2025-02-04 14:15:00,406.32,406.61,406.32,406.51,1771,MSFT
2025-02-04 14:20:00,406.53,407.21,406.38,407.12,6784,MSFT
2025-02-04 14:25:00,407.17,407.4,406.93,407.4,1460,MSFT
2025-02-04 14:30:00,407.4,408.04,407.33,407.92,6033,MSFT
2025-02-04 14:35:00,407.93,408.07,407.84,407.85,6825,MSFT
2025-02-04 14:40:00,407.85,408.86,407.8,408.06,4260,MSFT
2025-02-04 14:45:00,408.11,408.11,407.18,407.39,3558,MSFT
2025-02-04 14:50:00,407.4,407.91,407.39,407.83,838,MSFT
2025-02-04 14:55:00,407.83,408.04,407.76,407.79,5267,MSFT
2025-02-04 15:00:00,406.91,439.32,405.07,407.36,58932,MSFT
2025-02-04 15:05:00,407.4,407.79,407.16,407.58,5823,MSFT
2025-02-04 15:10:00,407.72,408.13,407.65,408.04,4087,MSFT
2025-02-04 15:15:00,408.02,408.1,407.74,408.04,3146,MSFT
2025-02-04 15:20:00,407.99,408.04,407.67,407.86,2571,MSFT
2025-02-04 15:25:00,407.92,407.98,407.61,407.77,3476,MSFT
2025-02-04 15:30:00,407.89,407.98,407.59,407.97,8655,MSFT
2025-02-04 15:35:00,407.94,408.04,407.65,407.8,4507,MSFT
2025-02-04 15:40:00,407.8,408.04,407.53,407.67,5002,MSFT
2025-02-04 15:45:00,407.75,407.92,407.55,407.92,3468,MSFT
2025-02-04 15:50:00,407.66,408.1,406.97,407.8,7879,MSFT
2025-02-04 15:55:00,407.84,408.1,407.75,407.94,3713,MSFT
2025-02-05 09:30:00,408.3905,409.1531,406.8851,408.7322,979516,MSFT
2025-02-05 09:35:00,408.7916,409.6582,408.3707,409.2224,408074,MSFT
2025-02-05 09:40:00,409.2521,409.7374,408.5589,409.1531,258302,MSFT
2025-02-05 09:45:00,409.1729,409.5294,408.128,408.2716,233761,MSFT
2025-02-05 09:50:00,408.2122,408.4175,407.405,407.5239,326896,MSFT
2025-02-05 09:55:00,407.509,407.6031,406.6969,406.7811,249854,MSFT
2025-02-05 10:00:00,406.8256,407.5129,406.4592,406.7514,333577,MSFT
2025-02-05 10:05:00,406.8058,407.0237,406.588,406.8801,185713,MSFT
2025-02-05 10:10:00,406.9049,407.4496,406.5582,407.3407,232780,MSFT
2025-02-05 10:15:00,407.3407,407.5189,406.6177,407.2119,197586,MSFT
2025-02-05 10:20:00,407.1723,407.3889,406.6771,407.1929,169510,MSFT
2025-02-05 10:25:00,407.1921,407.9745,407.1822,407.6873,195887,MSFT
2025-02-05 10:30:00,407.6229,407.7071,407.2416,407.6328,160438,MSFT
2025-02-05 10:35:00,407.618,407.9151,407.5387,407.8259,143844,MSFT
2025-02-05 10:40:00,407.8061,407.9646,407.4892,407.6328,193053,MSFT
2025-02-05 10:45:00,407.6323,407.7368,407.2664,407.5189,131678,MSFT
2025-02-05 10:50:00,407.509,407.6972,407.2713,407.3208,339978,MSFT
2025-02-05 10:55:00,407.3108,407.5784,407.1723,407.5386,104705,MSFT
2025-02-05 11:00:00,406.16,407.85,406.13,406.9,4415,MSFT
2025-02-05 11:05:00,406.73,406.93,406.47,406.54,2098,MSFT
2025-02-05 11:10:00,406.49,406.62,406.26,406.28,3498,MSFT
2025-02-05 11:15:00,406.34,406.4,406.26,406.31,959,MSFT
2025-02-05 11:20:00,406.36,406.42,405.86,405.94,6445,MSFT
2025-02-05 11:25:00,405.98,406.32,405.96,406.11,6003,MSFT
2025-02-05 11:30:00,406.15,406.34,406.04,406.06,1891,MSFT
2025-02-05 11:35:00,406.05,406.11,405.88,406.0,1925,MSFT
2025-02-05 11:40:00,406.03,406.11,405.67,405.71,3111,MSFT
2025-02-05 11:45:00,405.73,405.81,405.64,405.78,984,MSFT
2025-02-05 11:50:00,405.72,405.81,405.72,405.81,330,MSFT
2025-02-05 11:55:00,405.81,406.05,405.81,405.96,1458,MSFT
2025-02-05 12:00:00,405.86,406.11,405.83,405.92,1968,MSFT
2025-02-05 12:05:00,405.96,406.11,405.9,406.11,1357,MSFT
2025-02-05 12:10:00,406.11,406.45,406.11,406.27,423,MSFT
2025-02-05 12:15:00,406.4,406.44,406.25,406.4,393,MSFT
2025-02-05 12:20:00,406.38,406.56,406.31,406.44,2170,MSFT
2025-02-05 12:25:00,406.43,407.05,406.4,406.64,2140,MSFT
2025-02-05 12:30:00,406.56,406.58,406.36,406.39,653,MSFT
2025-02-05 12:35:00,406.45,406.56,406.4,406.56,263,MSFT
2025-02-05 12:40:00,406.56,406.56,406.46,406.53,1588,MSFT
2025-02-05 12:45:00,406.52,406.53,406.27,406.42,1435,MSFT
2025-02-05 12:50:00,406.46,406.52,406.42,406.46,358,MSFT
2025-02-05 12:55:00,406.5,406.61,406.44,406.56,2177,MSFT
2025-02-05 13:00:00,406.65,406.71,406.56,406.67,706,MSFT
2025-02-05 13:05:00,406.68,406.7,406.41,406.47,2061,MSFT
2025-02-05 13:10:00,406.47,406.48,406.31,406.41,849,MSFT
2025-02-05 13:15:00,406.4,407.15,406.31,407.15,5409,MSFT
2025-02-05 13:20:00,407.15,407.29,406.76,406.82,4437,MSFT
2025-02-05 13:25:00,406.92,407.02,406.37,406.41,1945,MSFT
2025-02-05 13:30:00,406.45,406.53,406.36,406.36,1489,MSFT
2025-02-05 13:35:00,406.36,406.36,406.21,406.21,1237,MSFT
2025-02-05 13:40:00,406.22,406.34,406.16,406.31,2019,MSFT
2025-02-05 13:45:00,406.2,406.56,406.2,406.36,574,MSFT
2025-02-05 13:50:00,406.45,406.56,406.36,406.55,1268,MSFT
2025-02-05 13:55:00,406.51,406.83,406.5,406.81,1341,MSFT
2025-02-05 14:00:00,406.91,406.97,406.57,406.63,1501,MSFT
2025-02-05 14:05:00,406.61,406.77,406.46,406.66,1722,MSFT
2025-02-05 14:10:00,406.66,406.79,406.56,406.69,2979,MSFT
2025-02-05 14:15:00,406.7,407.01,406.6,407.01,1763,MSFT
2025-02-05 14:20:00,407.01,407.04,406.79,407.01,2562,MSFT
2025-02-05 14:25:00,406.9,407.26,406.9,407.15,1305,MSFT
2025-02-05 14:30:00,407.16,407.16,406.68,406.7,4274,MSFT
2025-02-05 14:35:00,406.71,406.8,406.56,406.77,938,MSFT
2025-02-05 14:40:00,406.74,407.2,406.73,406.95,5041,MSFT
2025-02-05 14:45:00,407.01,407.05,406.81,406.85,2670,MSFT
2025-02-05 14:50:00,406.87,406.92,406.81,406.88,555,MSFT
2025-02-05 14:55:00,406.93,406.95,406.78,406.87,597,MSFT
2025-02-05 15:00:00,406.94,408.41,405.66,406.76,38574,MSFT
2025-02-05 15:05:00,406.76,408.42,406.61,406.76,3258,MSFT
2025-02-05 15:10:00,406.76,407.05,406.62,406.95,5084,MSFT
2025-02-05 15:15:00,406.93,407.05,406.57,406.82,4459,MSFT
2025-02-05 15:20:00,406.86,406.99,406.57,406.86,2707,MSFT
2025-02-05 15:25:00,406.9,406.93,406.63,406.73,1236,MSFT
2025-02-05 15:30:00,406.81,407.05,406.7,406.86,4982,MSFT
2025-02-05 15:35:00,406.87,407.0,406.66,406.69,5891,MSFT
2025-02-05 15:40:00,406.69,406.81,406.37,406.48,7782,MSFT
2025-02-05 15:45:00,406.37,406.63,406.36,406.48,6872,MSFT
2025-02-05 15:50:00,406.49,406.56,406.18,406.3,8930,MSFT
2025-02-05 15:55:00,406.32,406.46,406.18,406.42,4880,MSFT
2025-02-06 09:30:00,410.0246,411.4805,410.0246,411.3914,649489,MSFT
2025-02-06 09:35:00,411.4211,411.8569,410.8813,411.7083,321044,MSFT
2025-02-06 09:40:00,411.7479,413.8476,411.5995,413.6891,449756,MSFT
2025-02-06 09:45:00,413.7287,414.0655,413.1077,413.4836,420243,MSFT
2025-02-06 09:50:00,413.5604,413.6198,412.768,413.2236,243311,MSFT
2025-02-06 09:55:00,413.1444,413.2929,412.7186,413.2335,292343,MSFT
2025-02-06 10:00:00,413.2187,413.3523,412.2827,412.362,215523,MSFT
2025-02-06 10:05:00,412.3669,413.0652,412.2827,412.9612,140665,MSFT
2025-02-06 10:10:00,412.9463,413.0453,412.3521,412.3521,134326,MSFT
2025-02-06 10:15:00,412.3521,412.9958,412.1837,412.6096,181266,MSFT
2025-02-06 10:20:00,412.6464,413.2334,412.5402,412.57,121818,MSFT
2025-02-06 10:25:00,412.5911,413.1437,412.4027,413.0354,135408,MSFT
2025-02-06 10:30:00,413.0552,413.5306,412.7482,413.0949,156062,MSFT
2025-02-06 10:35:00,413.085,413.8195,412.4016,412.4759,251963,MSFT
2025-02-06 10:40:00,412.5402,413.2524,412.4214,412.9067,117334,MSFT
2025-02-06 10:45:00,412.8374,412.8968,412.4611,412.6888,115413,MSFT
2025-02-06 10:50:00,412.5998,412.9463,412.5303,412.7316,84772,MSFT
2025-02-06 10:55:00,412.7383,413.1543,412.5501,413.0354,94448,MSFT
2025-02-06 11:00:00,410.62,410.82,409.86,410.44,7139,MSFT
2025-02-06 11:05:00,410.44,410.74,410.4,410.58,1740,MSFT
2025-02-06 11:10:00,410.66,410.96,410.6,410.94,2243,MSFT
2025-02-06 11:15:00,410.94,411.02,410.72,410.98,2106,MSFT
2025-02-06 11:20:00,411.02,411.02,410.72,410.83,2658,MSFT
2025-02-06 11:25:00,410.81,410.87,410.75,410.8,990,MSFT
2025-02-06 11:30:00,410.78,410.82,410.58,410.76,2407,MSFT
2025-02-06 11:35:00,410.63,410.83,410.58,410.7,510,MSFT
2025-02-06 11:40:00,410.74,410.74,410.3,410.39,1056,MSFT
2025-02-06 11:45:00,410.37,410.45,410.23,410.4,906,MSFT
2025-02-06 11:50:00,410.4,410.46,410.29,410.42,269,MSFT
2025-02-06 11:55:00,410.45,410.63,410.4,410.52,1075,MSFT
2025-02-06 12:00:00,410.51,410.73,410.46,410.73,919,MSFT
2025-02-06 12:05:00,410.73,410.8,410.59,410.59,1479,MSFT
2025-02-06 12:10:00,410.66,410.77,410.62,410.74,706,MSFT
2025-02-06 12:15:00,410.67,410.74,410.57,410.6,679,MSFT
2025-02-06 12:20:00,410.55,410.65,410.5,410.63,146,MSFT
2025-02-06 12:25:00,410.54,410.7,410.49,410.55,523,MSFT
2025-02-06 12:30:00,410.47,410.54,410.18,410.48,1811,MSFT
2025-02-06 12:35:00,410.57,410.68,410.43,410.43,884,MSFT
2025-02-06 12:40:00,410.52,410.68,410.38,410.49,1252,MSFT
2025-02-06 12:45:00,410.36,410.57,410.35,410.53,1364,MSFT
2025-02-06 12:50:00,410.47,410.55,410.26,410.39,1051,MSFT
2025-02-06 12:55:00,410.36,410.41,410.31,410.35,271,MSFT
2025-02-06 13:00:00,410.28,410.38,410.02,410.06,3317,MSFT
2025-02-06 13:05:00,410.16,410.21,410.03,410.19,1366,MSFT
2025-02-06 13:10:00,410.17,410.26,410.05,410.08,1062,MSFT
2025-02-06 13:15:00,410.16,410.17,409.94,410.02,709,MSFT
2025-02-06 13:20:00,410.02,410.15,409.98,410.15,359,MSFT
2025-02-06 13:25:00,410.2,410.2,410.03,410.06,226,MSFT
2025-02-06 13:30:00,410.1,410.11,409.86,409.93,2776,MSFT
2025-02-06 13:35:00,409.89,410.02,409.89,409.95,1090,MSFT
2025-02-06 13:40:00,410.0,410.07,409.71,410.02,7488,MSFT
2025-02-06 13:45:00,409.9,410.49,409.85,410.28,2706,MSFT
2025-02-06 13:50:00,410.28,410.3,410.04,410.16,194,MSFT
2025-02-06 13:55:00,410.22,410.3,409.91,409.91,1808,MSFT
2025-02-06 14:00:00,409.89,409.99,409.22,409.59,6894,MSFT
2025-02-06 14:05:00,409.58,409.61,409.06,409.23,11912,MSFT
2025-02-06 14:10:00,409.23,409.28,409.15,409.23,836,MSFT
2025-02-06 14:15:00,409.23,409.23,408.91,408.97,12368,MSFT
2025-02-06 14:20:00,408.97,409.26,408.96,409.16,536,MSFT
2025-02-06 14:25:00,409.16,409.32,409.06,409.22,1948,MSFT
2025-02-06 14:30:00,409.26,409.31,409.06,409.06,1704,MSFT
2025-02-06 14:35:00,409.06,409.23,409.03,409.17,1982,MSFT
2025-02-06 14:40:00,409.18,409.36,409.15,409.36,1361,MSFT
