Datetime,Open,High,Low,Close,Volume,Ticker
2025-02-03 09:30:00,88.36,88.66,87.76,87.87,1090585,MU
2025-02-03 09:35:00,87.9,88.66,87.73,88.58,594316,MU
2025-02-03 09:40:00,88.56,88.92,88.39,88.64,437797,MU
2025-02-03 09:45:00,88.65,88.66,88.23,88.56,343731,MU
2025-02-03 09:50:00,88.58,88.91,88.53,88.66,352974,MU
2025-02-03 09:55:00,88.64,89.51,88.51,89.51,355781,MU
2025-02-03 10:00:00,89.49,89.64,89.11,89.26,360660,MU
2025-02-03 10:05:00,89.24,89.75,89.17,89.65,294872,MU
2025-02-03 10:10:00,89.66,89.74,89.38,89.51,321038,MU
2025-02-03 10:15:00,89.57,89.62,89.19,89.22,257056,MU
2025-02-03 10:20:00,89.24,90.5,89.19,90.41,361731,MU
2025-02-03 10:25:00,90.43,90.95,89.96,90.91,419969,MU
2025-02-03 10:30:00,90.89,91.1,90.49,90.61,326446,MU
2025-02-03 10:35:00,90.62,90.81,90.27,90.45,186617,MU
2025-02-03 10:40:00,90.44,91.09,90.27,90.86,253230,MU
2025-02-03 10:45:00,90.83,90.95,90.56,90.75,175455,MU
2025-02-03 10:50:00,90.77,90.9,90.37,90.41,184839,MU
2025-02-03 10:55:00,90.4,90.61,90.27,90.33,159346,MU
2025-02-03 11:00:00,90.31,90.56,89.82,89.99,278650,MU
2025-02-03 11:05:00,90.01,90.25,89.7,90.14,172610,MU
2025-02-03 11:10:00,90.17,90.4,90.17,90.36,127879,MU
2025-02-03 11:15:00,90.33,90.68,90.29,90.58,120481,MU
2025-02-03 11:20:00,90.6,90.62,90.2,90.27,114369,MU
2025-02-03 11:25:00,90.26,90.37,90.09,90.15,116637,MU
2025-02-03 11:30:00,90.13,90.36,90.06,90.34,85947,MU
2025-02-03 11:35:00,90.34,90.51,90.31,90.51,106563,MU
2025-02-03 11:40:00,90.53,90.58,90.21,90.43,80495,MU
2025-02-03 11:45:00,90.46,90.48,90.0,90.03,117608,MU
2025-02-03 11:50:00,90.03,90.37,90.03,90.11,89794,MU
2025-02-03 11:55:00,90.09,90.18,89.66,89.74,165690,MU
2025-02-03 12:00:00,89.74,89.89,89.63,89.74,115480,MU
2025-02-03 12:05:00,89.75,90.03,89.71,90.03,106255,MU
2025-02-03 12:10:00,90.04,90.12,89.89,90.11,112188,MU
2025-02-03 12:15:00,90.1,90.1,89.89,90.05,98503,MU
2025-02-03 12:20:00,90.08,90.34,90.02,90.32,78565,MU
2025-02-03 12:25:00,90.33,90.33,89.93,89.95,66988,MU
2025-02-03 12:30:00,89.95,90.06,89.88,89.89,76547,MU
2025-02-03 12:35:00,89.9,90.0,89.76,89.83,92048,MU
2025-02-03 12:40:00,89.84,89.88,89.7,89.75,88563,MU
2025-02-03 12:45:00,89.78,89.87,89.7,89.77,98334,MU
2025-02-03 12:50:00,89.78,90.08,89.78,90.04,125444,MU
2025-02-03 12:55:00,90.05,90.05,89.48,89.77,270873,MU
2025-02-03 13:00:00,89.74,89.75,89.37,89.72,158907,MU
2025-02-03 13:05:00,89.71,89.85,89.54,89.58,79358,MU
2025-02-03 13:10:00,89.58,89.88,89.54,89.82,72533,MU
2025-02-03 13:15:00,89.85,89.93,89.68,89.74,78480,MU
2025-02-03 13:20:00,89.78,89.83,89.61,89.71,108787,MU
2025-02-03 13:25:00,89.7,89.94,89.68,89.75,97264,MU
2025-02-03 13:30:00,89.78,90.01,89.75,90.01,84130,MU
2025-02-03 13:35:00,90.01,90.12,89.98,90.05,62113,MU
2025-02-03 13:40:00,90.05,90.16,89.89,90.0,102006,MU
2025-02-03 13:45:00,90.02,90.32,90.0,90.23,98958,MU
2025-02-03 13:50:00,90.24,90.37,90.24,90.29,71637,MU
2025-02-03 13:55:00,90.3,90.37,90.23,90.36,68197,MU
2025-02-03 14:00:00,90.34,90.47,90.33,90.43,96093,MU
2025-02-03 14:05:00,90.41,90.57,88.51,90.42,97056,MU
2025-02-03 14:10:00,90.42,90.66,88.51,90.66,103718,MU
2025-02-03 14:15:00,90.64,90.75,88.51,90.66,90078,MU
2025-02-03 14:20:00,90.65,90.7,88.51,90.48,107991,MU
2025-02-03 14:25:00,90.46,90.56,90.42,90.42,79879,MU
2025-02-03 14:30:00,90.43,90.58,90.39,90.48,91620,MU
2025-02-03 14:35:00,90.45,90.49,90.32,90.45,79794,MU
2025-02-03 14:40:00,90.45,90.58,90.4,90.4,94212,MU
2025-02-03 14:45:00,90.39,90.51,90.34,90.39,107320,MU
2025-02-03 14:50:00,90.41,90.44,90.29,90.29,66338,MU
2025-02-03 14:55:00,90.31,90.33,90.13,90.21,127493,MU
2025-02-03 15:00:00,90.23,90.33,90.19,90.26,90273,MU
2025-02-03 15:05:00,90.27,90.28,90.16,90.22,93487,MU
2025-02-03 15:10:00,90.22,90.26,89.99,90.02,104853,MU
2025-02-03 15:15:00,90.03,90.21,90.03,90.16,79771,MU
2025-02-03 15:20:00,90.16,90.22,90.11,90.17,83682,MU
2025-02-03 15:25:00,90.16,90.16,89.94,89.96,137116,MU
2025-02-03 15:30:00,89.98,90.11,89.94,90.05,86162,MU
2025-02-03 15:35:00,90.04,90.07,89.88,89.9,115182,MU
2025-02-03 15:40:00,89.9,89.93,89.65,89.68,142680,MU
