date,Open,Close,High,Low,Volume
2025-02-03,114.3794,115.53,120.04,112.9798,163202392
2025-02-04,117.7885,116.57,121.1676,115.29,93942515
2025-02-05,122.1065,120.44,123.357,118.32,100938503
2025-02-06,126.2224,127.07,127.4659,124.6,84076123
2025-02-07,129.8157,128.92,130.3351,124.9666,94535788
2025-02-10,131.8048,130.48,134.804,126.18,91458810
2025-02-11,133.26,131.91,134.1841,131.41,33622332
2025-02-12,133.03,130.84,133.76,125.79,34045526
2025-02-13,130.95,131.45,136.4635,129.97,48319666
2025-02-14,134.9,136.09,138.273,134.56,41374179
2025-02-15,138.5,138.47,138.57,138.45,169436
2025-02-18,142.9818,141.61,143.4017,135.15,94511132
2025-02-19,139.08,139.52,140.53,128.65,38031059
2025-02-20,138.89,140.17,168.08,91.46,31981684
2025-02-21,139.88,140.53,140.84,137.65,33146400
2025-02-22,135.03,134.99,135.08,134.85,240395
2025-02-24,136.8384,137.06,138.5529,130.5751,97011017
2025-02-25,130.69,130.5,139.36,124.4067,66518931
2025-02-26,128.04,129.79,132.1347,126.6,43591177
2025-02-27,129.64,133.83,135.46,123.53,86308518
2025-02-28,121.46,117.79,139.36,116.64,91536762
2025-03-01,124.74,124.98,124.99,124.69,286998
2025-03-03,122.3073,123.88,125.74,118.2684,111184889
2025-03-04,114.02,109.89,115.54,108.82,88105566
2025-03-05,117.75,116.64,119.21,110.69,52882218
2025-03-06,116.77,113.27,119.61,112.97,49289003
2025-03-07,111.29,111.61,113.47,109.4807,69566906
2025-03-08,112.18,112.13,112.32,112.05,184310
2025-03-10,109.9056,109.69,131.24,106.1516,108267699
2025-03-11,104.73,106.91,110.5804,104.39,82377018
2025-03-12,109.37,113.71,116.179,108.74,67936714
2025-03-13,116.74,116.41,117.7387,113.7694,65799424
2025-03-14,116.47,118.96,124.9,112.09,53799730
2025-03-15,121.44,121.5,121.54,121.41,296308
2025-03-17,122.0979,123.07,123.68,108.74,92037236
2025-03-18,119.55,118.44,120.71,114.5193,46871765
2025-03-19,114.74,116.83,117.9786,114.72,43268551
2025-03-20,118.46,117.12,119.5584,115.19,41629447
2025-03-21,118.16,117.16,118.58,115.508,39082360
2025-03-22,117.67,117.64,117.7,117.52,305297
2025-03-24,120.449,120.02,121.9179,117.38,78410988
2025-03-25,120.98,120.56,121.39,119.1284,32113584
2025-03-26,120.57,118.73,120.67,110.5,60662729
2025-03-27,112.1,111.92,114.4293,111.51,45584227
2025-03-28,111.32,111.26,112.36,109.0504,55326691
2025-03-29,109.01,109.01,109.08,109.0,285055
2025-03-31,104.4711,105.88,109.65,103.6312,105696685
2025-04-01,107.57,108.66,109.95,106.4507,41921544
2025-04-02,110.22,107.89,110.24,107.48,34664350
2025-04-03,104.7,103.78,140.11,102.4914,73107829
2025-04-04,102.29,98.57,103.38,92.0933,125502752
2025-04-05,92.95,92.6,94.31,92.54,1128718
2025-04-07,88.204,90.27,104.42,83.64,291128879
2025-04-08,99.3,102.16,105.8308,87.0,87319879
2025-04-09,92.84,97.78,108.89,92.58,84740647
2025-04-10,112.87,110.18,114.63,99.1,80785596
2025-04-11,106.77,108.78,110.58,105.9,64903292
2025-04-12,110.52,110.71,110.72,110.45,259709
2025-04-14,113.0901,114.6,115.46,110.52,95086313
2025-04-15,109.56,110.41,112.2797,109.31,39965678
2025-04-16,105.29,104.63,112.18,95.95,70330248
2025-04-17,103.6,104.78,106.47,100.1019,67688029
2025-04-18,101.17,101.28,101.39,101.14,340286
2025-04-21,99.018,98.23,101.47,95.5527,101054889
2025-04-22,96.05,98.35,99.362,96.01,37624836
2025-04-23,102.01,104.52,104.721,96.33,52355575
2025-04-24,102.42,103.56,105.5709,97.98,41728999
2025-04-25,107.47,106.42,126.47,104.25,44110548
2025-04-26,110.85,110.94,110.94,110.73,229352
2025-04-28,108.6516,109.73,111.57,106.0,72765644
2025-04-29,108.2,108.08,111.01,107.53,31047832
2025-04-30,106.8,104.97,112.64,104.5511,38908872
2025-05-01,113.17,113.6,114.45,96.89,39408831
2025-05-02,111.09,114.05,114.4293,111.03,35562755
2025-05-03,114.21,114.2,114.29,114.14,178624
2025-05-05,113.9184,112.98,114.48,95.72,47450224
2025-05-06,113.39,112.3,113.82,110.9002,31998836
2025-05-07,114.3,113.74,114.91,112.9296,23602301
2025-05-08,116.82,118.7,120.81,111.96,42669873
2025-05-09,117.1,117.75,118.2,113.52,39255569
2025-05-10,116.38,116.39,116.41,116.34,147383
2025-05-12,121.8329,121.91,123.04,116.63,81880738
2025-05-13,122.94,124.84,130.8063,121.63,85829180
2025-05-14,131.18,133.5,134.23,129.91,55531369
2025-05-15,135.68,134.32,136.25,108.0,45607162
2025-05-16,134.49,136.29,136.89,133.4358,48576971
2025-05-17,132.55,132.1,132.77,132.07,723057
2025-05-19,132.726,132.04,135.8454,130.0,87714298
2025-05-20,135.87,134.67,135.89,130.85,32386826
2025-05-21,134.13,133.31,134.8341,132.63,30826333
2025-05-22,131.43,132.48,133.9258,130.99,39809034
2025-05-23,132.84,129.22,133.25,127.77,43300913
2025-05-24,131.16,131.16,131.19,131.14,197343
2025-05-27,133.8658,134.61,135.5355,129.55,73474840
2025-05-28,135.49,136.41,136.75,108.74,34674687
2025-05-29,141.47,142.01,143.81,134.79,88670931
2025-05-30,137.94,138.33,139.32,136.0054,44982654
2025-05-31,134.66,134.51,134.7,134.39,331565
2025-06-02,137.0652,134.94,137.6351,132.91,69491123
2025-06-03,137.6,138.18,141.9443,136.49,56637187
2025-06-04,141.4,142.1,142.6,139.5197,37186415
2025-06-05,141.52,141.64,142.5742,140.7945,34829438
2025-06-06,139.12,141.82,142.9341,138.89,30354361
2025-06-07,141.77,141.89,141.89,141.74,176004
2025-06-09,144.4039,143.25,144.9738,141.34,64970850
2025-06-10,142.91,143.32,143.65,141.99,25404017
2025-06-11,143.81,145.07,145.23,143.06,32260615
2025-06-12,142.3,141.67,144.9839,140.43,38331209
2025-06-13,144.63,142.88,144.98,141.0543,40246335
2025-06-14,141.77,141.8,141.85,141.7,220213
2025-06-16,143.9141,143.38,144.8739,141.95,56361230
2025-06-17,144.01,144.83,145.42,143.64,23403580
2025-06-18,143.49,144.44,145.6038,143.37,28290944
2025-06-19,145.0,145.07,145.12,145.0,168737
2025-06-20,145.3739,145.54,146.1838,142.11,84822082
2025-06-21,143.73,143.61,143.78,143.6,135548
2025-06-23,142.4642,142.79,144.284,142.08,45701105
2025-06-24,145.34,145.41,147.4136,144.15,32376688
2025-06-25,147.72,149.59,152.983,147.11,50888225
2025-06-26,154.46,156.33,156.98,142.72,47543486
2025-06-27,155.29,155.85,157.6525,155.0,39054195
2025-06-28,157.6,157.56,157.66,157.49,192554
2025-06-30,157.2126,158.39,159.4,155.9427,55511268
2025-07-01,157.55,156.4,157.97,152.813,46481795
