date,Open,Close,High,Low,Volume
2025-02-03,80.2614,80.35,82.58,78.34,31373277
2025-02-04,103.57,103.34,106.91,83.74,112616512
2025-02-05,102.64,102.33,103.83,99.75,32908583
2025-02-06,102.135,100.81,108.68,100.26,48245706
2025-02-07,110.93,110.95,115.31,110.4,59538336
2025-02-10,109.855,112.08,115.03,108.72,41439845
2025-02-11,117.903,115.4,118.66,114.33,41460818
2025-02-12,113.325,110.36,116.3483,109.58,33443966
2025-02-13,116.819,117.1,118.39,115.1501,26600026
2025-02-14,119.95,117.06,120.67,116.49,29530784
2025-02-18,123.0,120.93,125.0,117.9,38900860
2025-02-19,123.8853,123.48,124.95,121.58,27881130
2025-02-20,104.895,109.06,112.06,95.8,124142354
2025-02-21,108.13,108.3,112.34,96.42,51510214
2025-02-24,98.01,97.7,103.71,89.3,88492889
2025-02-25,90.39,91.86,93.43,85.6,61106993
2025-02-26,90.035,89.44,91.49,87.59,41699921
2025-02-27,92.7185,91.74,93.62,86.23,42313796
2025-02-28,79.42,80.89,86.0,78.58,57968705
2025-03-03,89.8558,88.32,90.4796,82.82,45929298
2025-03-04,82.015,79.79,84.7,78.6,46362081
2025-03-05,84.7143,85.74,88.4,80.2,38269966
2025-03-06,86.88,87.1,91.72,84.21,42877173
2025-03-07,81.07,79.8,84.1,79.1,36369278
2025-03-10,80.31,81.71,85.12,77.52,44153548
2025-03-11,77.11,76.57,80.37,73.23,42327386
2025-03-12,83.9497,83.33,84.42,78.05,45048932
2025-03-13,83.06,82.9,83.74,78.57,43150712
2025-03-14,84.02,82.54,86.4,78.58,47844493
2025-03-17,86.5,89.09,89.47,84.84,43335740
2025-03-18,85.11,85.21,88.58,81.8,37732645
2025-03-19,84.8,84.33,85.39,82.86,27313137
2025-03-20,86.28,86.5,88.5,83.74,31470306
2025-03-21,85.1,85.92,88.4,84.46,34735919
2025-03-24,92.47,93.68,97.39,90.96,48058207
2025-03-25,97.4,97.44,98.17,94.82,35288520
2025-03-26,96.7,96.17,97.2999,86.88,31242516
2025-03-27,91.05,91.03,93.65,89.67,34779416
2025-03-28,88.1,88.84,90.09,84.1,39431833
2025-03-31,80.02,80.0,85.85,78.75,46324379
2025-04-01,84.1295,84.15,89.63,81.8201,29503633
2025-04-02,84.2901,82.32,87.345,81.84,34057016
2025-04-03,83.92,81.34,87.45,72.79,39635894
2025-04-04,79.295,80.86,84.0,71.9303,58480548
2025-04-07,69.3634,69.09,81.8,65.0,76255863
2025-04-08,84.79,82.69,86.114,67.18,50013890
2025-04-09,79.105,78.5,82.38,74.03,48713959
2025-04-10,89.24,88.73,92.01,86.6,40869562
2025-04-11,88.35,88.85,91.3,85.52,36466011
2025-04-14,96.02,94.76,97.33,88.55,53540801
2025-04-15,94.3299,93.28,96.92,92.22,40641371
2025-04-16,96.155,96.81,98.4,94.51,38185122
2025-04-17,93.176,94.3,95.45,92.27,36062959
2025-04-21,96.0599,91.98,96.475,91.32,35569182
2025-04-22,91.8226,93.18,94.87,91.19,32356015
2025-04-23,99.38,99.44,103.76,93.12,51950342
2025-04-24,103.22,101.74,105.62,98.71,40904355
2025-04-25,108.13,107.9,111.09,103.39,41479323
2025-04-28,112.525,113.88,114.4,107.77,41193855
2025-04-29,114.5156,114.04,115.82,112.97,33582428
2025-04-30,112.44,110.9,116.08,110.54,40361522
2025-05-01,119.1396,120.42,121.5,90.8,37232351
2025-05-02,120.525,118.89,123.3,116.2,45339264
2025-05-05,122.38,123.95,126.15,121.36,40326924
2025-05-06,111.005,113.4,123.77,105.3201,95645230
2025-05-07,109.62,108.01,111.85,107.0,43361600
2025-05-08,113.34,112.16,117.79,108.34,50034085
2025-05-09,117.8024,119.05,119.92,108.86,34445295
2025-05-12,117.18,121.33,123.34,115.01,46837281
2025-05-13,122.19,119.09,125.32,116.77,45181325
2025-05-14,132.4294,130.52,133.49,127.34,48095243
2025-05-15,129.767,128.5,130.1999,125.74,28512156
2025-05-16,129.36,129.2,130.33,126.76,24923200
2025-05-19,124.87,124.34,129.52,122.29,30639872
2025-05-20,126.7901,127.56,128.38,124.65,26184383
2025-05-21,126.7,125.59,127.11,124.3,22427298
2025-05-22,122.0082,121.5,124.99,119.8,29840254
