Datetime,Open,High,Low,Close,Volume,Ticker
2025-02-03 09:30:00,80.125,80.38,79.06,80.2614,5201273,PLTR
2025-02-03 09:35:00,80.24,80.95,80.09,80.8662,2414611,PLTR
2025-02-03 09:40:00,80.865,80.9563,79.56,79.595,1968498,PLTR
2025-02-03 09:45:00,79.57,79.645,78.83,79.16,2131806,PLTR
2025-02-03 09:50:00,79.15,79.52,78.99,79.23,1366769,PLTR
2025-02-03 09:55:00,79.24,79.88,79.11,79.7,1067017,PLTR
2025-02-03 10:00:00,79.68,79.95,79.32,79.8951,1086009,PLTR
2025-02-03 10:05:00,79.89,80.1199,79.46,79.8608,1044539,PLTR
2025-02-03 10:10:00,79.85,79.8999,79.05,79.17,976512,PLTR
2025-02-03 10:15:00,79.175,79.34,78.55,78.56,1383832,PLTR
2025-02-03 10:20:00,78.56,79.89,78.47,79.795,2147696,PLTR
2025-02-03 10:25:00,79.79,80.3,79.3441,80.03,1729555,PLTR
2025-02-03 10:30:00,80.01,80.4,79.7093,80.27,1243162,PLTR
2025-02-03 10:35:00,80.265,80.5,79.98,80.18,992504,PLTR
2025-02-03 10:40:00,80.17,81.2,79.8499,81.1596,1473048,PLTR
2025-02-03 10:45:00,81.15,81.1577,80.63,80.83,958568,PLTR
2025-02-03 10:50:00,80.82,81.24,80.805,81.012,702171,PLTR
2025-02-03 10:55:00,81.02,81.49,79.8001,81.41,822660,PLTR
2025-02-03 11:00:00,79.6,82.58,78.34,80.23,119124,PLTR
2025-02-03 11:05:00,80.23,80.45,79.99,80.19,47719,PLTR
2025-02-03 11:10:00,80.18,80.21,79.71,79.8,56390,PLTR
2025-02-03 11:15:00,79.79,79.9,79.6,79.79,30604,PLTR
2025-02-03 11:20:00,79.83,79.87,79.58,79.76,25438,PLTR
2025-02-03 11:25:00,79.71,79.9,79.71,79.8,12489,PLTR
2025-02-03 11:30:00,79.81,80.32,79.72,80.26,26703,PLTR
2025-02-03 11:35:00,80.29,80.3,80.03,80.12,13028,PLTR
2025-02-03 11:40:00,80.14,80.32,80.07,80.19,16216,PLTR
2025-02-03 11:45:00,80.16,80.27,80.14,80.22,14289,PLTR
2025-02-03 11:50:00,80.22,80.55,80.2,80.53,20459,PLTR
2025-02-03 11:55:00,80.54,80.54,80.35,80.35,28220,PLTR
2025-02-03 12:00:00,80.36,80.44,80.26,80.38,26716,PLTR
2025-02-03 12:05:00,80.41,80.95,80.41,80.73,22989,PLTR
2025-02-03 12:10:00,80.73,80.81,80.6,80.66,29911,PLTR
2025-02-03 12:15:00,80.65,80.75,80.06,80.14,50391,PLTR
2025-02-03 12:20:00,80.09,80.79,80.02,80.66,86639,PLTR
2025-02-03 12:25:00,80.66,80.87,80.63,80.79,15066,PLTR
2025-02-03 12:30:00,80.78,81.22,80.77,81.18,34889,PLTR
2025-02-03 12:35:00,81.2,81.63,81.15,81.33,35347,PLTR
2025-02-03 12:40:00,81.32,81.39,81.15,81.24,14627,PLTR
2025-02-03 12:45:00,81.25,81.29,80.95,81.01,21108,PLTR
2025-02-03 12:50:00,81.08,81.18,80.99,81.14,9801,PLTR
2025-02-03 12:55:00,81.13,81.32,81.13,81.19,10994,PLTR
2025-02-03 13:00:00,81.16,81.48,81.16,81.47,10941,PLTR
2025-02-03 13:05:00,81.45,81.48,81.2,81.26,17567,PLTR
2025-02-03 13:10:00,81.26,81.66,81.25,81.66,19245,PLTR
2025-02-03 13:15:00,81.65,81.74,81.45,81.53,30384,PLTR
2025-02-03 13:20:00,81.53,81.64,81.48,81.5,7947,PLTR
2025-02-03 13:25:00,81.48,81.53,81.36,81.41,15648,PLTR
2025-02-03 13:30:00,81.4,81.5,81.3,81.35,14215,PLTR
2025-02-03 13:35:00,81.34,81.41,81.03,81.1,18942,PLTR
2025-02-03 13:40:00,81.1,81.19,81.06,81.12,7148,PLTR
2025-02-03 13:45:00,81.1,81.32,81.08,81.21,14482,PLTR
2025-02-03 13:50:00,81.21,81.27,81.14,81.16,7854,PLTR
2025-02-03 13:55:00,81.17,81.76,81.17,81.5,20550,PLTR
2025-02-03 14:00:00,81.51,81.66,80.87,80.9,125438,PLTR
2025-02-03 14:05:00,80.92,81.05,80.84,80.89,39938,PLTR
2025-02-03 14:10:00,80.87,81.25,80.61,81.18,37630,PLTR
2025-02-03 14:15:00,81.16,81.4,80.82,80.95,30903,PLTR
2025-02-03 14:20:00,80.94,81.12,80.84,81.05,28456,PLTR
2025-02-03 14:25:00,81.01,81.29,80.97,81.08,16514,PLTR
2025-02-03 14:30:00,81.09,81.09,80.88,80.88,16039,PLTR
2025-02-03 14:35:00,80.89,80.91,80.63,80.87,24009,PLTR
2025-02-03 14:40:00,80.86,80.91,80.79,80.84,11046,PLTR
2025-02-03 14:45:00,80.82,80.86,80.6,80.76,29978,PLTR
2025-02-03 14:50:00,80.75,80.86,80.64,80.71,20375,PLTR
2025-02-03 14:55:00,80.69,80.79,80.68,80.71,14591,PLTR
2025-02-03 15:00:00,80.7,82.49,78.41,80.7,662905,PLTR
2025-02-03 15:05:00,80.67,81.12,80.61,80.85,69246,PLTR
2025-02-03 15:10:00,80.76,81.08,80.62,81.06,49749,PLTR
2025-02-03 15:15:00,81.07,81.15,80.95,81.13,45339,PLTR
2025-02-03 15:20:00,81.15,81.15,80.82,80.9,47099,PLTR
2025-02-03 15:25:00,80.94,80.99,80.82,80.94,36455,PLTR
2025-02-03 15:30:00,80.95,81.06,80.76,80.76,39936,PLTR
2025-02-03 15:35:00,80.8,80.8,80.45,80.61,82052,PLTR
2025-02-03 15:40:00,80.61,80.63,80.31,80.52,52709,PLTR
2025-02-03 15:45:00,80.51,80.7,80.47,80.6,64958,PLTR
