date,Open,Close,High,Low,Volume
2025-02-03,177.1,176.5,183.7999,171.93,1849763
2025-02-04,186.98,184.93,189.67,182.54,3305568
2025-02-05,184.67,186.43,188.35,181.68,1947638
2025-02-06,188.5368,189.52,190.0,186.51,1007459
2025-02-07,186.99,187.38,189.49,185.46,1221569
2025-02-10,186.39,186.48,188.88,183.52,1959294
2025-02-11,185.65,184.79,187.6,182.4382,1212192
2025-02-12,181.13,180.82,187.21,178.52,1653591
2025-02-13,187.44,187.1,189.5079,183.0,1316072
2025-02-14,192.37,192.53,194.99,184.07,2572493
2025-02-18,192.035,193.85,194.4,187.6,2749933
2025-02-19,189.62,190.75,194.4,187.0,1974026
2025-02-20,185.145,187.86,190.77,178.55,2800890
2025-02-21,185.1904,185.4,186.2,178.292,1421100
2025-02-24,175.475,178.78,179.9,167.302,2686840
2025-02-25,169.25,170.8,171.0,160.66,2783178
2025-02-26,165.82,168.19,169.95,164.2,2396889
2025-02-27,185.2101,189.36,189.5,176.5,10613954
2025-02-28,171.215,172.6,176.62,170.57,2998285
2025-03-03,180.9251,178.62,180.95,175.36,1748132
2025-03-04,171.305,170.35,175.23,166.3378,2036773
2025-03-05,174.08,174.17,177.17,170.11,1211176
2025-03-06,167.83,169.33,177.31,161.55,2551456
2025-03-07,156.7039,154.99,158.81,151.21,2631392
2025-03-10,150.81,153.34,158.1,146.7,4065566
2025-03-11,149.99,146.69,152.4133,145.67,1790413
2025-03-12,154.46,155.19,155.845,149.9,2080995
2025-03-13,149.7006,151.21,152.82,146.14,1897079
2025-03-14,151.9699,152.9,155.97,150.35,1389460
2025-03-17,155.955,156.54,157.37,153.86,1198745
2025-03-18,153.22,154.0,156.46,150.5,1577561
2025-03-19,154.8,154.77,158.1,153.64,1509867
2025-03-20,155.425,154.39,158.41,153.0,685581
2025-03-21,154.2045,155.04,158.5,153.01,1092056
2025-03-24,161.5,161.65,166.42,158.39,1592533
2025-03-25,166.38,163.57,166.79,162.03,1140881
2025-03-26,162.7,162.9,164.2,156.26,1157273
2025-03-27,157.015,158.82,159.63,155.06,1103951
2025-03-28,154.82,154.95,157.15,148.39,1536350
2025-03-31,144.49,146.35,150.63,141.9201,1959221
2025-04-01,146.92,146.68,148.98,144.755,1149163
2025-04-02,147.625,146.71,154.7,145.0126,1865576
2025-04-03,145.2,145.12,153.91,139.27,2615431
2025-04-04,133.245,132.69,140.27,125.49,2550432
2025-04-07,123.62,126.0,137.81,117.34,3253149
2025-04-08,138.07,136.4,140.18,131.04,2394010
2025-04-09,134.745,132.0,142.4893,126.46,1560947
2025-04-10,147.61,145.64,151.15,140.15,1159136
2025-04-11,142.71,144.0,147.1,140.67,1172930
2025-04-14,149.79,148.5,150.685,143.87,903423
2025-04-15,145.0,143.91,147.2,142.45,727841
2025-04-16,145.4933,144.0,148.815,141.76,1116610
2025-04-17,145.59,147.15,148.27,142.2301,842250
2025-04-21,141.41,140.53,143.93,135.38,1131192
2025-04-22,137.94,138.91,141.36,137.0,1199530
2025-04-23,149.36,146.2,151.83,140.23,1789357
2025-04-24,151.6,149.31,158.66,146.7,1675924
2025-04-25,159.83,157.0,160.57,149.08,1650113
2025-04-28,157.78,158.8,159.64,156.04,682644
2025-04-29,160.83,157.9,161.6,157.78,925143
2025-04-30,155.7,156.2,161.21,154.375,1397245
2025-05-01,165.64,167.45,169.39,164.3827,2166245
2025-05-02,166.52,169.9,169.9,163.86,1041507
2025-05-05,167.27,165.21,169.92,165.05,548795
2025-05-06,165.47,165.79,170.64,164.22,576074
2025-05-07,169.46,169.36,170.79,167.51,442073
2025-05-08,171.975,173.14,175.42,170.56,642516
2025-05-09,175.105,175.6,176.3577,172.0,691228
2025-05-12,180.682,181.83,183.73,177.09,1397020
2025-05-13,180.85,180.53,183.98,178.5,1060174
2025-05-14,182.9825,181.76,183.5,178.6,956411
2025-05-15,180.83,179.64,181.32,178.0,908605
2025-05-16,182.17,183.99,184.55,181.67,1154574
2025-05-19,180.8,180.5,183.1,178.06,1019221
2025-05-20,182.2434,182.75,183.5,181.5,1122630
2025-05-21,181.44,181.51,183.65,180.25,1897243
2025-05-22,196.1082,196.25,201.56,179.12,10536248
2025-05-23,199.26,198.15,205.4,197.7,6003381
2025-05-27,203.8601,202.6,206.38,201.48,2735044
2025-05-28,208.14,206.34,209.8,204.5701,1373560
2025-05-29,205.37,205.59,208.93,201.08,1213116
2025-05-30,202.34,200.85,203.87,199.75,953843
2025-06-02,208.75,204.8,210.3,202.76,1644551
2025-06-03,208.35,210.42,211.19,207.2,1301735
2025-06-04,211.81,214.4,217.05,208.9,2084826
