date,Open,Close,High,Low,Volume
2025-02-03,586.6313,590.7333,593.3427,583.6562,54476322
2025-02-04,591.0595,594.7957,595.3295,590.3676,27180935
2025-02-05,593.4712,597.1778,597.3755,591.6525,24381774
2025-02-06,598.5913,599.3227,599.4339,595.6557,26142296
2025-02-07,600.1678,593.8271,601.092,593.1055,43775226
2025-02-10,596.481,597.7907,598.4923,595.7644,22383479
2025-02-11,596.2981,598.2058,598.8483,595.458,24665956
2025-02-12,592.7003,596.3772,597.5534,591.5833,37243923
2025-02-13,597.5584,602.634,602.8811,596.2191,34520157
2025-02-14,603.0491,602.6438,603.9189,602.0211,22778286
2025-02-18,603.5924,604.2747,604.3044,601.3391,23238186
2025-02-19,603.0959,605.8068,606.133,602.5055,25883709
2025-02-20,604.1858,603.3258,604.6049,599.9949,31577118
2025-02-21,602.5791,593.0561,603.2369,592.5322,60777162
2025-02-24,595.1763,590.2885,596.051,589.5867,40681240
2025-02-25,590.59,587.3331,590.9705,582.7369,51080765
2025-02-26,588.3561,587.5506,592.641,585.006,36874105
2025-02-27,590.1798,578.2692,591.099,577.8837,57035652
2025-02-28,576.6581,587.1947,587.8372,575.6993,70587497
2025-03-03,589.9722,577.2116,590.4269,573.1887,62760297
2025-03-04,571.8641,570.1938,578.6152,565.6272,89494692
2025-03-05,570.8857,576.3023,578.1111,566.4471,61545423
2025-03-06,568.4443,566.1709,573.4591,563.5219,65354866
2025-03-07,566.1639,569.1856,570.7078,559.0839,71675852
2025-03-10,560.5863,554.2603,562.9486,549.1601,82084846
2025-03-11,552.5009,549.6839,557.4925,545.6314,74780963
2025-03-12,555.9209,552.4416,556.593,547.282,56381685
2025-03-13,551.8585,545.1273,552.6344,543.3185,57291498
2025-03-14,550.2015,556.2767,557.3047,545.1092,53657291
2025-03-17,557.8879,560.4578,563.1166,555.8418,40716678
2025-03-18,557.5221,554.5569,558.4809,552.5899,46585614
2025-03-19,556.0988,560.4479,564.3423,555.1302,49344950
2025-03-20,557.8681,559.1333,563.9667,556.0901,49167052
2025-03-21,554.7766,559.3371,560.031,553.23,67266694
2025-03-24,565.9695,569.0825,570.2028,565.2954,45074185
2025-03-25,570.2226,570.411,571.4519,568.7553,32525449
2025-03-26,570.064,563.8479,571.3726,562.3113,42692177
2025-03-27,561.4091,562.1229,565.9893,560.0806,37984254
2025-03-28,560.1796,551.049,561.3967,550.2955,58171594
2025-03-31,543.9704,554.3404,555.8882,542.166,69390399
2025-04-01,552.0503,556.2042,558.0978,548.9175,46967889
2025-04-02,552.1494,559.7931,562.5393,550.0377,47704419
2025-04-03,542.8005,533.0154,543.2566,532.2818,103067860
2025-04-04,519.3242,501.1519,521.3467,500.7157,172501694
2025-04-07,483.4059,500.2101,518.6699,477.6557,221189053
2025-04-08,516.003,492.4672,520.4643,484.9524,144039152
