date,Open,Close,High,Low,Volume
2025-02-03,385.55,389.5,404.66,374.36,44821182
2025-02-04,383.2897,386.01,390.73,377.68,20362005
2025-02-05,383.3465,386.34,392.21,380.02,21162150
2025-02-06,371.49,373.41,379.8,363.18,34269587
2025-02-07,376.295,371.72,380.5459,367.05,25825222
2025-02-10,354.98,358.14,376.51,350.51,31047122
2025-02-11,348.01,346.65,391.71,339.19,20414440
2025-02-12,327.3,331.76,341.18,315.78,26746010
2025-02-13,341.9,347.34,358.69,336.51,22376141
2025-02-14,357.32,361.89,363.87,350.03,16216743
2025-02-15,353.9,353.92,354.5,353.83,62218
2025-02-18,354.93,359.96,362.4,345.78,22308659
2025-02-19,354.16,353.4,392.21,352.17,15798739
2025-02-20,360.1,362.31,364.05,348.0,11871334
2025-02-21,353.1,355.52,361.36,344.81,13091681
2025-02-22,338.3,337.3,338.6,337.22,121029
2025-02-24,340.97,346.03,346.68,324.7,34492110
2025-02-25,326.26,329.04,333.7,301.41,34426838
2025-02-26,306.13,305.76,310.18,294.2301,23263579
2025-02-27,287.94,294.54,308.18,280.88,25219086
2025-02-28,283.02,279.69,293.0,276.83,26088464
2025-03-01,293.39,294.45,294.45,293.22,135981
2025-03-03,300.07,301.98,304.44,291.69,41379677
2025-03-04,283.48,272.13,286.0,261.8401,28954880
2025-03-05,274.1295,272.61,301.58,264.23,35980946
2025-03-06,278.81,271.52,280.33,265.62,17676734
2025-03-07,262.15,259.6,264.4,256.94,21458661
2025-03-08,262.13,262.38,262.5,262.05,54800
2025-03-10,247.73,252.71,290.8,237.6,53148994
2025-03-11,215.69,222.8,235.8,215.0,48246399
2025-03-12,233.43,243.54,250.85,230.57,33016798
2025-03-13,253.2,246.68,253.55,234.0,29084377
2025-03-14,241.24,246.56,292.98,236.76,21484643
2025-03-15,249.83,249.83,250.0,249.72,105899
2025-03-17,239.64,247.39,249.98,236.1507,39880906
2025-03-18,236.05,228.55,238.01,222.28,24024191
2025-03-19,227.73,232.33,234.96,225.31,20629368
2025-03-20,239.64,233.03,242.37,224.53,20687457
2025-03-21,234.85,234.99,242.42,224.53,23662489
2025-03-22,249.38,249.45,249.66,248.71,199392
2025-03-24,262.0244,258.7,274.72,248.71,67378221
2025-03-25,281.8,282.1,286.5,248.71,35310058
2025-03-26,287.41,284.65,288.14,238.27,32654477
2025-03-27,270.98,273.74,291.85,264.97,39512501
2025-03-28,273.35,275.09,279.36,260.79,33837299
2025-03-29,260.08,260.12,260.39,260.0,247373
2025-03-31,244.615,248.83,263.55,243.3601,50325256
2025-04-01,256.17,263.5,272.84,255.65,32222830
2025-04-02,268.9,263.3,269.05,260.03,29860210
2025-04-03,262.97,264.87,417.39,260.0,32345826
2025-04-04,267.22,254.34,269.01,236.0,47356795
2025-04-05,235.61,235.25,235.83,235.0,293671
2025-04-07,224.39,226.32,252.0,208.56,85655941
2025-04-08,240.65,241.81,250.44,215.76,32272397
2025-04-09,217.2,223.29,236.0,216.8,33568116
2025-04-10,270.42,262.42,272.2,251.9,30294759
2025-04-11,248.25,251.2,258.75,244.0712,27930288
2025-04-12,251.96,252.97,253.0,251.9,144185
2025-04-14,259.3255,258.38,261.8,252.31,33563986
2025-04-15,250.61,249.98,258.75,249.0,22284629
2025-04-16,250.07,248.7,254.11,244.78,15028703
2025-04-17,242.29,243.78,246.45,237.6833,17693045
2025-04-18,240.86,240.89,241.0,240.8,66938
2025-04-21,231.67,231.36,241.37,223.67,35164542
2025-04-22,225.69,230.63,237.81,225.58,17504049
2025-04-23,249.68,256.56,258.13,227.26,38328025
2025-04-24,251.5,252.17,258.15,244.75,22650242
2025-04-25,262.71,260.26,278.18,249.7,43885766
2025-04-26,284.6,285.0,285.1,284.33,207378
2025-04-28,289.32,288.7,294.86,250.5,58656348
2025-04-29,285.55,285.8,289.78,279.4695,27800362
2025-04-30,288.2,280.26,292.03,270.94,28359324
2025-05-01,282.95,281.94,289.79,227.5,23688156
2025-05-02,277.95,285.12,286.94,277.45,21141779
2025-05-03,288.07,288.45,288.57,287.8,149843
2025-05-05,281.285,284.64,288.37,274.4,36572267
2025-05-06,278.32,275.12,280.26,271.88,16230438
2025-05-07,278.87,277.76,279.93,273.76,13555613
2025-05-08,276.29,279.4,285.3999,273.29,19606886
2025-05-09,284.87,288.7,307.04,275.35,36615167
2025-05-10,299.14,299.3,299.35,298.91,129340
2025-05-12,315.84,321.95,329.07,298.26,54376457
2025-05-13,318.07,321.25,326.07,313.96,26245738
2025-05-14,334.88,343.21,344.94,334.07,26655683
2025-05-15,345.8,341.15,347.68,334.7153,24795000
2025-05-16,341.9,346.37,347.84,341.08,21730713
2025-05-17,341.3,340.15,342.0,340.04,421504
2025-05-19,334.3773,336.29,349.98,332.25,36981133
2025-05-20,342.99,345.44,347.42,327.52,19676448
2025-05-21,344.59,345.45,347.22,341.55,21337304
2025-05-22,332.18,331.39,342.6,327.32,24020065
2025-05-23,342.05,335.0,346.58,333.72,20741242
2025-05-24,339.76,339.86,339.93,339.66,94513
2025-05-27,352.26,347.15,357.61,331.8,42598791
2025-05-28,366.14,365.8,367.59,347.44,20023766
2025-05-29,363.88,365.0,368.78,356.9,19720281
2025-05-30,355.53,354.22,363.16,352.7,20380454
2025-05-31,345.6,345.52,345.7,345.22,152670
2025-06-02,346.5,342.93,348.02,335.18,35084622
