date,Open,Close,High,Low,Volume
2025-02-03,197.1511,198.01,206.59,195.3943,8755574
2025-02-04,200.8872,201.44,203.0629,197.19,5453959
2025-02-05,202.752,202.03,204.9726,200.95,3768315
2025-02-06,208.0617,204.7,208.422,204.2965,3652958
2025-02-07,209.4681,209.72,210.3958,204.2176,5256588
2025-02-10,206.7639,206.18,207.75,202.03,4250891
2025-02-11,203.1122,202.32,205.36,198.3749,3283140
2025-02-12,202.6969,202.93,206.17,200.3587,2965730
2025-02-13,198.7746,201.2,203.68,196.628,7257612
2025-02-14,195.6115,196.3,199.19,194.8816,6719374
2025-02-18,202.2832,202.68,204.0,197.9012,5974986
2025-02-19,198.7647,199.14,201.39,197.4077,3769374
2025-02-20,196.48,198.82,199.3,195.0292,4846619
2025-02-21,199.2138,198.97,200.0428,197.49,3490903
2025-02-24,194.2791,195.52,197.2,189.3148,6160484
2025-02-25,189.5319,188.55,191.0025,185.3473,6345976
2025-02-26,190.2021,189.44,192.8827,186.9,5241867
2025-02-27,191.0321,191.93,193.55,182.6924,7675070
2025-02-28,174.2196,177.09,180.71,173.2277,10262691
2025-03-03,177.0521,179.24,180.32,171.3426,13577236
2025-03-04,176.0374,171.45,178.3598,170.25,13512888
2025-03-05,179.1296,180.23,183.05,176.45,6031590
2025-03-06,174.6193,176.32,181.87,174.3528,6900950
2025-03-07,173.805,175.37,177.14,171.4314,4993390
2025-03-10,170.3458,170.74,175.68,166.8323,5835016
2025-03-11,167.9673,168.72,170.7899,165.9046,4781765
2025-03-12,173.9243,172.25,175.8036,168.74,5844429
2025-03-13,169.9116,170.24,174.86,168.4015,5316429
2025-03-14,170.5728,170.7,178.17,168.47,3791377
2025-03-17,173.6175,173.3,174.2936,171.24,3340228
2025-03-18,172.163,172.41,174.63,168.8709,4133063
2025-03-19,170.6124,170.77,171.8212,168.92,2848373
2025-03-20,174.0555,173.17,175.4774,171.48,3617967
2025-03-21,172.8021,172.9,175.84,172.1995,2320243
2025-03-24,178.7273,178.22,180.3028,174.84,4211171
2025-03-25,179.4556,180.51,181.15,178.1526,2980462
2025-03-26,177.3798,177.92,179.24,171.84,4759310
2025-03-27,168.7,169.88,171.91,167.947,5711224
2025-03-28,166.223,166.01,167.7,163.8846,3794683
2025-03-31,159.3299,159.87,163.74,158.2665,7004924
2025-04-01,163.9732,164.86,166.5,163.5477,2648159
