date,Open,Close,High,Low,Volume
2025-02-03,174.144,175.99,178.93,172.9082,1928872
2025-02-04,174.7691,174.07,177.4151,174.0,1743584
2025-02-05,173.5576,174.46,177.25,172.2201,2494138
2025-02-06,176.0194,176.4,178.34,174.65,1731311
2025-02-07,177.6962,174.4396,179.31,173.7805,2103163
2025-02-10,174.8854,175.14,177.34,173.5867,1307720
2025-02-11,174.5995,173.59,179.17,173.4898,1535671
2025-02-12,171.7839,171.09,174.45,171.0,2280496
2025-02-13,175.2053,174.41,176.6882,173.1119,1294642
2025-02-14,176.8433,177.4054,180.08,174.5,2017653
2025-02-18,178.9077,177.11,181.0012,176.96,1343593
2025-02-19,183.6375,183.67,191.0714,177.64,3232566
2025-02-20,192.5736,189.77,196.2954,186.28,3250049
2025-02-21,197.9848,197.73,199.4163,195.1518,2130717
2025-02-24,194.8901,195.96,199.0868,194.1825,2255455
2025-02-25,192.3265,194.85,196.3147,189.0,1690634
2025-02-26,193.0389,192.03,194.95,189.38,2090920
2025-02-27,191.3641,191.61,193.57,188.0765,2426371
2025-02-28,185.8182,186.75,189.5206,184.03,2051847
2025-03-03,191.5501,188.5029,194.0856,187.8536,1953641
2025-03-04,188.3866,190.23,191.9,183.75,1762967
2025-03-05,188.9972,189.54,193.48,181.44,1716234
2025-03-06,185.605,186.86,189.55,182.6931,2201084
2025-03-07,183.4291,182.89,185.1688,179.9981,2647063
2025-03-10,181.5827,182.02,185.02,178.5491,2461436
2025-03-11,179.9727,181.07,185.46,171.4835,3099246
2025-03-12,173.4607,173.64,174.73,170.398,2121575
2025-03-13,169.2286,169.61,173.51,166.7925,2124282
2025-03-14,170.6984,170.11,184.66,168.2,1542528
2025-03-17,172.3291,171.47,175.0987,169.71,1479494
2025-03-18,173.3347,174.17,176.69,172.1426,1694377
2025-03-19,174.1585,176.0873,176.9983,172.54,2593547
2025-03-20,174.585,175.1859,177.39,173.0052,2000553
2025-03-21,172.6175,173.5188,175.43,171.5901,3804342
2025-03-24,179.3535,176.42,182.36,173.49,1806848
2025-03-25,180.5941,179.18,186.48,177.8997,1673480
2025-03-26,179.0143,179.1,180.2743,172.67,2598712
2025-03-27,173.2959,175.215,181.24,172.0553,2779801
2025-03-28,174.7546,173.61,187.25,170.2623,1875068
2025-03-31,168.7116,170.69,173.199,166.87,2234029
2025-04-01,172.5593,173.15,174.17,168.9054,1975977
2025-04-02,170.7469,170.82,174.3863,169.62,1715082
2025-04-03,168.4595,166.61,172.7,159.659,3017611
2025-04-04,152.7825,151.44,159.55,149.46,5016367
2025-04-07,143.2599,146.65,157.8854,139.99,6089770
2025-04-08,151.4692,151.55,160.94,144.5,3150100
2025-04-09,139.9355,139.03,158.244,137.12,3292500
2025-04-10,156.7659,157.95,164.28,145.8719,5093993
2025-04-11,138.4817,140.81,151.92,135.6419,7870053
2025-04-14,147.7328,145.07,148.8571,143.06,2968315
2025-04-15,147.3597,146.27,148.05,145.3534,2168232
