Datetime,Open,High,Low,Close,Volume,Ticker
2025-02-03 09:30:00,177.4,177.41,173.98,174.14,266866,TXN
2025-02-03 09:35:00,174.29,174.66,173.68,174.58,104758,TXN
2025-02-03 09:40:00,174.58,174.83,174.26,174.55,65710,TXN
2025-02-03 09:45:00,174.59,174.74,173.64,173.77,65444,TXN
2025-02-03 09:50:00,173.77,173.85,172.91,173.01,90035,TXN
2025-02-03 09:55:00,173.03,174.16,172.96,173.7,73011,TXN
2025-02-03 10:00:00,173.7,173.91,173.37,173.85,72885,TXN
2025-02-03 10:05:00,173.83,174.79,173.76,174.58,88314,TXN
2025-02-03 10:10:00,174.55,174.66,174.13,174.23,46129,TXN
2025-02-03 10:15:00,174.23,174.41,173.55,173.55,56318,TXN
2025-02-03 10:20:00,173.62,176.25,173.62,176.16,151108,TXN
2025-02-03 10:25:00,176.22,176.74,175.62,176.72,135541,TXN
2025-02-03 10:30:00,176.72,177.08,176.0,176.24,89752,TXN
2025-02-03 10:35:00,176.32,176.53,175.93,176.34,57539,TXN
2025-02-03 10:40:00,176.33,177.08,175.95,176.82,87188,TXN
2025-02-03 10:45:00,176.79,176.8,176.29,176.66,52425,TXN
2025-02-03 10:50:00,176.68,177.01,176.45,176.46,27035,TXN
2025-02-03 10:55:00,176.45,176.73,176.3,176.4,40246,TXN
2025-02-03 11:00:00,176.32,176.76,175.91,176.09,57834,TXN
2025-02-03 11:05:00,176.16,176.53,175.8,176.28,68907,TXN
2025-02-03 11:10:00,176.38,176.7,175.81,176.15,123183,TXN
2025-02-03 11:15:00,176.12,176.32,175.83,176.14,64780,TXN
2025-02-03 11:20:00,176.16,176.76,176.11,176.46,56638,TXN
2025-02-03 11:25:00,176.41,176.6,176.02,176.19,49008,TXN
2025-02-03 11:30:00,176.26,176.62,176.1,176.61,43521,TXN
2025-02-03 11:35:00,176.66,176.74,176.34,176.74,43579,TXN
2025-02-03 11:40:00,176.74,176.77,175.88,176.14,73869,TXN
2025-02-03 11:45:00,176.12,176.29,175.85,175.89,53203,TXN
2025-02-03 11:50:00,175.89,176.24,175.89,176.03,32948,TXN
2025-02-03 11:55:00,176.07,176.11,175.62,175.92,77791,TXN
2025-02-03 12:00:00,175.87,176.2,175.43,175.46,77981,TXN
2025-02-03 12:05:00,175.46,175.92,175.46,175.69,57895,TXN
2025-02-03 12:10:00,175.73,175.94,175.54,175.78,28550,TXN
