date,Open,Close,High,Low,Volume
2025-02-03,45.76,44.31,47.33,42.7,2628898
2025-02-04,43.8,42.96,44.27,42.7,1524030
2025-02-05,43.11,42.05,43.55,41.96,1913299
2025-02-06,41.65,41.74,42.55,41.57,1347443
2025-02-07,41.58,43.18,43.29,41.38,1616805
2025-02-10,42.5116,42.05,42.7924,42.03,807911
2025-02-11,42.32,42.22,42.5,41.77,1002584
2025-02-12,42.93,42.01,43.4,41.85,1904542
2025-02-13,41.96,41.3,42.45,41.25,1827603
2025-02-14,41.2277,41.16,41.65,41.02,2046084
2025-02-18,40.8717,41.0,41.37,40.64,1485053
2025-02-19,41.25,40.5,41.37,40.49,2761306
2025-02-20,40.38,40.7,41.46,40.22,3601603
2025-02-21,40.8234,43.56,43.91,40.77,4067407
2025-02-24,42.56,43.82,44.84,42.22,1505934
2025-02-25,44.18,44.11,46.13,43.2,2734625
2025-02-26,44.04,43.26,44.54,42.22,1289516
2025-02-27,42.6362,45.72,45.87,42.415,1796390
2025-02-28,47.13,44.735,47.2072,44.46,1928536
2025-03-03,44.01,48.56,49.75,43.9,1384894
2025-03-04,51.24,49.7,53.43,47.41,2404463
2025-03-05,49.48,47.4999,50.67,47.3001,1904159
2025-03-06,50.6626,52.72,52.82,49.2,2185283
2025-03-07,52.4091,50.2624,54.16,50.01,1832666
2025-03-10,53.135,55.815,56.75,52.49,2050975
2025-03-11,56.825,55.75,59.07,54.9,1778799
2025-03-12,53.9,52.89,56.25,52.47,1181524
2025-03-13,53.02,55.32,56.41,52.21,1106156
2025-03-14,53.28,50.38,53.65,50.26,1023529
2025-03-17,49.37,48.55,49.93,48.23,1365026
2025-03-18,48.785,49.895,50.565,48.22,838659
2025-03-19,49.34,48.13,49.78,47.01,773359
2025-03-20,48.79,47.32,49.27,46.9001,713206
2025-03-21,48.3,47.4,48.96,47.14,1429593
2025-03-24,45.62,44.29,45.76,44.21,926721
2025-03-25,44.0443,44.7,44.84,43.955,618848
2025-03-26,44.24,46.1,46.99,44.0631,929955
2025-03-27,46.79,46.41,47.45,45.63,622072
2025-03-28,46.94,50.47,50.634,46.4706,1317080
2025-03-31,53.84,50.25,54.1499,49.74,1786375
2025-04-01,51.57,50.43,52.84,49.6205,783108
2025-04-02,51.735,49.0,52.5,48.18,1143765
2025-04-03,55.04,61.03,61.26,54.79,2953472
2025-04-04,67.9,73.28,74.81,65.3607,4494881
2025-04-07,80.55,73.27,83.02,66.0,2950940
2025-04-08,66.5938,82.71,89.1449,65.94,3293221
2025-04-09,84.62,65.34,87.263,61.915,2392188
2025-04-10,69.83,77.8975,85.11,68.18,3155441
2025-04-11,80.58,75.5,83.91,75.28,2190049
2025-04-14,69.83,67.08,74.25,66.69,1448478
2025-04-15,66.64,66.51,67.87,64.3,855968
2025-04-16,68.7487,72.14,73.66,67.0,1030315
2025-04-17,70.18,70.17,71.43,69.5,762652
2025-04-21,71.25,74.35,76.0,70.65,1254124
2025-04-22,71.59,69.61,71.86,69.08,541054
2025-04-23,66.09,66.93,69.17,64.7962,776434
2025-04-24,66.44,64.53,66.49,64.2536,586782
2025-04-25,64.9,61.91,65.8,61.8601,397434
2025-04-28,61.6027,62.36,64.65,61.13,497864
2025-04-29,63.0,61.685,63.28,61.45,702424
2025-04-30,64.3901,63.13,66.93,62.61,1078797
2025-05-01,62.21,62.15,63.08,61.26,369396
2025-05-02,60.815,59.69,61.29,59.46,384043
2025-05-05,60.67,60.89,61.22,59.65,560547
2025-05-06,62.04,63.24,63.35,61.3501,869836
2025-05-07,62.58,61.37,63.5601,61.1,794671
2025-05-08,60.45,59.17,60.88,58.55,983232
2025-05-09,58.36,58.69,59.235,57.95,520371
2025-05-12,53.975,50.94,54.23,50.93,1097871
2025-05-13,49.9724,50.83,50.83,49.13,1281609
2025-05-14,50.82,51.68,51.9604,50.63,853850
2025-05-15,52.15,50.98,52.74,50.83,595878
