date,Open,Close,High,Low,Volume
2025-02-03,339.1116,333.12,341.8743,327.26,2656305
2025-02-04,341.8148,342.18,343.97,337.13,1279839
2025-02-05,343.0038,343.3,345.7885,338.9,1480041
2025-02-06,346.7497,346.93,347.82,343.5519,1341826
2025-02-07,346.2493,344.46,348.16,340.88,1754493
2025-02-10,346.0164,345.84,348.7118,343.86,1320073
2025-02-11,345.3974,347.62,350.06,333.44,1139661
2025-02-12,346.658,346.23,349.65,342.54,1489466
2025-02-13,348.3753,349.32,352.4946,347.41,1506667
2025-02-14,351.8891,353.35,357.34,350.8071,2509882
2025-02-18,351.1803,352.03,355.26,349.7947,1749546
2025-02-19,353.7204,353.51,356.31,342.6,1305483
2025-02-20,352.6832,351.58,354.36,346.4794,1219935
2025-02-21,348.5241,348.4,352.66,344.9111,2119848
2025-02-24,347.2933,347.55,351.25,342.95,1678828
2025-02-25,348.5142,348.42,351.01,343.442,1835008
2025-02-26,347.8194,349.49,350.36,346.5489,2292858
2025-02-27,350.7873,348.2,357.6462,347.41,2663786
2025-02-28,352.5839,355.95,357.34,347.93,2514877
2025-03-03,361.5471,360.36,363.8301,357.84,1995842
2025-03-04,354.0877,358.34,360.51,349.6656,2916951
2025-03-05,349.1991,348.56,357.41,346.86,1697099
2025-03-06,342.4345,346.88,351.84,339.9282,2904670
2025-03-07,339.4914,339.29,343.53,336.6923,2513761
2025-03-10,337.3176,338.45,348.04,336.2092,2361842
2025-03-11,336.4937,337.61,342.33,328.3643,2956245
2025-03-12,331.9675,332.71,342.45,326.9945,2309191
2025-03-13,328.9698,328.67,341.8,325.58,2452193
2025-03-14,326.1607,327.49,360.03,322.6,2804571
2025-03-17,329.2676,327.02,333.56,325.58,1589157
2025-03-18,332.4439,331.35,340.32,329.66,2000616
2025-03-19,333.5656,332.06,337.3672,330.54,1383980
2025-03-20,336.6228,336.25,340.02,329.55,1263305
2025-03-21,335.6699,333.77,341.8,330.32,3892755
2025-03-24,336.732,335.54,340.762,332.35,1206152
2025-03-25,342.3501,342.2,344.44,338.1514,1147016
2025-03-26,343.8589,342.59,344.8118,328.66,1379588
2025-03-27,341.8737,342.17,347.9782,340.59,1167007
2025-03-28,348.0576,346.22,350.39,340.0771,2503313
2025-03-31,336.8809,337.34,342.26,332.0171,2002478
2025-04-01,345.8292,345.77,349.4,340.6726,2258891
2025-04-02,341.963,341.69,345.72,336.79,1895302
2025-04-03,337.7047,331.73,343.77,328.5529,2922082
