ticker,earnings_date,time_of_day,eps_estimated,eps_actual,surprise_pct,revenue_estimated,revenue_actual,revenue_surprise_pct,source
AAPL,2022-02-10,AMC,,,,,,,extrapolated
AAPL,2022-05-12,AMC,,,,,,,extrapolated
AAPL,2022-08-10,AMC,,,,,,,extrapolated
AAPL,2022-11-10,AMC,,,,,,,extrapolated
AAPL,2023-02-02,AMC,,,,,,,extrapolated
AAPL,2023-05-05,AMC,,,,,,,extrapolated
AAPL,2023-08-04,AMC,,,,,,,extrapolated
AAPL,2023-11-03,AMC,,,,,,,extrapolated
AAPL,2024-02-02,AMC,,,,,,,extrapolated
AAPL,2024-05-03,AMC,,,,,,,extrapolated
AAPL,2024-08-05,AMC,,,,,,,extrapolated
AAPL,2024-10-31,AMC,2.03,2.21,8.867,26205020124.0,27789655566.0,6.0471,fmp
AAPL,2025-01-30,AMC,2.08,1.51,-27.4038,45082572870.0,43029944524.0,-4.553,fmp
AAPL,2025-05-01,AMC,1.48,1.51,2.027,23889576815.0,25023917604.0,4.7483,fmp
AAPL,2025-07-31,AMC,1.91,2.26,18.3246,81895893384.0,77880931974.0,-4.9025,fmp
AAPL,2025-10-30,AMC,2.25,2.24,-0.4444,19770552482.0,21620719550.0,9.3582,fmp
AAPL,2026-01-29,AMC,1.64,1.7,3.6585,85511964803.0,88980236435.0,4.0559,fmp
AMD,2022-02-02,AMC,,,,,,,extrapolated
AMD,2022-05-04,AMC,,,,,,,extrapolated
AMD,2022-08-03,AMC,,,,,,,extrapolated
AMD,2022-11-10,AMC,,,,,,,extrapolated
AMD,2023-02-01,AMC,,,,,,,extrapolated
AMD,2023-04-26,AMC,,,,,,,extrapolated
AMD,2023-07-19,AMC,,,,,,,extrapolated
AMD,2023-10-27,AMC,,,,,,,extrapolated
AMD,2024-01-31,AMC,,,,,,,extrapolated
AMD,2024-05-01,AMC,,,,,,,extrapolated
AMD,2024-07-31,AMC,,,,,,,extrapolated
AMD,2024-10-29,AMC,1.31,1.31,0.0,97445997578.0,98106696700.0,0.678,fmp
AMD,2025-02-04,AMC,1.05,0.92,-12.381,86862155530.0,90041555529.0,3.6603,fmp
AMD,2025-04-29,AMC,1.2,1.29,7.5,32491856542.0,31256152135.0,-3.8031,fmp
AMD,2025-07-29,AMC,0.73,0.8,9.589,65390022205.0,65698978737.0,0.4725,fmp
AMD,2025-10-28,AMC,0.87,0.95,9.1954,93982185833.0,98418643842.0,4.7205,fmp
AMD,2026-01-27,AMC,1.11,1.36,22.5225,20523236907.0,20665223151.0,0.6918,fmp
AMZN,2022-02-04,AMC,,,,,,,extrapolated
AMZN,2022-04-29,AMC,,,,,,,extrapolated
AMZN,2022-07-29,AMC,,,,,,,extrapolated
AMZN,2022-10-28,AMC,,,,,,,extrapolated
AMZN,2023-02-03,AMC,,,,,,,extrapolated
AMZN,2023-04-27,AMC,,,,,,,extrapolated
AMZN,2023-08-04,AMC,,,,,,,extrapolated
AMZN,2023-10-27,AMC,,,,,,,extrapolated
AMZN,2024-02-02,AMC,,,,,,,extrapolated
AMZN,2024-04-25,AMC,,,,,,,extrapolated
AMZN,2024-08-02,AMC,,,,,,,extrapolated
AMZN,2024-10-31,AMC,1.99,1.99,0.0,70038353844.0,75391230305.0,7.6428,fmp
AMZN,2025-02-06,AMC,1.73,1.76,1.7341,34968039566.0,34623993619.0,-0.9839,fmp
AMZN,2025-05-01,AMC,1.05,1.0,-4.7619,34894398676.0,36580349456.0,4.8316,fmp
AMZN,2025-07-31,AMC,1.27,1.06,-16.5354,30163615817.0,29771311635.0,-1.3006,fmp
AMZN,2025-10-30,AMC,1.47,1.73,17.6871,90293173942.0,91187986137.0,0.991,fmp
AMZN,2026-02-05,AMC,1.06,0.9,-15.0943,13636394157.0,13050949069.0,-4.2933,fmp
ARM,2023-09-15,AMC,,,,,,,extrapolated
ARM,2024-02-08,AMC,,,,,,,extrapolated
ARM,2024-04-19,AMC,,,,,,,extrapolated
ARM,2024-07-17,AMC,,,,,,,extrapolated
ARM,2024-09-19,AMC,,,,,,,extrapolated
ARM,2025-01-23,AMC,,,,,,,extrapolated
ARM,2025-04-03,AMC,,,,,,,extrapolated
ARM,2025-07-31,AMC,,,,,,,extrapolated
ARM,2025-11-06,AMC,,,,,,,extrapolated
ARM,2026-01-22,AMC,,,,,,,extrapolated
ARM,2026-03-25,AMC,,,,,,,extrapolated
AVGO,2022-03-04,AMC,,,,,,,extrapolated
AVGO,2022-05-23,AMC,,,,,,,extrapolated
AVGO,2022-08-10,AMC,,,,,,,extrapolated
AVGO,2022-11-10,AMC,,,,,,,extrapolated
AVGO,2023-02-09,AMC,,,,,,,extrapolated
AVGO,2023-05-02,AMC,,,,,,,extrapolated
AVGO,2023-07-21,AMC,,,,,,,extrapolated
AVGO,2023-10-17,AMC,,,,,,,extrapolated
AVGO,2024-01-02,AMC,,,,,,,extrapolated
AVGO,2024-03-21,AMC,,,,,,,extrapolated
AVGO,2024-06-17,AMC,,,,,,,extrapolated
AVGO,2024-09-19,AMC,,,,,,,extrapolated
AVGO,2024-12-12,AMC,8.66,8.76,1.1547,45105196846.0,43279751457.0,-4.0471,fmp
AVGO,2025-03-06,AMC,10.29,8.78,-14.6744,97252445873.0,104946763289.0,7.9117,fmp
AVGO,2025-06-12,AMC,8.07,8.13,0.7435,56012181389.0,55453391460.0,-0.9976,fmp
AVGO,2025-09-04,AMC,11.85,13.46,13.5865,48103752101.0,52580883235.0,9.3072,fmp
AVGO,2025-12-11,AMC,13.26,15.32,15.5354,21971928650.0,23881161283.0,8.6894,fmp
AVGO,2026-03-05,AMC,13.22,15.8,19.5159,62852170087.0,61150503538.0,-2.7074,fmp
BA,2022-01-24,BMO,,,,,,,extrapolated
BA,2022-04-27,BMO,,,,,,,extrapolated
BA,2022-07-18,BMO,,,,,,,extrapolated
BA,2022-10-13,BMO,,,,,,,extrapolated
BA,2023-01-10,BMO,,,,,,,extrapolated
BA,2023-04-14,BMO,,,,,,,extrapolated
BA,2023-07-14,BMO,,,,,,,extrapolated
BA,2023-10-13,BMO,,,,,,,extrapolated
BA,2024-01-16,BMO,,,,,,,extrapolated
BA,2024-04-24,BMO,,,,,,,extrapolated
BA,2024-08-02,BMO,,,,,,,extrapolated
BA,2024-10-23,BMO,0.29,0.36,24.1379,55383598859.0,52619169966.0,-4.9914,fmp
BA,2025-01-28,BMO,-1.03,-1.32,-28.1553,88478578393.0,95092337034.0,7.475,fmp
BA,2025-04-23,BMO,-1.08,-1.37,-26.8519,94960197303.0,91432237744.0,-3.7152,fmp
BA,2025-07-23,BMO,-0.54,-0.66,-22.2222,77754270784.0,75364004949.0,-3.0741,fmp
BA,2025-10-22,BMO,-0.57,-0.62,-8.7719,87881138903.0,89064958573.0,1.3471,fmp
BA,2026-01-28,BMO,-1.36,-1.66,-22.0588,24109351022.0,24031175094.0,-0.3243,fmp
BABA,2022-01-20,BMO,,,,,,,extrapolated
BABA,2022-04-29,BMO,,,,,,,extrapolated
BABA,2022-07-29,BMO,,,,,,,extrapolated
BABA,2022-10-24,BMO,,,,,,,extrapolated
BABA,2023-01-30,BMO,,,,,,,extrapolated
BABA,2023-05-09,BMO,,,,,,,extrapolated
BABA,2023-08-10,BMO,,,,,,,extrapolated
BABA,2023-11-16,BMO,,,,,,,extrapolated
BABA,2024-02-07,BMO,,,,,,,extrapolated
BABA,2024-05-14,BMO,,,,,,,extrapolated
BABA,2024-08-05,BMO,,,,,,,extrapolated
BABA,2024-11-15,BMO,2.99,2.98,-0.3344,54169704898.0,52444433890.0,-3.1849,fmp
BABA,2025-02-20,BMO,1.45,1.71,17.931,26860899597.0,26405140175.0,-1.6967,fmp
BABA,2025-05-15,BMO,1.14,1.13,-0.8772,91014901236.0,98200100832.0,7.8945,fmp
BABA,2025-08-14,BMO,1.14,1.37,20.1754,25352496700.0,24588037221.0,-3.0153,fmp
BABA,2025-11-14,BMO,2.87,3.29,14.6341,79538845308.0,85196009861.0,7.1125,fmp
BABA,2026-02-19,BMO,1.38,1.57,13.7681,45239969187.0,46147197966.0,2.0054,fmp
BIDU,2022-01-20,BMO,,,,,,,extrapolated
BIDU,2022-04-29,BMO,,,,,,,extrapolated
BIDU,2022-07-29,BMO,,,,,,,extrapolated
BIDU,2022-11-04,BMO,,,,,,,extrapolated
BIDU,2023-02-07,BMO,,,,,,,extrapolated
BIDU,2023-05-17,BMO,,,,,,,extrapolated
BIDU,2023-08-22,BMO,,,,,,,extrapolated
BIDU,2023-11-22,BMO,,,,,,,extrapolated
BIDU,2024-02-28,BMO,,,,,,,extrapolated
BIDU,2024-05-21,BMO,,,,,,,extrapolated
BIDU,2024-08-22,BMO,,,,,,,extrapolated
BIDU,2024-11-21,BMO,3.32,3.38,1.8072,14349697759.0,14498836927.0,1.0393,fmp
BIDU,2025-02-27,BMO,2.35,1.81,-22.9787,23069846302.0,23468770827.0,1.7292,fmp
BIDU,2025-05-22,BMO,2.55,2.76,8.2353,92710231931.0,94237133457.0,1.647,fmp
BIDU,2025-08-21,BMO,3.65,3.74,2.4658,99931834499.0,107467108314.0,7.5404,fmp
BIDU,2025-11-20,BMO,3.92,3.71,-5.3571,20799555507.0,21274745663.0,2.2846,fmp
BIDU,2026-02-26,BMO,2.03,2.08,2.4631,41002446303.0,45012334932.0,9.7796,fmp
C,2022-01-14,BMO,,,,,,,extrapolated
C,2022-04-13,BMO,,,,,,,extrapolated
C,2022-07-15,BMO,,,,,,,extrapolated
C,2022-10-04,BMO,,,,,,,extrapolated
C,2023-01-04,BMO,,,,,,,extrapolated
C,2023-04-14,BMO,,,,,,,extrapolated
C,2023-07-14,BMO,,,,,,,extrapolated
C,2023-10-13,BMO,,,,,,,extrapolated
C,2024-01-11,BMO,,,,,,,extrapolated
C,2024-04-12,BMO,,,,,,,extrapolated
C,2024-07-16,BMO,,,,,,,extrapolated
C,2024-10-15,BMO,1.4,1.4,0.0,45185711169.0,49414987373.0,9.3598,fmp
C,2025-01-15,BMO,2.49,3.03,21.6867,19705698401.0,19597438719.0,-0.5494,fmp
C,2025-04-15,BMO,2.45,2.86,16.7347,76057678236.0,72906973014.0,-4.1425,fmp
C,2025-07-15,BMO,1.88,2.36,25.5319,19956109154.0,21834314996.0,9.4117,fmp
C,2025-10-14,BMO,1.12,1.32,17.8571,69145192592.0,68127415755.0,-1.4719,fmp
C,2026-01-14,BMO,1.18,0.91,-22.8814,61479319586.0,64117226680.0,4.2907,fmp
COIN,2022-02-01,AMC,,,,,,,extrapolated
COIN,2022-05-11,AMC,,,,,,,extrapolated
COIN,2022-08-04,AMC,,,,,,,extrapolated
COIN,2022-11-10,AMC,,,,,,,extrapolated
COIN,2023-02-16,AMC,,,,,,,extrapolated
COIN,2023-05-16,AMC,,,,,,,extrapolated
COIN,2023-08-18,AMC,,,,,,,extrapolated
COIN,2023-11-09,AMC,,,,,,,extrapolated
COIN,2024-02-16,AMC,,,,,,,extrapolated
COIN,2024-05-15,AMC,,,,,,,extrapolated
COIN,2024-08-05,AMC,,,,,,,extrapolated
COIN,2024-10-30,AMC,1.97,2.29,16.2437,93797094485.0,91981077675.0,-1.9361,fmp
COIN,2025-02-13,AMC,3.01,3.39,12.6246,68810571181.0,68466488184.0,-0.5,fmp
COIN,2025-05-08,AMC,1.61,1.58,-1.8634,48537124649.0,53379584564.0,9.9768,fmp
COIN,2025-08-07,AMC,3.99,4.28,7.2682,30194039401.0,32911167996.0,8.9989,fmp
COIN,2025-11-06,AMC,3.58,2.89,-19.2737,19985949074.0,21486129251.0,7.5062,fmp
COIN,2026-02-12,AMC,2.96,3.02,2.027,67127750183.0,63850134811.0,-4.8827,fmp
COST,2022-03-21,AMC,,,,,,,extrapolated
COST,2022-06-13,AMC,,,,,,,extrapolated
COST,2022-09-13,AMC,,,,,,,extrapolated
COST,2022-12-01,AMC,,,,,,,extrapolated
COST,2023-02-16,AMC,,,,,,,extrapolated
COST,2023-05-04,AMC,,,,,,,extrapolated
COST,2023-07-27,AMC,,,,,,,extrapolated
COST,2023-10-19,AMC,,,,,,,extrapolated
COST,2024-01-11,AMC,,,,,,,extrapolated
COST,2024-04-04,AMC,,,,,,,extrapolated
COST,2024-06-27,AMC,,,,,,,extrapolated
COST,2024-09-19,AMC,,,,,,,extrapolated
COST,2024-12-12,AMC,4.63,5.57,20.3024,94198350373.0,91385933071.0,-2.9856,fmp
COST,2025-03-06,AMC,3.23,3.78,17.0279,30873080170.0,32130370122.0,4.0724,fmp
COST,2025-06-05,AMC,4.44,5.3,19.3694,30078470655.0,30778690769.0,2.328,fmp
COST,2025-09-25,AMC,4.81,3.5,-27.2349,45239698394.0,44855252957.0,-0.8498,fmp
COST,2025-12-11,AMC,3.01,3.03,0.6645,29885749931.0,31714298670.0,6.1185,fmp
COST,2026-03-05,AMC,4.1,4.15,1.2195,12148166707.0,13149976925.0,8.2466,fmp
GOOGL,2022-01-06,AMC,,,,,,,extrapolated
GOOGL,2022-04-12,AMC,,,,,,,extrapolated
GOOGL,2022-07-13,AMC,,,,,,,extrapolated
GOOGL,2022-10-13,AMC,,,,,,,extrapolated
GOOGL,2023-01-10,AMC,,,,,,,extrapolated
GOOGL,2023-04-17,AMC,,,,,,,extrapolated
GOOGL,2023-07-26,AMC,,,,,,,extrapolated
GOOGL,2023-10-25,AMC,,,,,,,extrapolated
GOOGL,2024-01-31,AMC,,,,,,,extrapolated
GOOGL,2024-04-26,AMC,,,,,,,extrapolated
GOOGL,2024-07-24,AMC,,,,,,,extrapolated
GOOGL,2024-10-29,AMC,2.36,2.95,25.0,60338408817.0,58661849883.0,-2.7786,fmp
GOOGL,2025-02-04,AMC,1.19,1.51,26.8908,80631618964.0,87010014411.0,7.9105,fmp
GOOGL,2025-04-24,AMC,2.35,2.54,8.0851,14765394059.0,15754932915.0,6.7017,fmp
GOOGL,2025-07-29,AMC,2.33,2.77,18.8841,19682567142.0,21443805614.0,8.9482,fmp
GOOGL,2025-10-28,AMC,2.3,2.15,-6.5217,88734539443.0,84627723432.0,-4.6282,fmp
GOOGL,2026-02-03,AMC,2.1,2.69,28.0952,81212338199.0,87677620304.0,7.961,fmp
