ticker,earnings_date,day1_date,timing,prior_close,day1_open,day1_high,day1_low,day1_close,gap_pct,gap_size,shape,eps_surprise_pct,rec_10:00,rec_10:30,rec_12:00,rec_13:00,rec_13:30,rec_16:00,drift_1d,drift_2d,drift_3d,drift_5d,price_10:00,price_10:30,price_12:00,price_13:00,price_13:30,price_16:00
AAPL,2025-05-01,2025-05-02,AMC,211.92,205.21,206.1,201.3,204.42,-3.1662891657229046,6.7099999999999795,EARLY_HOLD,2.027,0.24143070044709106,0.6766020864381529,0.4918032786885235,0.41132637853949316,0.3755588673621445,0.464977645305512,-3.1797280109578323,-3.3558360238724125,-4.422267879855196,-3.292241463653258,202.92,205.84,204.6,204.06,203.82,204.42
AAPL,2025-07-31,2025-08-01,AMC,206.98,210.22,212.93,200.89,201.65,1.5653686346506954,3.240000000000009,MIXED,18.3246,0.23765432098765682,0.30246913580246515,0.20370370370371085,0.04012345679012194,0.14814814814815336,0.23456790123457322,0.5306223654847474,0.32729977684105954,5.430200843044874,13.39945450037192,206.41,204.73,203.11,201.47,201.37,201.65
AAPL,2025-10-30,2025-10-31,AMC,270.86,276.46,276.79,268.65,269.73,2.067488739570245,5.599999999999966,MIXED,-0.4444,0.22678571428572256,0.21250000000000088,0.4071428571428649,0.43750000000001077,0.2107142857142882,0.19285714285715133,-0.43747451154858813,0.0,-0.055611166722290474,-0.6302598895191656,269.92,269.84,270.93,271.1,269.83,269.73
AAPL,2026-01-29,2026-01-30,AMC,257.93,254.92,261.65,251.94,259.24,-1.1669832900399408,3.0100000000000193,EARLY_HOLD,3.6585,1.3654485049833844,0.6046511627906915,1.3023255813953458,0.8870431893687704,1.285714285714279,2.425249169435204,4.046443450084867,3.5064033328189996,4.312606079308751,6.441907113099826,256.05,253.76,255.86,254.61,255.81,259.24
AMD,2025-02-04,2025-02-05,AMC,119.61,107.61,112.09,106.5,112.01,-10.032605969400551,12.0,LATE_REVERSAL,-12.381,0.13166666666666652,0.049999999999999524,0.3024999999999996,0.36999999999999983,0.2699999999999996,0.4591666666666671,-1.6694937951968616,-4.008570663333639,-1.3748772431032998,-0.27676100348183397,108.08,107.1,110.13,110.94,109.74,112.01
AMD,2025-04-29,2025-04-30,AMC,96.04,92.81,97.55,91.87,97.32,-3.36318200749688,3.230000000000004,EARLY_HOLD,7.5,0.167182662538697,0.7832817337461294,1.1269349845201226,1.102167182662538,1.1826625386996867,1.687306501547982,-0.7501027538018802,1.4693793670365873,3.3908754623921205,3.123715577476373,92.41,94.4,95.51,95.43,95.69,97.32
AMD,2025-07-29,2025-07-30,AMC,177.43,175.6,180.37,173.8,179.53,-1.0313926618948388,1.8300000000000125,EARLY_HOLD,9.589,2.316939890710356,2.61202185792348,2.5409836065573472,2.775956284152978,2.9781420765027056,3.1311475409835796,-1.7880020052358983,-4.400378766779928,-1.5373475185205765,-9.151673814961292,178.04,178.58,178.45,178.88,179.25,179.53
AMD,2025-10-28,2025-10-29,AMC,257.97,264.19,267.08,257.4,264.34,2.4111330774896187,6.21999999999997,MIXED,9.1954,0.35209003215434215,0.21382636655948398,0.10450160771703865,0.5787781350482379,0.4919614147909995,1.1157556270096511,-3.571158356661864,-3.1323295755466343,-1.7742301581296809,-3.1701596428841525,265.51,264.65,259.27,261.0,260.46,264.34
AMD,2026-01-27,2026-01-28,AMC,252.04,254.12,257.4,250.21,252.74,0.8252658308205096,2.0800000000000125,LATE_REVERSAL,22.5225,0.9759615384615331,0.09615384615385378,0.32692307692306455,0.10096153846152801,0.3653846153846088,1.216346153846147,-0.2571812930284109,-6.314789902666774,-2.555986389174649,-13.488169660520693,255.1,252.9,252.7,251.32,251.87,252.74
AMZN,2025-02-06,2025-02-07,AMC,238.74,232.5,234.81,228.06,229.14,-2.613722040713751,6.240000000000009,MIXED,1.7341,0.23557692307692255,0.18749999999999772,0.08333333333333486,0.28205128205128016,0.3637820512820524,0.17307692307692027,1.7412935323383127,1.601640918215945,-0.10473946059176953,-0.2007506328008988,232.8,229.67,229.02,229.82,230.33,229.14
