event_id,ticker,earnings_date,release_timing,d0_date,prev_close,d0_open,gap_abs,gap_pct,eps_actual,eps_estimated,surprise_pct,revenue_actual,revenue_estimated,revenue_surprise_pct,has_m5,has_daily_d5,excluded,exclusion_reason
1,AAPL,2022-02-10,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
2,AAPL,2022-05-12,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
3,AAPL,2022-08-10,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
4,AAPL,2022-11-10,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
5,AAPL,2023-02-02,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
6,AAPL,2023-05-05,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
7,AAPL,2023-08-04,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
8,AAPL,2023-11-03,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
9,AAPL,2024-02-02,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
10,AAPL,2024-05-03,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
11,AAPL,2024-08-05,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
12,AAPL,2024-10-31,AMC,2025-02-03,,,,,2.21,2.03,8.867,27789655566.0,26205020124.0,6.0471,False,False,True,missing_d_minus1
13,AAPL,2025-01-30,AMC,2025-02-03,,,,,1.51,2.08,-27.4038,43029944524.0,45082572870.0,-4.553,False,False,True,missing_d_minus1
14,AAPL,2025-05-01,AMC,2025-05-02,208.22,202.3701,5.8499,0.028095,1.51,1.48,2.027,25023917604.0,23889576815.0,4.7483,True,True,False,
15,AAPL,2025-07-31,AMC,2025-08-01,208.86,211.154,-2.294,-0.010983,2.26,1.91,18.3246,77880931974.0,81895893384.0,-4.9025,True,True,False,
16,AAPL,2025-10-30,AMC,2025-10-31,270.61,272.4788,-1.8688,-0.006906,2.24,2.25,-0.4444,21620719550.0,19770552482.0,9.3582,True,True,False,
17,AAPL,2026-01-29,AMC,2026-01-30,257.55,259.35,-1.8,-0.006989,1.7,1.64,3.6585,88980236435.0,85511964803.0,4.0559,True,True,False,
18,AMD,2022-02-02,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
19,AMD,2022-05-04,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
20,AMD,2022-08-03,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
21,AMD,2022-11-10,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
22,AMD,2023-02-01,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
23,AMD,2023-04-26,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
24,AMD,2023-07-19,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
25,AMD,2023-10-27,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
26,AMD,2024-01-31,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
27,AMD,2024-05-01,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
28,AMD,2024-07-31,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
29,AMD,2024-10-29,AMC,2025-02-03,,,,,1.31,1.31,0.0,98106696700.0,97445997578.0,0.678,False,False,True,missing_d_minus1
30,AMD,2025-02-04,AMC,2025-02-05,115.43,107.92,7.51,0.065061,0.92,1.05,-12.381,90041555529.0,86862155530.0,3.6603,True,True,False,
31,AMD,2025-04-29,AMC,2025-04-30,95.98,93.53,2.45,0.025526,1.29,1.2,7.5,31256152135.0,32491856542.0,-3.8031,True,True,False,
32,AMD,2025-07-29,AMC,2025-07-30,175.48,176.77,-1.29,-0.007351,0.8,0.73,9.589,65698978737.0,65390022205.0,0.4725,True,True,False,
33,AMD,2025-10-28,AMC,2025-10-29,258.24,265.8799,-7.6399,-0.029584,0.95,0.87,9.1954,98418643842.0,93982185833.0,4.7205,True,True,False,
34,AMD,2026-01-27,AMC,2026-01-28,252.2,254.685,-2.485,-0.009853,1.36,1.11,22.5225,20665223151.0,20523236907.0,0.6918,True,True,False,
35,AMZN,2022-02-04,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
36,AMZN,2022-04-29,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
37,AMZN,2022-07-29,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
38,AMZN,2022-10-28,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
39,AMZN,2023-02-03,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
40,AMZN,2023-04-27,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
41,AMZN,2023-08-04,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
42,AMZN,2023-10-27,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
43,AMZN,2024-02-02,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
44,AMZN,2024-04-25,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
45,AMZN,2024-08-02,AMC,2025-02-03,,,,,,,,,,,False,False,True,missing_d_minus1
46,AMZN,2024-10-31,AMC,2025-02-03,,,,,1.99,1.99,0.0,75391230305.0,70038353844.0,7.6428,False,False,True,missing_d_minus1
47,AMZN,2025-02-06,AMC,2025-02-07,237.99,233.14,4.85,0.020379,1.76,1.73,1.7341,34623993619.0,34968039566.0,-0.9839,True,True,False,
48,AMZN,2025-05-01,AMC,2025-05-02,189.93,185.2,4.73,0.024904,1.0,1.05,-4.7619,36580349456.0,34894398676.0,4.8316,True,True,False,
49,AMZN,2025-07-31,AMC,2025-08-01,237.1,218.68,18.42,0.077689,1.06,1.27,-16.5354,29771311635.0,30163615817.0,-1.3006,True,True,False,
