entry,exit,stop,N,mean_gross,mean_net_3bps,mean_net_5bps,median,wr,pf,pct25,pct5,best,worst,stops_hit
C1,X0_D0_close,A_no_stop,14,0.006069,0.005469,0.005069,0.003487,0.6429,2.45,-0.006518,-0.030043,0.035807,-0.030043,0
C1,X0_D0_close,B_with_stop,14,-0.013422,-0.014022,-0.014422,-0.007621,0.2143,0.09,-0.02008,-0.076868,0.010759,-0.076868,9
C1,X1_D1_open,A_no_stop,14,0.018422,0.017822,0.017422,0.006108,0.5714,2.99,-0.015355,-0.041504,0.138822,-0.041504,0
C1,X1_D1_open,B_with_stop,14,0.005624,0.005024,0.004624,-0.007461,0.3571,1.37,-0.02008,-0.076868,0.138822,-0.076868,10
C1,X2_D1_close,A_no_stop,14,0.017217,0.016617,0.016217,0.005545,0.5714,3.62,-0.013974,-0.029266,0.106944,-0.029266,0
C1,X2_D1_close,B_with_stop,14,0.001724,0.001124,0.000724,-0.007698,0.3571,1.11,-0.02008,-0.076868,0.106944,-0.076868,10
C1,X3_D2_close,A_no_stop,14,-0.005459,-0.006059,-0.006459,-0.005173,0.4286,0.68,-0.024777,-0.090578,0.071016,-0.090578,0
C1,X3_D2_close,B_with_stop,14,-0.009928,-0.010528,-0.010928,-0.008171,0.2857,0.44,-0.024683,-0.076868,0.071016,-0.076868,11
C1,X4_D3_close,A_no_stop,14,0.009632,0.009032,0.008632,-0.007698,0.4286,1.48,-0.025546,-0.101674,0.220445,-0.101674,0
C1,X4_D3_close,B_with_stop,14,-0.011941,-0.012541,-0.012941,-0.011674,0.2143,0.4,-0.025546,-0.076868,0.062762,-0.076868,11
C1,X5_D5_close,A_no_stop,14,0.000892,0.000292,-0.000108,-0.00657,0.4286,1.03,-0.049331,-0.104188,0.169525,-0.104188,0
C1,X5_D5_close,B_with_stop,14,-0.01092,-0.01152,-0.01192,-0.01883,0.2143,0.56,-0.041504,-0.076868,0.169525,-0.076868,12
C2,X0_D0_close,A_no_stop,14,-0.011023,-0.011623,-0.012023,-0.015902,0.2857,0.21,-0.024411,-0.032218,0.031162,-0.032218,0
C2,X0_D0_close,B_with_stop,14,-0.016702,-0.017302,-0.017702,-0.015908,0.2143,0.04,-0.026625,-0.048348,0.004229,-0.048348,4
C2,X1_D1_open,A_no_stop,14,0.001872,0.001272,0.000872,-0.006873,0.2857,1.08,-0.042438,-0.080003,0.142835,-0.080003,0
C2,X1_D1_open,B_with_stop,14,-0.009071,-0.009671,-0.010071,-0.01428,0.2143,0.67,-0.048348,-0.080003,0.142835,-0.080003,7
C2,X2_D1_close,A_no_stop,14,0.00065,5e-05,-0.00035,-0.00711,0.2857,1.03,-0.043621,-0.070664,0.110071,-0.070664,0
C2,X2_D1_close,B_with_stop,14,-0.01331,-0.01391,-0.01431,-0.012979,0.2143,0.51,-0.048348,-0.080003,0.092404,-0.080003,8
C2,X3_D2_close,A_no_stop,14,-0.021489,-0.022089,-0.022489,-0.006926,0.4286,0.33,-0.063687,-0.129361,0.080781,-0.129361,0
C2,X3_D2_close,B_with_stop,14,-0.029496,-0.030096,-0.030496,-0.040753,0.2857,0.14,-0.056749,-0.08945,0.052896,-0.08945,11
C2,X4_D3_close,A_no_stop,14,-0.006572,-0.007172,-0.007572,-0.01092,0.2857,0.82,-0.0639,-0.111022,0.224745,-0.111022,0
C2,X4_D3_close,B_with_stop,14,-0.031546,-0.032146,-0.032546,-0.040753,0.1429,0.14,-0.056749,-0.08945,0.044781,-0.08945,11
C2,X5_D5_close,A_no_stop,14,-0.014925,-0.015525,-0.015925,-0.018249,0.3571,0.66,-0.090505,-0.142391,0.145826,-0.142391,0
C2,X5_D5_close,B_with_stop,14,-0.030504,-0.031104,-0.031504,-0.042438,0.2143,0.29,-0.063299,-0.08945,0.145826,-0.08945,12
C3,X0_D0_close,A_no_stop,11,-0.014913,-0.015513,-0.015913,-0.016848,0.0909,0.16,-0.026625,-0.032218,0.031162,-0.032218,0
C3,X0_D0_close,B_with_stop,11,-0.022141,-0.022741,-0.023141,-0.018718,0.0,0.0,-0.03047,-0.048348,-0.00574,-0.048348,1
C3,X1_D1_open,A_no_stop,11,0.003619,0.003019,0.002619,-0.03083,0.3636,1.12,-0.054155,-0.080003,0.142835,-0.080003,0
C3,X1_D1_open,B_with_stop,11,-0.010309,-0.010909,-0.011309,-0.040753,0.2727,0.69,-0.054155,-0.080003,0.142835,-0.080003,4
C3,X2_D1_close,A_no_stop,11,0.001978,0.001378,0.000978,-0.013202,0.3636,1.08,-0.051013,-0.070664,0.110071,-0.070664,0
C3,X2_D1_close,B_with_stop,11,-0.015789,-0.016389,-0.016789,-0.040753,0.2727,0.53,-0.051013,-0.080003,0.092404,-0.080003,5
C3,X3_D2_close,A_no_stop,11,-0.02772,-0.02832,-0.02872,-0.016281,0.3636,0.31,-0.077726,-0.129361,0.080781,-0.129361,0
