event_id,ticker,d0_date,earnings_date,release_timing,gap_pct,gap_abs,prev_close,d0_open,trigger_fired,trigger_time_et,trigger_recovery_ratio,trigger_running_low,overshoot_ratio,entry_price,initial_stop,d0_close,d1_open,d1_close,d2_close,d3_close,d5_close,eps_surprise_pct,revenue_surprise_pct,bar_10_00_open,bar_12_00_open,trigger_bar_idx,d0_m5_count,gap_cap_used
30,AMD,2025-02-05,2025-02-04,AMC,0.065061,7.51,115.43,107.92,True,11:35,0.3728,106.5,0.1891,109.3,106.5,107.68,112.115,111.17,109.63,108.4,109.8,-12.381,3.6603,108.1,109.42,25,78,0.1
49,AMZN,2025-08-01,2025-07-31,AMC,0.077689,18.42,237.1,218.68,False,,,,0.2758,,,216.11,214.88,215.09,217.3,212.85,221.25,-16.5354,-1.3006,218.43,215.2,,78,0.1
68,AVGO,2025-12-12,2025-12-11,AMC,0.081148,33.0167,406.87,373.8533,True,11:00,0.8467,360.4638,0.4055,388.38,360.4638,382.82,355.1649,358.77,336.11,343.19,331.08,15.5354,8.6894,369.5864,386.05,18,78,0.1
100,BABA,2025-05-15,2025-05-15,BMO,0.066426,8.7716,132.05,123.2784,True,11:00,1.0456,120.7885,0.2839,129.93,120.7885,126.16,123.3004,123.71,118.86,122.03,119.71,-0.8772,7.8945,121.8798,130.36,18,78,0.1
117,BIDU,2025-05-22,2025-05-22,BMO,0.081105,7.4,91.24,83.84,False,,,,0.0486,,,84.73,83.81,83.79,83.75,83.79,82.85,8.2353,1.647,84.44,84.39,,78,0.1
153,COIN,2025-11-07,2025-11-06,AMC,0.091459,29.05,317.63,288.58,True,11:00,0.5318,283.65,0.1697,299.1,283.65,289.75,322.57,323.2,312.71,310.3,269.98,-19.2737,7.5062,291.975,297.0,18,78,0.1
154,COIN,2026-02-13,2026-02-12,AMC,0.072073,11.1,154.01,142.91,True,10:00,1.345,142.31,0.0541,157.19,142.31,154.2,165.22,166.0,161.62,166.29,165.74,2.027,-4.8827,154.16,149.54,6,78,0.1
168,COST,2025-03-07,2025-03-06,AMC,0.050836,52.2783,1028.37,976.0917,True,11:00,1.0908,950.457,0.4904,1007.95,950.457,991.61,951.0612,951.78,929.32,933.14,887.17,17.0279,4.0724,965.8925,1007.64,18,78,0.1
185,GOOGL,2025-02-05,2025-02-04,AMC,0.065897,13.3277,202.25,188.9223,False,,,,0.1228,,,190.59,189.3133,189.35,190.67,186.36,182.6,26.8908,7.9105,188.5613,190.31,,78,0.1
236,MARA,2025-02-26,2025-02-25,AMC,0.065004,0.86,13.23,12.37,True,10:00,0.6145,12.21,0.186,12.74,12.21,12.43,14.594,13.95,12.82,15.64,14.27,-14.2857,1.9748,12.815,12.77,6,78,0.1
256,META,2025-10-30,2025-10-29,AMC,0.075194,56.55,752.05,695.5,True,11:00,0.8118,651.9514,0.7701,697.84,651.9514,674.24,673.99,669.0,651.14,656.19,632.49,-12.6984,8.3714,665.3106,695.43,18,78,0.1
289,MU,2025-09-25,2025-09-24,AMC,0.058688,9.7316,165.82,156.0884,True,11:00,0.573,155.3442,0.0765,160.85,155.3442,157.56,157.9715,158.18,159.15,164.52,183.63,5.914,-3.0856,157.0125,160.26,18,78,0.1
308,NVDA,2026-02-27,2026-02-26,AMC,0.062101,12.25,197.26,185.01,True,11:00,0.5339,179.73,0.431,186.27,179.73,182.44,178.03,177.81,174.35,177.41,181.74,18.8976,-3.282,179.79,185.92,18,78,0.1
324,PLTR,2025-11-04,2025-11-03,AMC,0.083622,17.16,205.21,188.05,True,10:00,0.4417,185.56,0.1451,193.1305,185.56,190.54,183.83,189.11,188.52,172.29,190.53,11.1111,7.7436,191.79,191.64,6,78,0.1
