window_start,ew_mean_pct,ew_std,pooled_mean_pct,pooled_median_pct,pooled_std,spy_pct
09:30,33.590,8.490,33.375,37.473,25.146,12.439
10:00,25.835,6.784,26.204,25.093,14.556,9.118
10:30,20.410,5.315,20.701,19.224,11.950,7.389
11:00,1.792,1.880,1.738,0.499,2.892,6.923
11:30,1.673,1.831,1.613,0.303,2.721,5.947
12:00,1.604,1.753,1.547,0.281,2.550,5.439
12:30,1.562,1.709,1.505,0.257,2.688,5.147
13:00,1.495,1.584,1.443,0.272,2.644,5.113
13:30,1.416,1.484,1.370,0.291,2.353,4.984
14:00,1.346,1.324,1.317,0.468,2.292,5.849
14:30,1.350,1.395,1.314,0.389,2.369,5.929
15:00,4.425,1.316,4.433,2.179,8.394,7.396
15:30,3.501,4.252,3.442,0.910,7.314,18.328
