date,ticker,p_0930,p_1000,p_1030,p_1200,p_1330,p_1445,p_1555,zone1_abs_ret,zone2_abs_ret,zone3_abs_ret,zone5_abs_ret,zone1_dir,zone5_dir
2025-02-03,AAPL,228.8371,226.3926,228.2675,229.3500,230.4500,229.7400,228.7600,0.002489,0.013063,0.004796,0.004266,-1,-1
2025-02-04,AAPL,225.7113,227.7901,229.4710,225.4100,226.1400,225.7800,226.1100,0.016657,0.010449,0.003239,0.001462,1,1
2025-02-05,AAPL,228.0061,228.1879,227.9591,226.0800,225.2400,227.0600,226.7200,0.000206,0.009238,0.003715,0.001497,-1,-1
2025-02-06,AAPL,229.8935,231.4503,230.8635,230.2400,230.2000,230.2400,230.0700,0.004219,0.005229,0.000174,0.000738,1,-1
2025-02-07,AAPL,232.1560,229.8141,229.0433,231.5600,231.5500,231.5600,231.2500,0.013408,0.007597,0.000043,0.001339,-1,-1
2025-02-10,AAPL,228.8069,228.1597,228.5480,227.4200,227.8300,227.9200,228.2300,0.001132,0.003242,0.001803,0.001360,-1,1
2025-02-11,AAPL,230.1113,230.1213,232.1476,225.8000,225.9400,225.8600,225.1200,0.008849,0.018778,0.000620,0.003276,1,-1
2025-02-12,AAPL,230.2507,230.8282,232.8197,231.4100,231.8500,231.8300,230.0700,0.011157,0.002520,0.001901,0.007592,1,-1
2025-02-13,AAPL,237.3004,235.3986,237.1212,234.9500,235.3600,235.0600,236.1200,0.000755,0.001906,0.001745,0.004509,-1,1
2025-02-14,AAPL,241.6418,243.2257,242.7371,239.9700,239.9000,239.8700,239.7900,0.004533,0.013386,0.000292,0.000334,1,-1
2025-02-18,AAPL,242.7122,243.6133,243.0537,243.8800,243.9200,243.7600,243.7000,0.001407,0.001095,0.000164,0.000246,1,-1
2025-02-19,AAPL,243.5038,243.6133,242.6923,243.5200,243.0400,243.2900,243.0700,0.003333,0.000383,0.001971,0.000904,-1,-1
2025-02-20,AAPL,244.6688,243.9419,243.9319,243.0200,242.8200,243.5500,242.7400,0.003012,0.003779,0.000823,0.003326,-1,-1
2025-02-21,AAPL,245.1579,244.7783,244.6638,244.2900,244.3200,244.7300,244.8400,0.002015,0.001995,0.000123,0.000449,-1,1
2025-02-24,AAPL,245.0123,246.6901,246.3515,244.1500,241.8200,242.8800,243.3200,0.005466,0.010297,0.009543,0.001812,1,1
2025-02-25,AAPL,246.9383,246.1026,244.1809,245.6500,245.6200,246.2900,246.1000,0.011166,0.001839,0.000122,0.000771,-1,-1
2025-02-26,AAPL,242.4135,242.5877,242.0102,244.8200,244.6800,244.7800,244.4000,0.001664,0.009202,0.000572,0.001552,-1,-1
2025-02-27,AAPL,240.5664,238.3081,239.8254,239.8700,239.2400,238.6700,238.0200,0.003080,0.006554,0.002626,0.002723,-1,-1
2025-02-28,AAPL,234.5672,235.5778,235.9164,236.3500,236.8400,236.3300,235.7400,0.005752,0.003278,0.002073,0.002497,1,-1
2025-03-03,AAPL,242.1894,239.8644,240.9398,240.4900,240.4500,240.5400,240.4600,0.005160,0.002608,0.000166,0.000333,-1,-1
2025-03-04,AAPL,236.6632,236.8275,238.3072,237.1100,237.4000,236.7400,236.6800,0.006947,0.001193,0.001223,0.000253,1,-1
2025-03-05,AAPL,234.1141,231.4157,230.9776,236.3300,235.7900,235.5900,235.2700,0.013397,0.021236,0.002285,0.001358,-1,-1
2025-03-06,AAPL,233.3076,234.6319,235.6475,233.5200,233.1000,233.1800,232.8400,0.010029,0.004739,0.001799,0.001458,1,-1
2025-03-07,AAPL,235.0501,237.4299,236.4912,233.5100,233.6900,233.4300,233.4100,0.006131,0.016510,0.000771,0.000086,1,-1
2025-03-10,AAPL,231.3560,228.5679,228.2642,234.7400,234.6600,234.5800,235.4300,0.013364,0.027003,0.000341,0.003623,-1,1
2025-03-11,AAPL,223.3653,219.1484,221.3888,226.1500,225.9100,225.6200,224.5200,0.008849,0.031949,0.001061,0.004875,-1,-1
2025-03-12,AAPL,219.4934,219.9251,217.4457,220.0100,219.1800,219.3900,220.7700,0.009329,0.000386,0.003773,0.006290,-1,1
2025-03-13,AAPL,213.9607,214.1798,213.5176,215.1400,215.8600,214.7700,214.9900,0.002071,0.004483,0.003347,0.001024,-1,1
2025-03-14,AAPL,212.4870,210.6649,209.5795,209.9400,209.4700,210.1300,210.4000,0.013683,0.003441,0.002239,0.001285,-1,1
2025-03-17,AAPL,212.5269,211.8796,211.9792,211.7300,211.7000,211.9200,212.9000,0.002577,0.000706,0.000142,0.004624,-1,1
2025-03-18,AAPL,213.1940,213.5525,213.7597,212.8900,212.7400,212.8900,212.5200,0.002653,0.003102,0.000705,0.001738,1,-1
2025-03-19,AAPL,214.0901,217.3760,216.0119,212.0900,212.5000,212.3300,212.4300,0.008977,0.024317,0.001933,0.000471,1,1
2025-03-20,AAPL,213.2056,214.9913,216.0019,215.0000,213.5800,213.7800,213.8200,0.013116,0.000040,0.006605,0.000187,1,1
2025-03-21,AAPL,211.7631,213.0745,212.8754,212.2600,210.7900,211.4800,209.9500,0.005253,0.003823,0.006925,0.007235,1,-1
2025-03-24,AAPL,217.8739,219.0439,218.8099,219.4600,219.4100,219.1900,219.5600,0.004296,0.001900,0.000228,0.001688,1,1
2025-03-25,AAPL,219.3874,221.2096,221.5680,219.2200,219.6200,219.8800,220.4100,0.009939,0.008994,0.001825,0.002410,1,1
2025-03-26,AAPL,223.0467,222.6484,222.7305,222.9600,223.0600,223.4200,223.5400,0.001418,0.001400,0.000449,0.000537,-1,1
2025-03-27,AAPL,220.2852,220.4130,220.7017,220.4800,220.0700,220.3100,220.6600,0.001891,0.000304,0.001860,0.001589,1,1
2025-03-28,AAPL,220.8611,222.3427,219.0488,221.2400,221.5100,221.2400,220.8500,0.008206,0.004959,0.001220,0.001763,-1,-1
2025-03-31,AAPL,216.1986,216.1762,218.1079,214.7100,215.7900,215.5700,216.1800,0.008831,0.006782,0.005030,0.002830,1,1
2025-04-01,AAPL,218.9742,222.1104,220.6619,220.1100,218.6000,219.0800,219.2900,0.007707,0.009006,0.006860,0.000959,1,1
2025-04-02,AAPL,220.8810,222.5040,222.9629,221.4000,220.9400,221.0400,220.5000,0.009425,0.004962,0.002078,0.002443,1,-1
2025-04-03,AAPL,206.0348,202.9381,204.8897,208.0100,206.2300,205.9900,206.1300,0.005558,0.024992,0.008557,0.000680,-1,1
2025-04-04,AAPL,196.0029,196.4757,194.3670,200.8000,195.0000,192.9600,193.8900,0.008346,0.022009,0.028884,0.004820,-1,1
2025-04-07,AAPL,175.8146,179.9867,180.7335,179.7600,183.4100,180.4200,182.1900,0.027978,0.001260,0.020305,0.009810,1,1
2025-04-08,AAPL,185.5030,188.0769,188.7341,183.6700,183.1200,183.6700,184.6700,0.017418,0.023431,0.002995,0.005445,1,1
2025-04-09,AAPL,174.0621,177.9255,179.3195,174.2600,173.8600,168.7200,171.2700,0.030204,0.020601,0.002295,0.015114,1,1
2025-04-10,AAPL,191.4325,191.2931,192.5427,190.7400,193.5100,192.4200,189.9000,0.005799,0.002891,0.014522,0.013096,1,-1
2025-04-11,AAPL,187.4596,190.5612,190.8948,188.5100,191.4100,189.1900,187.4900,0.018325,0.010764,0.015384,0.008986,1,-1
2025-04-14,AAPL,207.7376,206.0746,204.0682,208.3500,207.1900,208.6900,209.7400,0.017664,0.011042,0.005568,0.005031,-1,1
2025-04-15,AAPL,201.6808,201.2254,200.7076,202.3600,201.6300,199.0600,199.8800,0.004825,0.005638,0.003607,0.004119,-1,1
2025-04-16,AAPL,198.4026,195.7987,196.5256,199.6300,199.3500,199.6400,198.5700,0.009461,0.019568,0.001403,0.005360,-1,-1
2025-04-17,AAPL,194.2355,195.3437,195.5199,195.5100,195.5100,195.1700,196.4000,0.006613,0.000851,0.000000,0.006302,1,1
2025-04-21,AAPL,192.6622,190.9894,190.9193,193.2600,193.3500,191.3100,191.1300,0.009046,0.011889,0.000466,0.000941,-1,-1
