date,ticker,p_1045,p_1115,p_1145,p_1215,ret_control,ret_phantom,ret_post
2025-02-03,SPY,591.2572,591.2473,591.8403,590.2984,-0.000017,0.001003,-0.002605
2025-02-04,SPY,594.0248,594.3608,594.5585,594.5387,0.000566,0.000333,-0.000033
2025-02-05,SPY,593.8370,594.0297,594.8847,595.9324,0.000324,0.001439,0.001761
2025-02-06,SPY,597.7511,598.5857,598.0162,597.8203,0.001396,-0.000951,-0.000328
2025-02-07,SPY,597.5141,595.5272,595.0923,595.5469,-0.003325,-0.000730,0.000764
2025-02-10,SPY,597.8302,597.6523,597.2207,596.4859,-0.000298,-0.000722,-0.001230
2025-02-11,SPY,597.4744,597.7907,597.8450,596.3574,0.000529,0.000091,-0.002488
2025-02-12,SPY,595.5370,594.0248,595.1219,596.6737,-0.002539,0.001847,0.002608
2025-02-13,SPY,600.2172,600.3408,599.6291,599.1942,0.000206,-0.001185,-0.000725
2025-02-14,SPY,603.0194,603.3852,602.9898,602.5499,0.000607,-0.000655,-0.000730
2025-02-18,SPY,603.1084,603.3385,603.1776,603.1282,0.000382,-0.000267,-0.000082
2025-02-19,SPY,603.4840,604.1167,604.6108,604.5021,0.001048,0.000818,-0.000180
2025-02-20,SPY,601.4577,601.1414,600.9536,601.5664,-0.000526,-0.000312,0.001020
2025-02-21,SPY,598.7692,600.1233,599.8466,599.3820,0.002261,-0.000461,-0.000775
2025-02-24,SPY,590.7531,591.5537,593.3823,593.4910,0.001355,0.003091,0.000183
2025-02-25,SPY,585.3365,585.0795,584.2542,585.8406,-0.000439,-0.001411,0.002715
2025-02-26,SPY,591.8008,592.5125,591.9392,592.1171,0.001203,-0.000968,0.000301
2025-02-27,SPY,588.1535,588.4204,586.9081,585.5935,0.000454,-0.002570,-0.002240
2025-02-28,SPY,580.6513,580.8194,581.0319,580.7699,0.000290,0.000366,-0.000451
2025-03-03,SPY,588.1733,586.4040,584.4667,586.7929,-0.003008,-0.003304,0.003980
2025-03-04,SPY,568.6815,567.9599,568.5283,569.5612,-0.001269,0.001001,0.001817
2025-03-05,SPY,570.6287,568.2169,566.8430,569.8874,-0.004227,-0.002418,0.005371
2025-03-06,SPY,573.0207,572.6451,570.1147,566.3191,-0.000655,-0.004419,-0.006658
2025-03-07,SPY,563.0376,563.7690,560.4973,560.4182,0.001299,-0.005803,-0.000141
2025-03-10,SPY,558.0262,558.6588,557.4727,557.9373,0.001134,-0.002123,0.000833
2025-03-11,SPY,548.7943,551.4538,552.8667,548.5472,0.004846,0.002562,-0.007813
2025-03-12,SPY,550.1089,548.4830,551.4236,553.9737,-0.002956,0.005361,0.004625
2025-03-13,SPY,549.8816,548.6362,547.8652,546.5605,-0.002265,-0.001405,-0.002381
2025-03-14,SPY,552.2242,553.8551,555.7479,554.2702,0.002953,0.003418,-0.002659
2025-03-17,SPY,558.9653,558.0164,556.8006,558.5007,-0.001698,-0.002179,0.003053
2025-03-18,SPY,554.6656,553.7068,553.7661,554.5470,-0.001729,0.000107,0.001410
2025-03-19,SPY,557.4625,558.0658,558.5897,558.8071,0.001082,0.000939,0.000389
2025-03-20,SPY,563.6998,563.0277,562.4544,561.4413,-0.001192,-0.001018,-0.001801
2025-03-21,SPY,555.0939,555.7432,554.2611,556.5215,0.001170,-0.002667,0.004078
