date,ticker,prior_close,today_open,gap_pct,abs_gap_pct,gap_dir,bucket,filled,fill_datetime
2025-02-04,AAPL,228.7600,225.7113,-1.3327,1.3327,down,1.00–1.50%,1,2025-02-04 10:10:00
2025-02-05,AAPL,226.1100,228.0061,0.8386,0.8386,up,0.50–1.00%,1,2025-02-05 11:00:00
2025-02-06,AAPL,226.7200,229.8935,1.3997,1.3997,up,1.00–1.50%,0,
2025-02-07,AAPL,230.0700,232.1560,0.9067,0.9067,up,0.50–1.00%,1,2025-02-07 10:00:00
2025-02-10,AAPL,231.2500,228.8069,-1.0565,1.0565,down,1.00–1.50%,0,
2025-02-11,AAPL,228.2300,230.1113,0.8243,0.8243,up,0.50–1.00%,1,2025-02-11 09:30:00
2025-02-12,AAPL,225.1200,230.2507,2.2791,2.2791,up,> 1.50%,0,
2025-02-13,AAPL,230.0700,237.3004,3.1427,3.1427,up,> 1.50%,0,
2025-02-14,AAPL,236.1200,241.6418,2.3386,2.3386,up,> 1.50%,0,
2025-02-18,AAPL,239.7900,242.7122,1.2186,1.2186,up,1.00–1.50%,0,
2025-02-19,AAPL,243.7000,243.5038,-0.0805,0.0805,down,< 0.30%,1,2025-02-19 09:30:00
2025-02-20,AAPL,243.0700,244.6688,0.6578,0.6578,up,0.50–1.00%,1,2025-02-20 11:00:00
2025-02-21,AAPL,242.7400,245.1579,0.9961,0.9961,up,0.50–1.00%,0,
2025-02-24,AAPL,244.8400,245.0123,0.0704,0.0704,up,< 0.30%,1,2025-02-24 09:30:00
2025-02-25,AAPL,243.3200,246.9383,1.4871,1.4871,up,1.00–1.50%,0,
2025-02-26,AAPL,246.1000,242.4135,-1.4980,1.4980,down,1.00–1.50%,1,2025-02-26 15:00:00
2025-02-27,AAPL,244.4000,240.5664,-1.5686,1.5686,down,> 1.50%,0,
2025-02-28,AAPL,238.0200,234.5672,-1.4506,1.4506,down,1.00–1.50%,1,2025-02-28 15:35:00
2025-03-03,AAPL,235.7400,242.1894,2.7358,2.7358,up,> 1.50%,0,
2025-03-04,AAPL,240.4600,236.6632,-1.5790,1.5790,down,> 1.50%,0,
2025-03-05,AAPL,236.6800,234.1141,-1.0841,1.0841,down,1.00–1.50%,1,2025-03-05 11:00:00
2025-03-06,AAPL,235.2700,233.3076,-0.8341,0.8341,down,0.50–1.00%,1,2025-03-06 09:35:00
2025-03-07,AAPL,232.8400,235.0501,0.9492,0.9492,up,0.50–1.00%,0,
2025-03-10,AAPL,233.4100,231.3560,-0.8800,0.8800,down,0.50–1.00%,1,2025-03-10 09:30:00
2025-03-11,AAPL,235.4300,223.3653,-5.1245,5.1245,down,> 1.50%,0,
2025-03-12,AAPL,224.5200,219.4934,-2.2388,2.2388,down,> 1.50%,0,
2025-03-13,AAPL,220.7700,213.9607,-3.0843,3.0843,down,> 1.50%,0,
2025-03-14,AAPL,214.9900,212.4870,-1.1642,1.1642,down,1.00–1.50%,1,2025-03-14 15:30:00
2025-03-17,AAPL,210.4000,212.5269,1.0109,1.0109,up,1.00–1.50%,0,
2025-03-18,AAPL,212.9000,213.1940,0.1381,0.1381,up,< 0.30%,1,2025-03-18 09:30:00
2025-03-19,AAPL,212.5200,214.0901,0.7388,0.7388,up,0.50–1.00%,1,2025-03-19 11:00:00
2025-03-20,AAPL,212.4300,213.2056,0.3651,0.3651,up,0.30–0.50%,1,2025-03-20 09:30:00
2025-03-21,AAPL,213.8200,211.7631,-0.9620,0.9620,down,0.50–1.00%,0,
2025-03-24,AAPL,209.9500,217.8739,3.7742,3.7742,up,> 1.50%,0,
2025-03-25,AAPL,219.5600,219.3874,-0.0786,0.0786,down,< 0.30%,1,2025-03-25 09:30:00
2025-03-26,AAPL,220.4100,223.0467,1.1963,1.1963,up,1.00–1.50%,1,2025-03-26 15:25:00
2025-03-27,AAPL,223.5400,220.2852,-1.4560,1.4560,down,1.00–1.50%,0,
2025-03-28,AAPL,220.6600,220.8611,0.0911,0.0911,up,< 0.30%,1,2025-03-28 09:30:00
2025-03-31,AAPL,220.8500,216.1986,-2.1061,2.1061,down,> 1.50%,0,
2025-04-01,AAPL,216.1800,218.9742,1.2925,1.2925,up,1.00–1.50%,0,
2025-04-02,AAPL,219.2900,220.8810,0.7255,0.7255,up,0.50–1.00%,0,
2025-04-03,AAPL,220.5000,206.0348,-6.5602,6.5602,down,> 1.50%,1,2025-04-03 15:00:00
2025-04-04,AAPL,206.1300,196.0029,-4.9130,4.9130,down,> 1.50%,0,
2025-04-07,AAPL,193.8900,175.8146,-9.3225,9.3225,down,> 1.50%,0,
