date,ticker,first30_high,first30_low,day_high,day_low,hi_match,lo_match,spike,both_match,hi_exact,lo_exact
2025-02-03,AAPL,230.5850,227.5414,234.7300,225.4179,0,0,0,0,0,0
2025-02-04,AAPL,227.9790,225.4328,230.3053,224.8400,0,0,0,0,0,0
2025-02-05,AAPL,229.3812,227.0441,231.5500,223.8100,0,0,0,0,0,0
2025-02-06,AAPL,232.5444,229.5399,232.5444,229.1875,1,0,1,0,1,0
2025-02-07,AAPL,232.7433,230.8436,232.7433,227.8895,1,0,1,0,1,0
2025-02-10,AAPL,229.5238,228.0303,229.5985,226.4800,1,0,1,0,0,0
2025-02-11,AAPL,230.9079,227.1540,236.5200,225.0300,0,0,0,0,0,0
2025-02-12,AAPL,232.0331,229.6931,233.8353,229.5200,0,0,0,0,0,0
2025-02-13,AAPL,237.9775,234.8908,238.4853,231.7600,0,0,0,0,0,0
2025-02-14,AAPL,243.3743,239.9590,244.0016,239.4100,0,0,0,0,0,0
2025-02-18,AAPL,244.1311,241.8211,244.8300,240.3400,0,0,0,0,0,0
2025-02-19,AAPL,244.9575,243.0737,244.9575,232.2200,1,0,1,0,1,0
2025-02-20,AAPL,245.7242,243.3644,245.7242,242.4600,1,0,1,0,1,0
2025-02-21,AAPL,245.8835,244.3999,245.8835,243.7900,1,0,1,0,1,0
2025-02-24,AAPL,247.0784,243.3743,247.7953,240.5200,0,0,0,0,0,0
2025-02-25,AAPL,248.4525,246.0429,248.4525,243.4200,1,0,1,0,1,0
2025-02-26,AAPL,243.9319,240.3872,246.1900,240.3872,0,1,1,0,0,1
2025-02-27,AAPL,241.2475,237.8979,243.7600,237.4498,0,0,0,0,0,0
2025-02-28,AAPL,236.3943,229.2152,243.4200,229.2152,0,1,1,0,0,1
2025-03-03,AAPL,242.9832,239.4412,242.9832,238.7990,1,0,1,0,1,0
2025-03-04,AAPL,238.3658,235.4882,238.8300,235.3289,0,0,0,0,0,0
2025-03-05,AAPL,234.9406,230.0516,238.7000,229.5338,0,0,0,0,0,0
2025-03-06,AAPL,235.4484,232.5409,236.8424,232.2600,0,0,0,0,0,0
2025-03-07,AAPL,238.4146,233.7557,239.1326,233.1500,0,0,0,0,0,0
2025-03-10,AAPL,235.1497,228.1697,238.0500,224.4058,0,0,0,0,0,0
2025-03-11,AAPL,224.8737,220.8113,227.2500,219.0688,0,0,0,0,0,0
2025-03-12,AAPL,220.8013,218.3319,221.5000,215.0759,0,0,0,0,0,0
2025-03-13,AAPL,215.9117,213.4529,216.0500,212.7360,0,0,0,0,0,0
2025-03-14,AAPL,212.5169,210.0674,240.8100,208.6834,0,0,0,0,0,0
