ticker,date,direction,adx,pdi,mdi,fwd1_ret,fwd3_ret
AAPL,2025-03-26,UP,21.42,33.97,15.68,-0.012884,-0.032925
AAPL,2025-03-31,DOWN,23.91,30.96,17.75,0.014386,-0.046489
AAPL,2025-04-02,UP,25.10,32.21,16.15,-0.065170,-0.173741
AAPL,2025-04-03,DOWN,23.48,26.71,28.06,-0.059380,-0.104109
AAPL,2025-04-23,UP,17.23,19.17,24.21,-0.012816,0.015341
AAPL,2025-05-06,DOWN,12.83,22.91,24.91,0.011577,0.004214
AAPL,2025-05-12,UP,11.43,27.80,22.65,-0.002231,-0.006741
AAPL,2025-05-22,DOWN,9.35,22.52,28.50,-0.033380,-0.002487
AAPL,2025-06-09,UP,10.02,28.23,21.90,-0.016653,-0.026106
AAPL,2025-06-10,DOWN,9.69,27.05,24.31,0.010061,-0.006874
AAPL,2025-06-11,UP,9.45,26.63,23.45,-0.019478,-0.028059
AAPL,2025-06-12,DOWN,9.00,24.98,26.64,0.002766,-0.009757
AAPL,2025-06-24,UP,7.80,26.26,21.50,-0.011812,-0.010188
AAPL,2025-07-31,DOWN,18.20,17.88,34.13,0.007661,-0.027195
AAPL,2025-08-07,UP,21.04,27.10,23.24,0.009900,0.042761
AAPL,2025-09-11,DOWN,14.31,19.46,32.02,0.007484,0.040236
AAPL,2025-09-15,UP,12.45,24.73,25.15,-0.001732,0.008660
AAPL,2025-10-13,DOWN,23.74,15.94,39.58,-0.013725,0.006078
AAPL,2025-10-21,UP,29.26,19.75,34.44,-0.000536,-0.001993
AAPL,2025-11-19,DOWN,13.74,20.18,19.10,0.013436,0.018390
AAPL,2025-11-24,UP,11.83,22.35,18.42,0.009753,0.022744
AAPL,2025-12-16,DOWN,11.08,17.85,23.10,0.005635,-0.007574
AAPL,2026-01-29,UP,35.98,24.51,28.56,0.001786,-0.001514
AAPL,2026-02-14,DOWN,29.14,20.73,26.03,0.003055,0.029573
AAPL,2026-02-25,UP,23.49,28.68,19.66,0.013927,-0.026377
AAPL,2026-03-02,DOWN,20.75,28.90,20.24,0.004589,0.001797
AMD,2025-03-18,UP,33.06,19.65,20.15,0.001639,0.020247
AMD,2025-03-31,DOWN,23.32,19.05,26.95,0.020738,-0.029910
AMD,2025-04-25,UP,21.79,28.06,21.89,0.029046,-0.004716
AMD,2025-08-20,DOWN,22.61,29.78,24.00,0.001154,0.005161
AMD,2025-09-24,UP,12.40,22.93,18.44,-0.026897,-0.010117
AMD,2025-11-07,DOWN,33.08,21.36,19.73,0.043335,0.090084
AMD,2025-11-13,UP,29.91,25.64,14.35,-0.052690,-0.068674
AMD,2025-11-14,DOWN,28.73,23.52,17.96,0.021332,-0.039247
AMD,2025-12-10,UP,22.83,17.78,23.59,-0.019821,-0.045260
AMD,2025-12-11,DOWN,22.91,16.49,26.89,0.005869,-0.050715
AMD,2025-12-26,UP,17.85,18.67,19.44,-0.017693,-0.001390
AMD,2026-01-08,DOWN,22.61,16.04,34.41,-0.022240,0.021244
AMD,2026-01-15,UP,22.32,25.45,25.49,0.016938,0.023165
AMD,2026-02-04,DOWN,17.13,15.36,33.36,-0.082781,-0.045827
AMD,2026-02-26,UP,23.79,26.67,29.08,-0.034552,-0.064347
AMD,2026-02-27,DOWN,22.56,25.38,28.98,-0.007715,-0.049527
AMD,2026-03-11,UP,18.68,25.73,29.43,-0.002800,-0.041012
AMD,2026-03-16,DOWN,17.71,22.48,32.18,0.014648,
AMZN,2025-03-25,UP,16.96,30.65,17.88,0.012761,-0.022380
AMZN,2025-03-29,DOWN,14.34,22.40,24.14,-0.017389,-0.018946
AMZN,2025-04-14,UP,24.63,33.64,13.86,-0.031203,-0.060060
AMZN,2025-04-15,DOWN,25.42,31.27,14.80,-0.024610,-0.046798
AMZN,2025-04-25,UP,24.72,33.27,16.25,0.012367,-0.011564
AMZN,2025-06-23,DOWN,24.63,18.11,37.16,0.009626,0.016345
AMZN,2025-06-25,UP,23.92,24.54,32.07,-0.004760,0.038264
AMZN,2025-08-01,DOWN,21.41,15.39,40.01,-0.004720,-0.015085
AMZN,2025-08-14,UP,19.02,36.09,21.48,0.028994,0.020760
AMZN,2025-08-22,DOWN,14.80,23.25,26.66,0.027060,0.019476
AMZN,2025-08-25,UP,13.32,23.23,26.23,-0.000616,0.008534
AMZN,2025-09-03,DOWN,10.72,19.94,26.78,0.025517,0.029955
AMZN,2025-09-04,UP,10.48,27.23,23.53,0.019083,0.012852
AMZN,2025-09-15,DOWN,13.94,33.96,18.70,0.012585,0.008202
AMZN,2025-09-16,UP,15.30,34.55,17.40,-0.000429,-0.004157
AMZN,2025-09-22,DOWN,18.11,27.75,21.38,-0.010742,-0.047041
AMZN,2025-10-10,UP,14.25,28.35,18.86,-0.052047,-0.043806
AMZN,2025-10-11,DOWN,13.79,24.15,28.29,0.013482,0.013250
AMZN,2025-10-24,UP,14.75,33.64,18.46,0.011773,0.030086
AMZN,2025-11-14,DOWN,30.38,30.86,27.40,0.011412,-0.041186
AMZN,2025-12-01,UP,17.56,34.57,24.70,0.012170,-0.003857
AMZN,2025-12-06,DOWN,15.08,29.35,25.70,0.000348,-0.001219
AMZN,2025-12-24,UP,14.47,29.58,18.41,0.000774,-0.003740
AMZN,2026-01-05,DOWN,14.85,28.37,19.16,0.024918,0.070798
AMZN,2026-01-06,UP,16.01,30.98,16.29,0.032330,0.054627
AMZN,2026-01-20,DOWN,19.34,20.53,27.87,-0.011207,0.006913
AMZN,2026-01-27,UP,15.99,27.11,20.33,0.025300,-0.004668
AMZN,2026-02-05,DOWN,15.79,18.80,29.44,-0.108680,-0.086795
AMZN,2026-03-05,UP,34.49,19.56,27.77,-0.003251,-0.026010
AMZN,2026-03-16,DOWN,31.06,15.15,32.38,0.013849,
AMZN,2026-03-17,UP,30.65,18.41,30.90,0.003721,
AVGO,2025-04-11,UP,27.22,34.34,19.06,0.070622,-0.008400
AVGO,2025-04-22,DOWN,25.00,28.62,21.90,0.057897,0.100752
AVGO,2025-04-23,UP,23.33,25.16,24.36,-0.004288,0.070300
AVGO,2025-08-20,DOWN,14.76,16.52,28.96,-0.015015,-0.006741
AVGO,2025-08-29,UP,13.76,21.07,21.04,-0.058572,-0.009931
AVGO,2025-09-02,DOWN,13.55,18.41,22.87,0.041535,0.212152
