btc_datetime,eth_datetime,direction,lag_min,btc_close,eth_close
2025-04-01 14:10:00,2025-04-01 14:10:00,DOWN,0.0,84863.00,1906.53
2025-04-02 13:40:00,2025-04-02 13:35:00,DOWN,-5.0,86579.99,1889.50
2025-04-02 15:55:00,2025-04-02 14:40:00,UP,-75.0,86900.02,1901.81
2025-04-03 12:00:00,2025-04-03 11:40:00,UP,-20.0,82331.98,1779.61
2025-04-03 12:55:00,2025-04-03 13:00:00,DOWN,5.0,81830.56,1774.49
2025-04-03 14:45:00,2025-04-03 14:35:00,UP,-10.0,82235.99,1780.05
2025-04-05 12:40:00,2025-04-05 13:25:00,UP,45.0,82808.40,1788.00
2025-04-05 15:45:00,2025-04-05 15:40:00,DOWN,-5.0,82791.30,1786.69
2025-04-06 12:05:00,2025-04-06 11:50:00,DOWN,-15.0,82468.00,1760.94
2025-04-07 12:20:00,2025-04-07 12:20:00,DOWN,0.0,77976.60,1541.78
2025-04-07 13:25:00,2025-04-07 13:25:00,UP,0.0,78571.99,1558.77
2025-04-07 15:05:00,2025-04-07 14:55:00,DOWN,-10.0,78354.01,1549.41
2025-04-10 14:15:00,2025-04-10 14:00:00,UP,-15.0,79425.54,1515.27
2025-04-11 12:25:00,2025-04-11 12:20:00,DOWN,-5.0,82246.35,1558.89
2025-04-11 12:30:00,2025-04-11 12:30:00,UP,0.0,82656.92,1569.39
2025-04-12 12:45:00,2025-04-12 12:45:00,DOWN,0.0,84626.00,1640.78
2025-04-12 14:00:00,2025-04-12 14:30:00,UP,30.0,84895.58,1644.09
2025-04-12 15:55:00,2025-04-12 15:30:00,DOWN,-25.0,84943.40,1638.25
2025-04-13 12:00:00,2025-04-13 11:55:00,UP,-5.0,84214.01,1586.62
2025-04-13 15:10:00,2025-04-13 15:30:00,DOWN,20.0,84532.74,1618.35
2025-04-14 13:25:00,2025-04-14 13:35:00,UP,10.0,84527.18,1640.64
2025-04-16 13:40:00,2025-04-16 13:45:00,DOWN,5.0,84345.99,1570.35
2025-04-16 15:50:00,2025-04-16 15:50:00,UP,0.0,84425.90,1591.49
2025-04-17 15:10:00,2025-04-17 15:00:00,DOWN,-10.0,84932.91,1601.66
2025-04-18 12:30:00,2025-04-18 12:55:00,UP,25.0,84523.47,1587.40
2025-04-19 11:40:00,2025-04-19 12:35:00,DOWN,55.0,85274.55,1602.92
2025-04-19 13:55:00,2025-04-19 13:30:00,UP,-25.0,85239.92,1608.47
2025-04-20 11:45:00,2025-04-20 13:35:00,DOWN,110.0,84408.14,1576.32
2025-04-20 12:20:00,2025-04-20 12:20:00,UP,0.0,84540.78,1579.88
2025-04-20 13:40:00,2025-04-20 13:45:00,UP,5.0,84509.06,1580.00
2025-04-21 12:25:00,2025-04-21 11:45:00,DOWN,-40.0,87765.99,1623.59
2025-04-23 12:10:00,2025-04-23 12:10:00,UP,0.0,93152.00,1792.61
2025-04-23 15:00:00,2025-04-23 15:05:00,DOWN,5.0,93445.19,1794.00
2025-04-24 13:10:00,2025-04-24 13:10:00,DOWN,0.0,92938.46,1756.04
2025-04-24 14:15:00,2025-04-24 14:45:00,UP,30.0,93342.55,1764.02
2025-04-25 12:10:00,2025-04-25 12:30:00,DOWN,20.0,94912.57,1798.00
2025-04-25 12:35:00,2025-04-25 12:40:00,UP,5.0,95256.33,1803.87
2025-04-25 13:40:00,2025-04-25 13:35:00,DOWN,-5.0,94846.94,1789.37
2025-04-25 14:45:00,2025-04-25 14:40:00,UP,-5.0,95169.99,1802.41
2025-04-27 13:10:00,2025-04-27 12:50:00,UP,-20.0,94098.22,1794.70
2025-04-28 13:50:00,2025-04-28 13:45:00,UP,-5.0,94010.00,1768.51
2025-04-29 12:10:00,2025-04-29 12:20:00,UP,10.0,94935.98,1822.41
2025-04-30 12:05:00,2025-04-30 12:15:00,DOWN,10.0,93832.29,1758.92
2025-04-30 12:45:00,2025-04-30 12:40:00,UP,-5.0,94092.59,1768.01
2025-05-01 13:35:00,2025-05-01 13:35:00,DOWN,0.0,96744.00,1851.69
2025-05-02 13:00:00,2025-05-02 13:10:00,DOWN,10.0,97246.04,1845.00
2025-05-02 14:10:00,2025-05-02 14:00:00,UP,-10.0,97523.99,1853.30
2025-05-02 14:55:00,2025-05-02 14:50:00,DOWN,-5.0,97171.00,1848.29
2025-05-03 12:10:00,2025-05-03 12:00:00,DOWN,-10.0,96288.83,1832.78
2025-05-03 14:15:00,2025-05-03 14:20:00,UP,5.0,96230.15,1829.12
2025-05-04 11:55:00,2025-05-04 12:30:00,DOWN,35.0,95467.60,1826.22
2025-05-04 14:00:00,2025-05-04 14:00:00,UP,0.0,95476.19,1830.50
2025-05-04 14:10:00,2025-05-04 14:45:00,DOWN,35.0,95364.70,1826.01
2025-05-04 14:15:00,2025-05-04 15:30:00,UP,75.0,95425.72,1829.87
2025-05-05 12:15:00,2025-05-05 12:15:00,UP,0.0,94150.85,1810.15
2025-05-05 15:45:00,2025-05-05 15:50:00,DOWN,5.0,94419.99,1816.05
2025-05-06 12:55:00,2025-05-06 12:20:00,DOWN,-35.0,94241.01,1765.63
2025-05-06 13:15:00,2025-05-06 13:15:00,UP,0.0,94637.53,1773.68
2025-05-09 13:20:00,2025-05-09 13:10:00,UP,-10.0,103011.78,2315.24
2025-05-09 15:25:00,2025-05-09 15:20:00,DOWN,-5.0,103000.00,2317.64
2025-05-11 14:35:00,2025-05-11 13:10:00,UP,-85.0,104392.31,2482.32
2025-05-12 13:05:00,2025-05-12 13:10:00,UP,5.0,103066.57,2504.31
2025-05-12 13:20:00,2025-05-12 13:15:00,DOWN,-5.0,102829.83,2502.03
2025-05-14 12:10:00,2025-05-14 11:50:00,UP,-20.0,103607.27,2593.21
2025-05-14 12:20:00,2025-05-14 12:25:00,DOWN,5.0,103391.89,2587.44
2025-05-14 12:25:00,2025-05-14 14:00:00,UP,95.0,103460.31,2594.98
2025-05-15 14:35:00,2025-05-15 14:15:00,DOWN,-20.0,103155.71,2561.35
2025-05-16 13:50:00,2025-05-16 13:35:00,DOWN,-15.0,103796.95,2580.49
2025-05-17 12:00:00,2025-05-17 12:20:00,DOWN,20.0,102999.99,2472.11
2025-05-17 12:05:00,2025-05-17 13:30:00,UP,85.0,103043.38,2475.69
2025-05-17 14:45:00,2025-05-17 14:55:00,DOWN,10.0,103037.27,2467.09
2025-05-17 15:40:00,2025-05-17 15:15:00,UP,-25.0,103189.95,2478.16
2025-05-18 13:50:00,2025-05-18 13:25:00,DOWN,-25.0,105031.78,2541.41
2025-05-19 14:35:00,2025-05-19 14:30:00,DOWN,-5.0,104987.32,2480.72
2025-05-19 15:35:00,2025-05-19 15:30:00,UP,-5.0,105422.05,2514.40
2025-05-20 14:45:00,2025-05-20 14:25:00,DOWN,-20.0,105400.00,2472.29
2025-05-20 15:20:00,2025-05-20 15:40:00,UP,20.0,106261.42,2487.69
2025-05-21 13:20:00,2025-05-21 13:15:00,DOWN,-5.0,107979.99,2542.11
2025-05-21 15:35:00,2025-05-21 15:45:00,UP,10.0,108346.01,2509.69
2025-05-22 15:40:00,2025-05-22 15:00:00,DOWN,-40.0,111359.29,2650.71
2025-05-23 13:10:00,2025-05-23 13:10:00,UP,0.0,109499.99,2579.86
2025-05-23 14:15:00,2025-05-23 14:20:00,DOWN,5.0,108986.06,2566.20
2025-05-24 12:05:00,2025-05-24 11:40:00,DOWN,-25.0,108798.62,2551.19
2025-05-24 12:45:00,2025-05-24 12:45:00,UP,0.0,109044.38,2560.00
2025-05-24 14:45:00,2025-05-24 14:45:00,DOWN,0.0,108808.20,2552.44
2025-05-25 13:00:00,2025-05-25 12:45:00,UP,-15.0,107259.80,2511.09
2025-05-26 12:25:00,2025-05-26 12:25:00,DOWN,0.0,109331.90,2544.21
2025-05-27 14:25:00,2025-05-27 14:50:00,DOWN,25.0,110057.44,2682.95
