date,bank_ret,vix_level,vix_change,vix_today,gs_ret,c_ret,jpm_ret,v_ret
2025-02-11,0.001866,15.81,0.21,16.02,-0.001798,0.001066,0.002713,0.005481
2025-02-12,-0.001397,16.02,-0.13,15.89,-0.003503,0.001616,-0.002696,-0.001006
2025-02-13,-0.001411,15.89,-0.79,15.10,-0.002435,-0.000538,0.000724,-0.003393
2025-02-14,-0.001266,15.10,-0.33,14.77,-0.002784,-0.002954,-0.003704,0.004378
2025-02-18,0.001359,15.37,-0.02,15.35,-0.000417,0.001359,0.001775,0.002720
2025-02-19,0.000454,15.35,-0.08,15.27,-0.000824,-0.000193,0.002472,0.000359
2025-02-20,-0.000976,15.27,0.39,15.66,-0.000697,-0.000507,0.000203,-0.002904
2025-02-21,0.000660,15.66,2.55,18.21,0.002650,0.000342,-0.001794,0.001441
2025-02-24,0.000509,18.21,0.77,18.98,-0.004848,0.001760,0.001156,0.003967
2025-02-25,-0.001459,18.98,0.45,19.43,0.000753,-0.004775,-0.000802,-0.001010
2025-02-26,0.003248,19.43,-0.33,19.10,0.000409,0.003744,0.002859,0.005980
2025-02-27,-0.003392,19.10,2.03,21.13,-0.000868,-0.006305,-0.003249,-0.003145
2025-02-28,0.005241,21.13,-1.50,19.63,0.002934,0.003916,0.003145,0.010970
2025-03-03,0.001438,19.63,3.15,22.78,0.002776,-0.000742,0.003597,0.000121
2025-03-04,0.009910,22.78,0.73,23.51,0.004895,0.019606,0.012644,0.002496
2025-03-05,0.000224,23.51,-1.58,21.93,0.002415,-0.001471,-0.000978,0.000930
2025-03-06,0.004057,21.93,2.94,24.87,0.005163,-0.000770,0.001708,0.010127
2025-03-07,0.000225,24.87,-1.50,23.37,-0.003637,-0.002556,0.004313,0.002778
2025-03-10,0.006596,23.37,4.49,27.86,0.010149,0.008876,0.004329,0.003032
2025-03-11,0.004232,27.86,-0.94,26.92,0.002843,0.004457,0.004561,0.005067
2025-03-12,-0.001879,26.92,-2.69,24.23,-0.000006,-0.001937,-0.003244,-0.002328
2025-03-13,-0.001369,24.23,0.43,24.66,0.000663,-0.004345,-0.002180,0.000387
2025-03-14,0.001310,24.66,-2.89,21.77,-0.003624,0.003615,-0.003060,0.008310
2025-03-17,-0.001611,21.77,-1.26,20.51,-0.003714,-0.004428,0.003439,-0.001740
2025-03-18,-0.002615,20.51,1.19,21.70,-0.000531,-0.001762,-0.003777,-0.004390
2025-03-19,-0.002110,21.70,-1.80,19.90,0.000051,-0.000297,-0.001464,-0.006730
2025-03-20,0.001834,19.90,-0.10,19.80,0.003415,0.000075,0.004569,-0.000724
2025-03-21,0.000050,19.80,-0.52,19.28,0.005175,0.000327,-0.001999,-0.003302
2025-03-24,-0.000445,19.28,-1.80,17.48,-0.000260,-0.000597,0.000879,-0.001804
2025-03-25,-0.000531,17.48,-0.33,17.15,-0.002898,-0.000552,0.000776,0.000548
2025-03-26,-0.003245,17.15,1.18,18.33,-0.002368,-0.003540,-0.004620,-0.002452
2025-03-27,-0.000077,18.33,0.36,18.69,-0.010513,0.001206,0.006910,0.002089
2025-03-28,-0.001203,18.69,2.96,21.65,-0.000389,-0.001569,-0.001732,-0.001121
2025-03-31,-0.001403,21.65,0.63,22.28,0.000269,-0.006967,-0.000396,0.001481
2025-04-01,0.000932,22.28,-0.51,21.77,-0.000730,0.003354,0.007081,-0.005977
2025-04-02,0.001122,21.77,-0.26,21.51,0.002953,-0.000997,0.000219,0.002315
2025-04-03,0.009163,21.51,8.51,30.02,0.011404,0.023164,0.001185,0.000901
2025-04-04,0.000554,30.02,15.29,45.31,-0.000601,-0.007401,0.013730,-0.003512
2025-04-07,0.007939,45.31,1.67,46.98,0.022592,0.007900,-0.004450,0.005714
2025-04-08,-0.007544,46.98,5.35,52.33,-0.009682,-0.001504,-0.009463,-0.009528
2025-04-09,0.005821,52.33,-18.71,33.62,0.005409,0.013692,0.007067,-0.002886
