date,coin_ret,ibit_ret,divergence,next_date,ibit_next_ret
2025-02-03,0.000806,-0.002038,0.002904,2025-02-04,0.046045
2025-02-04,0.000601,-0.003008,0.003698,2025-02-05,-0.004260
2025-02-05,-0.004548,-0.001957,-0.002534,2025-02-06,0.000178
2025-02-06,0.001717,0.003218,-0.001596,2025-02-07,0.002852
2025-02-07,0.002646,-0.008283,0.011174,2025-02-10,-0.006575
2025-02-10,-0.000357,0.005215,-0.005726,2025-02-11,-0.015385
2025-02-11,0.002486,-0.001270,0.003794,2025-02-12,-0.019440
2025-02-12,0.001891,0.002601,-0.000787,2025-02-13,0.012414
2025-02-13,-0.000810,0.001283,-0.002131,2025-02-14,0.007687
2025-02-14,0.016301,0.002184,0.014052,2025-02-18,-0.005812
2025-02-18,-0.007425,-0.002914,-0.004424,2025-02-19,0.000365
2025-02-19,0.007281,-0.001277,0.008596,2025-02-20,0.013696
2025-02-20,0.000192,-0.002157,0.002413,2025-02-21,0.019636
2025-02-21,0.006667,0.003724,0.002833,2025-02-24,-0.039753
2025-02-24,0.002969,0.002213,0.000691,2025-02-25,-0.071757
2025-02-25,-0.013502,-0.004047,-0.009335,2025-02-26,-0.020020
2025-02-26,0.006443,0.014987,-0.008987,2025-02-27,-0.010720
2025-02-27,0.004630,-0.002040,0.006731,2025-02-28,-0.052750
2025-02-28,-0.000097,-0.004512,0.004548,2025-03-03,0.147852
2025-03-03,0.020928,0.003965,0.016846,2025-03-04,-0.115269
2025-03-04,-0.003341,0.000425,-0.003779,2025-03-05,0.080765
2025-03-05,0.000512,-0.003137,0.003741,2025-03-06,0.000983
2025-03-06,0.006060,-0.004985,0.011193,2025-03-07,-0.004322
2025-03-07,-0.005259,0.000197,-0.005462,2025-03-10,-0.066298
2025-03-10,0.005973,0.007023,-0.001257,2025-03-11,-0.024725
2025-03-11,-0.010430,-0.003240,-0.007094,2025-03-12,0.035970
2025-03-12,0.012078,0.009076,0.002733,2025-03-13,-0.019034
2025-03-13,0.006680,-0.004880,0.011705,2025-03-14,0.011301
