date,spy_ret,ibit_low_time,spy_low_time,lag_min,coin_low_time,coin_lag_min
2025-02-19,0.004622,15:00,10:05,-295.0,10:05,0.0
2025-02-24,-0.008006,10:45,10:05,-40.0,10:05,0.0
2025-02-25,-0.004923,10:35,11:30,55.0,10:20,70.0
2025-02-28,0.014533,15:00,13:20,-100.0,15:00,-100.0
2025-03-04,-0.004899,10:20,10:20,0.0,10:20,0.0
2025-03-07,0.008670,15:00,11:50,-190.0,15:00,-190.0
2025-03-10,-0.012051,10:55,15:10,255.0,10:50,260.0
2025-03-11,-0.005864,10:40,13:30,170.0,15:00,-90.0
2025-03-13,-0.012498,10:00,13:45,225.0,13:40,5.0
2025-03-27,-0.000317,09:40,09:40,0.0,09:40,0.0
2025-03-28,-0.017152,10:50,15:35,285.0,10:55,280.0
2025-03-31,0.016951,13:10,09:45,-205.0,09:45,0.0
2025-04-03,-0.013704,10:50,15:55,305.0,10:50,305.0
2025-04-04,-0.034697,14:30,15:55,85.0,10:50,305.0
2025-04-07,0.031399,15:00,09:40,-320.0,15:00,-320.0
2025-04-09,0.101188,15:00,11:00,-240.0,15:00,-240.0
2025-04-11,0.020975,15:00,10:20,-280.0,10:25,-5.0
2025-04-15,-0.003623,10:25,14:15,230.0,10:45,210.0
2025-04-16,-0.011191,11:15,15:25,250.0,09:30,355.0
2025-04-21,-0.013777,14:20,14:05,-15.0,10:50,195.0
2025-04-30,0.012382,10:00,09:55,-5.0,10:00,-5.0
2025-05-15,0.008283,10:45,09:45,-60.0,10:50,-65.0
2025-05-19,0.011631,15:00,09:30,-330.0,11:25,-115.0
2025-05-23,0.005521,15:15,09:30,-345.0,15:20,-350.0
2025-05-30,0.000917,12:40,12:30,-10.0,09:50,160.0
2025-06-12,0.006183,09:30,09:35,5.0,09:30,5.0
2025-06-13,-0.002590,11:00,15:45,285.0,11:00,285.0
2025-08-01,-0.007329,10:00,14:05,245.0,10:00,245.0
2025-08-14,0.003345,09:40,09:30,-10.0,09:30,0.0
2025-08-20,-0.002080,10:15,10:50,35.0,09:50,60.0
2025-09-02,0.004408,15:45,11:55,-230.0,09:30,145.0
2025-09-25,0.000015,15:00,14:00,-60.0,09:40,260.0
2025-10-13,0.003633,14:25,11:05,-200.0,10:55,10.0
2025-10-14,0.007654,09:35,09:45,10.0,09:35,10.0
2025-10-17,0.007309,13:20,11:35,-105.0,11:20,15.0
2025-10-30,-0.005776,09:40,15:55,375.0,10:05,350.0
2025-11-04,-0.001124,09:35,14:40,305.0,09:30,310.0
2025-11-07,0.004536,14:55,12:05,-170.0,09:35,150.0
2025-11-13,-0.012403,10:55,14:55,240.0,10:55,240.0
2025-11-14,0.009874,15:40,09:30,-370.0,14:45,-315.0
2025-11-18,-0.002953,15:00,11:00,-240.0,15:00,-240.0
2025-11-21,0.006122,14:25,10:35,-230.0,14:25,-230.0
2025-12-09,-0.000146,15:00,15:55,55.0,10:45,310.0
2025-12-16,-0.000545,15:00,13:00,-120.0,15:00,-120.0
2026-01-08,0.000900,09:45,09:45,0.0,15:00,-315.0
2026-01-20,-0.005693,10:10,15:55,345.0,11:35,260.0
2026-01-30,0.000087,15:00,13:20,-100.0,11:50,90.0
2026-02-04,-0.006127,10:35,12:50,135.0,10:00,170.0
2026-02-05,-0.005125,10:30,11:10,40.0,10:30,40.0
2026-02-13,-0.000088,15:00,09:40,-320.0,15:05,-325.0
2026-02-24,0.008007,15:30,09:35,-355.0,10:00,-25.0
2026-02-27,0.004582,15:35,09:40,-355.0,10:00,-20.0
2026-03-02,0.011301,15:50,09:30,-380.0,15:00,-330.0
2026-03-06,-0.001411,15:55,09:55,-360.0,15:55,-360.0
2026-03-09,0.017887,15:00,10:10,-290.0,15:00,-290.0
