date,ticker,group,dz_abs_return,dz_volume_pct,day_abs_return,dz_range,day_range,range_ratio
2025-02-03,NVDA,equity,0.008069,0.011136,0.007067,0.014937,0.061543,0.242706
2025-02-04,NVDA,equity,0.001361,0.006122,0.003068,0.004764,0.050267,0.094781
2025-02-05,NVDA,equity,0.000505,0.004812,0.010576,0.005300,0.041379,0.128081
2025-02-06,NVDA,equity,0.000716,0.013164,0.002480,0.007394,0.022498,0.328675
2025-02-07,NVDA,equity,0.004165,0.007202,0.002055,0.006994,0.041557,0.168290
2025-02-10,NVDA,equity,0.005313,0.017803,0.003266,0.014554,0.066310,0.219485
2025-02-11,NVDA,equity,0.000454,0.028333,0.010131,0.007257,0.020817,0.348622
2025-02-12,NVDA,equity,0.003309,0.011918,0.016536,0.004662,0.059907,0.077827
2025-02-13,NVDA,equity,0.000458,0.007925,0.003588,0.004197,0.049576,0.084648
2025-02-14,NVDA,equity,0.005295,0.013291,0.009270,0.006030,0.027536,0.218978
2025-02-18,NVDA,equity,0.001718,0.005436,0.002675,0.003437,0.058426,0.058820
2025-02-19,NVDA,equity,0.000500,0.009879,0.002731,0.005358,0.085382,0.062752
2025-02-20,NVDA,equity,0.004514,0.012783,0.009870,0.005875,0.552017,0.010642
2025-02-21,NVDA,equity,0.000143,0.006100,0.004791,0.001572,0.022809,0.068941
2025-02-24,NVDA,equity,0.003610,0.007138,0.003930,0.006558,0.058435,0.112220
2025-02-25,NVDA,equity,0.000466,0.019317,0.001072,0.012815,0.114462,0.111955
2025-02-26,NVDA,equity,0.000154,0.011631,0.012166,0.003934,0.043162,0.091151
2025-02-27,NVDA,equity,0.003030,0.018731,0.029224,0.010074,0.091748,0.109803
2025-02-28,NVDA,equity,0.005636,0.012269,0.029976,0.008952,0.187104,0.047843
2025-03-03,NVDA,equity,0.004267,0.009212,0.003264,0.009984,0.060510,0.164996
2025-03-04,NVDA,equity,0.006191,0.015440,0.035376,0.013690,0.058989,0.232083
2025-03-05,NVDA,equity,0.006163,0.016922,0.010183,0.009287,0.072301,0.128443
2025-03-06,NVDA,equity,0.000000,0.021385,0.029890,0.010619,0.056869,0.186725
2025-03-07,NVDA,equity,0.000713,0.006334,0.004590,0.004192,0.035907,0.116733
2025-03-10,NVDA,equity,0.000546,0.007281,0.001644,0.009197,0.228345,0.040276
2025-03-11,NVDA,equity,0.001568,0.016874,0.017125,0.010976,0.058894,0.186364
2025-03-12,NVDA,equity,0.000363,0.009430,0.039492,0.004261,0.068004,0.062659
2025-03-13,NVDA,equity,0.014353,0.019757,0.002656,0.019920,0.034007,0.585760
2025-03-14,NVDA,equity,0.001958,0.010741,0.020765,0.003831,0.109919,0.034854
2025-03-17,NVDA,equity,0.000815,0.010309,0.002870,0.004806,0.121743,0.039475
2025-03-18,NVDA,equity,0.005813,0.018503,0.009119,0.011377,0.051792,0.219664
2025-03-19,NVDA,equity,0.008281,0.026771,0.017240,0.012163,0.028373,0.428670
2025-03-20,NVDA,equity,0.019210,0.045029,0.011479,0.027598,0.036870,0.748524
2025-03-21,NVDA,equity,0.001784,0.018071,0.008463,0.007051,0.025999,0.271215
2025-03-24,NVDA,equity,0.001596,0.008456,0.001349,0.005375,0.037861,0.141980
2025-03-25,NVDA,equity,0.003746,0.010758,0.003472,0.006159,0.018694,0.329490
2025-03-26,NVDA,equity,0.003088,0.006899,0.015261,0.006259,0.084349,0.074208
2025-03-27,NVDA,equity,0.001421,0.017278,0.001338,0.009147,0.026049,0.351132
2025-03-28,NVDA,equity,0.003767,0.008100,0.000719,0.006099,0.029725,0.205168
2025-03-31,NVDA,equity,0.004434,0.009964,0.007316,0.008963,0.057261,0.156530
2025-04-01,NVDA,equity,0.007399,0.023235,0.009382,0.012148,0.032506,0.373723
2025-04-02,NVDA,equity,0.005491,0.012684,0.020873,0.008329,0.025048,0.332517
2025-04-03,NVDA,equity,0.019815,0.027095,0.009827,0.025236,0.358922,0.070311
2025-04-04,NVDA,equity,0.050533,0.032924,0.035519,0.053954,0.110437,0.488545
2025-04-07,NVDA,equity,0.023502,0.017553,0.032315,0.044331,0.237637,0.186547
2025-04-08,NVDA,equity,0.007859,0.018652,0.027663,0.010446,0.189426,0.055144
2025-04-09,NVDA,equity,0.010668,0.029094,0.054345,0.023249,0.175868,0.132195
2025-04-10,NVDA,equity,0.007456,0.026568,0.023746,0.015366,0.137604,0.111671
2025-04-11,NVDA,equity,0.014452,0.025404,0.018921,0.020513,0.043837,0.467938
2025-04-14,NVDA,equity,0.003436,0.014656,0.004476,0.011631,0.043299,0.268617
2025-04-15,NVDA,equity,0.000630,0.012418,0.007942,0.004773,0.027111,0.176042
2025-04-16,NVDA,equity,0.004142,0.038709,0.007588,0.010731,0.153941,0.069711
2025-04-17,NVDA,equity,0.002849,0.014144,0.010220,0.010635,0.061397,0.173221
2025-04-21,NVDA,equity,0.014303,0.016145,0.005287,0.016317,0.059921,0.272318
2025-04-22,NVDA,equity,0.001121,0.018483,0.024159,0.005605,0.034906,0.160570
2025-04-23,NVDA,equity,0.002504,0.023169,0.022801,0.007416,0.082112,0.090316
2025-04-24,NVDA,equity,0.010800,0.024487,0.007393,0.012583,0.073841,0.170405
2025-04-25,NVDA,equity,0.006410,0.022024,0.008016,0.007618,0.207122,0.036780
2025-04-28,NVDA,equity,0.002649,0.013246,0.000546,0.006668,0.050789,0.131287
2025-04-29,NVDA,equity,0.001011,0.009525,0.000924,0.003218,0.032169,0.100048
2025-04-30,NVDA,equity,0.001680,0.010052,0.017779,0.005226,0.075689,0.069043
2025-05-01,NVDA,equity,0.006632,0.024634,0.003888,0.008047,0.155179,0.051859
2025-05-02,NVDA,equity,0.005254,0.011402,0.025076,0.005878,0.030553,0.192377
2025-05-05,NVDA,equity,0.000975,0.011566,0.000845,0.007183,0.166187,0.043221
2025-05-06,NVDA,equity,0.001332,0.013393,0.009263,0.003730,0.025759,0.144804
2025-05-07,NVDA,equity,0.002366,0.014179,0.004899,0.004119,0.017326,0.237742
2025-05-08,NVDA,equity,0.000420,0.025815,0.015572,0.005286,0.075719,0.069813
2025-05-09,NVDA,equity,0.002547,0.006262,0.004950,0.003481,0.039942,0.087153
2025-05-12,NVDA,equity,0.003031,0.022032,0.000311,0.005817,0.052563,0.110663
2025-05-13,NVDA,equity,0.011417,0.010532,0.015537,0.013060,0.074647,0.174952
2025-05-14,NVDA,equity,0.001133,0.021061,0.017918,0.005060,0.032939,0.153617
2025-05-15,NVDA,equity,0.008248,0.039191,0.010461,0.013091,0.208118,0.062903
2025-05-16,NVDA,equity,0.001104,0.009767,0.014062,0.004048,0.025701,0.157515
2025-05-19,NVDA,equity,0.007441,0.015039,0.002463,0.008822,0.044161,0.199763
2025-05-20,NVDA,equity,0.001408,0.011343,0.007517,0.003186,0.037143,0.085773
2025-05-21,NVDA,equity,0.003303,0.019123,0.006410,0.005480,0.016428,0.333563
2025-05-22,NVDA,equity,0.000151,0.012042,0.007606,0.003468,0.022329,0.155328
2025-05-23,NVDA,equity,0.000977,0.013865,0.027251,0.005939,0.041253,0.143966
2025-05-27,NVDA,equity,0.002304,0.010368,0.003611,0.004682,0.044626,0.104907
2025-05-28,NVDA,equity,0.008956,0.025702,0.007013,0.010215,0.206777,0.049399
2025-05-29,NVDA,equity,0.009038,0.038587,0.003462,0.015675,0.063737,0.245929
2025-05-30,NVDA,equity,0.001665,0.012375,0.002391,0.003257,0.024019,0.135616
2025-06-02,NVDA,equity,0.000896,0.007294,0.003879,0.003211,0.034880,0.092047
2025-06-03,NVDA,equity,0.002336,0.007817,0.003632,0.002993,0.039616,0.075543
2025-06-04,NVDA,equity,0.000563,0.015585,0.004666,0.003729,0.021778,0.171238
2025-06-05,NVDA,equity,0.000423,0.009756,0.000919,0.002114,0.012576,0.168116
2025-06-06,NVDA,equity,0.002922,0.011647,0.018310,0.004917,0.029038,0.169342
2025-06-09,NVDA,equity,0.001404,0.004502,0.000600,0.002177,0.025382,0.085762
2025-06-10,NVDA,equity,0.004708,0.015707,0.003009,0.006956,0.011617,0.598774
2025-06-11,NVDA,equity,0.000139,0.010845,0.008691,0.002016,0.015088,0.133631
2025-06-12,NVDA,equity,0.004865,0.017498,0.004847,0.007685,0.031989,0.240233
2025-06-13,NVDA,equity,0.000281,0.022029,0.012578,0.005347,0.027130,0.197097
2025-06-16,NVDA,equity,0.000839,0.005702,0.000355,0.003076,0.020400,0.150788
2025-06-17,NVDA,equity,0.004966,0.026651,0.004996,0.006621,0.012352,0.536015
2025-06-18,NVDA,equity,0.001382,0.011670,0.007252,0.003732,0.015577,0.239552
2025-06-20,NVDA,equity,0.001868,0.004162,0.000730,0.003183,0.028011,0.113623
2025-06-23,NVDA,equity,0.001604,0.010299,0.002146,0.004534,0.015468,0.293137
2025-06-24,NVDA,equity,0.000549,0.010343,0.000206,0.002814,0.022439,0.125404
2025-06-25,NVDA,equity,0.000406,0.005780,0.013002,0.002777,0.039771,0.069816
2025-06-26,NVDA,equity,0.001476,0.022603,0.012369,0.003015,0.092346,0.032653
2025-06-27,NVDA,equity,0.000962,0.006778,0.003800,0.001860,0.017084,0.108875
2025-06-30,NVDA,equity,0.001449,0.007275,0.000048,0.002394,0.021829,0.109685
2025-07-01,NVDA,equity,0.002609,0.006467,0.007362,0.003691,0.032730,0.112755
2025-07-02,NVDA,equity,0.001958,0.006661,0.009545,0.002480,0.041432,0.059867
2025-07-03,NVDA,equity,0.001529,0.005178,0.005856,0.003822,0.049663,0.076956
2025-07-07,NVDA,equity,0.005076,0.009669,0.002165,0.005838,0.012615,0.462770
2025-07-08,NVDA,equity,0.000501,0.012420,0.007335,0.003507,0.011635,0.301450
2025-07-09,NVDA,equity,0.001502,0.007091,0.003995,0.003253,0.037961,0.085699
2025-07-10,NVDA,equity,0.001219,0.012850,0.006000,0.003414,0.016825,0.202903
2025-07-11,NVDA,equity,0.000000,0.005717,0.004940,0.002703,0.078499,0.034436
2025-07-14,NVDA,equity,0.000060,0.007160,0.000293,0.004167,0.024058,0.173215
2025-07-15,NVDA,equity,0.004430,0.030027,0.050616,0.008453,0.054824,0.154182
2025-07-16,NVDA,equity,0.001476,0.011800,0.006229,0.003364,0.014867,0.226307
2025-07-17,NVDA,equity,0.001272,0.013692,0.009054,0.002891,0.014374,0.201133
2025-07-18,NVDA,equity,0.000000,0.007010,0.001615,0.001669,0.013665,0.122121
2025-07-21,NVDA,equity,0.002028,0.009233,0.001568,0.003882,0.009841,0.394508
2025-07-22,NVDA,equity,0.004200,0.019815,0.000527,0.006861,0.046927,0.146216
2025-07-23,NVDA,equity,0.000831,0.010745,0.011136,0.002552,0.015693,0.162622
2025-07-24,NVDA,equity,0.000579,0.009260,0.002662,0.001794,0.165924,0.010811
2025-07-25,NVDA,equity,0.000288,0.010328,0.002477,0.002767,0.010259,0.269696
2025-07-28,NVDA,equity,0.000858,0.005045,0.003559,0.001259,0.018164,0.069319
2025-07-29,NVDA,equity,0.000949,0.021232,0.011644,0.002847,0.035329,0.080584
2025-07-30,NVDA,equity,0.003514,0.013894,0.004659,0.007596,0.031478,0.241297
2025-07-31,NVDA,equity,0.002353,0.018103,0.002516,0.005528,0.032540,0.169878
2025-08-01,NVDA,equity,0.002079,0.020298,0.010240,0.005889,0.036745,0.160281
2025-08-04,NVDA,equity,0.004392,0.010902,0.002680,0.005419,0.066461,0.081541
2025-08-05,NVDA,equity,0.001883,0.008622,0.000055,0.004042,0.036450,0.110887
2025-08-06,NVDA,equity,0.004280,0.018518,0.000170,0.005969,0.021194,0.281625
2025-08-07,NVDA,equity,0.002596,0.017244,0.006926,0.003977,0.024711,0.160923
2025-08-08,NVDA,equity,0.001263,0.010003,0.001212,0.002306,0.011182,0.206223
2025-08-11,NVDA,equity,0.005100,0.009858,0.002141,0.012140,0.025543,0.475290
2025-08-12,NVDA,equity,0.004522,0.022261,0.006534,0.009540,0.024213,0.394008
2025-08-13,NVDA,equity,0.004636,0.018255,0.000273,0.006763,0.014742,0.458764
2025-08-14,NVDA,equity,0.000165,0.005231,0.005739,0.001434,0.016387,0.087507
2025-08-15,NVDA,equity,0.000385,0.005994,0.001705,0.002092,0.019801,0.105643
2025-08-18,NVDA,equity,0.000223,0.007783,0.002381,0.005959,0.021360,0.278979
2025-08-19,NVDA,equity,0.000877,0.007735,0.000549,0.003013,0.030207,0.099759
2025-08-20,NVDA,equity,0.003018,0.009623,0.004566,0.005638,0.044453,0.126827
2025-08-21,NVDA,equity,0.004147,0.027311,0.007289,0.006248,0.017194,0.363392
2025-08-22,NVDA,equity,0.001500,0.012749,0.014690,0.006979,0.056361,0.123833
2025-08-25,NVDA,equity,0.002746,0.007474,0.004207,0.003755,0.018727,0.200511
2025-08-26,NVDA,equity,0.003831,0.011986,0.001497,0.004664,0.012528,0.372292
2025-08-27,NVDA,equity,0.002027,0.014064,0.000713,0.002958,0.031437,0.094086
2025-08-28,NVDA,equity,0.000393,0.016760,0.029671,0.006449,0.034843,0.185098
2025-08-29,NVDA,equity,0.000000,0.014503,0.008175,0.006344,0.069069,0.091851
2025-09-02,NVDA,equity,0.001979,0.007193,0.000124,0.005238,0.073185,0.071573
