date,vix_prior,regime,spy_ret,spy_range,dz_abs_ret,ph_abs_ret
2025-02-11,15.810000,Low (<16),0.004415,0.005692,0.000349,0.000710
2025-02-12,16.020000,Normal (16-20),0.006942,0.010080,0.000265,0.000307
2025-02-13,15.890000,Low (<16),0.008619,0.011150,0.000165,0.001875
2025-02-14,15.100000,Low (<16),-0.000394,0.003148,0.000475,0.000811
2025-02-18,15.370000,Low (<16),0.000769,0.004911,0.000574,0.003216
2025-02-19,15.350000,Low (<16),0.004622,0.006016,0.000000,0.000114
2025-02-20,15.270000,Low (<16),-0.001881,0.007627,0.000840,0.002118
2025-02-21,15.660000,Low (<16),-0.016651,0.017750,0.007647,0.000117
2025-02-24,18.210000,Normal (16-20),-0.008006,0.010863,0.002383,0.004700
2025-02-25,18.980000,Normal (16-20),-0.004923,0.013950,0.000961,0.001881
2025-02-26,19.430000,Normal (16-20),-0.002517,0.012962,0.006914,0.000421
2025-02-27,19.100000,Normal (16-20),-0.019787,0.022401,0.003544,0.006942
2025-02-28,21.130000,Elevated (20-25),0.014533,0.020971,0.004503,0.011321
2025-03-03,19.630000,Normal (16-20),-0.020480,0.029253,0.008346,0.010690
2025-03-04,22.780000,Elevated (20-25),-0.004899,0.022667,0.002639,0.009172
2025-03-05,23.510000,Elevated (20-25),0.011028,0.020463,0.005852,0.000189
2025-03-06,21.930000,Elevated (20-25),-0.004657,0.017470,0.003394,0.001907
2025-03-07,24.870000,Elevated (20-25),0.008670,0.020599,0.009710,0.000122
2025-03-10,23.370000,Elevated (20-25),-0.012051,0.024578,0.003476,0.002592
2025-03-11,27.860000,High (≥25),-0.005864,0.021452,0.008884,0.008186
2025-03-12,26.920000,High (≥25),-0.005799,0.016757,0.004150,0.004045
2025-03-13,24.230000,Elevated (20-25),-0.012498,0.016876,0.002371,0.004566
2025-03-14,24.660000,Elevated (20-25),0.012012,0.022187,0.001228,0.001361
2025-03-17,21.770000,Elevated (20-25),0.007516,0.013078,0.003512,0.003392
2025-03-18,20.510000,Elevated (20-25),-0.006640,0.010552,0.001698,0.000446
2025-03-19,21.700000,Elevated (20-25),0.007427,0.016559,0.004277,0.000106
2025-03-20,19.900000,Normal (16-20),0.004172,0.014146,0.005985,0.002712
2025-03-21,19.800000,Normal (16-20),0.008779,0.012266,0.004827,0.001776
2025-03-24,19.280000,Normal (16-20),0.005641,0.008672,0.001429,0.001186
2025-03-25,17.480000,Normal (16-20),0.000104,0.004728,0.001009,0.002125
2025-03-26,17.150000,Normal (16-20),-0.011214,0.015890,0.002997,0.000986
2025-03-27,18.330000,Normal (16-20),-0.000317,0.010508,0.002113,0.002639
2025-03-28,18.690000,Normal (16-20),-0.017152,0.019800,0.004535,0.000432
2025-03-31,21.650000,Elevated (20-25),0.016951,0.025174,0.000578,0.003212
2025-04-01,22.280000,Elevated (20-25),0.006422,0.016611,0.003864,0.006928
2025-04-02,21.770000,Elevated (20-25),0.017296,0.022719,0.006699,0.002290
2025-04-03,21.510000,Elevated (20-25),-0.013704,0.020308,0.002300,0.008008
2025-04-04,30.020000,High (≥25),-0.034697,0.039739,0.007418,0.000731
2025-04-07,45.310000,High (≥25),0.031399,0.084568,0.012252,0.004263
2025-04-08,46.980000,High (≥25),-0.048136,0.068639,0.027654,0.009551
2025-04-09,52.330000,High (≥25),0.101188,0.107977,0.056478,0.018729
2025-04-10,33.620000,High (≥25),-0.014037,0.045427,0.001465,0.008915
2025-04-11,40.720000,High (≥25),0.020975,0.031280,0.005503,0.000562
2025-04-14,37.560000,High (≥25),-0.009337,0.019153,0.002940,0.004102
2025-04-15,30.890000,High (≥25),-0.003623,0.011896,0.005989,0.001764
2025-04-16,30.120000,High (≥25),-0.011191,0.033094,0.000377,0.003436
2025-04-17,32.640000,High (≥25),-0.002369,0.013750,0.001747,0.007392
2025-04-21,29.650000,High (≥25),-0.013777,0.025405,0.002130,0.009001
2025-04-22,33.820000,High (≥25),0.013073,0.019442,0.006746,0.001654
