date,ticker,am_return,14:30,14:45,15:00,15:15,15:30,15:45
2025-02-19,MSFT,-0.007534,-0.000468,0.000025,-0.000542,-0.001232,-0.001923,-0.001725
2025-02-19,IBIT,-0.004742,0.003482,0.003115,0.003482,0.003299,0.003482,0.004215
2025-02-24,GS,-0.013117,0.009282,0.010053,0.009725,0.009282,0.007674,0.008380
2025-02-24,AVGO,-0.012426,0.015426,0.014958,0.012995,0.014724,0.014397,0.016641
2025-02-25,PLTR,-0.025372,0.026146,0.034295,0.046293,0.045161,0.049915,0.043350
2025-02-25,COIN,-0.021457,0.009338,0.009292,0.009756,0.013473,0.016585,0.015749
2025-02-28,MARA,-0.022359,-0.003155,-0.000789,0.011830,0.007098,0.014196,0.018139
2025-02-28,IBIT,-0.018479,-0.000657,-0.001313,0.007881,0.007224,0.010508,0.016637
2025-03-04,MSFT,-0.016450,-0.007515,-0.008376,-0.008376,-0.010359,-0.009498,-0.007071
2025-03-04,TXN,-0.008486,-0.000371,0.004133,0.003974,0.003073,0.011764,0.016639
2025-03-07,C,-0.029282,0.040180,0.038975,0.035964,0.036716,0.039427,0.032049
2025-03-07,MSFT,-0.009300,-0.000967,-0.001501,-0.002671,-0.001526,0.001221,-0.000483
2025-03-10,MARA,-0.019646,0.025384,0.024048,0.027388,0.020040,0.012692,0.014028
2025-03-10,IBIT,-0.015961,0.014057,0.017517,0.029628,0.023789,0.016220,0.020545
2025-03-11,TXN,-0.048642,0.048251,0.047213,0.047905,0.007153,0.004471,0.001705
2025-03-11,V,-0.012441,0.024420,0.023757,0.021827,0.017818,0.017426,0.016552
2025-03-13,TSLA,-0.037211,0.011377,0.008543,0.007516,0.006284,0.019469,0.009981
2025-03-13,BIDU,-0.020047,0.023939,0.021763,0.017519,0.013275,0.017737,0.015560
2025-03-27,C,-0.011850,0.000693,0.015346,0.015488,0.014919,0.014208,0.012928
2025-03-27,MSFT,-0.003031,-0.003968,-0.002577,-0.002808,-0.002731,-0.001623,-0.002834
2025-03-28,C,-0.017881,-0.003556,-0.004764,0.021132,0.020840,0.018360,0.017776
2025-03-28,TXN,-0.014193,0.016324,-0.004912,0.020635,-0.002568,0.012129,0.011955
2025-03-31,COIN,-0.008029,-0.005178,-0.002857,-0.003631,-0.005118,0.000774,0.009939
2025-03-31,IBIT,-0.007892,0.000430,0.003010,0.002580,0.001075,0.003870,0.007525
2025-04-03,TXN,-0.031920,0.042615,0.043607,0.045964,0.037095,0.034118,0.032753
2025-04-03,SNOW,-0.029717,0.035470,0.035185,0.035114,0.042735,0.039815,0.032764
2025-04-04,BIDU,-0.026570,0.032258,0.022457,0.014392,0.024194,0.031886,0.028288
2025-04-04,MSFT,-0.012337,-0.035754,-0.035291,-0.029782,-0.025500,-0.012982,-0.005427
2025-04-07,MU,-0.057197,0.032580,0.028424,0.031084,0.022274,0.045213,0.055186
2025-04-07,AVGO,-0.040145,0.015741,0.012259,0.022196,0.013782,0.035398,0.036559
2025-04-09,AMD,0.001262,-0.031266,-0.030131,-0.030509,-0.033283,-0.031014,-0.023701
2025-04-09,AVGO,0.002068,-0.033089,-0.030024,-0.030712,-0.035091,-0.037843,-0.027147
2025-04-11,AMD,-0.025633,0.015761,0.011453,0.015081,0.014854,0.023359,0.026420
2025-04-11,SNOW,-0.020909,0.017989,0.013431,0.016937,0.017007,0.020444,0.022899
2025-04-15,AVGO,-0.005933,-0.001858,-0.004505,-0.003829,-0.003942,-0.007883,-0.003660
2025-04-15,C,-0.005363,0.001607,0.000000,-0.002249,-0.000803,0.002731,0.003213
2025-04-16,MSFT,-0.010536,-0.002261,0.000342,0.000762,-0.000710,-0.000184,-0.005574
2025-04-16,GOOGL,-0.009287,-0.005208,-0.004947,-0.005533,-0.004817,-0.004166,-0.006444
2025-04-21,COST,-0.029230,0.025923,0.024838,0.024828,0.026695,0.026695,0.026226
2025-04-21,V,-0.028465,0.022719,0.023034,0.023034,0.024610,0.025240,0.023066
2025-04-30,MSFT,-0.004936,0.000614,-0.000486,-0.001841,-0.003349,-0.006494,-0.011224
2025-04-30,META,0.000073,-0.003078,-0.002550,-0.003224,-0.006866,-0.009343,-0.017266
2025-05-15,NVDA,-0.026448,0.016269,0.016345,0.016042,0.014756,0.020204,0.015210
2025-05-15,TSLA,-0.023708,0.011342,0.009477,0.010158,0.008440,0.015785,0.009684
2025-05-19,SNOW,-0.016931,0.004641,0.006151,0.008332,0.007717,0.008164,0.006878
