date,half,ticker,direction,close,ema9,ema21
2025-02-03,PM,AAPL,DOWN,228.7600,230.0400,230.2145
2025-02-07,PM,AAPL,UP,231.2500,229.5649,229.4922
2025-02-10,AM,AAPL,DOWN,227.9200,229.2360,229.3492
2025-02-13,AM,AAPL,UP,235.3500,230.1710,229.5797
2025-03-04,AM,AAPL,DOWN,237.3300,239.5650,239.6458
2025-03-26,PM,AAPL,UP,223.5400,219.2377,219.1445
2025-03-31,AM,AAPL,DOWN,215.5900,219.2620,219.2954
2025-04-02,AM,AAPL,UP,220.9800,219.2661,219.2161
2025-04-03,AM,AAPL,DOWN,206.3100,216.8723,218.1489
2025-04-23,PM,AAPL,UP,205.9900,198.7654,198.1135
2025-05-06,AM,AAPL,DOWN,196.7700,203.6614,203.7676
2025-05-12,PM,AAPL,UP,210.6400,203.3589,202.6723
2025-05-22,AM,AAPL,DOWN,201.7100,205.9605,206.1738
2025-06-09,AM,AAPL,UP,204.0600,202.0612,201.9328
2025-06-10,PM,AAPL,DOWN,200.7700,201.8871,201.9098
2025-06-11,AM,AAPL,UP,202.1100,201.9317,201.9280
2025-06-12,AM,AAPL,DOWN,198.4300,201.3687,201.6813
2025-06-24,AM,AAPL,UP,203.7500,199.3098,199.2600
2025-07-31,PM,AAPL,DOWN,208.8600,211.0778,211.3714
2025-08-07,PM,AAPL,UP,218.1900,210.3927,209.8369
2025-09-11,PM,AAPL,DOWN,227.1600,232.4778,232.7910
2025-09-15,PM,AAPL,UP,236.7100,233.0233,232.8345
2025-10-13,PM,AAPL,DOWN,248.4500,252.6574,252.9784
2025-10-21,AM,AAPL,UP,260.6500,252.6110,251.7006
2025-11-19,PM,AAPL,DOWN,266.4500,269.0001,269.3433
2025-11-24,PM,AAPL,UP,271.7200,269.5358,269.3534
2025-12-16,AM,AAPL,DOWN,273.0400,277.2806,277.7474
2026-01-29,AM,AAPL,UP,257.4500,254.8216,254.6615
2026-02-14,AM,AAPL,DOWN,255.3000,266.9274,267.9012
2026-02-25,AM,AAPL,UP,271.3900,265.7033,265.1442
2026-03-02,PM,AAPL,DOWN,261.5000,266.3523,266.5606
2025-02-03,PM,AMD,DOWN,113.3300,113.8580,113.9300
2025-02-04,AM,AMD,UP,115.9000,114.2664,114.1091
2025-02-05,AM,AMD,DOWN,109.3500,113.4693,113.7856
2025-02-18,AM,AMD,UP,113.8100,111.9191,111.7251
2025-02-25,AM,AMD,DOWN,107.1800,112.0700,112.4145
2025-03-18,PM,AMD,UP,103.7200,101.6620,101.3890
2025-03-31,PM,AMD,DOWN,100.3000,105.2639,105.7895
2025-04-25,PM,AMD,UP,93.3000,90.9566,90.7982
2025-08-20,AM,AMD,DOWN,165.0500,174.0950,174.1166
2025-09-24,AM,AMD,UP,161.8600,159.2677,159.1041
2025-11-07,PM,AMD,DOWN,231.4500,245.5238,247.1417
2025-11-13,AM,AMD,UP,256.7800,248.4199,247.4733
