date,ticker,datetime,zone,direction,close,roll_high,roll_low,false_breakout
2025-02-03,AAPL,2025-02-03 10:00:00,Zone2_10-12,DOWN,226.3926,230.5850,227.5414,1
2025-02-03,AAPL,2025-02-03 10:10:00,Zone2_10-12,DOWN,225.4227,230.2269,226.1987,1
2025-02-03,AAPL,2025-02-03 11:00:00,Zone2_10-12,UP,230.4500,229.0333,226.6512,0
2025-02-04,AAPL,2025-02-04 11:00:00,Zone2_10-12,DOWN,225.5600,230.3053,228.9836,0
2025-02-05,AAPL,2025-02-05 11:00:00,Zone2_10-12,DOWN,225.6800,228.8643,227.6210,0
2025-02-07,AAPL,2025-02-07 10:00:00,Zone2_10-12,DOWN,229.8141,232.7433,230.8436,0
2025-02-07,AAPL,2025-02-07 11:00:00,Zone2_10-12,UP,231.8500,230.0260,227.8895,0
2025-02-11,AAPL,2025-02-11 10:25:00,Zone2_10-12,UP,232.3417,231.4107,228.3734,0
2025-02-11,AAPL,2025-02-11 11:00:00,Zone2_10-12,DOWN,226.1000,233.6760,231.8240,0
2025-02-12,AAPL,2025-02-12 10:20:00,Zone2_10-12,UP,232.8593,232.0331,230.3702,1
2025-02-12,AAPL,2025-02-12 15:30:00,Zone5_1445-16,DOWN,230.5100,232.1100,231.3100,1
2025-02-13,AAPL,2025-02-13 11:00:00,Zone2_10-12,DOWN,235.1000,238.4853,236.7129,0
2025-02-14,AAPL,2025-02-14 11:00:00,Zone2_10-12,DOWN,240.8000,243.3345,242.1396,0
2025-02-24,AAPL,2025-02-24 11:00:00,Zone2_10-12,DOWN,244.2100,246.8933,244.9575,0
2025-02-24,AAPL,2025-02-24 13:00:00,Zone3_12-1330,DOWN,241.9600,244.2400,244.1500,0
2025-02-25,AAPL,2025-02-25 11:00:00,Zone2_10-12,UP,246.1200,245.3060,243.8622,0
2025-02-26,AAPL,2025-02-26 11:00:00,Zone2_10-12,UP,245.5400,242.6773,240.9746,0
2025-03-05,AAPL,2025-03-05 11:00:00,Zone2_10-12,UP,236.3200,232.2023,229.8126,0
2025-03-06,AAPL,2025-03-06 11:00:00,Zone2_10-12,DOWN,234.0900,236.8424,235.2194,0
2025-03-07,AAPL,2025-03-07 11:00:00,Zone2_10-12,DOWN,233.2900,239.1326,236.0060,0
2025-03-10,AAPL,2025-03-10 10:50:00,Zone2_10-12,DOWN,225.2870,228.5182,226.3973,1
2025-03-10,AAPL,2025-03-10 11:00:00,Zone2_10-12,UP,236.3400,228.5182,224.4058,0
2025-03-11,AAPL,2025-03-11 10:00:00,Zone2_10-12,DOWN,219.1484,224.8737,220.8113,1
2025-03-11,AAPL,2025-03-11 11:00:00,Zone2_10-12,UP,226.1600,221.9962,219.9453,0
2025-03-12,AAPL,2025-03-12 10:20:00,Zone2_10-12,DOWN,218.1627,220.8013,219.0986,0
2025-03-12,AAPL,2025-03-12 11:00:00,Zone2_10-12,UP,219.1800,218.4614,215.0759,0
2025-03-14,AAPL,2025-03-14 10:10:00,Zone2_10-12,DOWN,209.4600,212.3875,210.0973,1
2025-03-17,AAPL,2025-03-17 10:55:00,Zone2_10-12,DOWN,210.4856,212.6563,211.1538,1
2025-03-19,AAPL,2025-03-19 11:00:00,Zone2_10-12,DOWN,212.0100,216.2905,214.5283,0
2025-03-21,AAPL,2025-03-21 13:30:00,Zone4_1330-1445,DOWN,210.7900,212.9600,212.7200,0
2025-03-25,AAPL,2025-03-25 11:00:00,Zone2_10-12,DOWN,219.8400,222.7928,221.3490,0
2025-03-28,AAPL,2025-03-28 10:15:00,Zone2_10-12,DOWN,219.5367,222.8525,220.7515,0
2025-03-28,AAPL,2025-03-28 11:00:00,Zone2_10-12,UP,221.4900,219.7060,218.6804,0
2025-03-31,AAPL,2025-03-31 11:00:00,Zone2_10-12,DOWN,214.9400,218.7501,217.3916,0
2025-04-02,AAPL,2025-04-02 11:00:00,Zone2_10-12,DOWN,221.4900,223.4997,222.6982,0
2025-04-03,AAPL,2025-04-03 10:25:00,Zone2_10-12,UP,204.7553,204.0732,202.3008,1
2025-04-03,AAPL,2025-04-03 11:00:00,Zone2_10-12,UP,209.6000,205.5867,202.4999,0
2025-04-03,AAPL,2025-04-03 14:10:00,Zone4_1330-1445,UP,207.4500,206.5200,205.7800,1
2025-04-04,AAPL,2025-04-04 10:40:00,Zone2_10-12,DOWN,192.7618,196.8642,193.5484,1
2025-04-04,AAPL,2025-04-04 10:45:00,Zone2_10-12,DOWN,191.3578,196.8642,192.6025,1
2025-04-04,AAPL,2025-04-04 11:00:00,Zone2_10-12,UP,201.6700,195.2511,190.2426,0
2025-04-04,AAPL,2025-04-04 13:05:00,Zone3_12-1330,DOWN,199.2500,200.7000,200.1400,0
2025-04-04,AAPL,2025-04-04 13:10:00,Zone3_12-1330,DOWN,196.1700,200.7000,199.2400,0
2025-04-04,AAPL,2025-04-04 14:20:00,Zone4_1330-1445,DOWN,190.7200,194.3400,191.9100,1
2025-04-07,AAPL,2025-04-07 10:10:00,Zone2_10-12,UP,188.0022,181.1915,173.8729,1
2025-04-08,AAPL,2025-04-08 11:00:00,Zone2_10-12,DOWN,183.3500,189.1174,185.3835,0
2025-04-09,AAPL,2025-04-09 10:30:00,Zone2_10-12,UP,179.3195,178.6524,175.9640,1
2025-04-09,AAPL,2025-04-09 11:00:00,Zone2_10-12,DOWN,174.8100,179.6481,176.0735,0
