date,ticker,fh_high,fh_low,fh_range,day_high,day_low,day_range,width_ratio,width_class,broke_high,broke_low,breakout
2025-02-03,AAPL,230.5850,225.4179,5.1671,234.7300,225.4179,9.3121,0.5549,Medium,1,0,Single
2025-02-04,AAPL,229.1744,225.4328,3.7416,230.3053,224.8400,5.4653,0.6846,Wide,1,1,Double
2025-02-05,AAPL,229.3812,227.0441,2.3371,231.5500,223.8100,7.7400,0.3020,Medium,1,1,Double
2025-02-06,AAPL,232.5444,229.5399,3.0045,232.5444,229.1875,3.3569,0.8950,Wide,0,1,Single
2025-02-07,AAPL,232.7433,228.6454,4.0979,232.7433,227.8895,4.8538,0.8443,Wide,0,1,Single
2025-02-10,AAPL,229.5985,227.8212,1.7773,229.5985,226.4800,3.1185,0.5699,Medium,0,1,Single
2025-02-11,AAPL,232.4911,227.1540,5.3371,236.5200,225.0300,11.4900,0.4645,Medium,1,1,Double
2025-02-12,AAPL,233.0487,229.6931,3.3556,233.8353,229.5200,4.3153,0.7776,Wide,1,1,Double
2025-02-13,AAPL,237.9775,234.5622,3.4153,238.4853,231.7600,6.7253,0.5078,Medium,1,1,Double
2025-02-14,AAPL,244.0016,239.9590,4.0426,244.0016,239.4100,4.5916,0.8804,Wide,0,1,Single
2025-02-18,AAPL,244.1311,241.8211,2.3100,244.8300,240.3400,4.4900,0.5145,Medium,1,1,Double
2025-02-19,AAPL,244.9575,242.7470,2.2105,244.9575,232.2200,12.7375,0.1735,Narrow,0,1,Single
2025-02-20,AAPL,245.7242,243.2449,2.4793,245.7242,242.4600,3.2642,0.7595,Wide,0,1,Single
2025-02-21,AAPL,245.8835,244.1709,1.7126,245.8835,243.7900,2.0935,0.8181,Wide,0,1,Single
2025-02-24,AAPL,247.7953,243.3743,4.4210,247.7953,240.5200,7.2753,0.6077,Wide,0,1,Single
2025-02-25,AAPL,248.4525,243.8622,4.5903,248.4525,243.4200,5.0325,0.9121,Wide,0,1,Single
2025-02-26,AAPL,243.9319,240.3872,3.5447,246.1900,240.3872,5.8028,0.6109,Wide,1,0,Single
2025-02-27,AAPL,241.2475,237.4498,3.7977,243.7600,237.4498,6.3102,0.6018,Wide,1,0,Single
2025-02-28,AAPL,236.7926,229.2152,7.5774,243.4200,229.2152,14.2048,0.5334,Medium,1,0,Single
2025-03-03,AAPL,242.9832,238.7990,4.1842,242.9832,238.7990,4.1842,1.0000,Wide,0,0,None
2025-03-04,AAPL,238.3658,235.3289,3.0369,238.8300,235.3289,3.5011,0.8674,Wide,1,0,Single
2025-03-05,AAPL,234.9406,229.5338,5.4068,238.7000,229.5338,9.1662,0.5899,Medium,1,0,Single
2025-03-06,AAPL,236.1553,232.5409,3.6144,236.8424,232.2600,4.5824,0.7888,Wide,1,1,Double
2025-03-07,AAPL,238.4146,233.7557,4.6589,239.1326,233.1500,5.9826,0.7787,Wide,1,1,Double
2025-03-10,AAPL,235.1497,227.5424,7.6073,238.0500,224.4058,13.6442,0.5575,Medium,1,1,Double
2025-03-11,AAPL,224.8737,219.0688,5.8049,227.2500,219.0688,8.1812,0.7095,Wide,1,0,Single
2025-03-12,AAPL,220.8013,217.8938,2.9075,221.5000,215.0759,6.4241,0.4526,Medium,1,1,Double
2025-03-13,AAPL,215.9117,213.3035,2.6082,216.0500,212.7360,3.3140,0.7870,Wide,1,1,Double
2025-03-14,AAPL,212.5169,208.6834,3.8335,240.8100,208.6834,32.1266,0.1193,Narrow,1,0,Single
2025-03-17,AAPL,214.0503,211.2623,2.7880,214.0503,210.4035,3.6468,0.7645,Wide,0,1,Single
2025-03-18,AAPL,214.2295,212.0390,2.1905,214.2295,212.0390,2.1905,1.0000,Wide,0,0,None
