Datetime,Open,High,Low,Close,Volume,ema9,ema21,rsi14,adx14,pdi14,mdi14,squeeze_on
2025-02-03 09:30:00,199.8963,201.2209,199.3086,200.3396,1745639,,,,,,,0
2025-02-03 09:35:00,200.3230,202.2270,200.2050,201.9581,809536,,,,,,,0
2025-02-03 09:40:00,201.9680,202.0178,200.7130,200.9720,478768,,,,,,,0
2025-02-03 09:45:00,200.9919,201.0118,199.7269,200.4839,559030,,,,,,,0
2025-02-03 09:50:00,200.4889,201.3405,200.4242,201.3007,526117,,,,,,,0
2025-02-03 09:55:00,201.3007,201.6593,200.7927,201.1612,447703,,,,,,,0
2025-02-03 10:00:00,201.2061,201.2061,200.2150,200.6383,448303,,,,,,,0
2025-02-03 10:05:00,200.6234,201.3405,200.5038,201.1911,297532,,,,,,,0
2025-02-03 10:10:00,201.1413,201.1711,200.2548,200.3755,345437,200.9356,,,,,,0
2025-02-03 10:15:00,200.3644,200.3843,199.7369,199.7369,301967,200.6959,,,,,,0
2025-02-03 10:20:00,199.7269,201.6344,199.5476,201.4700,545353,200.8507,,,,,,0
2025-02-03 10:25:00,201.4999,202.1971,200.8325,201.7389,470154,201.0283,,,,,,0
2025-02-03 10:30:00,201.7140,202.1971,201.1015,201.5696,408310,201.1366,,,,,,0
2025-02-03 10:35:00,201.5696,202.1174,201.2110,201.9481,322452,201.2989,,,,,,0
2025-02-03 10:40:00,201.9481,202.5252,199.8560,201.9581,501485,201.4307,,58.86,,20.08,20.56,0
2025-02-03 10:45:00,201.9581,202.0597,201.3206,201.6493,338410,201.4744,,56.79,,19.23,19.68,0
2025-02-03 10:50:00,201.6991,201.6991,201.3804,201.5696,218491,201.4935,,56.24,,18.86,19.30,0
2025-02-03 10:55:00,201.5497,201.8784,201.4680,201.5397,244870,201.5027,,56.02,,19.51,18.80,0
2025-02-03 11:00:00,199.2200,199.3000,197.4800,199.2100,20330,201.0442,,42.24,,15.26,36.10,0
2025-02-03 11:05:00,199.2200,199.3500,199.0400,199.1700,8331,200.6693,,42.04,,15.27,35.47,1
2025-02-03 11:10:00,199.1500,199.2100,198.5400,198.7200,12264,200.2795,200.8905,39.86,,14.67,37.01,1
2025-02-03 11:15:00,198.7200,198.8100,198.2700,198.2700,4229,199.8776,200.6523,37.74,,14.19,37.44,1
2025-02-03 11:20:00,198.3200,198.5000,198.0400,198.2900,12967,199.5601,200.4375,37.90,,13.77,37.81,1
2025-02-03 11:25:00,198.2100,198.5600,198.1700,198.5200,9261,199.3521,200.2632,39.79,,13.81,36.82,1
2025-02-03 11:30:00,198.5400,199.0300,198.5400,198.9600,5886,199.2736,200.1447,43.34,,16.60,35.51,1
2025-02-03 11:35:00,198.9200,199.1100,198.8100,198.8200,4643,199.1829,200.0243,42.48,,16.82,34.73,0
2025-02-03 11:40:00,198.9200,198.9400,198.4400,198.6000,2700,199.0663,199.8948,41.10,,16.18,36.22,0
2025-02-03 11:45:00,198.5300,198.6100,198.3500,198.3800,2045,198.9291,199.7571,39.72,,15.84,36.19,0
2025-02-03 11:50:00,198.3800,198.5600,198.3200,198.4600,3139,198.8353,199.6392,40.50,30.26,15.52,35.71,0
2025-02-03 11:55:00,198.4700,198.5700,198.4500,198.5500,793,198.7782,199.5402,41.43,30.89,15.44,35.32,0
2025-02-03 12:00:00,198.5100,198.6100,198.3000,198.3200,8037,198.6866,199.4292,39.73,31.60,14.99,35.70,0
2025-02-03 12:05:00,198.3200,198.6200,198.3200,198.6200,4629,198.6732,199.3557,43.01,32.24,14.65,34.65,0
2025-02-03 12:10:00,198.6600,199.0100,198.6600,198.9800,10438,198.7346,199.3215,46.76,32.06,18.03,33.27,0
2025-02-03 12:15:00,198.9800,199.0700,198.7100,198.7700,6029,198.7417,199.2714,44.91,31.78,17.98,32.01,0
2025-02-03 12:20:00,198.7700,198.9300,198.7200,198.8500,1386,198.7633,199.2331,45.79,31.51,17.56,31.26,0
2025-02-03 12:25:00,198.8500,199.0100,198.8100,198.9100,2816,198.7927,199.2037,46.48,31.09,18.09,30.54,0
2025-02-03 12:30:00,199.0100,199.2800,198.9800,199.0300,9446,198.8401,199.1879,47.92,30.11,20.52,29.18,0
2025-02-03 12:35:00,199.0600,199.2100,199.0300,199.1200,5813,198.8961,199.1817,49.02,29.21,20.06,28.52,1
2025-02-03 12:40:00,199.1100,199.4300,199.1100,199.4300,8454,199.0029,199.2043,52.73,27.88,22.09,27.33,1
2025-02-03 12:45:00,199.4300,199.4700,199.2100,199.2900,2215,199.0603,199.2121,50.93,26.55,21.85,26.36,1
2025-02-03 12:50:00,199.3300,199.4000,199.2600,199.3200,1951,199.1122,199.2219,51.31,25.32,21.42,25.84,1
2025-02-03 12:55:00,199.3300,199.4600,199.3100,199.4000,3850,199.1698,199.2381,52.39,24.03,21.84,25.25,1
2025-02-03 13:00:00,199.4300,199.5000,199.3500,199.4100,4017,199.2178,199.2537,52.53,22.73,21.95,24.65,1
2025-02-03 13:05:00,199.4100,199.4800,199.3100,199.4000,2171,199.2543,199.2670,52.36,21.62,21.33,24.62,1
2025-02-03 13:10:00,199.4500,199.4900,199.4000,199.4400,888,199.2914,199.2828,53.00,20.56,21.17,24.23,0
2025-02-03 13:15:00,199.4400,199.4500,199.3200,199.3900,3543,199.3111,199.2925,52.06,19.78,20.66,25.13,0
2025-02-03 13:20:00,199.3600,199.3800,199.2600,199.2900,1912,199.3069,199.2923,50.13,19.23,20.14,25.66,0
2025-02-03 13:25:00,199.3500,199.3500,199.1800,199.2400,3478,199.2935,199.2875,49.16,18.94,19.45,26.39,0
2025-02-03 13:30:00,199.2300,199.3100,199.1900,199.2200,2290,199.2788,199.2814,48.75,18.67,18.96,25.72,0
2025-02-03 13:35:00,199.2200,199.3500,199.2100,199.2700,1016,199.2771,199.2803,49.87,18.25,19.26,24.93,0
2025-02-03 13:40:00,199.3200,199.3200,199.0100,199.1100,3736,199.2436,199.2649,46.36,18.47,17.94,27.64,1
2025-02-03 13:45:00,199.1000,199.3300,199.1000,199.2300,3123,199.2409,199.2617,49.25,18.62,17.23,26.21,1
2025-02-03 13:50:00,199.2400,199.3100,199.0400,199.0400,628,199.2007,199.2415,45.11,18.95,16.17,25.96,1
2025-02-03 13:55:00,199.1100,199.1700,199.0400,199.0900,1955,199.1786,199.2278,46.39,19.26,15.67,25.16,1
2025-02-03 14:00:00,199.1500,199.4500,199.0100,199.4300,19173,199.2289,199.2461,54.18,18.23,20.53,22.60,1
2025-02-03 14:05:00,199.4400,199.4900,199.2300,199.3500,10187,199.2531,199.2556,52.26,17.10,20.22,21.23,1
2025-02-03 14:10:00,199.3800,199.7100,199.2300,199.6900,8561,199.3405,199.2951,58.94,16.57,22.98,18.95,1
2025-02-03 14:15:00,199.6300,199.8600,199.3100,199.3200,7446,199.3364,199.2973,50.64,16.58,23.48,16.73,1
2025-02-03 14:20:00,199.3300,199.7500,199.3300,199.6000,7015,199.3891,199.3249,55.72,16.60,21.37,15.22,1
2025-02-03 14:25:00,199.6500,200.1600,199.5600,200.0200,7345,199.5153,199.3881,62.03,17.81,26.96,13.41,1
2025-02-03 14:30:00,199.9600,199.9900,199.3100,199.3800,5516,199.4882,199.3873,50.27,17.82,23.41,16.28,1
2025-02-03 14:35:00,199.4000,199.4400,199.1400,199.2200,4690,199.4346,199.3721,47.83,17.16,22.09,18.56,1
2025-02-03 14:40:00,199.2100,199.3400,199.0700,199.2600,3788,199.3997,199.3619,48.50,16.29,20.94,18.95,1
2025-02-03 14:45:00,199.2100,199.3700,199.0100,199.2200,5058,199.3637,199.3490,47.84,15.26,19.49,18.79,1
2025-02-03 14:50:00,199.2300,199.3800,199.1500,199.2200,2516,199.3350,199.3373,47.84,14.34,18.80,17.93,1
2025-02-03 14:55:00,199.2400,199.3300,199.1600,199.2600,2472,199.3200,199.3303,48.65,13.48,18.14,17.31,1
2025-02-03 15:00:00,198.9500,203.2100,196.7200,199.7100,122921,199.3980,199.3648,56.84,17.63,42.71,7.10,1
2025-02-03 15:05:00,199.7100,203.2100,199.3800,199.7100,19964,199.4604,199.3962,56.84,21.48,31.06,5.16,1
2025-02-03 15:10:00,199.7200,200.3500,199.6300,200.3500,16085,199.6383,199.4829,65.82,25.05,29.44,4.89,1
2025-02-03 15:15:00,200.3500,200.3500,199.8400,199.9100,22174,199.6927,199.5217,57.03,28.37,28.31,4.70,1
2025-02-03 15:20:00,199.9500,199.9800,199.3700,199.7800,21896,199.7101,199.5452,54.71,30.18,26.97,8.11,1
2025-02-03 15:25:00,199.7800,199.8600,199.4900,199.5600,5275,199.6801,199.5465,50.92,31.87,26.17,7.87,1
2025-02-03 15:30:00,199.5600,199.7300,199.4400,199.4800,7362,199.6401,199.5405,49.58,33.29,25.53,8.10,1
2025-02-03 15:35:00,199.6100,199.6100,199.2000,199.3700,13358,199.5861,199.5250,47.72,33.95,24.60,9.92,1
2025-02-03 15:40:00,199.3300,199.4900,199.2100,199.3900,8922,199.5468,199.5127,48.10,34.57,23.97,9.66,1
2025-02-03 15:45:00,199.3700,199.5700,199.0600,199.3200,19425,199.5015,199.4952,46.81,34.70,22.81,10.62,1
2025-02-03 15:50:00,199.2200,199.7300,199.0700,199.5500,39058,199.5112,199.5002,51.42,35.04,22.90,9.95,1
2025-02-03 15:55:00,199.5800,199.8800,199.4600,199.7100,8960,199.5509,199.5193,54.38,35.55,23.43,9.53,1
2025-02-04 09:30:00,202.5856,203.5517,202.1374,202.6155,1663363,200.1639,199.8007,79.18,38.26,44.33,6.77,1
2025-02-04 09:35:00,202.6055,203.1932,202.0079,203.0238,556356,200.7358,200.0937,80.76,40.53,40.44,7.14,1
2025-02-04 09:40:00,203.0039,203.3625,202.6852,202.9940,432528,201.1875,200.3574,80.28,42.69,39.64,6.77,1
2025-02-04 09:45:00,203.0089,203.0288,202.2270,202.4262,379489,201.4352,200.5455,71.56,43.79,37.21,9.86,1
