Datetime,Open,High,Low,Close,Volume,ema9,ema21,rsi14,adx14,pdi14,mdi14,squeeze_on
2025-02-03 09:30:00,610.3917,613.2194,608.4416,612.2151,129812,,,,,,,0
2025-02-03 09:35:00,612.2053,612.5759,608.4416,609.1729,57664,,,,,,,0
2025-02-03 09:40:00,609.0559,610.2473,608.1440,608.5098,57256,,,,,,,0
2025-02-03 09:45:00,608.7146,611.1607,606.9595,610.1382,68253,,,,,,,0
2025-02-03 09:50:00,610.1967,611.5325,609.6214,609.9237,50601,,,,,,,0
2025-02-03 09:55:00,610.7135,611.8836,610.2007,610.4959,38945,,,,,,,0
2025-02-03 10:00:00,609.7189,612.4004,609.4166,611.3765,34238,,,,,,,0
2025-02-03 10:05:00,611.4253,614.3115,611.0006,613.9800,51228,,,,,,,0
2025-02-03 10:10:00,613.6874,614.4675,612.5320,613.4534,45289,611.0295,,,,,,0
2025-02-03 10:15:00,613.3510,613.7947,611.0060,611.0645,31351,611.0365,,,,,,0
2025-02-03 10:20:00,610.8305,617.0807,609.8944,615.6181,61838,611.9528,,,,,,0
2025-02-03 10:25:00,616.4176,619.0307,614.6235,618.2605,28135,613.2144,,,,,,0
2025-02-03 10:30:00,618.5335,619.1673,617.3537,618.1435,27853,614.2002,,,,,,0
2025-02-03 10:35:00,618.4263,618.5043,616.7638,617.5390,24326,614.8679,,,,,,0
2025-02-03 10:40:00,617.2464,620.4447,617.1148,619.2453,27110,615.7434,,65.87,,23.06,10.00,0
2025-02-03 10:45:00,618.8017,618.8065,617.2172,618.5628,22066,616.3073,,63.76,,21.97,9.53,0
2025-02-03 10:50:00,619.0016,620.3715,618.7749,618.9918,20358,616.8442,,64.53,,24.78,9.11,0
2025-02-03 10:55:00,618.9821,620.6104,618.9821,620.2886,19232,617.5331,,66.83,,24.37,8.74,0
2025-02-03 11:00:00,614.7700,616.6700,608.9800,609.4500,1466,615.9165,,42.21,,18.70,27.30,0
2025-02-03 11:05:00,612.1500,612.3400,609.8500,609.8500,775,614.7032,,43.04,,17.57,25.66,1
2025-02-03 11:10:00,609.8700,611.3800,609.8700,611.3800,9814,614.0385,613.6981,46.24,,16.99,24.80,1
2025-02-03 11:15:00,611.2200,612.3100,610.6900,612.3100,137,613.6928,613.5719,48.14,,18.46,23.90,1
2025-02-03 11:20:00,611.0700,611.7000,611.0500,611.7000,85,613.2943,613.4017,46.97,,17.92,23.19,1
2025-02-03 11:25:00,611.1900,611.7000,610.7200,610.7200,55,612.7794,613.1579,45.06,,17.48,23.45,1
2025-02-03 11:30:00,612.1300,613.6100,612.1300,613.1800,85,612.8595,613.1599,50.49,,20.95,21.77,1
2025-02-03 11:35:00,611.4400,613.5100,611.4400,613.5100,14,612.9896,613.1918,51.19,,19.86,22.37,1
2025-02-03 11:40:00,622.4630,622.5605,620.6982,621.9853,38521,614.7888,613.9912,64.86,,35.68,17.96,1
2025-02-03 11:45:00,612.3500,613.1500,612.3400,612.3400,35,614.2990,613.8411,48.28,,29.09,30.65,1
2025-02-03 11:50:00,621.0346,621.7805,620.6884,620.7762,13548,615.5944,614.4715,58.32,22.21,39.25,25.65,1
2025-02-03 11:55:00,611.8500,612.0600,611.6100,611.8600,91,614.8476,614.2341,47.77,20.91,33.53,36.34,1
2025-02-03 12:00:00,611.8600,611.8600,611.4500,611.4500,43,614.1680,613.9810,47.34,19.73,33.30,36.36,1
2025-02-03 12:05:00,611.4700,611.6300,611.4700,611.6300,23,613.6604,613.7673,47.56,18.64,33.19,36.24,1
2025-02-03 12:10:00,611.6700,611.6700,611.4500,611.4500,24,613.2183,613.5566,47.35,17.61,33.12,36.08,1
