Datetime,Open,High,Low,Close,Volume,ema9,ema21,rsi14,adx14,pdi14,mdi14,squeeze_on
2025-02-03 09:30:00,53.9700,54.8100,53.6900,54.6964,3979327,,,,,,,0
2025-02-03 09:35:00,54.6937,54.9450,54.3700,54.9400,2090968,,,,,,,0
2025-02-03 09:40:00,54.9400,54.9600,54.6000,54.7500,1444229,,,,,,,0
2025-02-03 09:45:00,54.7600,54.8400,54.4851,54.6826,1589786,,,,,,,0
2025-02-03 09:50:00,54.6800,54.7600,54.4200,54.5450,1367579,,,,,,,0
2025-02-03 09:55:00,54.5300,55.0800,54.4300,55.0000,1501380,,,,,,,0
2025-02-03 10:00:00,54.9900,55.0400,54.7200,54.8100,1301770,,,,,,,0
2025-02-03 10:05:00,54.8099,55.2400,54.7900,55.1300,1289208,,,,,,,0
2025-02-03 10:10:00,55.1300,55.2200,55.0300,55.0800,854514,54.8482,,,,,,0
2025-02-03 10:15:00,55.0900,55.3650,55.0000,55.2500,1101637,54.9286,,,,,,0
2025-02-03 10:20:00,55.2550,55.8600,55.2550,55.7900,1871262,55.1009,,,,,,0
2025-02-03 10:25:00,55.7850,56.1600,55.7800,56.0500,1674018,55.2907,,,,,,0
2025-02-03 10:30:00,56.0400,56.0964,55.7100,56.0482,1134188,55.4422,,,,,,0
2025-02-03 10:35:00,56.0499,56.0900,55.7900,55.8200,1137915,55.5178,,,,,,0
2025-02-03 10:40:00,55.8100,56.4250,55.7806,56.2390,1029607,55.6620,,73.57,,32.82,4.22,0
2025-02-03 10:45:00,56.2300,56.5550,56.1700,56.5550,816718,55.8406,,76.06,,32.88,3.94,0
2025-02-03 10:50:00,56.5600,56.7400,56.3200,56.3700,895075,55.9465,,71.79,,33.68,3.66,0
2025-02-03 10:55:00,56.3800,56.5800,56.3500,56.3700,661082,56.0312,,71.79,,32.32,3.51,0
2025-02-03 11:00:00,54.4300,57.8000,54.2000,54.4600,182410,55.7169,,42.96,,19.23,26.28,0
2025-02-03 11:05:00,54.4600,54.5500,54.3900,54.5100,131836,55.4756,,43.60,,18.87,25.78,1
