Datetime,Open,High,Low,Close,Volume,ema9,ema21,rsi14,adx14,pdi14,mdi14,squeeze_on
2025-02-03 09:30:00,114.7193,114.9593,112.9798,114.3794,25471067,,,,,,,0
2025-02-03 09:35:00,114.3494,114.4461,113.3197,114.0495,12209978,,,,,,,0
2025-02-03 09:40:00,114.0495,114.9593,113.5896,114.4394,9125746,,,,,,,0
2025-02-03 09:45:00,114.4194,114.6393,113.4797,113.5346,8411799,,,,,,,0
2025-02-03 09:50:00,113.5340,114.2494,113.2447,113.7496,7229626,,,,,,,0
2025-02-03 09:55:00,113.7504,114.9593,113.6696,114.7069,7088481,,,,,,,0
2025-02-03 10:00:00,114.6493,115.2192,113.7296,113.9795,7993997,,,,,,,0
2025-02-03 10:05:00,113.9695,114.9393,113.8496,114.8393,5428603,,,,,,,0
2025-02-03 10:10:00,114.8293,114.8543,113.6696,113.8346,5496460,114.1681,,,,,,0
2025-02-03 10:15:00,113.8396,114.2155,113.5796,113.7446,5028161,114.0834,,,,,,0
2025-02-03 10:20:00,113.7496,115.8940,113.7496,115.7091,9862699,114.4085,,,,,,0
2025-02-03 10:25:00,115.7141,116.3589,114.7693,115.7291,7982948,114.6726,,,,,,0
2025-02-03 10:30:00,115.7191,116.8088,115.3891,116.7088,6806648,115.0799,,,,,,0
2025-02-03 10:35:00,116.7188,117.0287,114.1656,116.1789,6588069,115.2997,,,,,,0
2025-02-03 10:40:00,116.1689,117.6085,114.1795,117.5642,6205677,115.7526,,65.37,,21.36,8.43,0
2025-02-03 10:45:00,117.5586,117.6985,114.4994,117.0585,5569549,116.0138,,62.11,,18.83,7.28,0
2025-02-03 10:50:00,117.0587,117.5286,116.9587,117.0587,4001793,116.2228,,62.11,,18.35,7.10,0
2025-02-03 10:55:00,117.0487,117.9585,116.6689,117.8185,4675067,116.5419,,65.14,,19.22,6.68,0
2025-02-03 11:00:00,117.6400,117.9700,114.9700,116.7000,723792,116.5735,,57.81,,16.77,13.07,0
2025-02-03 11:05:00,116.7000,117.1300,116.1700,116.2000,397885,116.4988,,54.83,,16.06,12.52,1
2025-02-03 11:10:00,116.2200,116.8700,116.0700,116.8000,214072,116.5591,115.4659,57.65,,15.47,12.52,1
