Datetime,Open,High,Low,Close,Volume,ema9,ema21,rsi14,adx14,pdi14,mdi14,squeeze_on
2025-02-03 09:30:00,386.6800,389.1700,384.7000,385.5500,4459615,,,,,,,0
2025-02-03 09:35:00,385.5700,388.0800,383.5900,385.7600,2949214,,,,,,,0
2025-02-03 09:40:00,385.7500,387.1600,383.0601,385.6000,2186243,,,,,,,0
2025-02-03 09:45:00,385.6500,385.8000,381.7600,381.8000,2627223,,,,,,,0
2025-02-03 09:50:00,381.8548,383.0000,379.4100,380.9526,3326453,,,,,,,0
2025-02-03 09:55:00,381.0651,382.7000,380.0300,381.8100,1748471,,,,,,,0
2025-02-03 10:00:00,381.6800,382.3700,377.6200,378.3500,2569261,,,,,,,0
2025-02-03 10:05:00,378.2000,379.5933,376.0200,378.5537,2376619,,,,,,,0
2025-02-03 10:10:00,378.5200,378.6500,375.5000,376.2500,1743515,381.6251,,,,,,0
2025-02-03 10:15:00,376.2400,376.8980,374.6100,375.1000,2222637,380.3201,,,,,,0
2025-02-03 10:20:00,375.1300,383.4000,374.3600,382.5150,3213888,380.7591,,,,,,0
2025-02-03 10:25:00,382.6500,385.2500,381.2501,384.5600,2976285,381.5193,,,,,,0
2025-02-03 10:30:00,384.4200,385.8900,383.1059,385.2700,1860158,382.2694,,,,,,0
2025-02-03 10:35:00,385.1608,386.1399,382.2301,383.8000,1543530,382.5755,,,,,,0
2025-02-03 10:40:00,383.8000,387.9800,383.1800,386.4900,1726611,383.3584,,51.72,,18.94,20.26,0
2025-02-03 10:45:00,386.5200,386.5900,384.5100,386.1600,1213851,383.9187,,51.06,,18.23,19.50,0
2025-02-03 10:50:00,386.2200,386.7800,385.0000,386.2799,1030008,384.3910,,51.30,,17.97,18.84,0
2025-02-03 10:55:00,386.1400,389.1000,385.5000,388.1000,1382173,385.1328,,54.98,,21.14,17.56,0
2025-02-03 11:00:00,389.8000,403.7100,386.7600,393.2000,145980,386.7462,,63.34,,37.85,13.05,0
2025-02-03 11:05:00,393.1900,394.7000,391.4500,391.5100,106423,387.6990,,59.40,,35.94,12.39,1
2025-02-03 11:10:00,391.5100,392.5200,390.4000,392.0700,89685,388.5732,384.2705,60.28,,34.71,13.66,1
2025-02-03 11:15:00,391.9000,392.0700,390.3000,391.0900,61257,389.0765,384.8905,57.92,,33.68,13.42,1
2025-02-03 11:20:00,391.1100,392.8200,390.5200,392.3000,43116,389.7212,385.5641,60.00,,33.64,12.88,1
2025-02-03 11:25:00,392.3600,393.4900,391.4700,392.2600,38857,390.2290,386.1728,59.90,,33.62,12.41,1
2025-02-03 11:30:00,392.2600,393.4000,392.1200,393.4000,37696,390.8632,386.8298,61.96,,32.80,12.11,0
2025-02-03 11:35:00,393.3800,393.6900,392.5400,392.8300,45745,391.2566,387.3753,60.29,,32.63,11.84,0
2025-02-03 11:40:00,392.8100,393.3200,391.9000,392.2100,52976,391.4472,387.8148,58.45,,31.66,12.82,0
2025-02-03 11:45:00,392.3200,393.7300,391.5800,393.2100,67086,391.7998,388.3053,60.54,,31.08,12.23,0
