ticker,trading_day,z2_high,dz_low,eod_close,compression_pct,recovery_return_pct,category,vix,vix_regime,compression_bucket,is_event_day,vix_daily_change_pct,noon_sigma,noon_mean,depth_z,zscore_bucket
AAPL,2025-02-03,229.03,224.65,226.76,1.912413220975416,0.9392388159358938,weak_recovery,,unknown,>1.0%,False,0.0,1.0559400560668146,1.103679559014438,0.7658897465954313,<1σ
AAPL,2025-02-04,231.22,230.15,231.54,0.4627627367874721,0.6039539430805937,full_recovery,,unknown,<0.5%,False,0.0,1.0559400560668146,1.103679559014438,-0.6069632632502502,<1σ
AAPL,2025-02-05,229.58,228.4,231.2,0.5139820541859077,1.2259194395796773,full_recovery,,unknown,0.5-1.0%,False,0.0,1.0559400560668146,1.103679559014438,-0.5584573683330535,<1σ
AAPL,2025-02-06,232.29,229.66,231.97,1.1322054328640905,1.0058347121832285,partial_recovery,,unknown,>1.0%,False,0.0,1.0559400560668146,1.103679559014438,0.027014671605418834,<1σ
AAPL,2025-02-07,231.43,226.97,226.49,1.9271485978481648,-0.2114816936158919,failed_recovery,,unknown,>1.0%,False,0.0,1.0559400560668146,1.103679559014438,0.7798444941098265,<1σ
AAPL,2025-02-10,229.6,227.26,226.67,1.0191637630662036,-0.2596145384141527,failed_recovery,15.81,<20,>1.0%,False,0.0,1.0559400560668146,1.103679559014438,-0.08003844106742229,<1σ
AAPL,2025-02-11,234.22,232.25,231.77,0.8410895739048753,-0.2066738428417609,failed_recovery,16.02,<20,0.5-1.0%,False,1.3282732447817778,1.0559400560668146,1.103679559014438,-0.24867887490475812,<1σ
AAPL,2025-02-13,240.58,239.04,240.49,0.6401197106991522,0.6065930388219617,partial_recovery,15.1,<20,0.5-1.0%,True,4.971680302076783,1.0559400560668146,1.103679559014438,-0.4390020490764998,<1σ
AAPL,2025-02-14,244.0,242.3,243.52,0.6967213114754052,0.5035080478745352,partial_recovery,14.77,<20,0.5-1.0%,True,2.1854304635761594,1.0559400560668146,1.103679559014438,-0.3853990055599164,<1σ
AAPL,2025-02-18,244.05,242.21,243.41,0.7539438639623042,0.4954378431939179,partial_recovery,15.35,<20,0.5-1.0%,False,0.1301236174365619,1.0559400560668146,1.103679559014438,-0.3312079062090284,<1σ
AAPL,2025-02-19,244.53,243.19,243.84,0.5479900216742336,0.2672807270035798,weak_recovery,15.27,<20,0.5-1.0%,False,0.5211726384364825,1.0559400560668146,1.103679559014438,-0.5262510254701835,<1σ
AAPL,2025-02-20,245.64,243.98,244.81,0.6757857026542895,0.3401918190015626,weak_recovery,15.66,<20,0.5-1.0%,True,2.5540275049115952,1.0559400560668146,1.103679559014438,-0.40522551815486146,<1σ
AAPL,2025-02-24,247.8,246.16,246.17,0.661824051654566,0.0040623984400353,failed_recovery,18.98,<20,0.5-1.0%,True,4.228445908841294,1.0559400560668146,1.103679559014438,-0.4184475291198855,<1σ
AAPL,2025-02-25,248.93,246.67,245.99,0.9078857510143492,-0.2756719503790402,failed_recovery,19.43,<20,0.5-1.0%,True,2.3709167544783947,1.0559400560668146,1.103679559014438,-0.18542132848846096,<1σ
AAPL,2025-02-26,243.57,239.21,239.28,1.7900398242804882,0.0292629906776444,failed_recovery,19.1,<20,>1.0%,False,1.6984045290787355,1.0559400560668146,1.103679559014438,0.6499992696769341,<1σ
AAPL,2025-02-27,241.42,238.56,236.37,1.1846574434595252,-0.9180080482897376,failed_recovery,21.13,20-25,>1.0%,True,10.628272251308887,1.0559400560668146,1.103679559014438,0.0766879558927949,<1σ
AAPL,2025-02-28,236.81,235.22,240.81,0.6714243486339273,2.3764985970580748,full_recovery,19.63,<20,0.5-1.0%,True,7.098911500236631,1.0559400560668146,1.103679559014438,-0.4093558227070038,<1σ
AAPL,2025-03-03,241.59,239.71,237.12,0.7781779047145972,-1.0804722372867228,failed_recovery,22.78,20-25,0.5-1.0%,True,16.046867040244535,1.0559400560668146,1.103679559014438,-0.30825770121106627,<1σ
AAPL,2025-03-04,239.04,235.15,235.06,1.627342704149927,-0.0382734424835226,failed_recovery,23.51,20-25,>1.0%,True,3.204565408252855,1.0559400560668146,1.103679559014438,0.49592128087842363,<1σ
AAPL,2025-03-05,232.25,230.25,234.81,0.8611410118406888,1.9804560260586328,full_recovery,21.93,20-25,0.5-1.0%,True,6.720544449170573,1.0559400560668146,1.103679559014438,-0.22968969287628055,<1σ
AAPL,2025-03-06,236.84,233.04,234.31,1.6044587062996165,0.5449708204600113,weak_recovery,24.87,20-25,>1.0%,True,13.406292749658007,1.0559400560668146,1.103679559014438,0.4742495981736787,<1σ
